Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
love-bracelet-3-65mm-diamonds,LOVE BRACELET 3.65MM DIAMOND-PAVED,"<video controls=""controls"" style=""max-width: 100%; height: auto;"">
  <source src=""https://cdn.shopify.com/videos/c/o/v/7fa9b9e09cb449259429551ed1e2366d.mp4?v=1603698625"" type=""video/mp4"">
Your browser does not support our video.
</source></video>
<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Pink Gold, Silver, Gold</li>
<li>Stone: Diamonds</li>
<li>Ref. B6047217</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated<br>- 18k Real Gold ( contact us via instagram)<br>
</li>
<li><span data-mce-fragment=""1"">Width: 3.65 mm</span></li>
<li><span data-mce-fragment=""1"">Size : 16, 17, 18, 19, 20, 21</span></li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b>     ( <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong><br></p>
<p><strong><img height=""351"" width=""438"" src=""https://cdn.shopify.com/s/files/1/0482/2407/5932/files/img10US_480x480.png?v=1631614545"" alt=""""></strong></p>
<ul></ul>
<p><strong>Video Intruction</strong></p>
<ul></ul>
<video style=""max-width: 100%; height: auto;"" controls=""controls"" data-mce-style=""max-width: 100%; height: auto;"">
  <source type=""video/mp4"" src=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/intruction_cartier_bra.mp4?v=1633746247"">
Your browser does not support our video.
</source></video>",cartier,,bracelet,"bracelet, cartier, cartier love",TRUE,Material,Silver alloy - 14k gold plated ( no box ),Color,Pink Gold,Size,15,,0,,0,deny,manual,38.85,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/love-bracelet-small-model-paved-diamonds-rose-gold-ref-n6710717-1_db8899f1-ed98-4d55-a568-f179d02bf641.jpg?v=1772076560,1,,,,,,g,,,,,active
love-bracelet-3-65mm-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_20_ea2204e4-c9ee-4b6f-a5a0-807948e6d9f1.png?v=1772076560,2,,,,,,,,,,,
love-bracelet-3-65mm-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_19_efba9eed-fc81-4038-839d-6aa4c2bacf21.png?v=1772076560,3,,,,,,,,,,,
love-bracelet-3-65mm-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_21_d44c91a1-6c1e-4143-8536-abf4456b45d4.png?v=1772076560,4,,,,,,,,,,,
love-bracelet-3-65mm-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3.65dm_def183ea-3e65-488f-862a-63e8fe7ff0c8.png?v=1772076560,5,,,,,,,,,,,
love-bracelet-3-65mm-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3.65dm1_c6852fc7-f2b9-4b0b-8444-438ff25fc118.png?v=1772076560,6,,,,,,,,,,,
love-bracelet-3-65mm-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH04470_7e040ec7-073f-459b-a9ba-6e02ef0a1f16.jpg?v=1772076560,7,,,,,,,,,,,
love-bracelet-3-65mm-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH04477_6bd7ed90-a12f-4792-a3f1-218d54a0b66f.jpg?v=1772076560,8,,,,,,,,,,,
love-bracelet-3-65mm-diamonds,,"<video controls=""controls"" style=""max-width: 100%; height: auto;"">
  <source src=""https://cdn.shopify.com/videos/c/o/v/7fa9b9e09cb449259429551ed1e2366d.mp4?v=1603698625"" type=""video/mp4"">
Your browser does not support our video.
</source></video>
<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Pink Gold, Silver, Gold</li>
<li>Stone: Diamonds</li>
<li>Ref. B6047217</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated<br>- 18k Real Gold ( contact us via instagram)<br>
</li>
<li><span data-mce-fragment=""1"">Width: 3.65 mm</span></li>
<li><span data-mce-fragment=""1"">Size : 16, 17, 18, 19, 20, 21</span></li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b>     ( <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong><br></p>
<p><strong><img height=""351"" width=""438"" src=""https://cdn.shopify.com/s/files/1/0482/2407/5932/files/img10US_480x480.png?v=1631614545"" alt=""""></strong></p>
<ul></ul>
<p><strong>Video Intruction</strong></p>
<ul></ul>
<video style=""max-width: 100%; height: auto;"" controls=""controls"" data-mce-style=""max-width: 100%; height: auto;"">
  <source type=""video/mp4"" src=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/intruction_cartier_bra.mp4?v=1633746247"">
Your browser does not support our video.
</source></video>",cartier,,bracelet,"bracelet, cartier, cartier love",TRUE,Material,Silver alloy - 14k gold plated ( no box ),Color,Pink Gold,Size,16,,0,,0,deny,manual,38.85,,TRUE,FALSE,,,,,,,,,g,,,,,active
love-bracelet-3-65mm-diamonds,,"<video controls=""controls"" style=""max-width: 100%; height: auto;"">
  <source src=""https://cdn.shopify.com/videos/c/o/v/7fa9b9e09cb449259429551ed1e2366d.mp4?v=1603698625"" type=""video/mp4"">
Your browser does not support our video.
</source></video>
<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Pink Gold, Silver, Gold</li>
<li>Stone: Diamonds</li>
<li>Ref. B6047217</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated<br>- 18k Real Gold ( contact us via instagram)<br>
</li>
<li><span data-mce-fragment=""1"">Width: 3.65 mm</span></li>
<li><span data-mce-fragment=""1"">Size : 16, 17, 18, 19, 20, 21</span></li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b>     ( <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong><br></p>
<p><strong><img height=""351"" width=""438"" src=""https://cdn.shopify.com/s/files/1/0482/2407/5932/files/img10US_480x480.png?v=1631614545"" alt=""""></strong></p>
<ul></ul>
<p><strong>Video Intruction</strong></p>
<ul></ul>
<video style=""max-width: 100%; height: auto;"" controls=""controls"" data-mce-style=""max-width: 100%; height: auto;"">
  <source type=""video/mp4"" src=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/intruction_cartier_bra.mp4?v=1633746247"">
Your browser does not support our video.
</source></video>",cartier,,bracelet,"bracelet, cartier, cartier love",TRUE,Material,Silver alloy - 14k gold plated ( no box ),Color,Pink Gold,Size,17,,0,,0,deny,manual,38.85,,TRUE,FALSE,,,,,,,,,g,,,,,active
