Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
panthere-22mm-gold-case-white-dial,PANTHERE 22MM GOLD CASE WHITE DIAL,"<p><video style=""max-width: 100%; height: auto;"" controls=""controls"">
  <source type=""video/mp4"" src=""https://cdn.shopify.com/videos/c/o/v/3b55601f3baf425d90ce036a44f201e4.mp4?v=1603698625""></video></p>
<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Brand</strong></td>
<td data-mce-fragment=""1"">Carti</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Model</strong></td>
<td data-mce-fragment=""1"">Panthere<br>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Reference number</strong></td>
<td data-mce-fragment=""1"">W25010F1</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Quartz</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><br data-mce-fragment=""1""></td>
<td data-mce-fragment=""1""><br data-mce-fragment=""1""></td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"">
<p class=""h3 text-left m-b-0"" data-mce-fragment=""1"">Caliber</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Quartz</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Movement/Caliber</strong></td>
<td data-mce-fragment=""1"">Quartz</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"">
<p class=""h3 text-left m-b-0"" data-mce-fragment=""1"">Case</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Case diameter</strong></td>
<td data-mce-fragment=""1"">22 x 30 mm</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Thickness</strong></td>
<td data-mce-fragment=""1"">5.9 mm</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Water resistance</strong></td>
<td data-mce-fragment=""1"">10 bar<br>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Crystal</strong></td>
<td data-mce-fragment=""1"">Sapphire crystal</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dial</strong></td>
<td data-mce-fragment=""1"">White</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dial numerals</strong></td>
<td data-mce-fragment=""1"">Roman numerals</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"">
<p class=""h3 text-left m-b-0"" data-mce-fragment=""1"">Bracelet/strap</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Bracelet color</strong></td>
<td data-mce-fragment=""1"">Gold</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Lug width</strong></td>
<td data-mce-fragment=""1""><span class=""m-r-2"" data-mce-fragment=""1"">20 mm</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Clasp</strong></td>
<td data-mce-fragment=""1"">Fold clasp, hidden</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Buckle width</strong></td>
<td data-mce-fragment=""1"">15 mm</td>
</tr>
</tbody>
</table>",Cartier Watch,,watch,best27/8,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,168.00,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fd650176_20250421_cmp_i1745174625551_3760_0_0_jpg_4dfe5f3c-c946-4b29-ac01-c9f8b37c140d.jpg?v=1780131121,1,,,,,,g,,,,,active
panthere-22mm-gold-case-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fd650176_20250421_cmp_i1745174625555_8250_0_1_jpg_8a0af283-7340-47c5-b9d4-53d69551e46b.jpg?v=1780131121,2,,,,,,,,,,,
panthere-22mm-gold-case-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fd650176_20250421_cmp_i1745174625551_3625_0_5_jpg_7ad49763-eb26-47e8-92de-9f143aad41c1.jpg?v=1780131121,3,,,,,,,,,,,
panthere-22mm-gold-case-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fd650176_20250421_cmp_i1745174625552_4490_0_6_jpg_056041a4-b9ef-4c0b-8dcb-1123bacb3c64.jpg?v=1780131121,4,,,,,,,,,,,
panthere-22mm-gold-case-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fd650176_20250421_cmp_i1745174630266_292_0_2_jpg_977b3b6f-7dcb-4ca9-835b-7a4663d81a0b.jpg?v=1780131121,5,,,,,,,,,,,
panthere-22mm-gold-case-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fd650176_20250421_cmp_i1745174630268_6667_0_4_jpg_88e2cd3c-9da3-4518-9fe5-193ba7b7c026.jpg?v=1780131121,6,,,,,,,,,,,
panthere-22mm-gold-case-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fd650176_20250421_cmp_i1745174630278_216_0_7_jpg_34ef6a7b-d9a0-426c-86ed-e28eebe21fdd.jpg?v=1780131121,7,,,,,,,,,,,
panthere-22mm-gold-case-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fd650176_20250421_cmp_i1745174625553_4769_0_3_jpg_73b63de2-f3dc-4a2b-86a5-75ce5ba65d48.jpg?v=1780131121,8,,,,,,,,,,,
panthere-22mm-gold-case-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fd650176_20250421_cmp_i1745174630279_4584_0_8_jpg_68dad733-4dfb-4f15-8fc6-520b46005ccb.jpg?v=1780131121,9,,,,,,,,,,,
baignoire-gold-case-black-leather-strap,Baignoire Gold Case Black Leather Strap,"<p><video style=""max-width: 100%; height: auto;"" controls=""controls"">
  <source type=""video/mp4"" src=""https://cdn.shopify.com/videos/c/o/v/799bb9b4790145bea3b56861c2492c4e.mp4?v=1603698625""></video></p>
<table>
<tbody>
<tr>
<td class=""p-r-2""><strong>Brand</strong></td>
<td>Cartier</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Model</strong></td>
<td>Baignoire</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Reference number</strong></td>
<td>78094</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Dealer product code</strong></td>
<td>2104289</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Movement</strong></td>
<td>Manual winding</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Case material</strong></td>
<td>Yellow gold</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Bracelet material</strong></td>
<td>Calfskin</td>
</tr>
<tr>
<td class=""p-r-2""><br></td>
<td><br></td>
</tr>
</tbody>
<tbody>
<tr>
<td class=""p-r-2"" colspan=""2"">
<p class=""h3 text-left m-b-0"">Caliber</p>
</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Movement</strong></td>
<td>Manual winding</td>
</tr>
</tbody>
<tbody>
<tr>
<td class=""p-r-2"" colspan=""2"">
<p class=""h3 text-left m-b-0"">Case</p>
</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Case material</strong></td>
<td>Yellow gold</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Case diameter</strong></td>
<td>18, 23, 25mm</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Thickness</strong></td>
<td>7 mm</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Crystal</strong></td>
<td>Plexiglass</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Dial</strong></td>
<td>White</td>
</tr>
</tbody>
<tbody>
<tr>
<td class=""p-r-2"" colspan=""2"">
<p class=""h3 text-left m-b-0"">Bracelet/strap</p>
</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Bracelet material</strong></td>
<td>
<div class=""d-flex justify-content-between"">Calfskin</div>
</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Bracelet color</strong></td>
<td>Black</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Bracelet length</strong></td>
<td>150 mm</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Clasp</strong></td>
<td>Fold clasp</td>
</tr>
</tbody>
</table>",Cartier Watch,,watch,"best27/8, new arrival",TRUE,Size,18mm,,,,,,0,,0,deny,manual,236.25,276.15,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_78aebd60_20241206_i1733496255_6030_8_jpg_97dd9cad-3141-4a2c-86cc-f64654694171.jpg?v=1780131055,1,,,,,,g,,,,,active
