Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
cd-saddle-bag-strap-warm-taupe-grained-black-calfskin,CD Saddle Bag Strap Warm Taupe Grained Black Calfskin,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Black</li>
<li>Stone :   No</li>
<li>REF.:   CD08</li>
<li>Material: Calfskin</li>
<li>Dimensions: 25.5 x 20 x 6.5 cm (Length x Height x Width)</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">âœˆï¸  <b data-mce-fragment=""1"">Shipping Time  </b></span><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><b data-mce-fragment=""1"">        (  <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>",Dior bag,,bag,"cross body bags, shoulder bags",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,320.25,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221123_i1669217989_8079_0_jpg_3dfdd13f-dbd9-4ad0-a554-8b84cd5c5c06.jpg?v=1776420990,1,,,,,,g,,,,,active
cd-saddle-bag-strap-warm-taupe-grained-black-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221123_i1669217989_3566_1_jpg_79a500e2-b632-47fc-bf71-8b74c8124d1c.jpg?v=1776420990,2,,,,,,,,,,,
cd-saddle-bag-strap-warm-taupe-grained-black-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221123_i1669217989_812_2_jpg_3ad7bcf3-4306-4b56-ae7c-45c4d3a31238.jpg?v=1776420990,3,,,,,,,,,,,
cd-saddle-bag-strap-warm-taupe-grained-black-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221123_i1669217989_9668_6_jpg_0396997e-9cbd-41b3-9f57-6b9b0c07ee96.jpg?v=1776420990,4,,,,,,,,,,,
cd-saddle-bag-strap-warm-taupe-grained-black-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221123_i1669217989_2423_3_jpg_59a4f4b2-3baa-4540-9e7d-643899e4ddb3.jpg?v=1776420990,5,,,,,,,,,,,
cd-saddle-bag-strap-warm-taupe-grained-black-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221123_i1669217989_5874_4_jpg_f4ecd364-845e-4f67-a312-13607859c488.jpg?v=1776420990,6,,,,,,,,,,,
cd-saddle-bag-strap-warm-taupe-grained-black-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221123_i1669217989_7879_5_jpg_35b1119d-7f9d-4945-91b4-2fe86195d40a.jpg?v=1776420990,7,,,,,,,,,,,
cd-saddle-bag-strap-warm-taupe-grained-black-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221123_i1669217989_5246_7_jpg_b57e1d5c-dee1-4086-9417-0526a01c4fe9.jpg?v=1776420990,8,,,,,,,,,,,
cd-saddle-bag-strap-warm-taupe-grained-black-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221123_i1669217989_8037_8_jpg_32946cec-e594-445e-834a-4f87169bc7fc.jpg?v=1776420990,9,,,,,,,,,,,
medium-lady-24-bamboo-basket-white-canvas,medium lady 24 bamboo basket white canvas,"<p style=""text-align: left;""><strong>DESCRIPTION</strong></p>
<p style=""text-align: left;""><span data-mce-fragment=""1"">• Color : Beige, White</span></p>
<p style=""text-align: left;""><span data-mce-fragment=""1"">• Material: Calfskin, Bamboo</span></p>
<p style=""text-align: left;""><span data-mce-fragment=""1"">• </span>Wide, removable and reversible embroidered shoulder strap</p>
<p style=""text-align: left;""><span data-mce-fragment=""1"">• </span>Interior zip and patch pockets</p>
<p style=""text-align: left;""><span data-mce-fragment=""1"">• </span>Can be carried by hand, worn over the shoulder or crossbody</p>
<p style=""text-align: left;""><span data-mce-fragment=""1"">• </span>The bag may be paired with different embroidered straps</p>
<p style=""text-align: left;""><span data-mce-fragment=""1"">• </span>Dimensions: 24 x 20 x 11 cm</p>
<p style=""text-align: left;""><span data-mce-fragment=""1"">• </span>Dust bag included</p>
<p>• All leather on the bag is made from calfskin or lambskin of the first layer depending on the style and make of the bag.</p>
<p>• The products are 1:1 copies of the original version and they are the same from every detail.</p>
<p>• Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.</p>",Dior bag,,bag,"cross body bags, top handle, tote bag",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,267.75,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230509_a1683633863825_8511_jpg_46f1da5b-21d9-4568-982f-83995aa043e4.jpg?v=1779703579,1,,,,,,g,,,,,active
