Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
cd-diorevolution-earrings-gold-finish-metal,CD DioRevolution Earrings Gold-Finish Metal,"<p><strong>DESCRIPTION</strong></p>
<p>Color:  Gold</p>
<p><span>Material: </span></p>
<p><span>Silver alloy - 14k gold plated ( no box )</span></p>
<p><span>925 Sterling Silver - 18k Gold Plated </span></p>
<p>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</p>
<p><span>After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></p>
<p><span>You can choose the genuine product box that comes with the selected products at the order shipping line.</span></p>
<ul></ul>
<p><br></p>",dior,,necklace,new arrival,TRUE,Size,Silver alloy - 14k gold plated ( no box ),,,,,,0,,0,deny,manual,38.85,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251114110911_393_18.jpg?v=1767943595,1,,,,,,g,,,,,active
cd-diorevolution-earrings-gold-finish-metal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251114110907_387_18.jpg?v=1767943595,2,,,,,,,,,,,
cd-diorevolution-earrings-gold-finish-metal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251114110908_388_18.jpg?v=1767943595,3,,,,,,,,,,,
cd-diorevolution-earrings-gold-finish-metal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251114110908_389_18.jpg?v=1767943595,4,,,,,,,,,,,
cd-diorevolution-earrings-gold-finish-metal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251114110909_390_18.jpg?v=1767943595,5,,,,,,,,,,,
cd-diorevolution-earrings-gold-finish-metal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251114110910_391_18.jpg?v=1767943595,6,,,,,,,,,,,
cd-diorevolution-earrings-gold-finish-metal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251114110910_392_18.jpg?v=1767943595,7,,,,,,,,,,,
cd-diorevolution-earrings-gold-finish-metal,,"<p><strong>DESCRIPTION</strong></p>
<p>Color:  Gold</p>
<p><span>Material: </span></p>
<p><span>Silver alloy - 14k gold plated ( no box )</span></p>
<p><span>925 Sterling Silver - 18k Gold Plated </span></p>
<p>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</p>
<p><span>After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></p>
<p><span>You can choose the genuine product box that comes with the selected products at the order shipping line.</span></p>
<ul></ul>
<p><br></p>",dior,,necklace,new arrival,TRUE,Size,925 Sterling Silver - 18k Gold Plated,,,,,,0,,0,deny,manual,66.15,,TRUE,FALSE,,,,,,,,,g,,,,,active
cd-pearl-necklace-1,CD PEARL NECKLACE,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li> Color: Gold</li>
<li> Stone:  Mother of pearl</li>
<li> Ref. 5523</li>
<li>Material:<br>-<span> </span><span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br>
</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">✈️ <b data-mce-fragment=""1"">Shipping Time </b></span><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><b data-mce-fragment=""1"">     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>
<ul></ul>",dior,,necklace,,TRUE,Material,Silver alloy - 14k gold plated ( no box ),,,,,,0,,0,deny,manual,55.65,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/1570721941_N1116MTGRS_D301_E06_ZH_1024x1024_2x_39a9c2f4-0b17-4a86-bf1d-f366102009c9.webp?v=1767946467,1,,,,,,g,,,,,active
cd-pearl-necklace-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221108150033_a66bb5d1-ed7f-4ca1-af13-1184afb1a8d7.jpg?v=1767946467,2,,,,,,,,,,,
cd-pearl-necklace-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221108150028_763cca63-2c69-4bfb-be6a-ec43d8f94705.jpg?v=1767946467,3,,,,,,,,,,,
cd-pearl-necklace-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221108150011_169e67a0-1d19-4715-ac0b-c960532ec875.jpg?v=1767946467,4,,,,,,,,,,,
cd-pearl-necklace-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221108150023_00727f53-cef3-44ca-9aed-ab361ae3983d.jpg?v=1767946467,5,,,,,,,,,,,
cd-pearl-necklace-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221108150026_2ac9cb4e-db3d-49f3-86e0-cbb589873fdc.jpg?v=1767946467,6,,,,,,,,,,,
cd-pearl-necklace-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221108150031_1581c270-7a55-4e74-8ed1-368eb1bd81e3.jpg?v=1767946467,7,,,,,,,,,,,
cd-pearl-necklace-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221108150036_4aa7ee32-6e56-41aa-ac8f-34d118fc382a.jpg?v=1767946467,8,,,,,,,,,,,
cd-pearl-necklace-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221108150039_debb57ce-f231-484a-ac7f-547fc38a3ae5.jpg?v=1767946467,9,,,,,,,,,,,
