Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
premiere-rock-pink-gold-case-black-leather,PREMIERE ROCK PINK GOLD CASE BLACK LEATHER,"<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Brand</strong></td>
<td data-mce-fragment=""1"">Chanel</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Model</strong></td>
<td data-mce-fragment=""1"">PREMIERE</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Reference number</strong></td>
<td data-mce-fragment=""1"">H5695</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Automatic</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"">Pink Gold</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1""><span>Leather &amp; Steel</span></td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">
<h3 data-mce-fragment=""1"" class=""h4 m-b-0"">Caliber</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Automatic</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Movement/Caliber</strong></td>
<td data-mce-fragment=""1"">12.1</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">
<h3 data-mce-fragment=""1"" class=""h4 m-b-0"">Case</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"">Pink Gold</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Case diameter</strong></td>
<td data-mce-fragment=""1""><span data-mce-fragment=""1"">20 mm</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Water resistance</strong></td>
<td data-mce-fragment=""1"">20 ATM</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Crystal</strong></td>
<td data-mce-fragment=""1"">Sapphire crystal</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Dial</strong></td>
<td data-mce-fragment=""1"">Black</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">
<h3 data-mce-fragment=""1"" class=""h4 m-b-0"">Bracelet/strap</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"">Leather &amp; steel</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Bracelet color</strong></td>
<td data-mce-fragment=""1""><span mce-data-marked=""1"">Black &amp; Pink Gold</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Clasp</strong></td>
<td data-mce-fragment=""1"">Fold clasp</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Clasp material</strong></td>
<td data-mce-fragment=""1"">Steel</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">
<h3 data-mce-fragment=""1"" class=""h4 m-b-0"">Functions</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">Date</td>
</tr>
</tbody>
</table>",chanel watch,,watch,new,TRUE,Size,15.5MM,,,,,,0,,0,deny,manual,152.25,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1705424475866_1_6c7e0218-4d02-42bd-968a-79bec1042bcb.jpg?v=1776910757,1,,,,,,g,,,,,active
premiere-rock-pink-gold-case-black-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1705424475866_0_c296ffc7-ae19-4d8f-bdd9-0c53797a32f8.jpg?v=1776910756,2,,,,,,,,,,,
premiere-rock-pink-gold-case-black-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1705424475866_2_b2f1b8f8-b8e2-458a-b4e2-a0807bf7b9ed.jpg?v=1776910756,3,,,,,,,,,,,
premiere-rock-pink-gold-case-black-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1705424475866_3_4fe9cf9d-3040-49e5-babc-dcc88e4045f5.jpg?v=1776910756,4,,,,,,,,,,,
premiere-rock-pink-gold-case-black-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1705424475866_4_f3501fc7-eaa5-4b24-b299-d3f414e6f483.jpg?v=1776910756,5,,,,,,,,,,,
premiere-rock-pink-gold-case-black-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1705424475866_5_d7230f84-3933-459c-97c7-543e2726ccff.jpg?v=1776910756,6,,,,,,,,,,,
premiere-rock-pink-gold-case-black-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1705424475866_6_6bf8cf4c-591e-4258-b00a-6ab0e509c456.jpg?v=1776910756,7,,,,,,,,,,,
premiere-rock-pink-gold-case-black-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1705424475866_7_431c7cb6-0a42-411c-bede-a77af6b91155.jpg?v=1776910756,8,,,,,,,,,,,
premiere-rock-pink-gold-case-black-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1705424475866_8_63cd9674-3f94-4476-910f-329f3370241b.jpg?v=1776910756,9,,,,,,,,,,,
premiere-rock-pink-gold-case-black-leather,,"<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Brand</strong></td>
<td data-mce-fragment=""1"">Chanel</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Model</strong></td>
<td data-mce-fragment=""1"">PREMIERE</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Reference number</strong></td>
<td data-mce-fragment=""1"">H5695</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Automatic</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"">Pink Gold</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1""><span>Leather &amp; Steel</span></td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">
<h3 data-mce-fragment=""1"" class=""h4 m-b-0"">Caliber</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Automatic</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Movement/Caliber</strong></td>
<td data-mce-fragment=""1"">12.1</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">
<h3 data-mce-fragment=""1"" class=""h4 m-b-0"">Case</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"">Pink Gold</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Case diameter</strong></td>
<td data-mce-fragment=""1""><span data-mce-fragment=""1"">20 mm</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Water resistance</strong></td>
<td data-mce-fragment=""1"">20 ATM</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Crystal</strong></td>
<td data-mce-fragment=""1"">Sapphire crystal</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Dial</strong></td>
<td data-mce-fragment=""1"">Black</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">
<h3 data-mce-fragment=""1"" class=""h4 m-b-0"">Bracelet/strap</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"">Leather &amp; steel</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Bracelet color</strong></td>
<td data-mce-fragment=""1""><span mce-data-marked=""1"">Black &amp; Pink Gold</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Clasp</strong></td>
<td data-mce-fragment=""1"">Fold clasp</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" class=""p-r-2""><strong data-mce-fragment=""1"">Clasp material</strong></td>
<td data-mce-fragment=""1"">Steel</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">
<h3 data-mce-fragment=""1"" class=""h4 m-b-0"">Functions</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" colspan=""2"" class=""p-r-2"">Date</td>
</tr>
</tbody>
</table>",chanel watch,,watch,new,TRUE,Size,16.5MM,,,,,,0,,0,deny,manual,152.25,,FALSE,FALSE,,,,,,,,,g,,,,,active
