Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
gucci-original-gg-canvas-beige-ebony-headband,Gucci Original GG Canvas Beige Ebony Headband,"<p><strong>DESCRIPTION</strong></p>
<p>Color: Beige Ebony<br></p>
<p>Material: Canvas </p>
<p><span>✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span><b> ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>
<ul></ul>",gucci,,ring,new arrival,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,49.35,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2025-11-01_101748_155.png?v=1767943600,1,,,,,,g,,,,,active
gucci-original-gg-canvas-beige-ebony-headband,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2025-11-01_101736_139.png?v=1767943600,2,,,,,,,,,,,
gucci-original-gg-canvas-beige-ebony-headband,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251101100835_1502_11.jpg?v=1767943600,3,,,,,,,,,,,
gucci-original-gg-canvas-beige-ebony-headband,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251101100835_1503_11.jpg?v=1767943600,4,,,,,,,,,,,
gucci-brooch-gold-184409,Gucci Brooch Gold 184409,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color:  Gold </li>
<li>Stone: Pearl<br>
</li>
<li>Material:<br>-<span> </span><span>Silver alloy - 14k gold plated ( no box ) </span><br>
</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span>After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span>You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
<li><span></span></li>
</ul>
<p><span>✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span><b> ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>
<ul></ul>",gucci,,Brooch,"Brooch, new arrival",TRUE,Material,Silver alloy - 14k gold plated ( no box ),,,,,,0,,0,deny,manual,47.25,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750839_4437_2_jpg.jpg?v=1753928268,1,,,,,,g,,,,,active
gucci-brooch-gold-184409,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750839_2606_1_jpg.jpg?v=1753928268,2,,,,,,,,,,,
gucci-brooch-gold-184409,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750839_4486_3_jpg.jpg?v=1753928268,3,,,,,,,,,,,
gucci-brooch-gold-184409,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750839_4124_0_jpg.jpg?v=1753928268,4,,,,,,,,,,,
gucci-brooch-gold-184399,Gucci Brooch Gold 184399,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Gold </li>
<li>Stone: No<br>
</li>
<li>Material:<br>-<span> </span><span>Silver alloy - 14k gold plated ( no box ) </span><br>
</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span>After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span>You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
<li><span></span></li>
</ul>
<p><span>✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span><b> ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>
<ul></ul>",gucci,,Brooch,"Brooch, new arrival",TRUE,Material,Silver alloy - 14k gold plated ( no box ),,,,,,0,,0,deny,manual,47.25,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750443_3651_1_jpg.jpg?v=1753928294,1,,,,,,g,,,,,active
gucci-brooch-gold-184399,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750443_2780_3_jpg.jpg?v=1753928294,2,,,,,,,,,,,
gucci-brooch-gold-184399,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750443_3737_0_jpg.jpg?v=1753928294,3,,,,,,,,,,,
gucci-brooch-gold-184399,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750443_4638_2_jpg.jpg?v=1753928294,4,,,,,,,,,,,
