Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
saint-louis-gm-40cm-navy-blue-canvas,SAINT LOUIS GM 40CM NAVY BLUE CANVAS,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Navy blue</li>
<li>Stone :Â  No</li>
<li>REF.:Â  gy04</li>
<li>Material: <span data-mce-fragment=""1"">G</span><span data-mce-fragment=""1"">oyardine canvas &amp; chevroches calfskin</span>
</li>
<li><span data-mce-fragment=""1"">Size: 40cm x 34cm x 20cm</span></li>
<li><span>ALinen and cotton interior Palladium<br data-mce-fragment=""1"">Shoulder strap height: 21 cm</span></li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">âœˆï¸Â <b data-mce-fragment=""1"">Shipping TimeÂ </b></span><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><b data-mce-fragment=""1"">Â  Â  Â (Â <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>",Goya Bag,,bag,"shoulder bags, top handle, tote bag",TRUE,Size,40cm x 34cm x 20cm,,,,,,0,,0,deny,manual,315.00,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181912_1d1bfc49-c317-4caa-b4dd-ad916730c90b.jpg?v=1781692263,1,,,,,,g,,,,,active
saint-louis-gm-40cm-navy-blue-canvas,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181910_47c545a8-a90e-4c04-bfed-4ee4636cdb1d.jpg?v=1781692264,2,,,,,,,,,,,
saint-louis-gm-40cm-navy-blue-canvas,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181915_6d89a5a4-e1cb-4153-a094-58b273f80de6.jpg?v=1781692263,3,,,,,,,,,,,
saint-louis-gm-40cm-navy-blue-canvas,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181918_7ef494e7-07a3-4e6d-a8e6-7d7c2999c0b1.jpg?v=1781692263,4,,,,,,,,,,,
saint-louis-gm-40cm-navy-blue-canvas,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181921_cd42f67e-7972-431f-8987-0c19e394bd87.jpg?v=1781692263,5,,,,,,,,,,,
saint-louis-gm-40cm-navy-blue-canvas,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181924_4fad41d4-31c9-4ca6-8ba5-6f22ebf834fc.jpg?v=1781692264,6,,,,,,,,,,,
saint-louis-gm-40cm-navy-blue-canvas,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181926_b8baddfa-1e63-4adf-95d9-d0a481c71127.jpg?v=1781692263,7,,,,,,,,,,,
saint-louis-gm-40cm-navy-blue-canvas,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181929_ec98b0a9-a7f1-4324-ac9a-be5a32a14015.jpg?v=1781692263,8,,,,,,,,,,,
saint-louis-gm-40cm-navy-blue-canvas,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182117_c980cf85-8c02-4c03-a0b1-88806768cffb.jpg?v=1781692263,9,,,,,,,,,,,
muse-vanity-case-20-in-navy-blue-goyardine-canvas,MUSE VANITY CASE 20 IN NAVY BLUE GOYARDINE CANVAS,"<p>• Color: Navy blue</p>
<p>• Material: Goyardine canvas</p>
<p>• Size: 20 x 14 x 16 cm</p>
<p>• The products are 1:1 copies of the original version and they are the same from every detail.</p>
<p>• Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.</p>",Goya Bag,,bag,"new arrival, vanity bags",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,252.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_4497_0_jpg.jpg?v=1781691924,1,,,,,,g,,,,,active
