Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
extra-pocket-l19-in-navy-blue-grained-calfskin-with-silver-hardware,EXTRA POCKET L19 IN NAVY BLUE GRAINED CALFSKIN WITH SILVER HARDWARE,"<ul>
<li>
<span>Color: Navy Blue<br><br></span><span></span>
</li>
<li>
<span><span>Size: 19 x 11 x 6.5 cm<br></span></span><span><span><br></span></span>
</li>
<li>
<span><span>Material: Calfskin<br></span></span><span><span><br></span></span>
</li>
<li>The products are 1:1 copies of the original version and they are the same from every detail.<br><br>
</li>
<li>Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.
<div class=""chat-box-input-container"" id=""chat-box-input-container-id"">
<div class=""chat-box-input--audit-2023 chat-box-input--to-focus win32"" id=""chatInput"">
<div class=""chat-input-container--audit-2023"" id=""chat-input-container-id"">
<div class=""chat-input-container--audit-2023__left-layout"">
<div class=""chat-input-scrollable"" id=""chat-input-scroller-id"">
<div class=""chat-input-wrapper"">
<div class=""chat-input-content"" id=""chat-input-content-id""></div>
</div>
</div>
</div>
</div>
</div>
</div>
<br>
</li>
</ul>
<ul></ul>",Loro Piana Bag,,bag,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,283.50,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_5648_0_jpg_c4147a07-c0d8-46f0-9bd6-15a90e01535b.jpg?v=1779877555,1,,,,,,g,,,,,active
extra-pocket-l19-in-navy-blue-grained-calfskin-with-silver-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_698_1_jpg_51e1182b-501e-4ee7-9757-afdc2eaaecda.jpg?v=1779877555,2,,,,,,,,,,,
extra-pocket-l19-in-navy-blue-grained-calfskin-with-silver-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_7453_2_jpg_6171f10a-ed7f-407c-8ee5-2d3f05ce6f7a.jpg?v=1779877555,3,,,,,,,,,,,
extra-pocket-l19-in-navy-blue-grained-calfskin-with-silver-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_2447_4_jpg_0869b601-38e7-48df-b884-eb6a2ec4655a.jpg?v=1779877555,4,,,,,,,,,,,
extra-pocket-l19-in-navy-blue-grained-calfskin-with-silver-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_3959_3_jpg_f3ad6346-79e2-4951-bbf1-938db326dd7a.jpg?v=1779877555,5,,,,,,,,,,,
extra-pocket-l19-in-navy-blue-grained-calfskin-with-silver-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_7407_5_jpg_5a1d1ac6-15e4-4f8c-92b2-387d6e2bab03.jpg?v=1779877555,6,,,,,,,,,,,
extra-pocket-l19-in-navy-blue-grained-calfskin-with-silver-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_1946_6_jpg_7533ce67-2950-4390-81c6-caa20496dbd1.jpg?v=1779877555,7,,,,,,,,,,,
extra-pocket-l19-in-navy-blue-grained-calfskin-with-silver-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_8194_8_jpg_ea32332e-c7cd-4f6b-a865-5844a27939b9.jpg?v=1779877555,8,,,,,,,,,,,
extra-pocket-l19-in-navy-blue-grained-calfskin-with-silver-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_5167_7_jpg_30fc017f-7a87-4b70-ad05-670473396025.jpg?v=1779877555,9,,,,,,,,,,,
extra-pocket-l19-in-white-ostrich-leather,EXTRA POCKET L19 IN WHITE OSTRICH LEATHER,"<ul>
<li>
<span>Color: White<br><br></span><span></span>
</li>
<li>
<span><span>Size: 19 x 7 x 12 cm<br></span></span><span><span><br></span></span>
</li>
<li>
<span><span>Material: Ostrich Leather</span></span><span><span><br></span></span><span><span><br></span></span>
</li>
<li>The products are 1:1 copies of the original version and they are the same from every detail.<br><br>
</li>
<li>Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.
<div class=""chat-box-input-container"" id=""chat-box-input-container-id"">
<div class=""chat-box-input--audit-2023 chat-box-input--to-focus win32"" id=""chatInput"">
<div class=""chat-input-container--audit-2023"" id=""chat-input-container-id"">
<div class=""chat-input-container--audit-2023__left-layout"">
<div class=""chat-input-scrollable"" id=""chat-input-scroller-id"">
<div class=""chat-input-wrapper"">
<div class=""chat-input-content"" id=""chat-input-content-id""></div>
</div>
</div>
</div>
</div>
</div>
</div>
<br>
</li>
</ul>
<ul></ul>",Loro Piana Bag,,bag,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,283.50,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910028713_1830_jpg_e252abf1-2ff5-4b51-a8f6-4d6c2304b62d.jpg?v=1775471280,1,,,,,,g,,,,,active
