Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
move-diamond-paved-necklace,MOVE DIAMOND PAVED NECKLACE,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li> Color:  Silver, Gold</li>
<li> Stone: Cubic Zirconia</li>
<li> Ref. GRP10111</li>
<li>
<span data-mce-fragment=""1""> Material:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- Silver alloy - 14k gold plated ( no box )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- 925 Sterling Silver - 18k Gold Plated </span><br>
</li>
<li><span data-mce-fragment=""1"">Chain Length : 39 - 42cm</span></li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">✈️ <b data-mce-fragment=""1"">Shipping Time </b></span><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><b data-mce-fragment=""1"">     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>",messika,,necklace,,TRUE,Material,Silver alloy - 14k gold plated ( no box ),Color,Silver,,,,0,,0,deny,manual,60.90,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110326_c2f142c3-24c1-4834-ba6f-5d41a0574012.jpg?v=1772781853,1,,,,,,g,,,,,active
move-diamond-paved-necklace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/dc12_ce568398-6f55-4a3a-8a41-d78595a0a4c7.jpg?v=1772781853,2,,,,,,,,,,,
move-diamond-paved-necklace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110400_3a071aee-5f69-4a47-b2f3-5c4a160f9aa8.jpg?v=1772781853,3,,,,,,,,,,,
move-diamond-paved-necklace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110404_39ebf9c7-e574-431d-bca3-2884bf2df167.jpg?v=1772781853,4,,,,,,,,,,,
move-diamond-paved-necklace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110413_ad5ce79e-96bb-47f2-bda2-4f00befb2ac5.jpg?v=1772781853,5,,,,,,,,,,,
move-diamond-paved-necklace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110409_27aa2b3f-3ee5-47aa-adbd-3214ac051074.jpg?v=1772781853,6,,,,,,,,,,,
move-diamond-paved-necklace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110351_85c5ee27-c6fe-4b04-a778-5d99bfb05e83.jpg?v=1772781853,7,,,,,,,,,,,
move-diamond-paved-necklace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110356_777cce37-08d5-4aa2-bc33-f8fcd25bfd04.jpg?v=1772781853,8,,,,,,,,,,,
move-diamond-paved-necklace,,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li> Color:  Silver, Gold</li>
<li> Stone: Cubic Zirconia</li>
<li> Ref. GRP10111</li>
<li>
<span data-mce-fragment=""1""> Material:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- Silver alloy - 14k gold plated ( no box )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- 925 Sterling Silver - 18k Gold Plated </span><br>
</li>
<li><span data-mce-fragment=""1"">Chain Length : 39 - 42cm</span></li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">✈️ <b data-mce-fragment=""1"">Shipping Time </b></span><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><b data-mce-fragment=""1"">     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>",messika,,necklace,,TRUE,Material,Silver alloy - 14k gold plated ( no box ),Color,Pink gold,,,,0,,0,deny,manual,60.90,,FALSE,FALSE,,,,,,,,,g,,,,,active
move-diamond-paved-necklace,,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li> Color:  Silver, Gold</li>
<li> Stone: Cubic Zirconia</li>
<li> Ref. GRP10111</li>
<li>
<span data-mce-fragment=""1""> Material:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- Silver alloy - 14k gold plated ( no box )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- 925 Sterling Silver - 18k Gold Plated </span><br>
</li>
<li><span data-mce-fragment=""1"">Chain Length : 39 - 42cm</span></li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">✈️ <b data-mce-fragment=""1"">Shipping Time </b></span><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><b data-mce-fragment=""1"">     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>",messika,,necklace,,TRUE,Material,Silver alloy - 14k gold plated ( no box ),Color,Gold,,,,0,,0,deny,manual,60.90,,FALSE,FALSE,,,,,,,,,g,,,,,active
