Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
classic-woc-19cm-black-lambskin-gold-hardware,CLASSIC WOC 19CM BLACK LAMBSKIN GOLD HARDWARE,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Black, Gold hardware</li>
<li>Stone :Â  No</li>
<li>REF.:Â  bg28</li>
<li>Material:Â Lambskin</li>
<li><span data-mce-fragment=""1"">Size: 19cm x 12cm x 3.5cm</span></li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">âœˆï¸Â <b data-mce-fragment=""1"">Shipping TimeÂ </b></span><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><b data-mce-fragment=""1"">Â  Â  Â (Â <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>",chanel bag,,bag,"cross body bags, mini bag, wallet",TRUE,Version,High Quality,,,,,,0,,0,deny,manual,252.00,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200331_i1585655926_4246_0_jpg_ee21b11f-69c7-4dda-ab60-864460c3af9c.jpg?v=1774255949,1,,,,,,g,,,,,active
classic-woc-19cm-black-lambskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200331_i1585655926_76_1_jpg_3edf25e7-f7d6-41ae-9dac-3f58fe8a8675.jpg?v=1774255949,2,,,,,,,,,,,
classic-woc-19cm-black-lambskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200331_i1585655926_1744_3_jpg_8c79f102-6bb3-4b56-9a8b-13471556b539.jpg?v=1774255948,3,,,,,,,,,,,
classic-woc-19cm-black-lambskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200331_i1585655926_2164_4_jpg_8c9a0211-a739-42a2-bcfd-fe751b26028e.jpg?v=1774255949,4,,,,,,,,,,,
classic-woc-19cm-black-lambskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200331_i1585655926_2407_2_jpg_f9f251db-9ab7-452e-935d-5bc87eef5f9b.jpg?v=1774255948,5,,,,,,,,,,,
classic-woc-19cm-black-lambskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200331_i1585655926_3559_8_jpg_c953297a-792e-4296-a3da-30326b956e26.jpg?v=1774255949,6,,,,,,,,,,,
classic-woc-19cm-black-lambskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200331_i1585655926_4351_5_jpg_abe4b088-0a61-4f80-92fa-0f36e29cf098.jpg?v=1774255949,7,,,,,,,,,,,
classic-woc-19cm-black-lambskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200331_i1585655926_4930_6_jpg_2b8cf4ec-301c-4947-be43-472ee4a75ae3.jpg?v=1774255949,8,,,,,,,,,,,
classic-woc-19cm-black-lambskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200331_i1585655926_8776_7_jpg_b3d53086-042e-4926-9254-ff4ebfd6eddd.jpg?v=1774255949,9,,,,,,,,,,,
classic-woc-19cm-black-lambskin-gold-hardware,,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Black, Gold hardware</li>
<li>Stone :Â  No</li>
<li>REF.:Â  bg28</li>
<li>Material:Â Lambskin</li>
<li><span data-mce-fragment=""1"">Size: 19cm x 12cm x 3.5cm</span></li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">âœˆï¸Â <b data-mce-fragment=""1"">Shipping TimeÂ </b></span><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><b data-mce-fragment=""1"">Â  Â  Â (Â <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>",chanel bag,,bag,"cross body bags, mini bag, wallet",TRUE,Version,Best Version,,,,,,0,,0,deny,manual,388.50,,FALSE,FALSE,,,,,,,,,g,,,,,active
