Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
constellation-28mm-quart-diamond-bezel-mop-dial,CONSTELLATION 28MM QUART DIAMOND BEZEL MOP DIAL,"<p><video controls=""controls"" style=""max-width: 100%; height: auto;"">
  <source src=""https://cdn.shopify.com/s/files/1/0482/2407/5932/files/13271366204625306.mp4?v=1626892749"" type=""video/mp4"">
Your browser does not support our video.
</source></video></p>
<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Brand</strong></td>
<td data-mce-fragment=""1""><a href=""https://www.chrono24.com/omega/index.htm"" title=""Omega"" class=""text-link"" data-ga-event=""generic"" data-ga-event-name=""interact_textlink"" data-ga-event-context=""watch-details-link"" data-mce-fragment=""1"">Omega</a></td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Model</strong></td>
<td data-mce-fragment=""1""><a href=""https://www.chrono24.com/omega/constellation-quartz--mod1078.htm"" title=""Constellation Quartz"" class=""text-link"" data-mce-fragment=""1"">Constellation Quartz</a></td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Reference number</strong></td>
<td data-mce-fragment=""1"">
<a class=""text-link"" href=""https://www.chrono24.com/omega/ref-13125286055002.htm"" data-mce-fragment=""1"">131.25.28.60.55.002</a><br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dealer product code</strong></td>
<td data-mce-fragment=""1"">10626A</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Quartz</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"">Steel</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"">Steel</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><br></td>
<td data-mce-fragment=""1""><br></td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"">
<p class=""h3 text-left m-b-0"" data-mce-fragment=""1"">Caliber</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Quartz</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"">
<p class=""h3 text-left m-b-0"" data-mce-fragment=""1"">Case</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"">Steel</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Case diameter</strong></td>
<td data-mce-fragment=""1"">28 mm</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dial</strong></td>
<td data-mce-fragment=""1"">Mother of pearl</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"">
<p class=""h3 text-left m-b-0"" data-mce-fragment=""1"">Bracelet/strap</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"">Steel</td>
</tr>
</tbody>
</table>
<p><br></p>",Omega,,watch,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,194.25,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13271366231743707_79705dd8-25eb-45f2-9858-b816290b6eff.jpg?v=1776911113,1,,,,,,g,,,,,active
constellation-28mm-quart-diamond-bezel-mop-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13271366227739749_3bf07290-be3d-46d5-a399-d40b5f80437a.jpg?v=1776911113,2,,,,,,,,,,,
constellation-28mm-quart-diamond-bezel-mop-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13271366229558235_a472c418-2958-4eae-a351-ce6416c57a3c.jpg?v=1776911113,3,,,,,,,,,,,
constellation-28mm-quart-diamond-bezel-mop-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13271366230745835_b1da1cc9-beb4-41d2-a954-51b617e63157.jpg?v=1776911113,4,,,,,,,,,,,
constellation-28mm-quart-diamond-bezel-mop-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13271366232739810_d8039c61-511d-47ad-aeaf-baa74be30a29.jpg?v=1776911113,5,,,,,,,,,,,
constellation-28mm-quart-diamond-bezel-mop-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13271366233734222_3c2ae96a-bbb5-4274-99f2-3e7262324525.jpg?v=1776911113,6,,,,,,,,,,,
constellation-28mm-quart-diamond-bezel-mop-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13271366234649495_2bc4099a-4ef3-49a4-b255-768e8a016140.jpg?v=1776911113,7,,,,,,,,,,,
constellation-28mm-quart-diamond-bezel-mop-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13271366235641233_af3ca137-94d5-4f4f-a1f2-635227858d90.jpg?v=1776911113,8,,,,,,,,,,,
constellation-28mm-quart-diamond-bezel-mop-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13271366236536207_1ee67d69-c1f5-4ba8-b8bb-7cf4af89f6fb.jpg?v=1776911113,9,,,,,,,,,,,
aqua-terra-28mm-quartz-steel-white-dial,AQUA TERRA 28MM QUARTZ STEEL WHITE DIAL,"<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Brand</strong></td>
<td data-mce-fragment=""1"">Omega</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Model</strong></td>
<td data-mce-fragment=""1"">Seamaster Aqua Terra</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Reference number</strong></td>
<td data-mce-fragment=""1"">220.23.38.20.06.001<br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dealer product code</strong></td>
<td data-mce-fragment=""1"">8894A</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Quartz<br>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"">Steel</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"">Steel<br>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><br></td>
<td data-mce-fragment=""1""><br></td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" data-mce-fragment=""1"">
<p class=""h3 text-left m-b-0"" data-mce-fragment=""1"">Caliber</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1""><span>Quartz</span></td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" data-mce-fragment=""1"">
<p class=""h3 text-left m-b-0"" data-mce-fragment=""1"">Case</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"">Steel</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Case diameter</strong></td>
<td data-mce-fragment=""1"">28 mm</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dial</strong></td>
<td data-mce-fragment=""1"">White</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" data-mce-fragment=""1"">
<p class=""h3 text-left m-b-0"" data-mce-fragment=""1"">Bracelet/strap</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"">Steel<br>
</td>
</tr>
</tbody>
</table>",Omega,,watch,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,189.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13275597324913816_aa13948b-cb6f-4fb2-82b5-1568949ec1ee.jpg?v=1776911144,1,,,,,,g,,,,,active
aqua-terra-28mm-quartz-steel-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13275597354715167_9a2da299-8866-4f62-9bab-8b212174363e.jpg?v=1776911144,2,,,,,,,,,,,
aqua-terra-28mm-quartz-steel-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13275597356013441_9dc7112c-3dd9-4cb8-8120-f0d43a4b3e40.jpg?v=1776911144,3,,,,,,,,,,,
aqua-terra-28mm-quartz-steel-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13275597357313416_904b0eb1-6216-442b-9bd1-ce16a6af63bd.jpg?v=1776911144,4,,,,,,,,,,,
aqua-terra-28mm-quartz-steel-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13275597358637418_99de7284-7e9e-421e-9d3c-18cb669838e3.jpg?v=1776911145,5,,,,,,,,,,,
aqua-terra-28mm-quartz-steel-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13275597359634019_f9c805dd-2d88-49e6-a05e-abddd8c47157.jpg?v=1776911144,6,,,,,,,,,,,
aqua-terra-28mm-quartz-steel-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13275597360613814_783cbd3b-ed92-4347-9929-305fa4ddd2b8.jpg?v=1776911144,7,,,,,,,,,,,
aqua-terra-28mm-quartz-steel-white-dial,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13275597361713223_a2828bc4-24ee-4100-ad25-f2a5f195b8dd.jpg?v=1776911144,8,,,,,,,,,,,
