Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
patek-philippe-patek-pocket-watch-circa-1936-33958,Patek Philippe Patek Pocket Watch Circa 1936,"<div class=""product-details"">
<table>
<tr>
<td><strong>Reference</strong></td>
<td>Patek Pocket Watch Circa 1936</td>
</tr>
<tr>
<td><strong>Model</strong></td>
<td></td>
</tr>
<tr>
<td><strong>Brand</strong></td>
<td>Patek Philippe</td>
</tr>
<tr>
<td><strong>Condition</strong></td>
<td>Pre-Owned</td>
</tr>
<tr>
<td><strong>Dial</strong></td>
<td>White</td>
</tr>
<tr>
<td><strong>Bracelet / Strap</strong></td>
<td></td>
</tr>
<tr>
<td><strong>Box</strong></td>
<td>Not Included</td>
</tr>
<tr>
<td><strong>Papers</strong></td>
<td>Not Included</td>
</tr>
<tr>
<td><strong>Paper Date</strong></td>
<td>1936-08-31</td>
</tr>
<tr>
<td><strong>Notes</strong></td>
<td>POCKET WATCH. NEED SERVICE</td>
</tr>
</table>
<p><strong>Contact us for pricing and availability.</strong></p>
</div>",Patek Philippe,,Luxury Watch,"has-video, location-NY, Patek Philippe, Pre-Owned",TRUE,Title,Default Title,,,,,KL33958L,200,,0,deny,manual,1.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/33958.jpg?v=1773811006,1,,,,,,g,,,,,active
patek-philippe-patek-pocket-watch-circa-1936-33958,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/33958-2.jpg?v=1773811005,2,,,,,,,,,,,
patek-philippe-patek-pocket-watch-circa-1936-33958,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/33958-3.jpg?v=1773811006,3,,,,,,,,,,,
patek-philippe-patek-pocket-watch-circa-1936-33958,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/33958-4.jpg?v=1773811005,4,,,,,,,,,,,
patek-philippe-patek-pocket-watch-circa-1936-33958,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/33958-5.jpg?v=1773811005,5,,,,,,,,,,,
patek-philippe-patek-pocket-watch-circa-1936-33958,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/33958-6.jpg?v=1773811005,6,,,,,,,,,,,
patek-philippe-patek-pocket-watch-circa-1936-33958,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/33958-7.jpg?v=1773811005,7,,,,,,,,,,,
patek-philippe-patek-pocket-watch-circa-1936-33958,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/33958-8.jpg?v=1773811005,8,,,,,,,,,,,
patek-philippe-aquanaut-minute-repeater-haute-joaillerie-selfwinding-388mm-rose-gold-rainbow-gem-set-bezel-55578,Patek Philippe Aquanaut Minute Repeater Haute Joaillerie Selfwinding 38.8mm Rose Gold Rainbow Gem-set Bezel,"<div class=""product-details"">
<table>
<tr>
<td><strong>Reference</strong></td>
<td>7968/300R-001</td>
</tr>
<tr>
<td><strong>Model</strong></td>
<td>Aquanaut Minute Repeater Haute Joaillerie Selfwinding 38.8mm Rose Gold Rainbow Gem-set Bezel</td>
</tr>
<tr>
<td><strong>Brand</strong></td>
<td>Patek Philippe</td>
</tr>
<tr>
<td><strong>Condition</strong></td>
<td>Pre-Owned</td>
</tr>
<tr>
<td><strong>Dial</strong></td>
<td>White Rainbow Diamond</td>
</tr>
<tr>
<td><strong>Bracelet / Strap</strong></td>
<td>Red Rubber</td>
</tr>
<tr>
<td><strong>Box</strong></td>
<td>Included</td>
</tr>
<tr>
<td><strong>Papers</strong></td>
<td>Included</td>
</tr>
<tr>
<td><strong>Paper Date</strong></td>
<td>2026-01-16</td>
</tr>
<tr>
<td><strong>Notes</strong></td>
<td>NEW</td>
</tr>
</table>
<p><strong>Contact us for pricing and availability.</strong></p>
</div>",Patek Philippe,,Luxury Watch,"box-included, has-video, location-NY, papers-included, Patek Philippe, Pre-Owned",TRUE,Title,Default Title,,,,,KL55578L,200,,0,deny,manual,1.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/55578.jpg?v=1773811004,1,,,,,,g,,,,,active
patek-philippe-aquanaut-minute-repeater-haute-joaillerie-selfwinding-388mm-rose-gold-rainbow-gem-set-bezel-55578,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/55578-2.jpg?v=1773811004,2,,,,,,,,,,,
patek-philippe-aquanaut-minute-repeater-haute-joaillerie-selfwinding-388mm-rose-gold-rainbow-gem-set-bezel-55578,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/55578-3.jpg?v=1773811004,3,,,,,,,,,,,
patek-philippe-aquanaut-minute-repeater-haute-joaillerie-selfwinding-388mm-rose-gold-rainbow-gem-set-bezel-55578,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/55578-4.jpg?v=1773811004,4,,,,,,,,,,,
patek-philippe-aquanaut-minute-repeater-haute-joaillerie-selfwinding-388mm-rose-gold-rainbow-gem-set-bezel-55578,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/55578-5.jpg?v=1773811004,5,,,,,,,,,,,
patek-philippe-aquanaut-minute-repeater-haute-joaillerie-selfwinding-388mm-rose-gold-rainbow-gem-set-bezel-55578,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/55578-6.jpg?v=1773811004,6,,,,,,,,,,,
patek-philippe-aquanaut-minute-repeater-haute-joaillerie-selfwinding-388mm-rose-gold-rainbow-gem-set-bezel-55578,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/55578-7.jpg?v=1773811003,7,,,,,,,,,,,
patek-philippe-aquanaut-minute-repeater-haute-joaillerie-selfwinding-388mm-rose-gold-rainbow-gem-set-bezel-55578,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/4608/4914/files/55578-8.jpg?v=1773811003,8,,,,,,,,,,,
