Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
tote-bag-25-in-cherry-wood-suede-gold-logo,TOTE BAG 25 IN CHERRY WOOD SUEDE GOLD LOGO,"<p>• Color: Cherry wood</p>
<p>• Material: Suede</p>
<p>• Size: 25 x 21.5 x 14 cm</p>
<p>• The products are 1:1 copies of the original version and they are the same from every detail.</p>
<p>• Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.</p>",Prada Bag,,bag,"new arrival, prada bag 12/02/25",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,309.75,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_7078_0_jpg_4d36830d-b2f0-45b6-a7bc-2622b44e746c.jpg?v=1781928261,1,,,,,,g,,,,,active
tote-bag-25-in-cherry-wood-suede-gold-logo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_2011_6_jpg_c0aa3f36-2ce9-4af7-9733-da862b33181a.jpg?v=1781928262,2,,,,,,,,,,,
tote-bag-25-in-cherry-wood-suede-gold-logo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_2105_3_jpg_c0de379d-b13a-46fc-bfd2-a772f31ca557.jpg?v=1781928261,3,,,,,,,,,,,
tote-bag-25-in-cherry-wood-suede-gold-logo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_2851_8_jpg_5b6daf82-3963-49bb-b986-5270e88a07a9.jpg?v=1781928261,4,,,,,,,,,,,
tote-bag-25-in-cherry-wood-suede-gold-logo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_5496_5_jpg_76980445-aeb0-4d7b-a1bf-a02519ebf7aa.jpg?v=1781928261,5,,,,,,,,,,,
tote-bag-25-in-cherry-wood-suede-gold-logo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_5997_4_jpg_8203304a-3948-4e0d-8ef6-f8d731a3146a.jpg?v=1781928261,6,,,,,,,,,,,
tote-bag-25-in-cherry-wood-suede-gold-logo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_6007_7_jpg_87630484-b3c4-4a12-ae82-a41b43a3f222.jpg?v=1781928261,7,,,,,,,,,,,
tote-bag-25-in-cherry-wood-suede-gold-logo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_7016_2_jpg_334e9876-0c39-4467-a7f4-ed5b30017979.jpg?v=1781928261,8,,,,,,,,,,,
tote-bag-25-in-cherry-wood-suede-gold-logo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_8085_1_jpg_881a81e0-9371-44ff-9cb2-a90f0291fd46.jpg?v=1781928261,9,,,,,,,,,,,
tote-bag-with-belt-42-in-russet-brown-suede-gold-hardware,TOTE BAG WITH BELT 42 IN RUSSET BROWN SUEDE GOLD HARDWARE,"<p>• Color: Russet brown</p>
<p>• Material: Suede</p>
<p>• Size: 42 x 30 x 12 cm</p>
<p>• The products are 1:1 copies of the original version and they are the same from every detail.</p>
<p>• Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.</p>",Prada Bag,,bag,"Bag 2025, cross body bags, new arrival, shoulder bags, top handle",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,367.50,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_2419_0_jpg_1bb89b40-9397-47db-af5c-240cac789752.jpg?v=1763875768,1,,,,,,g,,,,,active
