name,image,category,brand,images,whatsapp_text,badge
"TRIOMPHE SUNGLASSES CL40194 IN ACETATE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845962270_7633_jpg_35e6b1ae-1108-4182-af95-e60315e11e99.jpg?v=1768972072,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845962270_7633_jpg_35e6b1ae-1108-4182-af95-e60315e11e99.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845963098_8422_jpg_93ae9b2a-c9cc-4133-bcac-96f18f2866ea.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845963104_0718_jpg_5acec135-3cf0-494b-ac49-1e1e858418e7.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845940053_7342_jpg_41c3e6e4-2d01-4d6e-a22e-d1c060f8823e.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845940054_6661_jpg_cc060b8c-fe9c-41a6-a928-8fbb6d3d6d96.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845940057_4101_jpg_5d23cacd-0058-4e2e-807f-4ed590a308a0.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845940921_3621_jpg_01499591-497e-480e-bede-320b0d6927d5.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845947412_2658_jpg_a54a52c6-0872-4720-a5f2-32a2e36e4602.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845947414_0777_jpg_8723c2eb-3bb3-4872-b09e-99167d723333.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845948171_3258_jpg_9bae7995-98a0-46ec-a8a9-09eee0638206.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845948177_0046_jpg_67009a50-af76-41f2-a253-9c9a048bfce9.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845955309_3614_jpg_3f1494a3-fc0b-4edf-a8a3-68f3e3ac8062.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845956154_6037_jpg_3a6b8675-07ad-4975-aad3-1fafc4782cd5.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845956167_0368_jpg_b102ed20-4be6-4943-8d43-63c970f437cb.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845962267_4875_jpg_8f9ec33c-eea0-4d98-bda0-bbc14c4b6572.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250313_a1741845947411_0377_jpg_4a9b13ca-c2a4-45a2-b282-67a62c746c3e.jpg?v=1768972072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250213_a1739425538619_8850_jpg_4524535c-58ea-44f1-94c0-5a81b7a2d77f.jpg?v=1768972072","Hi I want TRIOMPHE SUNGLASSES CL40194 IN ACETATE",
"Celine Sunglasses 01",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/A22B0DB4-5ACB-4511-B004-BA2A03CC756E_1_fb9430fb-0768-4641-b3b1-12b5476a6ca2.jpg?v=1768972143,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/A22B0DB4-5ACB-4511-B004-BA2A03CC756E_1_fb9430fb-0768-4641-b3b1-12b5476a6ca2.jpg?v=1768972143|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/093A1918-7ABC-4FC8-B972-556C5E0C6DF2_4d51077a-845f-4ca4-9725-b25cc3e4e9db.jpg?v=1768972143|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2497010E-646F-4DF4-BA86-8453F2F9885C_2a1be154-826d-4b6b-bc4c-0f23e58e48c4.jpg?v=1768972143|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/649A4D32-98E8-4B5A-BAD5-0F7B2EFFEDCD_468b42f2-c04e-4cbf-a63f-c69f6b45ab77.jpg?v=1768972143|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/73D42ECA-32C3-412A-8E1C-E3DA1C124851_a8d545e9-251b-430e-ad17-e81d868867dd.jpg?v=1768972143|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z4634599557106_452722a8322b6d1fe296ad18e5195c77-copy_bfba4ccb-4e5a-4817-8773-35df06b8ec4d.jpg?v=1768972143|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/7EA6B6F0-DA7D-482A-9D91-6E00BC8363B8_1_f44e8ed5-9f22-4c9a-86ee-5bd6f7dc4d45.jpg?v=1768972143|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/A22B0DB4-5ACB-4511-B004-BA2A03CC756E_95b44d59-a0bc-4f9f-b16f-c8b5574f1fe2.jpg?v=1768972143|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/CA252F5E-98F7-4C5D-B530-A123E961820D_47e78ed1-f9c2-4095-8b7d-519f19cd3c90.jpg?v=1768972143|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ED79C530-7786-4000-AC36-2E4084A1E5D9_68860c9a-0c1e-420c-a663-0fa49a0c7095.jpg?v=1768972143","Hi I want Celine Sunglasses 01",
"TRIOMPHE OVAL SUNGLASS  CL40240l IN METAL",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_1757_1_jpg_4162e1bb-cc9d-48a7-b6bc-ac26e2c97d69.jpg?v=1768971890,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_1757_1_jpg_4162e1bb-cc9d-48a7-b6bc-ac26e2c97d69.jpg?v=1768971890|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_2149_0_jpg_f974004c-0392-4abb-b4a4-060a22ea38a3.jpg?v=1768971890|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_5019_3_jpg_c018b064-76de-4c80-8457-ac1d44512677.jpg?v=1768971890|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_7554_6_jpg_4f7d72cf-8215-468e-8c8b-1a04c46030e3.jpg?v=1768971890|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_8639_4_jpg_053c2fb9-40fc-4ddc-ac2f-4e78cd49bfd2.jpg?v=1768971890|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_9141_5_jpg_9399e285-ec55-44d7-ba3e-dd414848a302.jpg?v=1768971890|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_9470_2_jpg_7c88174e-1985-411a-9220-c1a0165f3a51.jpg?v=1768971890|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_7263_7_jpg_6f94c086-e8d9-48c8-b539-8f9dc3f4b683.jpg?v=1768971890|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250305_i1741180014_2262_8_jpg_56c6a1fb-5659-4923-aa1c-8b8e009df748.jpg?v=1768971890|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/kinh-mat-celine-triomphe-oval-sunglasses-cl40235u-mau-xanh-green-gong-vang-gold-64ae6152cc31e-12072023151618_1_247acb2b-4e5a-43df-98a3-ec63cded861e.webp?v=1768971890","Hi I want TRIOMPHE OVAL SUNGLASS  CL40240l IN METAL",
"TRIOMPHE SUNGLASSES 548596 IN METAL BLACK LENSES",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119776266_2228_jpg_b67b2673-9e01-4e66-81c9-7725a0de546c.jpg?v=1768971981,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119776266_2228_jpg_b67b2673-9e01-4e66-81c9-7725a0de546c.jpg?v=1768971981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119776260_3436_jpg_646ddce7-3aaf-4a84-9842-b81abe8d1daf.jpg?v=1768971981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119776287_5466_jpg_205a2748-cd67-4f2a-9c94-00535e4b5e3c.jpg?v=1768971981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119776320_8165_jpg.jpg?v=1768971981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119777039_5645_jpg_2372577a-6b38-489a-bf8d-a869f227ba68.jpg?v=1768971981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119777041_2266_jpg_0d03598d-ed97-4d8c-b461-e4c23b3f7369.jpg?v=1768971981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119777043_1773_jpg_84081074-d769-4acf-8a1c-2e30cc9e1227.jpg?v=1768971981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119777051_0443_jpg_66994a25-7d25-4e77-9607-8f129e9ff5c1.jpg?v=1768971981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119776321_0404_jpg_d615186d-c0c8-4524-ba86-c813ef6ca031.jpg?v=1768971981","Hi I want TRIOMPHE SUNGLASSES 548596 IN METAL BLACK LENSES",
"TRIOMPHE SUNGLASSES CL4S254 IN METAL",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_2059_2_jpg_fba5ae02-d454-4c20-a111-9efe2e50329c.jpg?v=1768972005,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_2059_2_jpg_fba5ae02-d454-4c20-a111-9efe2e50329c.jpg?v=1768972005|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_771_1_jpg_95b9e59d-06d8-4f27-8536-088d4af77b16.jpg?v=1768972005|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_1657_3_jpg_114ea1fe-35fe-471f-a352-a0a37180aeac.jpg?v=1768972005|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_4076_7_jpg_bde4048b-7201-4206-ae0d-a6f356b20236.jpg?v=1768972005|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_4971_5_jpg_34ff7bc0-de2d-42af-bc9a-ea958dce29e0.jpg?v=1768972005|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_5166_0_jpg_365bf5ee-8d4b-4ae7-9869-61f075aba8e4.jpg?v=1768972005|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_6708_4_jpg_be244501-9c77-4eef-a150-bbf06bf540b0.jpg?v=1768972005|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_8075_6_jpg_454f46c7-debc-4405-b30c-a71447593f01.jpg?v=1768972005|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250325_i1742908516_3557_8_jpg_0ff53617-7630-42ac-8dce-bd0db68de306.jpg?v=1768972005","Hi I want TRIOMPHE SUNGLASSES CL4S254 IN METAL",
"TRIOMPHE SUNGLASSES 548597 IN METAL",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119781307_1267_jpg_1440952a-6171-4f01-877a-018d2f505792.jpg?v=1768971983,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119781307_1267_jpg_1440952a-6171-4f01-877a-018d2f505792.jpg?v=1768971983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119781279_4271_jpg_fbcc2d09-7dd7-4621-8fce-250f17d0d5e4.jpg?v=1768971983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119781303_4858_jpg_40330b65-4b6f-4330-9cee-8f72f911269a.jpg?v=1768971983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119781315_8535_jpg_64c04b3f-b0d6-461a-809a-e43cc51b7ebc.jpg?v=1768971983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119782164_0513_jpg.jpg?v=1768971983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119782165_7005_jpg_d912623b-4d79-499a-8a23-5da42852d876.jpg?v=1768971983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119782175_1223_jpg_9c9897a8-59e7-455c-9229-22ce8e0e2796.jpg?v=1768971983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_adf457d7_20250221_a1740119781267_7840_jpg_746d5ab0-a6fd-4402-847b-f0a2277b8b85.jpg?v=1768971983","Hi I want TRIOMPHE SUNGLASSES 548597 IN METAL",
"TRIOMPHE SUNGLASS CL4002UN IN ACETATE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_7224_1_jpg.jpg?v=1768971791,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_7224_1_jpg.jpg?v=1768971791|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_5668_8_jpg.jpg?v=1768971791|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_68_3_jpg_1a59c1ad-74b0-4997-87e0-b11050aad07f.jpg?v=1768971791|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_849_2_jpg_8b4df16b-2310-448d-b243-3b96b447b3ed.jpg?v=1768971791|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_1306_5_jpg_663a8f47-5c4b-4081-9692-4807ed2dd25e.jpg?v=1768971791|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_3568_4_jpg_090a0829-9d89-4263-b1bf-a312284c3e38.jpg?v=1768971791|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_5713_7_jpg_cb97ede5-a067-478a-a453-42d601cd79ea.jpg?v=1768971791|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_8875_6_jpg.jpg?v=1768971791|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241227_i1735301107_4313_0_jpg_c0d12ef0-d620-4b67-9f5d-437d3787989d.jpg?v=1768971791","Hi I want TRIOMPHE SUNGLASS CL4002UN IN ACETATE",
"TRIOMPHE SUNGLASS CL40069U IN METAL",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241226_i1735210170_2271_2_jpg_e23858b4-7fb0-4a0d-a991-0637f2b68f9d.jpg?v=1768971769,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241226_i1735210170_2271_2_jpg_e23858b4-7fb0-4a0d-a991-0637f2b68f9d.jpg?v=1768971769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241226_i1735210170_2767_1_jpg_4c336487-04c0-4133-a119-b50923810d09.jpg?v=1768971769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241226_i1735210170_3617_5_jpg_3b2a4103-60d1-443d-9153-b5db7d6e949b.jpg?v=1768971769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241226_i1735210170_3941_3_jpg_59f2dd43-9e27-4931-8c4c-e3a7b3c973e6.jpg?v=1768971769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241226_i1735210170_7517_4_jpg_44f61139-0051-4527-8246-e74cb4802b85.jpg?v=1768971769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241226_i1735210170_5406_8_jpg_36b3bb2e-dc25-4190-b47a-178a34caeff2.jpg?v=1768971769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241226_i1735210170_1592_7_jpg_07faaa0f-b265-4bed-aaac-da8c0431da31.jpg?v=1768971769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20241226_i1735210170_2823_6_jpg_b3d3dfe4-0082-485f-acdf-70cf087dcf8a.jpg?v=1768971769","Hi I want TRIOMPHE SUNGLASS CL40069U IN METAL",
"Celine 2026 Sunglasses Brown Acetate",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260326153028_329_67_36618e92-1d7b-4f5f-902a-5972f5e5210b.jpg?v=1774607376,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260326153028_329_67_36618e92-1d7b-4f5f-902a-5972f5e5210b.jpg?v=1774607376|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260326153032_333_67.jpg?v=1774607376|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260326153029_330_67_5ad7b620-c9d4-4000-99a8-b9eb59f42690.jpg?v=1774607376|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260326153031_331_67_a5d3d3cc-deda-4c54-b800-e63edad28d60.jpg?v=1774607376|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260326153031_332_67.jpg?v=1774607376","Hi I want Celine 2026 Sunglasses Brown Acetate",
"TRIOMPHE SUNGLASSES CL42126U IN ACETATE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_1717_5_jpg_0e29684b-9d79-4aa8-b55d-a764bf1ddea5.jpg?v=1768972033,accessories,celine,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_1717_5_jpg_0e29684b-9d79-4aa8-b55d-a764bf1ddea5.jpg?v=1768972033|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_3288_2_jpg_5cc80cba-f0b9-456c-90ac-94e1dffab48c.jpg?v=1768972033|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_3621_0_jpg_0f6f68ba-e950-41f1-aac4-5d4c5af3d571.jpg?v=1768972033|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_3993_3_jpg_6c8be7a9-2672-46b6-aedf-f3d75045abd3.jpg?v=1768972033|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_4555_1_jpg.jpg?v=1768972033|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_8347_4_jpg_f8b25811-1bf4-4f0d-bbcd-f73940333f27.jpg?v=1768972033|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_6655_6_jpg_b5f32377-093a-417f-98da-0f40782f1da5.jpg?v=1768972033|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_8261_7_jpg_2b147058-5301-4820-8f65-eea35a1f67e9.jpg?v=1768972033|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250402_i1743523614_8336_8_jpg_a80e54c3-2164-4051-bb73-4239380da32d.jpg?v=1768972033","Hi I want TRIOMPHE SUNGLASSES CL42126U IN ACETATE",
