name,image,category,brand,images,whatsapp_text,badge
"CC Sunglassses Black Mix White 6056",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_ef8b0169_20241117_i1731854146_1799_0_jpg_a0b8836e-0758-4637-b942-0c792bd6da7f.jpg?v=1774332568,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_ef8b0169_20241117_i1731854146_1799_0_jpg_a0b8836e-0758-4637-b942-0c792bd6da7f.jpg?v=1774332568|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_ef8b0169_20241117_i1731854108_7309_5_jpg_cd03b295-2aac-4e2e-89a1-e1bc76d3ca98.jpg?v=1774332568|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_ef8b0169_20241117_i1731854146_6979_1_jpg_ba4218cf-945c-4744-982b-3137cff4e915.jpg?v=1774332568|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_ef8b0169_20241117_i1731854146_7204_2_jpg_42c89a83-bee2-4469-a6d5-d7932388138c.jpg?v=1774332567","Hi I want CC Sunglassses Black Mix White 6056",
"Chanel Sunglasses 21",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3EEFA6A2-5ABD-431C-8417-34235343F32A_eb2943d1-e9a6-4f94-8f8e-a3987634254f.jpg?v=1774333840,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3EEFA6A2-5ABD-431C-8417-34235343F32A_eb2943d1-e9a6-4f94-8f8e-a3987634254f.jpg?v=1774333840|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/E95C7406-8203-4D0C-8978-FDC09769C4EA_cff84b20-6cc1-4b28-9c86-a5b3a4588ca5.jpg?v=1774333840|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2E57392C-077E-4B6A-AA03-4F79B9B07097_3b898c7e-8e9f-4bdb-8c22-e8941582b5b2.jpg?v=1774333840","Hi I want Chanel Sunglasses 21",
"Chanel Sunglasses 33",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/18EE5A55-01BA-4079-8AB5-F134E469E3EC_b00cc2fd-d15c-4ff4-a361-46d317aacbc3.jpg?v=1774333859,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/18EE5A55-01BA-4079-8AB5-F134E469E3EC_b00cc2fd-d15c-4ff4-a361-46d317aacbc3.jpg?v=1774333859|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/44B99C77-DE70-4312-A040-10D5A90CF4BA_9e25b3f4-a47d-47e6-aa62-a84801b17d1e.jpg?v=1774333859","Hi I want Chanel Sunglasses 33",
"Chanel Sunglasses 22",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/9A0DEB7D-6171-4318-A1D4-0FC7DA9F1787_29008d3c-627f-484e-835e-ec0cab7a0bf4.jpg?v=1774333841,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/9A0DEB7D-6171-4318-A1D4-0FC7DA9F1787_29008d3c-627f-484e-835e-ec0cab7a0bf4.jpg?v=1774333841|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/E95C7406-8203-4D0C-8978-FDC09769C4EA_69445673-4e2e-460a-bd31-fd6f0d49bf1d.jpg?v=1774333841|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2E57392C-077E-4B6A-AA03-4F79B9B07097_c75d927a-221c-4e71-8c37-c40638f5d659.jpg?v=1774333841","Hi I want Chanel Sunglasses 22",
"Chanel 2026 Sunglasses 2227",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010310446_8077_0_8_jpg.jpg?v=1774489039,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010310446_8077_0_8_jpg.jpg?v=1774489039|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010310498_1659_0_2_jpg.jpg?v=1774489039|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010310473_1218_0_1_jpg.jpg?v=1774489039|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010310457_8681_0_0_jpg.jpg?v=1774489038|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010311799_8094_0_6_jpg.jpg?v=1774489039|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010311842_4788_0_5_jpg.jpg?v=1774489039|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010310473_23_0_3_jpg.jpg?v=1774489039|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010311834_435_0_4_jpg.jpg?v=1774489039|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260225_i1772010311844_4203_0_7_jpg.jpg?v=1774489039","Hi I want Chanel 2026 Sunglasses 2227",
"Chanel Sunglasses 06",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202504251341411_97201f6c-0a2f-452e-9bcf-60473a55a330.jpg?v=1774332578,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202504251341411_97201f6c-0a2f-452e-9bcf-60473a55a330.jpg?v=1774332578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250425134141_4390e820-dabb-42a4-8050-e2c5224c7551.jpg?v=1774332578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202504251341421_65f1287a-dae9-4762-9543-47c30b075801.jpg?v=1774332578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202504251341401_e18eee3b-18dc-4f7b-8c14-a9b36caf37b9.jpg?v=1774332578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202504251341412_d1bb3341-6f94-49ba-bf13-ec3474fc26bf.jpg?v=1774332578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250425134127_6bc6a8cf-2ab4-486b-ab2f-7dabf46d2be8.jpg?v=1774332578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250425134142_7d06fce1-ded6-437d-aae0-50ca987b0b43.jpg?v=1774332578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250425134140_f0ee552b-da09-4129-85ad-d0f2a5ffb66b.jpg?v=1774332579","Hi I want Chanel Sunglasses 06",
"Chanel Rectangle Sunglasses 2026 Acetate & Glass Pearls",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116611320_2908_0_0_jpg.jpg?v=1774488961,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116611320_2908_0_0_jpg.jpg?v=1774488961|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116611320_1733_0_1_jpg.jpg?v=1774488961|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116611320_1204_0_4_jpg.jpg?v=1774488961|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116611320_1785_0_7_jpg.jpg?v=1774488961|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116611320_4635_0_5_jpg.jpg?v=1774488961|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116612423_5785_0_8_jpg.jpg?v=1774488961|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116612424_6664_0_2_jpg.jpg?v=1774488962|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116612424_9509_0_3_jpg.jpg?v=1774488961|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_88a0f5ac_20260111_i1768116612425_2626_0_6_jpg.jpg?v=1774488961","Hi I want Chanel Rectangle Sunglasses 2026 Acetate & Glass Pearls",
"Chanel 2026 Cat Eye Sunglasses Black Acetate Calfskin CH9181",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20250725_i1753437744971_691_0_1_jpg_3bf7f4b5-9032-4a62-9bc1-52d8cfa0a0bb.jpg?v=1774488952,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20250725_i1753437744971_691_0_1_jpg_3bf7f4b5-9032-4a62-9bc1-52d8cfa0a0bb.jpg?v=1774488952|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20250725_i1753437744988_6692_0_0_jpg_425c052f-c2f9-4af6-88c2-5343d14c6128.jpg?v=1774488952|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20250725_i1753437744991_6627_0_4_jpg.jpg?v=1774488952|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20250725_i1753437745776_8448_0_3_jpg.jpg?v=1774488952|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20250725_i1753437745832_5990_0_2_jpg_f02aef57-4854-459b-b3b4-01d874840ba9.jpg?v=1774488952","Hi I want Chanel 2026 Cat Eye Sunglasses Black Acetate Calfskin CH9181",
"Chanel Sunglasses 27",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/9B7FEDCB-BCDF-42AC-9EEB-9683CD594E29_375406e9-356a-4f0f-b12e-c71e22bcbb4f.jpg?v=1774333851,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/9B7FEDCB-BCDF-42AC-9EEB-9683CD594E29_375406e9-356a-4f0f-b12e-c71e22bcbb4f.jpg?v=1774333851|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/9A0E7C80-A224-41A5-ACCF-7A548FEE1751_ce0f735a-3da5-4f90-b4d6-b6e426c2c703.jpg?v=1774333851","Hi I want Chanel Sunglasses 27",
"Chanel Sunglasses 35",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/34A4B35E-ED90-4B9C-A79D-3B4851E2F2E8_04d9e772-8d5a-4f76-988a-07b121acac93.jpg?v=1774333863,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/34A4B35E-ED90-4B9C-A79D-3B4851E2F2E8_04d9e772-8d5a-4f76-988a-07b121acac93.jpg?v=1774333863|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/0B5AF491-66CE-468B-8E84-E5E7B74A9684_274eba9b-f661-4151-82d4-ffaf68ef640c.jpg?v=1774333862|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/890496A5-DA07-4E3A-BDE6-2970BF1E7F9E_a5eb73f0-4457-4286-b455-af03dfa4549f.jpg?v=1774333862|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/7A19056C-0CCB-4D58-9C56-3F9EEE0702FC_08d45631-3a79-44a7-88f1-be52f19a935a.jpg?v=1774333862|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/C1D17335-D22B-41A6-9A08-1F24323A7850_7af21de2-9d7a-426e-b27f-293849933c75.jpg?v=1774333862|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/14B241E2-7400-4B8B-8F91-228FA9F8DBB4_57044b86-f75d-4601-adce-4541a22ee800.jpg?v=1774333862","Hi I want Chanel Sunglasses 35",
"Chanel Sunglasses 38",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/1DD58DDC-CF47-414B-9784-A720DCC81ABA_8e080350-e6b0-4b4d-956a-b2b15640bb6d.jpg?v=1774333867,accessories,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/1DD58DDC-CF47-414B-9784-A720DCC81ABA_8e080350-e6b0-4b4d-956a-b2b15640bb6d.jpg?v=1774333867|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/EF9D6BD3-90A5-4AA9-ADC7-3F1A8D148C1A_25e22a42-a9d9-44f4-88b0-cdb655ce1b69.jpg?v=1774333867|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/54F38A51-3B14-4B7F-93DB-C0166524A2DA_26d169ec-e0c2-4c09-a61c-3d368c977154.jpg?v=1774333866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/EEB95F07-F1EA-4C7F-8109-8D18D8A41B43_8e5d0225-4ede-4d0c-b00f-a7b12833326f.jpg?v=1774333867","Hi I want Chanel Sunglasses 38",
