name,image,category,brand,images,whatsapp_text,badge
"Prada Sunglasses 17",h,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/E50B7FE6-FE01-4655-BF7C-84EC997B00BA_e5af46da-a7b5-4bbd-828f-4ac0a4e2a0c2.webp?v=1768972096","Hi I want Prada Sunglasses 17",
"Prada Sunglasses 01",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/download_1_76828a1e-6ca2-4759-a7af-b55b05280a3f.jpg?v=1768972144,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/download_1_76828a1e-6ca2-4759-a7af-b55b05280a3f.jpg?v=1768972144|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/download_2_0349fe7c-d350-47f1-87c9-d3603c76ca6e.jpg?v=1768972144","Hi I want Prada Sunglasses 01",
"Prada Sunglasses 12",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/F9715B2A-8503-4700-99AD-9FF5E7B53512_a40c89b4-35fb-4d8e-a2a8-a20e25cab3e3.jpg?v=1768972103,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/F9715B2A-8503-4700-99AD-9FF5E7B53512_a40c89b4-35fb-4d8e-a2a8-a20e25cab3e3.jpg?v=1768972103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/804D9DD7-01F7-4C88-A165-63782BB98B76_da56b40d-0b9d-4c83-b58c-980acf596053.jpg?v=1768972103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/9A368F7E-9A1E-4489-B67D-FE37B9EA02CF_0e1e8b98-bd5f-41e6-9886-dd1138cc70d4.jpg?v=1768972103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/A63915D0-414A-4A04-98D4-B46EE4F59811_358386c6-0cfc-4347-a49e-0c3fc83b5b50.jpg?v=1768972103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/7F4D817D-8B5F-4069-B9EE-A2C482A372D9_3c9103f6-7cb2-464f-9723-dd62a87a11b8.jpg?v=1768972103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/kinh-mat-prada-symbole-sunglasses-spr17w-e1ab-f05s0-c-049-mau-den-62d7aa972c0a1-20072022141119.webp?v=1768972103","Hi I want Prada Sunglasses 12",
"Prada Sunglasses 23",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/7353C238-0DBA-4667-8971-93DCBE6ED1F4_0bf50653-ed5e-4922-862e-895f8ea6fde8.jpg?v=1768972091,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/7353C238-0DBA-4667-8971-93DCBE6ED1F4_0bf50653-ed5e-4922-862e-895f8ea6fde8.jpg?v=1768972091|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/99D7E48E-ABB7-4A50-B158-EFEB3FCFEDA2_4658224c-c156-4096-9c24-044c13baa2a9.jpg?v=1768972090|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/w.luxity.vn_products_kinh-nu-prada-sunglasses-rose-gold-pr50zssvf0a5-1_b8251b16accf452489ffc31ce7ec4c28_master_ee956a65-db76-4050-ab99-9a1e800e3efc.png?v=1768972090","Hi I want Prada Sunglasses 23",
"Prada Sunglasses 06",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/DAC7DBDD-40EE-4EF0-ADB9-078335516C48_62fbb0f2-6597-40e9-a083-41a16e9ba76c.jpg?v=1768972111,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/DAC7DBDD-40EE-4EF0-ADB9-078335516C48_62fbb0f2-6597-40e9-a083-41a16e9ba76c.jpg?v=1768972111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/AFCB456B-C86B-480E-96CF-383BEAC6FB43_d65f4021-0f0c-4994-b55f-2ff5e314f8e7.jpg?v=1768972111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z5543928673749_f26f499e88185549e05e4f9c641158c9_00b182659b9b48549ba640947932dbe4_c96b445a-62a0-463a-9754-4f60e18b0b75.jpg?v=1768972111","Hi I want Prada Sunglasses 06",
"Prada Sunglasses 22",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/933DD8A7-1C7E-4F66-8562-8592A1702E35_67629d05-0aaa-40ee-bb26-1fe5721cd02c.jpg?v=1768972092,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/933DD8A7-1C7E-4F66-8562-8592A1702E35_67629d05-0aaa-40ee-bb26-1fe5721cd02c.jpg?v=1768972092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/30A7683D-5BE0-40DE-B372-BCB9C7403A0D_8b814623-668b-43bb-b5f3-c9c0db242216.jpg?v=1768972092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/w.luxity.vn_products_kinh-nu-prada-sunglasses-rose-gold-pr50zssvf0a5-1_b8251b16accf452489ffc31ce7ec4c28_master.png?v=1768972092","Hi I want Prada Sunglasses 22",
"Prada Sunglasses 18",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/4D4E0669-2815-4F0C-80FB-9A64A26BA624_2ac8a289-6482-4031-84c8-f16812c46a9f.webp?v=1768972094,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/4D4E0669-2815-4F0C-80FB-9A64A26BA624_2ac8a289-6482-4031-84c8-f16812c46a9f.webp?v=1768972094|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/kinh-mat-nu-prada-butterfly-ladies-sunglasses-pr-26zs-19q10d-mau-hong-680b556f2b7c3-25042025162711_120e3080-c3fe-496c-9a71-1025db5a1563.webp?v=1768972095","Hi I want Prada Sunglasses 18",
"Prada Sunglasses 31",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/0B7EF0CB-978A-410B-A73D-D7361DEA3974_59d2f948-9c2a-4bc5-9acf-6fd7c6c68042.jpg?v=1768972083,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/0B7EF0CB-978A-410B-A73D-D7361DEA3974_59d2f948-9c2a-4bc5-9acf-6fd7c6c68042.jpg?v=1768972083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/1611E2DD-7FD0-41BA-8277-A3ADE52F4724_7cf2be18-bcd7-4307-bb6e-b0a8bab2d435.jpg?v=1768972083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z3969027621868_d34de4aba6b506aa1ca7d4f2204a56ee_c4a8dd5baf30485eb96a9ede6bc6db0d_3b216b96-2646-4c0c-8cb3-7a66978fa671.jpg?v=1768972083","Hi I want Prada Sunglasses 31",
"Prada Sunglasses 34",h,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13B5E65B-74FB-4685-9573-5F51C3FEC602_07bc32c4-5f7b-49e7-85f9-521759f45da8.webp?v=1768972080","Hi I want Prada Sunglasses 34",
"Prada Sunglasses 07",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2A40174D-5FAB-44E6-BE69-10BC844EE040_863de1bf-10b0-451c-8a45-671ab815d3af.jpg?v=1768972109,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2A40174D-5FAB-44E6-BE69-10BC844EE040_863de1bf-10b0-451c-8a45-671ab815d3af.jpg?v=1768972109|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z5543928688412_de3e743a92e734e2b45c028a60788570_12509191b11b4c7d84005e71879f5624_master_ac4aa52c-1493-4331-a03a-5a9ba6ccd8be.jpg?v=1768972110","Hi I want Prada Sunglasses 07",
"Prada Sunglasses 08",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/4266DA84-7B54-430D-8268-54F31A220024_f1cc602c-d7d2-4e08-8782-1a93384fe90c.jpg?v=1768972108,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/4266DA84-7B54-430D-8268-54F31A220024_f1cc602c-d7d2-4e08-8782-1a93384fe90c.jpg?v=1768972108|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z5543928673749_f26f499e88185549e05e4f9c641158c9_00b182659b9b48549ba640947932dbe4.jpg?v=1768972108","Hi I want Prada Sunglasses 08",
"Prada Sunglasses 09",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/F6DCBBD9-38B7-46BF-A234-CD02A10AEA58_a492e040-c434-4a17-9a7d-3e1a39e3bb42.jpg?v=1768972107,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/F6DCBBD9-38B7-46BF-A234-CD02A10AEA58_a492e040-c434-4a17-9a7d-3e1a39e3bb42.jpg?v=1768972107|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z5543928673749_f26f499e88185549e05e4f9c641158c9_00b182659b9b48549ba640947932dbe4_fddc07bb-b5ea-40fc-a3d4-71c57f92bbc8.jpg?v=1768972107","Hi I want Prada Sunglasses 09",
"Prada Sunglasses 10",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13B6C577-DA5B-4B66-9B5E-8CE56924B3E0_9a419bb6-b893-427b-af3e-a75534ab015f.jpg?v=1768972105,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13B6C577-DA5B-4B66-9B5E-8CE56924B3E0_9a419bb6-b893-427b-af3e-a75534ab015f.jpg?v=1768972105|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/prada-pr-a53v-bc1o1-eyeglasses-c.webp?v=1768972105","Hi I want Prada Sunglasses 10",
"Prada Sunglasses 11",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/98BCEF21-8F25-4DC0-9323-5D445384AF5A_61683708-48ff-4ce1-b3d9-0eb5d9f5bb9a.jpg?v=1768972104,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/98BCEF21-8F25-4DC0-9323-5D445384AF5A_61683708-48ff-4ce1-b3d9-0eb5d9f5bb9a.jpg?v=1768972104|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/prada-pr-a53v-bc1o1-eyeglasses-c_9c13d7a6-0add-4ebc-a344-f73dd07e1744.webp?v=1768972104","Hi I want Prada Sunglasses 11",
"Prada Sunglasses 13",h,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/B34A5B46-3972-4FD0-8D8C-47CA4FBACCBE_9f9493e8-8df8-4e81-a4d1-94cb53f4b2a7.webp?v=1768972101","Hi I want Prada Sunglasses 13",
"Prada Sunglasses 14",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/DA956AFC-9B5D-49DB-BDCF-283FCC08EBF1_dd01cbb3-866e-4266-81ce-dd2ba047563e.webp?v=1768972100,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/DA956AFC-9B5D-49DB-BDCF-283FCC08EBF1_dd01cbb3-866e-4266-81ce-dd2ba047563e.webp?v=1768972100|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2_3037851a-52e5-4b3e-9bca-54a3bbdec5a4.webp?v=1768972100","Hi I want Prada Sunglasses 14",
"Prada Sunglasses 15",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/68921999-06AC-47CF-A834-394EB8A29B2A.webp?v=1768972099,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/68921999-06AC-47CF-A834-394EB8A29B2A.webp?v=1768972099|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/prada-dark-grey-rectangular-mens-sunglasses-pr-09zs-19d5s0-54_2_full-bleed_26a3581e-7867-485f-bff1-d1a769c05dff.jpg?v=1768972099","Hi I want Prada Sunglasses 15",
"Prada Sunglasses 16",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/9A1D2E56-7C89-491C-8A48-2DFEEB151CC8_678e72e9-4705-4507-b54c-87d825c399a8.webp?v=1768972097,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/9A1D2E56-7C89-491C-8A48-2DFEEB151CC8_678e72e9-4705-4507-b54c-87d825c399a8.webp?v=1768972097|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/kinh-mat-nu-prada-butterfly-ladies-sunglasses-pr-26zs-19q10d-mau-hong-680b556f2b7c3-25042025162711.webp?v=1768972097","Hi I want Prada Sunglasses 16",
"Prada Sunglasses 19",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/59750125-3510-41C8-BF8B-2923D04441A7_59452fb7-166d-4e5a-a5b1-e4a961810904.webp?v=1768972093,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/59750125-3510-41C8-BF8B-2923D04441A7_59452fb7-166d-4e5a-a5b1-e4a961810904.webp?v=1768972093|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/kinh-mat-prada-symbole-sunglasses-spr17w-e1ab-f05s0-c-049-mau-den-62d7aa972c0a1-20072022141119_e0b5763d-7202-45ed-aca8-df50c1351f9d.webp?v=1768972093","Hi I want Prada Sunglasses 19",
"Prada Sunglasses 24",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/0706ACF8-032B-40AC-B5CA-40383160681A_a8649976-4cbf-4930-9877-8687589f7594.jpg?v=1768972088,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/0706ACF8-032B-40AC-B5CA-40383160681A_a8649976-4cbf-4930-9877-8687589f7594.jpg?v=1768972088|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2A8ACC40-2C5F-4D43-8B06-B6FE60E3C851_5033da86-b9d6-4a56-8701-80f9de987027.jpg?v=1768972088|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2_009b1e4d-52e3-44d1-bdcb-abd684def49b.webp?v=1768972088","Hi I want Prada Sunglasses 24",
"Prada Sunglasses 26",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/E931DDF5-699E-4F25-8194-8C396BB1BCAB.jpg?v=1768972087,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/E931DDF5-699E-4F25-8194-8C396BB1BCAB.jpg?v=1768972087|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/0EE24E87-4640-46D0-A332-7BC73DA007E8_93f78942-171f-4f12-80a0-b89df3255dc9.jpg?v=1768972087|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/prada-spr50-den-5_db13d9fb-00ae-4178-93ac-f4242f3c9418.webp?v=1768972087","Hi I want Prada Sunglasses 26",
"Prada Sunglasses 28",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/62E710AE-6D89-4F96-9B0B-7C051E59B3A8_f7a76c62-af4d-4a1e-a395-13b35b12a6a3.jpg?v=1768972085,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/62E710AE-6D89-4F96-9B0B-7C051E59B3A8_f7a76c62-af4d-4a1e-a395-13b35b12a6a3.jpg?v=1768972085|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/70D40289-95AA-48C7-B54B-21282B4D44F5_b2ffdf1c-0c17-4ea5-b458-a96d482173aa.jpg?v=1768972085|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/9DF0D2A6-F5A7-48F6-9267-71FDFB8E32C7_26251586-d586-468f-85c2-e4908f35496e.jpg?v=1768972085|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/D741107E-18CE-42BE-BA1B-FB6155736011_4880a328-3941-4bb8-a8d2-bf7d5640e804.jpg?v=1768972085|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/F1AD6BEF-D8A8-4F00-8814-A4A95E0C9A9F_c176924b-89c5-459c-a314-6ded5b719955.jpg?v=1768972085|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/504405a83768ae03ab2a571960f450ea_64e980f8534541d7bc4d725012c3d89c_1024x1024_9bca95a3-7b88-468e-b0e8-f05c1a92d490.jpg?v=1768972085","Hi I want Prada Sunglasses 28",
"Prada Sunglasses 29",h,accessories,prada,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/267FB683-6B53-4E91-834F-3B8899E1DFE8_da0a1c7a-fcd7-4e26-b6f9-5276963ba01a.jpg?v=1768972084","Hi I want Prada Sunglasses 29",
