name,image,category,brand,images,whatsapp_text,badge
alaia ballet flat fishnet black lambskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115112_4313_0_jpg_18c7deeb-8749-431a-9788-4f68bf9689f0.jpg?v=1779791972,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115112_4313_0_jpg_18c7deeb-8749-431a-9788-4f68bf9689f0.jpg?v=1779791972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115111_5694_0_jpg_9f5ad0e6-9e93-47f1-87fb-a85307bfe74f.jpg?v=1779791972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115111_8745_0_jpg_7f7f3238-ae44-4f81-a93c-81f54bd1b0ac.jpg?v=1779791972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115112_3073_0_jpg_2322611e-18eb-4cd7-8a5f-25ab24f8f382.jpg?v=1779791972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115112_3460_0_jpg_0d3859f2-a657-49ea-8285-7955900871dc.jpg?v=1779791972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115112_3652_0_jpg_8cea8f6d-7c92-440a-9568-56994c8a784c.jpg?v=1779791972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115112_569_0_jpg_c9bd470a-7213-40a7-b91b-013a86b50c86.jpg?v=1779791972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115112_6190_0_jpg_94a6365e-1493-4144-82bb-dcce8fdf9d01.jpg?v=1779791972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240426_i1714115112_9533_0_jpg_5d609baf-0eab-4531-a927-cf241bbe41ea.jpg?v=1779791972,Hi I want alaia ballet flat fishnet black lambskin,
alaia slingbacks 60 optic black heart lambskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_5815_1_jpg_dc5b4ed9-dec1-4bb9-bc37-c310b4b92f7b.jpg?v=1759729707,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_5815_1_jpg_dc5b4ed9-dec1-4bb9-bc37-c310b4b92f7b.jpg?v=1759729707|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_2092_0_jpg_dbe73bec-ef9c-4ae6-8d5d-7e5704722490.jpg?v=1759729707|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_2188_4_jpg_6c646329-ad6b-4737-9ef7-8532ac7bbfa1.jpg?v=1759729707|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_2236_6_jpg_0c5ce08b-9c53-4bed-86ba-7fbe31ebf2ca.jpg?v=1759729707|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_4699_3_jpg_4485420e-a913-4de3-853d-7453f3d3a717.jpg?v=1759729707|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_4731_7_jpg_9e0b55ce-a782-42cc-bc54-a03c4466ee47.jpg?v=1759729707|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_5119_5_jpg_2a9943e4-7d95-401d-ba19-c76cb96062f0.jpg?v=1759729707|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_69_8_jpg_2b5b8794-5f24-48c2-b05f-908189874157.jpg?v=1759729707|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240620_i1718828065_8150_2_jpg_f01f9717-fa81-4f1f-9f65-9b7e698ae764.jpg?v=1759729707,Hi I want alaia slingbacks 60 optic black heart lambskin,
ALAIA FLAT MULES IN BEIGE MESH FISHNET,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211501_9095_2_jpg_67219a79-64b8-45da-ada0-a69b99517a91.jpg?v=1759730371,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211501_9095_2_jpg_67219a79-64b8-45da-ada0-a69b99517a91.jpg?v=1759730371|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211501_7927_6_jpg_6efe74ad-e73d-41bd-88a6-414983e92997.jpg?v=1759730371|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211501_850_7_jpg_1b590247-e80a-4d12-bac4-e02db7c37006.jpg?v=1759730371|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211500_2759_0_jpg_907e26b8-d95e-4ec5-b6df-098903d7595f.jpg?v=1759730371|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211500_1594_1_jpg_24b61955-572e-482b-b5d2-2425994e1135.jpg?v=1759730371|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211501_8519_5_jpg_b8769bdb-6dbb-4c56-9cf3-2b9b31544081.jpg?v=1759730371|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211501_8087_8_jpg_e7899648-0341-4dab-baeb-519c663fd978.jpg?v=1759730371|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211501_7139_4_jpg_470116db-bff7-4f40-8338-560a14c2e81d.jpg?v=1759730372|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6407b5ad_20240717_i1721211501_3326_3_jpg_7e863dc3-834e-43f4-be40-9a1d4619b22c.jpg?v=1759730371,Hi I want ALAIA FLAT MULES IN BEIGE MESH FISHNET,
alaia ballet flat fishnet white lambskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_9665_2_jpg_49d3bd18-f7b2-4c2d-a0c4-04d59e856751.jpg?v=1759729634,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_9665_2_jpg_49d3bd18-f7b2-4c2d-a0c4-04d59e856751.jpg?v=1759729634|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_8864_8_jpg_d228f9c6-04a5-466b-b1e4-51fa014cedad.jpg?v=1759729634|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_1986_1_jpg_e0df7a35-aa5f-45fe-86d8-f220d7b2ce84.jpg?v=1759729634|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_2325_4_jpg_fe10dc00-c906-4c50-bcb8-da839b9bb4e8.jpg?v=1759729635|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_2385_9_jpg_6da72f26-5410-4759-81c8-dfea34b8cda7.jpg?v=1759729635|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_3023_0_jpg_eb99f049-af4a-4b4c-9d63-ae4dcd8223f0.jpg?v=1759729635|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_3770_3_jpg_5ca184c6-3e10-4aa6-8599-ffa80d0cf5f3.jpg?v=1759729635|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_4713_5_jpg_5e467aaa-4627-4ced-8622-c01b6067bef2.jpg?v=1759729635|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_5571_7_jpg_407bd349-9e33-4b44-9421-9e7fa0ab315a.jpg?v=1759729634|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212454_5674_6_jpg_d672534c-20a2-49a3-9232-56151f4bef93.jpg?v=1759729635,Hi I want alaia ballet flat fishnet white lambskin,
alaia ballet flat fishnet silver metalic lambskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_7912_3_jpg_02fd09c7-02bd-4a0b-9b51-766157630a9d.jpg?v=1759729637,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_7912_3_jpg_02fd09c7-02bd-4a0b-9b51-766157630a9d.jpg?v=1759729637|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_593_8_jpg_eb72f817-7a78-4279-81ea-77c22650eac4.jpg?v=1759729636|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_1817_5_jpg_3f94bbd3-6edb-47ca-bd6e-a506716a3100.jpg?v=1759729636|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_2677_1_jpg_9505db71-ca6d-466a-b448-251301984776.jpg?v=1759729636|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_4872_2_jpg_b4276dc5-cd78-43ed-8ac4-ff743666a58c.jpg?v=1759729636|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_6157_7_jpg_62ab837f-ab38-4842-b5d6-7734f3bfa4a4.jpg?v=1759729637|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_6606_6_jpg_3c0c8478-4263-426f-9db2-f4aef94861ad.jpg?v=1759729637|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_8842_0_jpg_410d2704-bc32-428a-aeee-d8e86315a671.jpg?v=1759729636|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_944f4647_20240624_i1719212413_8944_4_jpg_a22f7e17-8b89-42b5-90dd-da6c786c8981.jpg?v=1759729637,Hi I want alaia ballet flat fishnet silver metalic lambskin,
Alaia 25 Vienne Ballet Flats Garnet Red Lambskin 303714,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_9945_4_jpg_5a38002a-a724-4651-a49d-ba9f0ee78523.jpg?v=1759727225,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_9945_4_jpg_5a38002a-a724-4651-a49d-ba9f0ee78523.jpg?v=1759727225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_390_7_jpg_74745993-4de3-4240-84ac-6208a7354b49.jpg?v=1759727225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_2661_8_jpg_235efc06-6cad-47f1-b318-9bdc2ba9efe6.jpg?v=1759727225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_3110_3_jpg_569498a2-7d8b-4cd4-a898-23776cab91ed.jpg?v=1759727227|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_4488_5_jpg_e82687b0-7cd6-4701-bf81-2f5d6a91f444.jpg?v=1759727225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_5534_2_jpg_32384175-8146-4628-bbe9-8740a2528ec0.jpg?v=1759727225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_6753_6_jpg_4f31ebc7-cf50-4485-a511-4ccb832551a0.jpg?v=1759727225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_7162_1_jpg_2d0642d7-29dc-4615-98ad-026eca043714.jpg?v=1759727225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250207_i1738902670_7622_0_jpg_2e247d66-75e0-4381-8ed3-2a0f0356f760.jpg?v=1759727225,Hi I want Alaia 25 Vienne Ballet Flats Garnet Red Lambskin 303714,New
alaia mule 90 optic black heart lambskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_531e7ced_20240625_a1719312891698_3147_jpg_97f9cd9b-d96d-4139-a936-b16ac547c2e6.jpg?v=1759729695,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_531e7ced_20240625_a1719312891698_3147_jpg_97f9cd9b-d96d-4139-a936-b16ac547c2e6.jpg?v=1759729695|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_531e7ced_20240625_a1719312891695_4767_jpg_f75d06a5-45ba-448a-a6f5-ba471d184776.jpg?v=1759729694|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_531e7ced_20240625_a1719312891702_2664_jpg_df41534b-e627-4bb6-b40c-1cd426ddc538.jpg?v=1759729695|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_531e7ced_20240625_a1719312891704_7851_jpg_e52a04f5-a876-4096-a1b9-4672e9574640.jpg?v=1759729695|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_531e7ced_20240625_a1719312891726_7550_jpg_7f127dd7-1497-4596-bfad-e8db2ad4b0bf.jpg?v=1759729695,Hi I want alaia mule 90 optic black heart lambskin,
ALAIA BALLET FLATS IN WHITE MESH FISHNET,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239600_7843_8_jpg_7123603a-16fb-4945-821a-de0c88e5b47e.jpg?v=1759730285,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239600_7843_8_jpg_7123603a-16fb-4945-821a-de0c88e5b47e.jpg?v=1759730285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239600_9652_5_jpg_0011bbcf-555e-45e3-b9ff-ab4a0edb9ca4.jpg?v=1759730285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239600_2207_6_jpg_6c10ad85-1039-4597-9792-fca89be2e0df.jpg?v=1759730285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239600_2055_7_jpg_6c76a81f-ba2e-4d50-b208-2b91359761a5.jpg?v=1759730285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239600_114_4_jpg_81dcb582-aa1f-4aaa-85f9-8b1f93959971.jpg?v=1759730285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239599_6937_2_jpg_9cf08690-62a8-47ae-acab-504fe3df5242.jpg?v=1759730285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239599_6157_1_jpg_50818579-c629-4afb-9c34-ce2666199c1b.jpg?v=1759730285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239599_2943_0_jpg_b09fe6ea-8823-4a1f-91f1-78e31233a6b4.jpg?v=1759730285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f845b1_20240613_i1718239599_1496_3_jpg_023f4c7f-77a3-42ed-8d2b-b80bdc948377.jpg?v=1759730285,Hi I want ALAIA BALLET FLATS IN WHITE MESH FISHNET,
ALAIA BALLET FLATS IN NUDE BEIGE MESH,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_7514_0_jpg_745becf1-92a5-4a9b-b1e8-05b6fdffcc22.jpg?v=1759730437,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_7514_0_jpg_745becf1-92a5-4a9b-b1e8-05b6fdffcc22.jpg?v=1759730437|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_1828_4_jpg_734a56c5-21c9-41bc-bedd-d1b7ac900b2d.jpg?v=1759730437|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_146_2_jpg_b832171f-7c80-4a09-910b-799abf6480a9.jpg?v=1759730437|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_8475_7_jpg.jpg?v=1759730437|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_7433_5_jpg_7fe71d96-8a6d-41b2-9133-bf164af674e5.jpg?v=1759730437|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_7179_3_jpg_c7dd7dd2-258e-42a4-aece-7ab4677019e1.jpg?v=1759730437|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_6128_6_jpg_2b675b6d-9f81-4047-a051-d746e3ed2d69.jpg?v=1759730437|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_5454_1_jpg_dd16aad6-e5f6-4273-a061-d4d7215caf94.jpg?v=1759730437|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240825_i1724591276_1561_8_jpg_aac59cdb-09c4-4b71-a6a8-cdaffd633da6.jpg?v=1759730437,Hi I want ALAIA BALLET FLATS IN NUDE BEIGE MESH,
Alaia Strass Suede Ballet Flats In Black 999314,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_922_7_jpg_eda35f1a-245a-4693-93f8-aba4ed1ba599.jpg?v=1759728777,footwear,alaia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_922_7_jpg_eda35f1a-245a-4693-93f8-aba4ed1ba599.jpg?v=1759728777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_3769_6_jpg_ab75ad0d-ba32-4e64-9fdb-bc1b3188e98b.jpg?v=1759728777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_4208_5_jpg_32fc999c-4379-41b3-a1a7-1cb5aa89c4ee.jpg?v=1759728777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_5818_4_jpg_60209945-3572-482c-9288-bfe5ead5be34.jpg?v=1759728777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_6075_0_jpg_c075f9a3-a577-4e5f-80b1-0f6b83b3e7e0.jpg?v=1759728778|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_6315_3_jpg_47fdef3c-ba7b-4824-8341-a961e34fb021.jpg?v=1759728777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_6514_2_jpg_1ab925de-c912-4d31-96da-96119e42286f.jpg?v=1759728777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_6812_1_jpg_f6a4e6bd-0b9f-4219-b002-c1d3bd6fc6f1.jpg?v=1759728777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20241104_i1730662637_9083_8_jpg_69c4973f-bcd3-4756-b2c2-3771e84b8df6.jpg?v=1759728777,Hi I want Alaia Strass Suede Ballet Flats In Black 999314,
