name,image,category,brand,images,whatsapp_text,badge
CD Mule Dway Slide 10mm Multi-motifs Style 51,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095382_6638_jpg_472869c8-15c2-4caa-96d3-a233c381702f.jpg?v=1778147803,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095382_6638_jpg_472869c8-15c2-4caa-96d3-a233c381702f.jpg?v=1778147803|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095110_0600_jpg_99e610f6-2d13-4662-9fe2-bd36e9c094a3.jpg?v=1778147803|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095225_6125_jpg_ae1b5a83-e30a-4c98-be89-b0687420c3ca.jpg?v=1778147803|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095288_4712_jpg_68b3c860-c1d4-40d4-a9bd-a513ab662814.jpg?v=1778147803|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095455_5573_jpg_637284c7-266d-4710-a3fc-dbffc36542e6.jpg?v=1778147803|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095543_1404_jpg_95052870-f90d-4da6-a9ad-18b90d050e41.jpg?v=1778147803|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095627_8715_jpg_7d5ca23f-ea75-42f9-b6ef-377742ae7cf5.jpg?v=1778147803|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095694_1788_jpg_2f97d484-a6f6-4aad-a014-bd8b04ebee09.jpg?v=1778147803|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210518_a1621335095785_0556_jpg_c1477b25-af27-4de2-bafe-f63a2b6a9ca2.jpg?v=1778147803,Hi I want CD Mule Dway Slide 10mm Multi-motifs Style 51,
CD 25  Or Adiorable Heeled Sandal Tassel Grosgrain 241756,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_13.png?v=1778147831,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_13.png?v=1778147831|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0f96c430_20250326_i1742977486272_2427_0_1_jpg_621d5b13-2a7f-4d3a-b99f-2f0268c99d30.jpg?v=1778147830|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0f96c430_20250326_i1742977486274_3037_0_6_jpg_1e8cd13d-abdf-4940-ac42-98c294d7fba0.jpg?v=1778147831|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0f96c430_20250326_i1742977486309_7629_0_2_jpg_70f33398-6812-4068-bb50-7b25dfb13fff.jpg?v=1778147831|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0f96c430_20250326_i1742977498128_6637_0_7_jpg_ed3298fa-f783-45a4-9790-9ca8ef9f1d8a.jpg?v=1778147830|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0f96c430_20250326_i1742977498160_8315_0_6_jpg_edc85e7e-2ea5-4db8-b945-329f8732c116.jpg?v=1778147831|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0f96c430_20250326_i1742977500413_3514_0_2_jpg_a76967b6-97d9-4160-abde-bc9955c73da0.jpg?v=1778147831|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0f96c430_20250326_i1742977500426_7563_0_5_jpg_093aeac2-9e58-4034-94c9-b0437256b415.jpg?v=1778147831,Hi I want CD 25  Or Adiorable Heeled Sandal Tassel Grosgrain 241756,New
cd slingback pumps 95 black embroidered cotton,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210103_i1609659040_7881_3_jpg_1203e6bf-d332-40e1-bbf0-57ecc8a37fc2.jpg?v=1773308827,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210103_i1609659040_7881_3_jpg_1203e6bf-d332-40e1-bbf0-57ecc8a37fc2.jpg?v=1773308827|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210103_i1609659040_3471_1_jpg_541765f0-b5df-4fc3-9911-be40009951b6.jpg?v=1773308827|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210103_i1609659040_4299_5_jpg_cdf12c2a-6654-4852-802d-47d3453f4dc0.jpg?v=1773308827|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210103_i1609659040_6228_2_jpg_cabedffc-0448-4b0d-b740-d97f98103db9.jpg?v=1773308827|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210103_i1609659040_6717_0_jpg_2f1aa0b1-493a-4e92-a14e-fc755ce80fb6.jpg?v=1773308827|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210103_i1609659040_6917_4_jpg_2eca1aab-6c96-41d6-87b5-af5bf8173a55.jpg?v=1773308827,Hi I want cd slingback pumps 95 black embroidered cotton,
CD Naugtily-D Heeled Ankle Boot Black Fabric,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_7433_4_jpg_abc35fbd-fe63-43fc-8bfd-27fc69bb9989.jpg?v=1778147843,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_7433_4_jpg_abc35fbd-fe63-43fc-8bfd-27fc69bb9989.jpg?v=1778147843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_1035_5_jpg_3dad4794-a363-4d7c-ae8c-3a08dafb036c.jpg?v=1778147843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_1736_3_jpg_a0654a0c-cd1c-4b4b-8a59-4285b2981e4a.jpg?v=1778147843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_2593_8_jpg_627f2889-2d3b-4ca2-bd25-c564b35c47bb.jpg?v=1778147843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_2974_1_jpg.jpg?v=1778147843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_468_6_jpg_6fee19e2-ba6e-44da-9f32-68503634a139.jpg?v=1778147843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_5777_0_jpg_b2976114-b38f-42ed-b37b-6b4a352f63f8.jpg?v=1778147843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_7892_2_jpg_35440460-361b-4f52-9b49-13220db30a15.jpg?v=1778147843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240906_i1725621151_8277_7_jpg_b469aa5b-3471-4704-afc4-7578a381ccb6.jpg?v=1778147843,Hi I want CD Naugtily-D Heeled Ankle Boot Black Fabric,
JAdior slingback pumps 65 transparent mesh embroidered black butterfly motif,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_7474_4_jpg_7afb9bb1-96b2-4684-8e36-bd6545e5068c.jpg?v=1773308836,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_7474_4_jpg_7afb9bb1-96b2-4684-8e36-bd6545e5068c.jpg?v=1773308836|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_7898_1_jpg_51ca3e54-bab4-49e9-8a72-94d3bec7e296.jpg?v=1773308836|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_9792_5_jpg_5a2a0ef5-d611-43fe-bcbb-916ce6592c16.jpg?v=1773308836|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_4664_0_jpg_e151f10b-b7d7-4ecd-a1e8-928717b41834.jpg?v=1773308836|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_7039_2_jpg_2bfce172-a674-4927-b4fc-180c76f85aae.jpg?v=1773308836|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_7244_3_jpg_4df5f1ea-66f7-4891-9c2e-c9627f0c9ee1.jpg?v=1773308836|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_4901_8_jpg_44cc486d-8ecf-40ea-b2c0-342129ae498a.jpg?v=1773308836|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_4641_6_jpg_8de3b629-1b18-4774-96f2-cd28258871dd.jpg?v=1773308836|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231129_i1701198728_2515_7_jpg_f1faf0f8-9cde-4dda-87d0-61d4319409e5.jpg?v=1773308836,Hi I want JAdior slingback pumps 65 transparent mesh embroidered black butterfly motif,
walkn 45 grey white oblique embroidery canvas,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230326_i1679763782_9326_1_jpg_0743a95c-51a6-497a-9a60-68d965f05bac.jpg?v=1759820263,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230326_i1679763782_9326_1_jpg_0743a95c-51a6-497a-9a60-68d965f05bac.jpg?v=1759820263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230326_i1679763782_2683_0_jpg_c6981665-716b-48d9-bfc9-ab898f2a54b0.jpg?v=1759820263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230326_i1679763782_3501_8_jpg_37d302c7-919b-4f76-b06e-fefa229b88b0.jpg?v=1759820263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230326_i1679763782_3652_6_jpg_635f438d-44df-4bd6-b611-08bac2e6aff8.jpg?v=1759820263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230326_i1679763782_5498_2_jpg_d8c30f93-07e3-46fe-a0b5-5200d5b3f322.jpg?v=1759820263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230326_i1679763782_7574_5_jpg_90e71466-271c-4dd9-9677-5830ca4fa7b1.jpg?v=1759820263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230326_i1679763782_9860_3_jpg_b34b5a62-c404-43cf-9b70-49da8eb22151.jpg?v=1759820263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230326_i1679763782_9893_7_jpg_08cebd59-584c-4702-9bdc-bafbb5fba276.jpg?v=1759820263,Hi I want walkn 45 grey white oblique embroidery canvas,
CD 25 J'Adior Slingback Flat Mesh Fabric 237966,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_22_2059ae46-6d04-4f68-8707-74133da30dba.png?v=1759819738,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_22_2059ae46-6d04-4f68-8707-74133da30dba.png?v=1759819738|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220530_i1653855009_3527_8_jpg_99b3e10c-d998-4ae0-914f-b57a78540c8b.jpg?v=1759819739|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220530_i1653855009_5173_3_jpg_392bb205-7161-42a0-ac36-2c47625e3fc5.jpg?v=1759819738|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220530_i1653854890_3506_3.jpg_1_bf0f0560-4b00-4afd-9b23-4656bf5eefd0.jpg?v=1759819738|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220530_i1653854890_5844_7.jpg_1_11e49e35-30c0-48be-99fb-c8da2ec3e2c7.jpg?v=1759819738|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220530_i1653854890_6091_2.jpg_1_2d719593-6df3-42bc-a74c-ea8386fe4042.jpg?v=1759819738|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220530_i1653854758_950_3_jpg_f6c16ecf-02eb-48aa-a6f4-04cb7eff7b70.jpg?v=1759819738|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220530_i1653854758_3093_1_jpg_7d3d8820-f97d-4aa8-90f8-d47ed3d58fd4.jpg?v=1759819738|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220530_i1653854758_3397_5_jpg_236886f5-96ee-4ec6-9c02-0e4c85dd7de6.jpg?v=1759819738,Hi I want CD 25 J'Adior Slingback Flat Mesh Fabric 237966,New
cd slingback flat black embroidery cotton ribbon,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_4609_8_jpg_713f7c90-ba12-4aa6-b368-c632ebffec7b.jpg?v=1773309083,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_4609_8_jpg_713f7c90-ba12-4aa6-b368-c632ebffec7b.jpg?v=1773309083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_3355_7_jpg_d7469204-a4e2-40ac-a103-dbfe2f6cc82f.jpg?v=1773309083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_4413_5_jpg_89b20117-8743-44f9-a0cf-77d3eb8d7364.jpg?v=1773309083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_4557_1_jpg_c3a9853a-4400-454d-90f5-764f7235abab.jpg?v=1773309083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_6208_2_jpg_00294d95-5107-4df1-a765-43d57308b9a3.jpg?v=1773309083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_7028_4_jpg_711f625d-4bff-4dac-ba8c-ef4e99a2ecd1.jpg?v=1773309083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_7387_6_jpg_ed72bfb1-e2c6-400e-92c6-a28748856f91.jpg?v=1773309083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_756_3_jpg_07c3919d-8a5a-480a-829b-4fce01d1c3af.jpg?v=1773309083|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210708_i1625740198_7572_0_jpg_fb36bf1b-1ae2-4e90-8755-edf83daa1063.jpg?v=1773309083,Hi I want cd slingback flat black embroidery cotton ribbon,
JAdior Slingback 85 Beige Patent Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755909_8392_3_jpg_24b62bc6-d1e8-4fae-add4-a7a553c27fa7.jpg?v=1773309040,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755909_8392_3_jpg_24b62bc6-d1e8-4fae-add4-a7a553c27fa7.jpg?v=1773309040|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755909_1687_4_jpg_6e0032f3-a4f1-4210-a7c0-338a7621a261.jpg?v=1773309040|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755909_3555_6_jpg_4fec7c0d-aa0c-44aa-88ce-4def0b32e666.jpg?v=1773309040|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755910_9247_7_jpg_1dbe4cef-6b3e-4393-ba83-4efb26d137dd.jpg?v=1773309040|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755909_520_0_jpg_1625b1f9-4f5f-4c46-a403-3bb014032759.jpg?v=1773309040|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755909_6952_1_jpg_bc28a7a4-3392-48ea-8c1b-91fd54405598.jpg?v=1773309040|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755909_9056_5_jpg_3929b09f-5050-4b49-9470-57f28387aa07.jpg?v=1773309041|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755909_9121_2_jpg_5f045bbc-81f6-4134-a489-ecb3db27ae1d.jpg?v=1773309040|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fe6afe93_20240804_i1722755910_8138_8_jpg_ae857bcc-058c-45e3-b60d-6ab840de2503.jpg?v=1773309041,Hi I want JAdior Slingback 85 Beige Patent Calfskin,
CD 25 Capture Heeled Mule Black Mesh,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_8238_4_jpg_b9786d38-5dcd-4e32-8230-0cf174c501f4.jpg?v=1759819687,footwear,dior,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_8238_4_jpg_b9786d38-5dcd-4e32-8230-0cf174c501f4.jpg?v=1759819687|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_1928_5_jpg_8eee5d34-84bb-4afd-9018-a41bf62a182d.jpg?v=1759819687|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_2886_7_jpg_89dcc103-9aee-4431-8ba1-a649cdddef41.jpg?v=1759819687|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_3208_1_jpg_a8bd7e67-80d5-4b53-9375-c40d209a930a.jpg?v=1759819686|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_4683_0_jpg_1b87e217-2aab-4f57-a319-edee82d3673c.jpg?v=1759819686|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_5710_3_jpg_555d7a17-a879-457e-b93d-4180466de221.jpg?v=1759819686|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_5802_2_jpg_4da61611-e534-49c1-8ca3-870bd611a594.jpg?v=1759819686|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_6271_8_jpg_8dcce795-fcb5-45e2-9442-831de18dadff.jpg?v=1759819687|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231222_i1703182061_9669_6_jpg_40814b59-ccb8-4a4f-8475-c448930ea2cf.jpg?v=1759819686,Hi I want CD 25 Capture Heeled Mule Black Mesh,New
