name,image,category,brand,images,whatsapp_text,badge
Horsebit Mule Beige Suede,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/854820887ac144d2.jpg?v=1759824813,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/854820887ac144d2.jpg?v=1759824813|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2f88893756a635f5.jpg?v=1759824813|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/346f5fd3e45948ee.jpg?v=1759824813|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/52962906bfec622d.jpg?v=1759824813|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/bf49408f7357ca7b.jpg?v=1759824813|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/fc76545735b5cbfb.jpg?v=1759824813,Hi I want Horsebit Mule Beige Suede,
GG LOAFERS MULES BLACK BROWN SOLE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1610557875_1761_2_caba85ad-35e9-40e4-9edf-9469e70d7960.jpg?v=1759827686,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1610557875_1761_2_caba85ad-35e9-40e4-9edf-9469e70d7960.jpg?v=1759827686|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1610557875_4978_0_ef5a442e-afcd-477c-9638-2da20f363a3d.jpg?v=1759827680|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1610557875_3238_1_d71b4ead-ebb1-499f-9c3b-55b4d10ebf5b.jpg?v=1759827680|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1610557875_8669_3_1a550fb6-83d2-404d-bf12-c1c297f37003.jpg?v=1759827680|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1610557875_4226_8_e1aabb2a-928a-43b4-a8ce-abea76c7671a.jpg?v=1759827680|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1610557875_890_7_9a073586-1ae6-4ad0-a17c-c8674814b118.jpg?v=1759827680|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1610557875_797_6_3929a05c-6b0c-44f4-8d4e-4d09f645c998.jpg?v=1759827680|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1610557875_6304_5_f06d7f4f-1de7-44a7-97af-e926fb540950.jpg?v=1759827680,Hi I want GG LOAFERS MULES BLACK BROWN SOLE,
GG JORDAAN LOAFER LIGHT BROWN WOVEN FABRIC,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040758_8033_4_jpg_b9875869-f60a-4049-acde-65e44dafafa5.jpg?v=1759828628,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040758_8033_4_jpg_b9875869-f60a-4049-acde-65e44dafafa5.jpg?v=1759828628|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040759_7100_6_jpg_d0f2daf3-6cc2-4c9d-ac91-ce8b5edb9131.jpg?v=1759828628|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040758_566_2_jpg_a4e989d8-6c8c-4c8e-86e1-3555913d1b9c.jpg?v=1759828628|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040759_3799_8_jpg_5e469de6-1ef7-42c2-9f01-89504ed09cc3.jpg?v=1759828628|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040758_7162_1_jpg_6fef7a17-efa5-45b6-8bdb-51c5a8af115d.jpg?v=1759828628|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040758_8873_3_jpg_f60469cd-178e-4403-b6e6-313408693a38.jpg?v=1759828628|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040759_5267_7_jpg_c6eb4525-9c5a-487d-843e-8254e744094d.jpg?v=1759828628|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040758_7815_0_jpg_9b63f317-de44-4244-9fb3-cfcef3d532cf.jpg?v=1759828628|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240622_i1719040758_1991_5_jpg_b7d85979-40c4-4892-90ad-a4535b48cb22.jpg?v=1759828628,Hi I want GG JORDAAN LOAFER LIGHT BROWN WOVEN FABRIC,
GG Ankle Boot With Horsebit 15 Dark Brown Suede,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240917_i1726586087_4901_5_jpg_b02e36d2-9153-4204-84b0-d062682e545e.jpg?v=1759829723,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240917_i1726586087_4901_5_jpg_b02e36d2-9153-4204-84b0-d062682e545e.jpg?v=1759829723|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240917_i1726586086_3838_0_jpg_af6bf5ca-a59a-4d6d-ad9b-356c3598786b.jpg?v=1759829723|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240917_i1726586087_1282_3_jpg_5d2d2316-0886-43fb-b183-e6834e17a856.jpg?v=1759829723|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240917_i1726586087_1698_8_jpg_1926f04a-762a-42e8-b464-a48fd7f0c705.jpg?v=1759829723|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240917_i1726586087_5188_6_jpg_f3163dc4-90fd-4e0d-9c9a-a842ebf6cd8d.jpg?v=1759829723|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240917_i1726586087_7931_4_jpg_a57cec02-e66f-4016-accd-8ef8e96acd0d.jpg?v=1759829723|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240917_i1726586087_9514_1_jpg_bb6095c9-363b-4d76-b959-d2d0d7ede86c.jpg?v=1759829723|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240917_i1726586087_682_7_jpg_cb5661dd-67ec-4ed9-a084-eb4225347985.jpg?v=1759829723|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64eb6861_20240919_i1726727491_2838_0_jpg.jpg?v=1759829723,Hi I want GG Ankle Boot With Horsebit 15 Dark Brown Suede,
Horsebit Mule Beige Ebony Canvas Crystal-Embellished,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593038_6090_6_jpg.jpg?v=1759827572,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593038_6090_6_jpg.jpg?v=1759827572|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593038_3893_0_jpg_a759687f-29cd-47d6-b6be-d3c43e3c9f61.jpg?v=1759827571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593038_5219_5_jpg.jpg?v=1759827571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593038_6935_4_jpg.jpg?v=1759827571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593038_6601_2_jpg_beb859e2-d9aa-4bd2-bc2d-90a3eb4192a4.jpg?v=1759827572|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593038_8934_1_jpg_91d2255a-09f8-45dc-876c-25fb49f33d9b.jpg?v=1759827571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593038_9828_3_jpg_ffd37506-3081-4117-b18c-de6a8aba4c3f.jpg?v=1759827572|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593039_3379_8_jpg_49b1c109-35e7-4235-9544-e90177c7ce28.jpg?v=1759827571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_c75b07d5_20241219_i1734593039_7080_7_jpg_07f94740-69cb-4d84-9bb1-81d39bcc63c0.jpg?v=1759827571,Hi I want Horsebit Mule Beige Ebony Canvas Crystal-Embellished,
GG Jordaan Loafer Beige Mesh With Crystal,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079659486_2316_0_4_jpg_3fe039e9-c003-444e-8d1c-4686b7c442e6.jpg?v=1759826847,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079659486_2316_0_4_jpg_3fe039e9-c003-444e-8d1c-4686b7c442e6.jpg?v=1759826847|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079655829_1829_0_0_jpg_eaf39113-b072-4134-87fd-f2137d3dc305.jpg?v=1759826847|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079655832_9072_0_6_jpg_cf75808c-68c9-40fb-8163-d9719089b94e.jpg?v=1759826847|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079655838_7471_0_2_jpg_9b50cefb-23c3-44b6-bd9d-e7dcb95b2293.jpg?v=1759826847|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079655860_4906_0_3_jpg_6ea6c4a9-1aa7-43aa-9597-127dd53688ce.jpg?v=1759826847|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079655873_3190_0_1_jpg_93834e22-35a5-4319-8990-dc4b4a82e314.jpg?v=1759826847|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079659328_6044_0_7_jpg_cbb1e783-a8eb-491d-8e25-f8c7b79260ff.jpg?v=1759826847|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079659337_24_0_5_jpg_463d39a0-86a9-40dd-8bbf-90bb80bd29ea.jpg?v=1759826847|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6cb649bf_20250710_i1752079659382_4136_0_8_jpg_cf14447c-f090-493b-a9ec-f54eadc6996b.jpg?v=1759826847,Hi I want GG Jordaan Loafer Beige Mesh With Crystal,New
GC 25 Wedge With Horsebit Sandal Beige and Dark Brown Canvas 291029,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_7775_3.jpg_1_14bfdee3-b55a-4b5b-8695-509dfd5ae302.jpg?v=1759827464,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_7775_3.jpg_1_14bfdee3-b55a-4b5b-8695-509dfd5ae302.jpg?v=1759827464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_1455_8.jpg_1_d837c195-8e65-4410-8c63-08bbc5c4ea29.jpg?v=1759827463|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_8155_1.jpg_1_edcaaedd-ca89-495b-98b0-3f241382ff30.jpg?v=1759827463|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_3139_6.jpg_1_ed68448f-8211-4a34-aa42-dbae6c3d264f.jpg?v=1759827463|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_6136_5.jpg_1_d4724df9-b931-4789-927d-79d002f7ae06.jpg?v=1759827464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_6427_4.jpg_1_f772c795-327f-402a-9250-e0e26120cde9.jpg?v=1759827464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_7725_7.jpg_1_8f6909f0-4c4d-4f63-9305-84290ee92e7e.jpg?v=1759827463|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_3660_0.jpg_1_9ecab35e-3b91-4eff-8309-961eb463891c.jpg?v=1759827463|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250430_i1745956690_7302_2.jpg_1_bb3cbdd6-3a60-4e32-b552-78697f4b915c.jpg?v=1759827464,Hi I want GC 25 Wedge With Horsebit Sandal Beige and Dark Brown Canvas 291029,New
GG Sneaker Beige Suede Green Calfskin Crystal-Embellished,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127779432_1201_jpg_f9dac6d5-cebc-44e1-b3bb-14bbe155d24b.jpg?v=1759827563,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127779432_1201_jpg_f9dac6d5-cebc-44e1-b3bb-14bbe155d24b.jpg?v=1759827563|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127779421_5747_jpg_2c8df443-078e-4377-a0f4-3137f0ebd891.jpg?v=1759827563|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127779425_8368_jpg_36c388e9-e403-427a-83e2-a5a85dc17e83.jpg?v=1759827563|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127779429_0327_jpg_2a4d33a1-3bb3-409c-b2bc-04545fd21d98.jpg?v=1759827563|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127779431_8121_jpg_5bf019c3-9a5f-446c-85cb-579020f11a7d.jpg?v=1759827563|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127779433_4486_jpg_1708e194-c869-41b4-819a-f5033e6ce8d4.jpg?v=1759827563|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127780423_4366_jpg_c46a120a-b1e5-4e91-b282-8fa94515b60b.jpg?v=1759827563|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127780428_8055_jpg_32ed7e71-c76f-4028-8cb4-09da048bb2c1.jpg?v=1759827563|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_49b4c57e_20241202_a1733127780433_6200_jpg_a0d53f27-7702-4f26-99e9-5a6dcaab7216.jpg?v=1759827563,Hi I want GG Sneaker Beige Suede Green Calfskin Crystal-Embellished,
gg ace sneaker white calfskin with bee,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240422180122_a6015bfe-b794-4416-bf64-c97a67c8f45c.jpg?v=1759827747,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240422180122_a6015bfe-b794-4416-bf64-c97a67c8f45c.jpg?v=1759827747|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211211_i1639206351_79_4_jpg_f8e6938f-5613-4f2d-8bdb-73aee5947ca9.jpg?v=1759827747|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211211_i1639206351_392_2_jpg_4b411fbf-9856-4d38-ace2-b042b9ba0227.jpg?v=1759827747|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211211_i1639206351_613_5_jpg_9402a06d-a5ce-4286-8f80-3098dd477943.jpg?v=1759827747|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211211_i1639206351_1384_1_jpg_a2965131-f53f-4098-bb94-b0ab78794c69.jpg?v=1759827747|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211211_i1639206351_5138_3_jpg_ed62ce00-c3b8-42ed-a5af-1aed2480b739.jpg?v=1759827747|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211211_i1639206351_5793_7_jpg_a71a408f-2326-4461-83cb-66b53dade032.jpg?v=1759827747|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211211_i1639206351_6857_6_jpg_17eaf31f-c019-4d77-bff2-a83024030038.jpg?v=1759827748|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211211_i1639206351_7632_8_jpg_b486be2e-5758-4308-a1a4-2b29d822ebfe.jpg?v=1759827747,Hi I want gg ace sneaker white calfskin with bee,
GG PLATFORM PERFORATED G 55 SANDAL CREAM IP FOAM,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_8661_0_jpg_18fc5d30-1622-437f-8de4-de4e527e750c.jpg?v=1759829554,footwear,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_8661_0_jpg_18fc5d30-1622-437f-8de4-de4e527e750c.jpg?v=1759829554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_9833_2_jpg_346f7ed3-dd4c-486c-ba6a-ce4a4173056d.jpg?v=1759829555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_2483_3_jpg_2476e23d-fdc8-4b7a-bea2-ca0225c28ca8.jpg?v=1759829554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_9086_1_jpg_7d13cabe-6df4-47ed-b9d6-3e56ebc7ac3f.jpg?v=1759829555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_1663_6_jpg_08b4140e-abc0-4768-8f96-2db911324cdc.jpg?v=1759829554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_9093_4_jpg_cb1447c2-2cfa-482f-9cb4-1c514904bcc5.jpg?v=1759829554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_4371_5_jpg_32508a52-6bba-446b-ab64-679e188446e1.jpg?v=1759829555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_658_7_jpg_e7cb79d3-847a-40f5-8300-ba8ab2785c82.jpg?v=1759829554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220322_i1647951140_5083_8_jpg_e85ec49b-6525-4110-9bf4-6364e335eb87.jpg?v=1759829554,Hi I want GG PLATFORM PERFORATED G 55 SANDAL CREAM IP FOAM,
