name,image,category,brand,images,whatsapp_text,badge
ORAN SANDAL WHITE B,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WechatIMG156_42320297-a62a-4133-8bc1-5930556f5a48.jpg?v=1774240972,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WechatIMG156_42320297-a62a-4133-8bc1-5930556f5a48.jpg?v=1774240972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WechatIMG154_ab31e0e9-3d97-465f-9d21-880e51f9d86a.jpg?v=1774240972|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WechatIMG155_f04d46ef-8cf9-4da8-a466-4d0bfd4aa350.jpg?v=1774240972,Hi I want ORAN SANDAL WHITE B,
Hermes 0ran Slide Sandal Brown Leather,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/oran-sandal--021056Z03-worn-1-0_4b289cf6-889a-4d54-9fd6-acd6077c5ca5.jpg?v=1774245109,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/oran-sandal--021056Z03-worn-1-0_4b289cf6-889a-4d54-9fd6-acd6077c5ca5.jpg?v=1774245109|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/oran-sandal--021056Z03-worn-5-0_095f11eb-867a-4a56-9153-5ed615cce28c.jpg?v=1774245109|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/oran-sandal--021056Z03-worn-4-0_b02df219-9f1f-4d9e-a3db-c1f58afbaa05.jpg?v=1774245109|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/oran-sandal--021056Z03-worn-3-0_56ab48b4-f485-47f5-8ba4-2a38b5b8d894.jpg?v=1774245109|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/oran-sandal--021056Z03-worn-2-0_4664e551-d6e9-49d0-bb02-4a40cdcb9b49.jpg?v=1774245109,Hi I want Hermes 0ran Slide Sandal Brown Leather,
HM Jumping Boot In Chocolate Suede  987474,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_5497_0_jpg_9fe44321-2472-42eb-a97a-eb623f2d86a2.jpg?v=1779182984,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_5497_0_jpg_9fe44321-2472-42eb-a97a-eb623f2d86a2.jpg?v=1779182984|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_1609_5_jpg_1b6b14d1-3255-4f63-8828-f3e505c5200b.jpg?v=1779182984|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_183_3_jpg_ede3221a-c9b6-456b-9b09-3edbc6cf9fdf.jpg?v=1779182984|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_1329_4_jpg_c3a5ec2a-b738-4de1-a8a4-a740d8102125.jpg?v=1779182984|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_1549_1_jpg_3c0e11e9-3897-4be6-bd19-052fe287d5c9.jpg?v=1779182984|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_3392_8_jpg_5aa65e94-3200-42e1-9ebe-1ca5cbe10778.jpg?v=1779182984|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_5159_6_jpg_eea030f0-111c-4340-831d-d91595c18461.jpg?v=1779182984|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_8527_7_jpg_0716cd23-e3f4-4cf8-93c8-dd788ff3f95d.jpg?v=1779182984|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547199_9779_2_jpg_a62d2d28-ff1b-4b19-9b32-211140abf84e.jpg?v=1779182984,Hi I want HM Jumping Boot In Chocolate Suede  987474,
Chypre Sandal Black,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_0_da060699-8ac5-4557-a7ad-32ae315d0185.jpg?v=1774245103,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_0_da060699-8ac5-4557-a7ad-32ae315d0185.jpg?v=1774245103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_1_1946e1f6-15b2-4efe-9d3c-167276cf0be0.jpg?v=1774245103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_2_a816526c-5460-45cd-9272-c15f6e0d06b4.jpg?v=1774245102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_3_27bb0458-ab44-40c0-b79e-b3e011619837.jpg?v=1774245103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_4_9e06cb7b-f302-404d-98a5-68ac1aa3ea5a.jpg?v=1774245103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_5_e62cd8e8-1e42-4203-96af-1303e4f1596a.jpg?v=1774245103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_6_fde2f987-a6fb-47d5-bab1-be3ee4f9480a.jpg?v=1774245103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_7_5a09e60d-b077-4d74-9b5f-75b8ca5eac27.jpg?v=1774245103|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1708533030806_8_db9aa519-552e-4976-bb64-6525b963e294.jpg?v=1774245103,Hi I want Chypre Sandal Black,
HM 25 Oran Sandal Black Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_3237_4_jpg_28c63540-ecf1-4d34-9fcb-8594cb3b36c0.jpg?v=1774242111,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_3237_4_jpg_28c63540-ecf1-4d34-9fcb-8594cb3b36c0.jpg?v=1774242111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_1849_6_jpg_ad42f27e-0666-4fae-a25c-fa0e99ba0ae0.jpg?v=1774242111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_3020_1_jpg_b990d966-5cb9-47f0-aad1-a2092e5432df.jpg?v=1774242111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_391_5_jpg_098a923a-37ee-413a-b50d-c1e730475d8f.jpg?v=1774242111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_4728_7_jpg_25e3e681-4cf1-4cae-baa9-e836fc3bc33d.jpg?v=1774242111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_5097_3_jpg_e94ca26d-e3b7-4f2d-9bc1-94faf4157fb9.jpg?v=1774242111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_7425_2_jpg_5a9511a9-4a80-4b91-b913-16b6653d0774.jpg?v=1774242111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_9583_8_jpg_8f258932-3ce0-4584-b82e-29719104871a.jpg?v=1774242111|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230505_i1683241000_9703_0_jpg_c99fb5df-64da-4e68-84ff-3ab5e258a18e.jpg?v=1774242111,Hi I want HM 25 Oran Sandal Black Calfskin,New
HM Jumping Boot In Black Calfskin 987476,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_6119_3_jpg_1b7e9fee-c21a-4eed-8efc-76cce3c5e77b.jpg?v=1774241878,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_6119_3_jpg_1b7e9fee-c21a-4eed-8efc-76cce3c5e77b.jpg?v=1774241878|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_2073_8_jpg_870cc00b-b673-4c66-8c9c-dbc15f6871c0.jpg?v=1774241878|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_2294_1_jpg_6af40660-6057-4b9b-aefb-09e4eb83ee2f.jpg?v=1774241878|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_3550_9_jpg_c05c50fe-c40e-4c81-a50f-8a98769e6fbd.jpg?v=1774241878|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_6852_2_jpg_57e9b269-0642-4474-8345-c6be48bc2ee9.jpg?v=1774241879|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_7408_0_jpg_758f9afe-4454-4afa-a3e5-05fbcd9753d9.jpg?v=1774241878|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_8331_7_jpg_aa25981a-6b0e-49f9-92c9-75199ecd0d41.jpg?v=1774241878|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_8753_6_jpg_133fd7db-47f2-4c45-9cd2-9fde9f513254.jpg?v=1774241878|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9bd1027f_20241102_i1730547251_8974_5_jpg_2f2d644a-3a68-4e78-b9b7-7d5ffbe7e478.jpg?v=1774241878,Hi I want HM Jumping Boot In Black Calfskin 987476,
HM Chypre Sandal Pink Pastel Suede 202811,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462049_1334_2_jpg_79b3554c-e7a1-40d1-9a8a-1d3e008fd266.jpg?v=1778147765,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462049_1334_2_jpg_79b3554c-e7a1-40d1-9a8a-1d3e008fd266.jpg?v=1778147765|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462049_7186_3_jpg_520a2d90-d1b5-4430-804f-73720500b118.jpg?v=1778147764|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462049_7851_4_jpg_b48be004-93cc-4a83-9f88-6edff9e14b4e.jpg?v=1778147764|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462049_9212_1_jpg_c45f6f3e-2595-40bb-baf3-65a27658b3ba.jpg?v=1778147765|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462049_9626_0_jpg_ad934ccc-ddb7-4e51-8ad9-63e99935d4f2.jpg?v=1778147764|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462050_2365_7_jpg_ac72a47f-83a7-43ca-b96c-99a28429ace8.jpg?v=1778147765|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462050_7459_6_jpg_b5db0f87-833f-4214-bfcb-93f8e53345e6.jpg?v=1778147765|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462050_8717_8_jpg_4f9cd69f-e32f-47d0-a721-bc2377ea3d6f.jpg?v=1778147765|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9ce1a4ce_20250213_i1739462050_9028_5_jpg_17de7584-63dd-4286-a5d5-23660d6452d8.jpg?v=1778147764,Hi I want HM Chypre Sandal Pink Pastel Suede 202811,New
0RAN SANDAL Leather Black,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230826_i1693044536_8705_7_jpg_995e98d9-242c-4d14-91f7-2410d8ecb6c6.jpg?v=1774244756,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230826_i1693044536_8705_7_jpg_995e98d9-242c-4d14-91f7-2410d8ecb6c6.jpg?v=1774244756|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230826_i1693044536_2050_0_jpg_38788a3c-d6e9-4cdf-9919-92c03523373e.jpg?v=1774244756|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230826_i1693044536_2334_4_jpg_30b5532a-2f4f-4daa-b7d0-feb48a382f8a.jpg?v=1774244756|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230826_i1693044536_4584_5_jpg_014d870a-5e6f-4f5f-82cc-11453f024ac0.jpg?v=1774244756|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230826_i1693044536_5629_6_jpg_f904fe59-60ef-4a79-aa8b-c53bc07b293c.jpg?v=1774244756|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230826_i1693044536_6282_1_jpg_14d4b8aa-2c81-4667-b2c3-6407040c975d.jpg?v=1774244756|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230826_i1693044536_6417_2_jpg_d0bca1f7-2d06-4457-ab46-f5749eb25763.jpg?v=1774244756|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230826_i1693044536_9576_3_jpg_ec8f0073-8259-4d5d-8116-243a1a8c9b27.jpg?v=1774244756,Hi I want 0RAN SANDAL Leather Black,
HM GO MULE BROWN SUEDE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_1711_0_jpg_2f43a772-e5f1-4071-95c8-df91e04eebca.jpg?v=1778147773,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_1711_0_jpg_2f43a772-e5f1-4071-95c8-df91e04eebca.jpg?v=1778147773|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_1125_4_jpg_596fed1c-826d-431d-8658-730f901d14be.jpg?v=1778147773|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_4513_2_jpg_2f4933d2-2dd7-4f52-b13f-ffd183ac39ae.jpg?v=1778147773|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_6474_6_jpg_a1447371-2b0a-4ecf-a06c-f760550aead6.jpg?v=1778147773|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_7356_5_jpg_02c10c33-4e67-44e5-9878-eb67503925c4.jpg?v=1778147773|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_8046_8_jpg_75c78a22-1013-4695-a15e-636bd3b7f0ca.jpg?v=1778147773|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_8151_7_jpg_73a34940-9e09-438c-8673-d2dd1c979acb.jpg?v=1778147773|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_8541_1_jpg_9ab8aafe-b2ee-405e-8cff-bf75b720f330.jpg?v=1778147773|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230921_i1695311820_9000_3_jpg_6d4049a7-81f5-44b4-9bd6-df5945b84a35.jpg?v=1778147773,Hi I want HM GO MULE BROWN SUEDE,
ISLAND SANDAL BLACK PVC WATERPROOF,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_3323_0_jpg_778684de-53d6-4a86-a0c4-d434dd30086e.jpg?v=1778147778,footwear,hermes,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_3323_0_jpg_778684de-53d6-4a86-a0c4-d434dd30086e.jpg?v=1778147778|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_4047_5_jpg_719c2f06-3cf5-4d25-abf3-343a209d25f9.jpg?v=1778147777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_3890_2_jpg_94ef83e0-dbb3-4749-ba71-2fb55a22c8ea.jpg?v=1778147777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_8051_1_jpg_032f1650-1267-42b2-9573-f8963545c7e6.jpg?v=1778147778|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_1775_7_jpg_890299ce-1e1c-42b8-85ff-f4f2ea53ee60.jpg?v=1778147777|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_9392_3_jpg_37da2ffe-edc9-4e73-8196-bcf6d97f0d22.jpg?v=1778147778|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_2624_4_jpg_5291cc2f-54e7-4514-8a76-f1e5be752375.jpg?v=1778147778|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_5151_6_jpg_b294028b-6c2c-4fb4-b3bd-8ab4921dfb88.jpg?v=1778147778|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240426_i1714146764_5067_8_jpg_a7b4765f-fb96-427d-9471-1d711daeaf28.jpg?v=1778147778,Hi I want ISLAND SANDAL BLACK PVC WATERPROOF,
