name,image,category,brand,images,whatsapp_text,badge
Knee-High Boots Smooth Leather,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20230925_a1695601183523_4280_jpg_08c69da0-1791-48da-b0b1-330820d96db1.jpg?v=1773309142,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20230925_a1695601183523_4280_jpg_08c69da0-1791-48da-b0b1-330820d96db1.jpg?v=1773309142|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20230925_a1695601183456_5583_jpg_27661890-d5f0-4cf1-825b-5a133f36454e.jpg?v=1773309142|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20230925_a1695601183524_0526_jpg_55f56fc2-0e73-44a1-a4da-d2daead1efe0.jpg?v=1773309142|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20230925_a1695601183572_8864_jpg_e6673e78-851e-41b6-9887-b0fd2e90de17.jpg?v=1773309142|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20230925_a1695601183642_7636_jpg_0617ece0-f647-47f5-9a44-8cf4c0ee5a0e.jpg?v=1773309142|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20230925_a1695601183573_5865_jpg_8b1a8efc-34cc-496c-a661-37077df5dd44.jpg?v=1773309142,Hi I want Knee-High Boots Smooth Leather,
Jimmy 25 Stevie 80 Pumps Black Patent Leather 240028,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212902627_5825_jpg_54080fbf-4017-4815-ad0f-1c3b1a28c4e1.jpg?v=1759899073,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212902627_5825_jpg_54080fbf-4017-4815-ad0f-1c3b1a28c4e1.jpg?v=1759899073|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212902443_1313_jpg_18df56c4-bb68-4267-9414-a8659600e649.jpg?v=1759899073|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212902490_4271_jpg_8e40ff00-31a0-4a4d-b275-94a3fc47dbab.jpg?v=1759899073|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212902609_3376_jpg_757a1980-3d35-4f90-8143-5dfc6c7f85e9.jpg?v=1759899073|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212902641_4453_jpg_f56ff3cc-7db1-4f70-942b-f86d9491e323.jpg?v=1759899073|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212902685_1505_jpg_b786a34f-165e-43b7-915d-2a68b01693b3.jpg?v=1759899073|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212905020_5080_jpg_e859a7ab-d851-4e94-930a-3b10f6075ac1.jpg?v=1759899073|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212905063_7745_jpg_c0c056c7-cca9-46c8-a701-1b766dd4ed29.jpg?v=1759899073|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250211_a1739212905078_3267_jpg_3a89ca47-77f9-48cc-8bb0-fae8baa89e15.jpg?v=1759899073,Hi I want Jimmy 25 Stevie 80 Pumps Black Patent Leather 240028,New
Jimmy 25 Seada 100 Pump Tan Brown Cowhide 240050,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864153958_7741_jpg_a8a9f1c8-ab61-4a23-a159-983b1224dcc6.jpg?v=1759899022,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864153958_7741_jpg_a8a9f1c8-ab61-4a23-a159-983b1224dcc6.jpg?v=1759899022|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864153710_4335_jpg_2b9d6667-313c-4a8e-a9f3-a75b1a2461b7.jpg?v=1759899022|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864153854_8411_jpg_f2814b18-74ff-4569-b0d3-fcec2bd49b31.jpg?v=1759899022|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864154054_7811_jpg_78810423-f3e1-4734-8679-48dd2625a06b.jpg?v=1759899022|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864155698_0756_jpg_511c15df-0823-49d4-8d15-6ef79c4c7fe9.jpg?v=1759899022|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864155850_7305_jpg_0d1e9bc6-be09-42cd-bddc-617c8ee0ad65.jpg?v=1759899022|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864155870_6264_jpg_9d755ef0-1da2-465f-93b2-889de1499168.jpg?v=1759899022|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864155978_5180_jpg_0f919bcd-24b8-4e2b-bd63-a6ad2182249a.jpg?v=1759899023|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864154090_0240_jpg_5fd98c3d-4c27-4cf9-876d-6853947cf112.jpg?v=1759899022,Hi I want Jimmy 25 Seada 100 Pump Tan Brown Cowhide 240050,New
Jimmy Sandals In Light Gold Cowhide 587685,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_5433_1_jpg_2505bdbd-9330-4618-82bb-2202ee6cc016.jpg?v=1759899327,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_5433_1_jpg_2505bdbd-9330-4618-82bb-2202ee6cc016.jpg?v=1759899327|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_531_0_jpg_39a2e874-6a06-41f5-900a-4d372a5199cf.jpg?v=1759899327|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_2448_8_jpg_37a0f93c-16f8-4b8a-9cab-b0893a516e89.jpg?v=1759899327|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_2469_7_jpg_3ce92c8f-779b-4e17-a290-316dad376200.jpg?v=1759899327|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_5638_5_jpg_fa79adfd-d40c-495b-82f9-5e9597b624c1.jpg?v=1759899327|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_5928_3_jpg_b7e244ca-db98-4fb5-b8fb-51d53e05b863.jpg?v=1759899327|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_7313_6_jpg_88a90deb-f2b6-4121-b79c-1bd97fc75d97.jpg?v=1759899327|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_9043_2_jpg_8343a3cb-2530-48f9-b641-095b32d7eef6.jpg?v=1759899327|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230519_i1684508108_9372_4_jpg_d15e5414-ba20-4ac2-94b2-772cb87d3163.jpg?v=1759899327,Hi I want Jimmy Sandals In Light Gold Cowhide 587685,
Jimmy 25 Seada 100 Pump White Cowhide 240047,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864113867_4258_jpg_80955972-fa66-4e55-918d-5e827ff113b7.jpg?v=1759899028,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864113867_4258_jpg_80955972-fa66-4e55-918d-5e827ff113b7.jpg?v=1759899028|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864113907_3677_jpg_ee2ba31c-194b-480b-9c3d-014436d99d83.jpg?v=1759899028|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864115503_5142_jpg_14db0ca8-7570-4dc2-82af-3a3b72a67c64.jpg?v=1759899028|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864113691_8500_jpg_12fef3a5-4696-498b-9700-9e14109672a6.jpg?v=1759899029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864113787_6407_jpg_e64b2c26-78ce-4d16-8e87-82444fa38cf5.jpg?v=1759899029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864114030_5162_jpg_0bfd7a52-f80e-4810-bcdd-00ded9e5df31.jpg?v=1759899028|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864115670_1372_jpg_20b1d705-eb43-45a6-b9af-bcb62692dc76.jpg?v=1759899028|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864115899_3620_jpg_dfc8cbe6-aee7-49d9-abba-0aea235b403e.jpg?v=1759899028|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20250325_a1742864115986_0674_jpg_94224e30-ea13-4b1b-9930-a0b72e3d08b2.jpg?v=1759899028,Hi I want Jimmy 25 Seada 100 Pump White Cowhide 240047,New
Jimmy 25 Anise 85 Nude Pink Patent Leather 240076,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416190674_3400_jpg.jpg?v=1759898983,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416190674_3400_jpg.jpg?v=1759898983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416190910_0516_jpg_d4dff49e-eae3-4f50-9ce4-918545e78d32.jpg?v=1759898983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416191145_5800_jpg_271ec4e9-2767-432b-8f85-bdc29ea64f39.jpg?v=1759898983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416191396_5870_jpg_6c48cc66-38ad-4b8b-80b1-47535c360278.jpg?v=1759898983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416191614_1642_jpg_66cfdfec-f0dc-481c-bd6f-142c26265277.jpg?v=1759898983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416191868_6803_jpg_d5a3fb4e-0f8f-410d-8e13-c7ff00082c92.jpg?v=1759898983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416192102_4475_jpg_1c2a6279-eea9-4c68-a2f7-36df58c295b6.jpg?v=1759898983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416192336_0487_jpg_9035d5db-35c6-450a-9b25-4b25935d6e6d.jpg?v=1759898983|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220328_a1648416192589_4775_jpg_e8ed60d3-2cdc-4fb0-993d-f11d3f94bf3a.jpg?v=1759898983,Hi I want Jimmy 25 Anise 85 Nude Pink Patent Leather 240076,New
Jimmy 25 Azie Colorblock Sandal 11CM Brown Calfskin 240110,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168203654_8220_jpg_262f43f9-307b-48d3-b8d7-87a8a0329da8.jpg?v=1759898907,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168203654_8220_jpg_262f43f9-307b-48d3-b8d7-87a8a0329da8.jpg?v=1759898907|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168203658_8853_jpg.jpg?v=1759898907|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168203670_5864_jpg_8f9e0483-a8c6-49c1-b5a0-09691477067c.jpg?v=1759898907|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168203690_0863_jpg_5afe7e29-6f70-41a1-9fc2-ec257d3733ed.jpg?v=1759898907|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168203693_2143_jpg_a35c9d3e-8d1e-49f8-9975-d0f37bd71fb5.jpg?v=1759898907|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168203738_3771_jpg_52e71d41-17f4-4d6c-8029-afa142b520b9.jpg?v=1759898907|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168204448_7155_jpg_45d4b49c-cb55-4cdb-9a85-1d6410dfc7e4.jpg?v=1759898908|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168204458_8631_jpg_a78427c3-90c1-4c4f-a249-d3dc6b3d64b0.jpg?v=1759898907|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3634bac4_20240508_a1715168204466_5635_jpg_fc619dde-708d-4e44-b02d-45dcb2a83d28.jpg?v=1759898907,Hi I want Jimmy 25 Azie Colorblock Sandal 11CM Brown Calfskin 240110,New
Jimmy Azia 95 Sandal Black Patent Leather,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839736034_1101_jpg_9d1e5968-a76e-47e2-ad04-5bf57b65b4e1.jpg?v=1759900638,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839736034_1101_jpg_9d1e5968-a76e-47e2-ad04-5bf57b65b4e1.jpg?v=1759900638|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839735027_8272_jpg_7437e595-db33-4f97-903d-8f26319c9569.jpg?v=1759900638|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839734069_0083_jpg_77225ad0-22fd-47de-a589-51f7e19ccb80.jpg?v=1759900638|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839734553_2125_jpg_85cf8558-745d-44ca-b212-d8bcf172d134.jpg?v=1759900638|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839735279_4510_jpg_b987dd90-56ea-4a60-9e86-91d024ce4e36.jpg?v=1759900638|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839735528_4104_jpg_9e06daef-7fee-495f-a81f-5d94351ccb34.jpg?v=1759900638|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839735773_2354_jpg_4fe10b3d-4df3-4574-83ac-7da037e6481a.jpg?v=1759900638|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240923140857_5c501fcb-eaea-431b-91ce-b2965157b394.jpg?v=1759900638|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839734302_7071_jpg_ad750fce-b71d-4022-9fa2-654c43c5b174.jpg?v=1759900638|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220402_a1648839734784_0358_jpg_2552ba1a-d1d3-4a55-b1fb-d50c28a1f9d3.jpg?v=1759900638,Hi I want Jimmy Azia 95 Sandal Black Patent Leather,
Jimmy Saeda 105 In White Pearl Studded Lambskin Pumps 581507,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_8563_6_jpg_51860d0f-6e6e-4feb-ad9b-17cce88c099d.jpg?v=1759899269,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_8563_6_jpg_51860d0f-6e6e-4feb-ad9b-17cce88c099d.jpg?v=1759899269|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_1870_4_jpg_b60ce706-0321-4676-9b96-d11ba2a73667.jpg?v=1759899269|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_2315_7_jpg_0eb7d53f-f0fb-445a-815b-48aa5fb14a1c.jpg?v=1759899269|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_3522_3_jpg.jpg?v=1759899269|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_3600_8_jpg_7543c4cb-9c91-4cdd-a3d1-6b833a2ad575.jpg?v=1759899269|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_5484_0_jpg_528aeec8-7e27-4ad2-9264-95cc1a91c564.jpg?v=1759899269|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_6112_5_jpg_b9a05218-4745-4bcc-9f6d-42133cf7db34.jpg?v=1759899269|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_6938_1_jpg_614c80ba-5d25-4900-b5b4-e149e59bd61e.jpg?v=1759899269|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20240423_i1713872269_7857_2_jpg_731fe6f8-40e3-4813-8587-e8e00f7abec0.jpg?v=1759899269,Hi I want Jimmy Saeda 105 In White Pearl Studded Lambskin Pumps 581507,
Jimmy Diamond Sling In White Nappa Leather Slipper Trainers 583132,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_7595_4_jpg_fb32fd74-b505-40f2-9d8a-82b0ebc33666.jpg?v=1759899299,footwear,jimmy-choo,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_7595_4_jpg_fb32fd74-b505-40f2-9d8a-82b0ebc33666.jpg?v=1759899299|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_4237_0_jpg_2fbc68f5-7e26-4bf0-9dbb-ec83b508de4f.jpg?v=1759899298|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_1369_1_jpg_0fe06a01-dd1a-48aa-bff5-6702325228cd.jpg?v=1759899298|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_1715_3_jpg_a51d299f-504b-4779-ab33-f9723a79f3e4.jpg?v=1759899298|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_2415_5_jpg_37e506a1-8263-44c1-a283-a605a103b1d8.jpg?v=1759899299|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_4637_10_jpg_b53ce463-834a-4275-b931-bbda15833497.jpg?v=1759899298|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_4741_7_jpg_5b12d0bf-8a66-4a3f-ae33-52b041203a70.jpg?v=1759899299|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_7426_8_jpg_30b56b49-8f93-4015-b153-5e500a50bcce.jpg?v=1759899298|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e5f0c1b9_20240419_i1713540769_9786_9_jpg.jpg?v=1759899298,Hi I want Jimmy Diamond Sling In White Nappa Leather Slipper Trainers 583132,
