name,image,category,brand,images,whatsapp_text,badge
Prada 25 Mule Brown Cowhide Suede 247793,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340438977_7092_0_4_jpg_8eb9ce69-6a7c-485d-86bb-ed512d4dd6c1.jpg?v=1773309470,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340438977_7092_0_4_jpg_8eb9ce69-6a7c-485d-86bb-ed512d4dd6c1.jpg?v=1773309470|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340437873_7654_0_0_jpg_40c6b783-6465-477a-92eb-29dad396939f.jpg?v=1773309470|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340438953_8998_0_8_jpg_282eb50c-253c-459d-b85e-2dbe634e4ff0.jpg?v=1773309470|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340438974_2663_0_7_jpg_c749d8a5-e255-4666-aa4e-86d0ae64b5ea.jpg?v=1773309470|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340437860_1770_0_5_jpg_9eb53ed4-17bb-4d60-bf68-867275dedc2f.jpg?v=1773309470|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340437868_4928_0_1_jpg_c0f870c2-7b0c-498b-8b4b-c531f7f0abf1.jpg?v=1773309470|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340437949_5194_0_3_jpg_3b095f6a-9167-4ac0-a7c4-fca2709860b0.jpg?v=1773309470|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340437951_2707_0_6_jpg_5eed4425-5373-4839-b802-f7564cb2ae99.jpg?v=1773309470|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a15e1522_20250319_i1742340438912_180_0_2_jpg_9a60bfc9-1320-487f-8155-c6efc0f70c2e.jpg?v=1773309470,Hi I want Prada 25 Mule Brown Cowhide Suede 247793,New
PRA Furry Half-Slipper Brown Suede 478567,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_4934_3_jpg_4cc57c3e-2d1a-426a-935d-ecca547278a6.jpg?v=1759911880,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_4934_3_jpg_4cc57c3e-2d1a-426a-935d-ecca547278a6.jpg?v=1759911880|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_7048_1_jpg_e66dad0c-22ca-44b3-a7a2-c4405e92e0ec.jpg?v=1759911880|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_1678_2_jpg_65a05e92-ec32-4790-96b8-5b0c10a32537.jpg?v=1759911880|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_1868_7_jpg_017041c3-f1ee-4eb3-9361-827f98f28090.jpg?v=1759911881|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_2788_8_jpg_6497aaf9-8d26-450f-9530-624d39d3403f.jpg?v=1759911881|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_3583_4_jpg_95c64779-d9af-436c-9975-0eca22dd3412.jpg?v=1759911880|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_8948_0_jpg_ed36fcc1-9310-4f8a-839a-d284447043e2.jpg?v=1759911880|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_9457_6_jpg_4f7f693c-412c-4bb3-bba2-f8cdce5c77f1.jpg?v=1759911880|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240925_i1727279015_9701_5_jpg_21a307ad-3874-46ab-8362-80c797a101f5.jpg?v=1759911880,Hi I want PRA Furry Half-Slipper Brown Suede 478567,New
Pra Beige Suede Leather Mule 25mm Rubber Sole,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_7085_2_jpg_2ccdf61e-5f92-4c6e-8c49-dd734a6c35c0.jpg?v=1759912639,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_7085_2_jpg_2ccdf61e-5f92-4c6e-8c49-dd734a6c35c0.jpg?v=1759912639|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_4905_5_jpg_03f4148f-9c7c-4ac8-9fd6-3d358c9cd826.jpg?v=1759912639|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_2410_4_jpg.jpg?v=1759912639|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_4736_3_jpg_cb1b58a1-ae04-41e9-a899-29c21fa80739.jpg?v=1759912639|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_6176_7_jpg_fe3cf10c-eb00-41d1-81e4-5ad2c03e7bcb.jpg?v=1759912639|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_6356_8_jpg_345dfaa1-d7a7-4b08-ba8f-682bcdcf6430.jpg?v=1759912639|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_6666_1_jpg.jpg?v=1759912639|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_9426_6_jpg.jpg?v=1759912639|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_9301c5e6_20240513_i1715613080_9435_0_jpg_a224620a-dc5e-4842-8ca9-257000d05e56.jpg?v=1759912639,Hi I want Pra Beige Suede Leather Mule 25mm Rubber Sole,
Pra Mule 20mm Light Brown Suiede Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_5123_0_jpg_e32e7144-2653-4279-8ff2-dcb3829d6c66.jpg?v=1759912824,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_5123_0_jpg_e32e7144-2653-4279-8ff2-dcb3829d6c66.jpg?v=1759912824|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_3303_5_jpg_62fc111a-248a-41ac-9983-b294e1c119e2.jpg?v=1759912824|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_2384_7_jpg_b797858a-5117-4fe8-8b40-2cca18f65532.jpg?v=1759912824|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_4247_2_jpg.jpg?v=1759912824|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_5923_1_jpg_1d042ff3-842f-41b9-a583-37dfc4ddec68.jpg?v=1759912824|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_5980_6_jpg_7de18130-8ace-4aeb-84a4-70adb6ed5198.jpg?v=1759912824|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_7427_3_jpg.jpg?v=1759912824|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_8619_8_jpg.jpg?v=1759912824|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313909_6072_4_jpg_6e325837-f5e4-4dbd-a1b2-cae797c36d99.jpg?v=1759912824,Hi I want Pra Mule 20mm Light Brown Suiede Calfskin,
PRA RE-NYLON GABARDINE APRÃË†S SKI BOOTIES BLACK,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230829_a1693302149425_1506_jpg_ae2e3d42-3fc6-4a12-8402-bb6dc1c0fbe1.jpg?v=1759913200,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230829_a1693302149425_1506_jpg_ae2e3d42-3fc6-4a12-8402-bb6dc1c0fbe1.jpg?v=1759913200|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230829_a1693302149127_1312_jpg_781314d3-4f1d-40eb-b5ff-818613413945.jpg?v=1759913200|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230829_a1693302149697_3210_jpg_77e55a57-0a5d-4a26-af52-6d07ca3ecba7.jpg?v=1759913201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230829_a1693302150203_0182_jpg_6e3707f5-8626-453d-bf4b-c67da7d24388.jpg?v=1759913200|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230829_a1693302150619_8220_jpg_47e27ff5-2b38-4622-8b64-9be08e72b08e.jpg?v=1759913201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230829_a1693302151057_7524_jpg.jpg?v=1759913201,Hi I want PRA RE-NYLON GABARDINE APRÃË†S SKI BOOTIES BLACK,
PRA RE-NYLON AND LEATHER BOOTIES BLACK,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225551_8277_1_jpg_eed03d1e-b29f-4f7c-8e47-adc32248110a.jpg?v=1759913484,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225551_8277_1_jpg_eed03d1e-b29f-4f7c-8e47-adc32248110a.jpg?v=1759913484|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225551_1593_5_jpg_22e27eda-a1fd-4744-a2a6-f32b62dd7447.jpg?v=1759913484|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225551_706_8_jpg_9fb2479a-b9ea-45c5-8776-438866b07f35.jpg?v=1759913484|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225551_1961_3_jpg_5d07066e-16d6-4112-b5f6-8cb8a6760f6b.jpg?v=1759913484|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225551_5243_7_jpg_8f48a21f-5532-4071-ac0d-644d1df0f401.jpg?v=1759913484|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225556_1485_0_jpg_4e6095d9-f22d-4f63-91dd-4c092a3da6b1.jpg?v=1759913484|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225555_5136_0_jpg.jpg?v=1759913484|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225555_63_0_jpg_862dfa2b-4e6c-4780-94c5-a3ac64862d7f.jpg?v=1759913484|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d7235fc4_20240717_i1721225555_5417_0_jpg_baa0ebdc-28a1-439e-9556-a639244f7f9a.jpg?v=1759913484,Hi I want PRA RE-NYLON AND LEATHER BOOTIES BLACK,
PRA PATENT LEATHER SLINGBACK PUMPS 75 PINK NUDE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017622_5374_5_jpg_b2c909c9-fb36-498a-b3be-b1caee577e5d.jpg?v=1759913021,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017622_5374_5_jpg_b2c909c9-fb36-498a-b3be-b1caee577e5d.jpg?v=1759913021|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017622_7121_8_jpg_1f45535f-8881-4248-80d8-e724d6299c14.jpg?v=1759913021|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017622_5750_2_jpg_fd81011c-c5bf-4e35-8b2b-21c87490cb1d.jpg?v=1759913021|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017622_3118_4_jpg_81d5a7dc-2fae-44de-a337-32ffd24a7c94.jpg?v=1759913022|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017621_5473_0_jpg_4fedfc51-450e-48b2-bfac-f269f2a1cfab.jpg?v=1759913021|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017621_5202_1_jpg_273d7166-d26f-4333-bd09-b95e4fb8b010.jpg?v=1759913021|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017622_101_6_jpg_93b6a081-ae0b-40f4-90c1-04a07dcb6b6b.jpg?v=1759913022|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017622_1916_3_jpg_bb9d1515-93d7-4916-aed7-10c3000cde45.jpg?v=1759913021|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_62c75689_20240703_i1720017622_8307_7_jpg_10fcb9c7-b778-489b-9946-d839c415762a.jpg?v=1759913021,Hi I want PRA PATENT LEATHER SLINGBACK PUMPS 75 PINK NUDE,
Pra Mule 20mm Black Suede Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_3530_4_jpg_12181b3c-45a7-41ba-ad1e-fb005791a8fa.jpg?v=1759912815,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_3530_4_jpg_12181b3c-45a7-41ba-ad1e-fb005791a8fa.jpg?v=1759912815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_963_2_jpg_0e7a8842-799b-497a-9d82-d6dd092bab4d.jpg?v=1759912815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_6318_1_jpg_48858117-f832-4dea-8cb6-833aecd02080.jpg?v=1759912815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_2679_3_jpg_3ec4c150-5a0b-424c-9c2b-0fd9e8545a5f.jpg?v=1759912815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_6896_6_jpg_28729493-0153-4d2b-ace7-a3eab1875152.jpg?v=1759912815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_9013_7_jpg_c9d39a55-aaee-4ab3-9e60-638aadabd87f.jpg?v=1759912815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_6991_8_jpg_b19ec659-5cd1-4294-bff8-f227b0c91b79.jpg?v=1759912815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_9769_5_jpg_e28dc9db-91fd-40e9-826f-e4e0bd2b5202.jpg?v=1759912815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2de0ff0e_20240417_i1713313926_1000_0_jpg_0dfc9af8-1a6a-4389-9241-ee4ca4c304b3.jpg?v=1759912815,Hi I want Pra Mule 20mm Black Suede Calfskin,
PRA ankle boots black suede 443663,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253597715_6007_0_4_jpg_7f13e290-17e0-4f29-9f8e-26c578960320.jpg?v=1759911964,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253597715_6007_0_4_jpg_7f13e290-17e0-4f29-9f8e-26c578960320.jpg?v=1759911964|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253591332_4531_0_8_jpg_4372f248-5ae8-4936-a76d-886d7612131a.jpg?v=1759911964|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253610915_6427_0_7_jpg_20122e6f-a975-4304-84cd-8c688cb34f58.jpg?v=1759911964|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253591445_9301_0_3_jpg_4725b452-fee1-4110-b747-334616993d44.jpg?v=1759911964|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253597974_7278_0_1_jpg_7ad8e898-e992-4404-bf1f-9087e4c1208c.jpg?v=1759911964|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253597997_5097_0_2_jpg_6b1e53b8-d7ad-4424-bf66-a9e264740bbc.jpg?v=1759911964|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253598006_3853_0_6_jpg_5530e5e9-ba1e-415e-8083-84272b65ed66.jpg?v=1759911964|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253610834_7041_0_0_jpg_d0e6a23d-aaa3-4d5f-b405-101ded766492.jpg?v=1759911964|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_81f0149c_20250907_i1757253610879_75_0_5_jpg_80b274e5-1375-44d4-8e04-0ca350af7f3b.jpg?v=1759911964,Hi I want PRA ankle boots black suede 443663,New
PRA BRUSHED LEATHER MONOLITH LOAFERS GLOSSY BLACK,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_1935_2_jpg_988c7845-df80-421a-b9e6-54525bbdb4a1.jpg?v=1759913557,footwear,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_1935_2_jpg_988c7845-df80-421a-b9e6-54525bbdb4a1.jpg?v=1759913557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_432_0_jpg_d433a7cf-6f99-4bb7-964a-17360195bfdc.jpg?v=1759913557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_9389_1_jpg_f4b02086-fce2-4563-9f5b-b89afdc3f3c7.jpg?v=1759913557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_8553_5_jpg_327ca5d9-411d-4a2a-8fda-622dc44f3f9e.jpg?v=1759913557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_7967_3_jpg_add27495-13da-46c3-a211-67696fbb3827.jpg?v=1759913557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_1322_6_jpg_a465e258-73f8-4fe4-8584-c13cd588fbc8.jpg?v=1759913557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_5813_4_jpg_08b9a329-53d7-460d-93fc-482f924b2124.jpg?v=1759913557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_7526_7_jpg_756d1ffe-bd91-43c7-b472-c6d56da8c72a.jpg?v=1759913557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231221_i1703158674_5650_8_jpg_90297f8a-d143-4984-8082-0bdc59f5d5b1.jpg?v=1759913557,Hi I want PRA BRUSHED LEATHER MONOLITH LOAFERS GLOSSY BLACK,
