name,image,category,brand,images,whatsapp_text,badge
Valentino Roman Stud Sandal 65mm Calfskin 239546,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516812331_1774_jpg_2b210a37-1c03-4f53-b9da-0029a2c526cc.jpg?v=1778147532,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516812331_1774_jpg_2b210a37-1c03-4f53-b9da-0029a2c526cc.jpg?v=1778147532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637517036549_3872.jpg_1_18b21850-fba5-46c3-abc7-5e8a8962a794.jpg?v=1778147532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637517036649_8062.jpg_1_af835118-c2ff-4fc0-b47d-96c0ccc5f65c.jpg?v=1778147532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516811821_3006_jpg_8106d8f5-6900-47a0-a6e1-5cdb58bad219.jpg?v=1778147532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516811920_5536_jpg_bde7af80-3fd5-47be-bcdb-1e22df8baff3.jpg?v=1778147532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516853118_0280.jpg_1_f297eda8-59d6-43c1-bac1-8afc1babf52b.jpg?v=1778147532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516853238_7881.jpg_1_5adefd9f-4150-4f91-ae7b-4c3fcb45cebc.jpg?v=1778147532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516888104_3340_jpg_378a7e30-1991-4f62-8725-8a4f95ee8d2a.jpg?v=1778147532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516888221_7772_jpg_6207edc3-d440-44ad-b924-256dfcdadba4.jpg?v=1778147532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516979098_2200_jpg_68d91678-b7f8-4086-a48f-a1fc68e2a01f.jpg?v=1778147533|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211122_a1637516979200_1016_jpg_4b6f03ed-0db7-46f2-bc05-4e1274b251a2.jpg?v=1778147532,Hi I want Valentino Roman Stud Sandal 65mm Calfskin 239546,New
VT Rockstud Ballet Flat Nude Goatskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188394291_9834_0_1_jpg_c874958c-b6eb-4cc3-82bf-79884f72e666.jpg?v=1759915243,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188394291_9834_0_1_jpg_c874958c-b6eb-4cc3-82bf-79884f72e666.jpg?v=1759915243|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188394290_321_0_4_jpg_3a822a82-015d-453d-9699-3e5f535ea177.jpg?v=1759915243|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188394291_2332_0_3_jpg_8c8042ef-c065-495b-abe3-d4e63f57e04b.jpg?v=1759915243|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188394292_1897_0_0_jpg_53f70c66-c460-4820-8343-4d872c1f4841.jpg?v=1759915243|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188394299_8480_0_5_jpg_0f577feb-b445-4ba8-8c83-c320f3bd69ca.jpg?v=1759915243|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188397048_6651_0_7_jpg_02eed292-f219-4e06-b6e6-362ac045c05d.jpg?v=1759915243|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188397051_9966_0_2_jpg_cff51395-a5da-4087-b35d-e16548acb604.jpg?v=1759915243|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188400207_7205_0_6_jpg_62ade937-b18c-4757-a453-c8db05167753.jpg?v=1759915243|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_f8c60618_20250210_cmp_i1739188400214_5036_0_8_jpg_537d46d8-b198-4a83-9577-08a96e4d7b9c.jpg?v=1759915243,Hi I want VT Rockstud Ballet Flat Nude Goatskin,New
Valentino Rockstud Slide Sandal Leather 239516,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622475557_x82055_eb25ea25-a374-4813-a848-c857ba5e250d.jpg?v=1778147537,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622475557_x82055_eb25ea25-a374-4813-a848-c857ba5e250d.jpg?v=1778147537|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545111838856_x26215_bcdb5c06-d051-4fd3-9294-3cc8935adb36.jpg?v=1778147536|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545111841155_x63542_8eb2bd35-79b6-43a8-8a24-e6fa7f7cfe7f.jpg?v=1778147536|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622470871_x76146_6426d63c-d758-4fa5-8679-0f929891b56e.jpg?v=1778147536|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622471572_x56320_f161a4b6-2c3a-4269-88d6-d96439f5442e.jpg?v=1778147536|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622429602_x92824_fda18131-a4ed-4ede-b846-35b3e5417340.jpg?v=1778147536|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622430491_x1941_53e7dd9d-6625-40ee-a7c3-8b600c261b9f.jpg?v=1778147536|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622381312_x20542_d4095b86-2b08-4525-b280-5bd76ec2327e.jpg?v=1778147536|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622379940_x6911_fdd8613f-f1d3-404f-9b94-fd83975f54f7.jpg?v=1778147537|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622344203_x41581_042dc063-c3c6-409a-90de-fe9dc320a998.jpg?v=1778147537|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622346152_x41924_335ece5d-a7ed-4555-9d99-a835a9f245b3.jpg?v=1778147537|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622296606_x22702_3471a0ae-8a97-4913-b6fb-b89c06110a7b.jpg?v=1778147537|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/t1545622300724_x64810_c6a3761e-e5e5-4ed4-9de8-08756b552240.jpg?v=1778147536,Hi I want Valentino Rockstud Slide Sandal Leather 239516,New
Valentino Slingback Pump Demin Blue Demin Fabric 239598,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900095_1835_jpg_b0ce1190-7df6-4574-b6f5-9b8fd110a122.jpg?v=1778147521,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900095_1835_jpg_b0ce1190-7df6-4574-b6f5-9b8fd110a122.jpg?v=1778147521|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900082_0240_jpg_16c32d66-9256-419f-90bb-36b64244ae8f.jpg?v=1778147521|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900117_2717_jpg_4702a4b6-2c4d-4a00-9f2e-7a314da22a8c.jpg?v=1778147521|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900131_0385_jpg_ec59c36f-e188-4e2d-a766-ae0b3739f67f.jpg?v=1778147521|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900136_4883_jpg_640cb759-46dd-4902-b4d9-56f31f06dbad.jpg?v=1778147521|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900145_4314_jpg_fc02db55-5c81-43f5-8596-6214d19bfcc5.jpg?v=1778147521|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900152_7447_jpg_1e3ed1c3-e944-4f45-be0c-2869c5d54a30.jpg?v=1778147521|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900158_5667_jpg_11a2720e-00cd-41aa-9ff1-2beba03ab7b9.jpg?v=1778147521|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220925_a1664096900167_7126_jpg_9144c395-3c44-41aa-b74a-07a1bfbec136.jpg?v=1778147521,Hi I want Valentino Slingback Pump Demin Blue Demin Fabric 239598,New
Double Rockstud Grainy Calfskin Wedge Sandal In Light Yellow Metallic Cowhide And Raffia 852839,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008381_6573_8_jpg_bd4a10b0-289d-46d1-9512-9e80038677b3.jpg?v=1778147541,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008381_6573_8_jpg_bd4a10b0-289d-46d1-9512-9e80038677b3.jpg?v=1778147541|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008380_651_5_jpg_2d651242-9cce-481d-bb1c-a729bfc77ff2.jpg?v=1778147541|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008380_657_2_jpg_79ce8f15-2813-49e3-ab09-fb947c9322e4.jpg?v=1778147541|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008380_1504_0_jpg_ea41e5f2-a249-4033-9109-e9a0b9f63447.jpg?v=1778147541|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008380_1921_3_jpg_62337988-a03b-426f-ab5b-74d2f111bbb5.jpg?v=1778147541|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008380_3587_1_jpg_ca66cbd6-c08a-4616-904c-380a7ac45398.jpg?v=1778147541|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008380_6146_4_jpg_725a40f7-3532-4009-b9d7-a84d8e7c5f47.jpg?v=1778147541|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008381_3297_7_jpg_48e97354-b8e0-44d7-9fd9-a0a19b9a636c.jpg?v=1778147541|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_0eeb420b_20240819_i1724008381_4971_6_jpg_595f4eb8-baf3-4a1f-9160-1f5c6d103cab.jpg?v=1778147541,Hi I want Double Rockstud Grainy Calfskin Wedge Sandal In Light Yellow Metallic Cowhide And Raffia 852839,
Valentino Roman Stud Sandals Flat Sheepskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157811_7595_7_jpg_5edc4151-5433-4e79-9482-b2aba357a338.jpg?v=1778147519,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157811_7595_7_jpg_5edc4151-5433-4e79-9482-b2aba357a338.jpg?v=1778147519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157954_2563_3_jpg_4d9181b5-e4eb-4747-8f49-7a657d9d5691.jpg?v=1778147518|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157954_2863_4_jpg_9b331e57-5f67-4249-90d3-9f8406dc49e2.jpg?v=1778147518|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652159488_6029_3_jpg_3a6c63c6-75e4-46f9-8b78-3cef16c41b62.jpg?v=1778147518|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652159488_6593_1_jpg_caee2061-821a-4e4f-804d-23fd69520ebf.jpg?v=1778147519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652158103_4552_2_jpg_a4f4beb8-06f5-408f-acbe-c8afd7b5c27a.jpg?v=1778147518|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652158103_5039_1_jpg_f6eda35c-fa3e-4b2a-9355-994efd45cd64.jpg?v=1778147518|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652158187_9977_1_jpg_575e36d8-6ce2-417a-8b7b-7e53c6fbf1b9.jpg?v=1778147519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652159640_7585_0_jpg_97bc0171-2e44-464d-8029-74f2e8a3781d.jpg?v=1778147518|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157811_190_5_jpg_20832780-a82b-4b5d-96c9-29952d925d3d.jpg?v=1778147519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157811_1913_2_jpg_1d046910-bede-4dc6-86d4-d725420abc55.jpg?v=1778147518|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157170_745_0_jpg_db1e80b2-7ea5-4176-8976-57bb9140a6f4.jpg?v=1778147519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157170_523_1_jpg_cd0be4d5-ecbe-4ca8-a8fb-409a71c7326c.jpg?v=1778147519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157585_2079_0_jpg_0aa6985a-5f05-4896-bf13-7b8c09084bd6.jpg?v=1778147518|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157585_2473_5_jpg_c606803c-8f0c-4f7a-a965-1bc182de1602.jpg?v=1778147519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157747_215_1_jpg_bdd2471a-ac06-448a-ac77-2bb90ff6ac29.jpg?v=1778147518|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220510_i1652157747_563_5_jpg_c20be844-bfa5-4d2e-845a-32569d1df712.jpg?v=1778147518,Hi I want Valentino Roman Stud Sandals Flat Sheepskin,New
Valentino Slingback Pump 70mm Sheepskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854070567_2146_jpg_483ddc10-cd36-4318-b197-b12410334e21.jpg?v=1778147499,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854070567_2146_jpg_483ddc10-cd36-4318-b197-b12410334e21.jpg?v=1778147499|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854311409_4463_jpg_6ea70741-f7dc-41a9-8194-79d6325f9236.jpg?v=1778147499|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854369255_3264_jpg_d0ca839c-6c77-4a9e-95eb-667302e9e399.jpg?v=1778147499|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854370864_1114_jpg_8387aa3c-bfb4-47b4-9d4a-d4e83c1d0578.jpg?v=1778147498|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854410691_4330_jpg_75d0038b-aa6d-4fa1-8ffd-45823fa24ce5.jpg?v=1778147498|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854192441_7804.jpg_1_c63cdd95-e64c-4dfb-aed4-d4cfa8bfc0e0.jpg?v=1778147499|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854066499_6632_jpg_79c359d1-4d89-421c-baf6-7278b433f4a5.jpg?v=1778147499|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854061865_2330_jpg_814741e8-20b5-472c-843c-3f7faa7ed0bc.jpg?v=1778147498|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854190562_5264.jpg_1_ab983fb0-7192-44a9-87f2-3460a755d5b6.jpg?v=1778147499|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854191219_2322.jpg_1_d6a1cc20-2818-49e9-86a4-e13eed6cacaf.jpg?v=1778147499|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854191942_4525.jpg_1_50f934f8-feb4-46a0-ad0d-596534e3be95.jpg?v=1778147499|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854236785_4175_jpg_b833239d-7042-4633-8af7-4fc02325b666.jpg?v=1778147498|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854237840_3717_jpg_ad30372a-9176-47cb-9b00-27882a7888ec.jpg?v=1778147498|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200322_a1584854308222_0260_jpg_6b8b80a9-289f-401b-82eb-c7f1d37d7bd1.jpg?v=1778147498,Hi I want Valentino Slingback Pump 70mm Sheepskin,New
The Bold Edition Vlogo Slingback 65 Deep Mouth Half Drag Heels Brown Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050851173_1217_jpg_1283d66d-8dc8-4919-85f9-b12006b054e2.jpg?v=1759919253,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050851173_1217_jpg_1283d66d-8dc8-4919-85f9-b12006b054e2.jpg?v=1759919253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050850135_5526_jpg_ad50fb1b-8308-418c-88c2-19c1577bdbe8.jpg?v=1759919254|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050850059_8258_jpg_a87eb114-4703-421a-a6bf-edad9fd68e6f.jpg?v=1759919254|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050850091_0738_jpg_5c9031ad-170c-4a57-a4a5-30a940fefeb8.jpg?v=1759919253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050850160_6355_jpg_14685912-d4f3-4e4e-aafa-2985d8231f40.jpg?v=1759919254|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050850164_3532_jpg_fbd16864-6040-4c66-843a-209b72a31723.jpg?v=1759919253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050851160_4463_jpg_ea561fd6-da03-4f54-ba33-ab5e3aed6d00.jpg?v=1759919253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050851173_7746_jpg_92569c58-b71c-4d3e-8615-8afec8b76cac.jpg?v=1759919253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5245d8c6_20240425_a1714050850087_3426_jpg_d6c1d2c6-62a1-4b88-a4c8-ec7e6a34b3a6.jpg?v=1759919254,Hi I want The Bold Edition Vlogo Slingback 65 Deep Mouth Half Drag Heels Brown Calfskin,
Rockstud sandals 60 brown beige calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200914_i1600078126_71_0_jpg_1b74424a-eb0a-4d33-9319-12665faaaab5.jpg?v=1778147471,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200914_i1600078126_71_0_jpg_1b74424a-eb0a-4d33-9319-12665faaaab5.jpg?v=1778147471|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200914_i1600078126_5548_3_jpg_cde9b273-ba32-41c2-b880-23e34499f0f0.jpg?v=1778147471|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200914_i1600078126_9077_4_jpg_cf33abe2-30f8-4134-8438-59bbe9c4abd5.jpg?v=1778147471|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200914_i1600078126_2957_2_jpg_2e20ac9f-b942-445d-ad24-62ae858ebe1d.jpg?v=1778147471|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200914_i1600078126_7782_1_jpg_060ccaa2-6ed0-4feb-9638-68a8666b87f7.jpg?v=1778147471,Hi I want Rockstud sandals 60 brown beige calfskin,New
VT long boots chocolate brown suede 174425,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806446999_2946_0_2_jpg_b2bec125-2861-4129-8082-557bd4bd7995.jpg?v=1759915029,footwear,valentino,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806446999_2946_0_2_jpg_b2bec125-2861-4129-8082-557bd4bd7995.jpg?v=1759915029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806446999_8814_0_3_jpg_547ebee4-c27c-40be-b254-b515c68ac13e.jpg?v=1759915029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806446999_9111_0_6_jpg_a8605326-a503-4ce9-9c4e-4fceb568f8f4.jpg?v=1759915029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806446999_9732_0_4_jpg_ae4408c2-486c-4254-9cd6-796ec6c220e5.jpg?v=1759915029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806448875_7968_0_8_jpg_3a98ed79-6577-48f3-a47a-7faaef8a8a78.jpg?v=1759915029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806449249_7544_0_7_jpg_7d4246ea-9c64-4340-9a14-c1ebaf9f8747.jpg?v=1759915029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806449252_1447_0_5_jpg_39760e07-0cf4-44d9-bd7a-8d2c849d34c2.jpg?v=1759915029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806446993_6433_0_0_jpg_75658b3e-bcfb-4628-ae51-604993cdb594.jpg?v=1759915029|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20250902_cmp_i1756806449253_9732_0_1_jpg_6c578577-7644-41f6-a0c5-160a54d021e3.jpg?v=1759915029,Hi I want VT long boots chocolate brown suede 174425,New
