name,image,category,brand,images,whatsapp_text,badge
SL LE LOAFER BLACK CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677560552_8427_2_jpg_dd351d34-22af-4647-a21b-1126dd84ad33.jpg?v=1759918271,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677560552_8427_2_jpg_dd351d34-22af-4647-a21b-1126dd84ad33.jpg?v=1759918271|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677560552_8877_0_jpg_5fc85b36-a8b1-4e69-8af6-5ce656fd7fb5.jpg?v=1759918272|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677560552_9964_1_jpg_e5c27e7e-5172-4a62-9294-cd5b3e90cba4.jpg?v=1759918271|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677561267_5928_1_jpg_4bf7499f-94cd-438b-80ed-f99678b16199.jpg?v=1759918271|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677561227_9167_0_jpg_ab1e15d1-6f59-47d0-bb66-6d975c6ce332.jpg?v=1759918271|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677561267_3718_0_jpg_3eccbd03-7023-4ce4-b54e-f62f2e3cb7b7.jpg?v=1759918271|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677561267_2817_3_jpg_c462b7a1-5a88-44ce-8d08-606c69159d9e.jpg?v=1759918271|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677561267_7920_2_jpg_93e069e4-f5e0-468b-a0ec-5490fec8ac6c.jpg?v=1759918271|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230228_i1677561227_9375_1_jpg_b7a0207f-f945-43a3-9305-77c9041308c6.jpg?v=1759918271,Hi I want SL LE LOAFER BLACK CALFSKIN,
SL BABYLONE MULES 10 BLACK SMOOTH CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175435103_7854_jpg_0031dbc6-2316-447b-8f15-f08e73109f40.jpg?v=1773309231,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175435103_7854_jpg_0031dbc6-2316-447b-8f15-f08e73109f40.jpg?v=1773309231|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175435051_4287_jpg_07e8cd79-5d15-440a-99fc-c8b64525eb22.jpg?v=1773309231|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175436295_8280_jpg_3eb4a0d4-9c21-4568-95fd-f35d309c9bb9.jpg?v=1773309231|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175436280_2062_jpg_4acaf468-a623-4c7f-8a0c-38527a6b4cd8.jpg?v=1773309231|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175436263_1545_jpg_cbfbd286-0af1-43d5-84d3-9e81d759ba7f.jpg?v=1773309231|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175435130_7551_jpg_cf8d2d03-e9e1-4c96-bad2-46fa1a038dc2.jpg?v=1773309231|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175435091_8453_jpg_30b64f84-e227-4bd0-8234-23689aba5108.jpg?v=1773309231|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175435101_3480_jpg_b9f1df8c-c2fc-4eb8-9731-d35438744f6d.jpg?v=1773309231|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175435100_6705_jpg_99047dea-cbb4-401e-a6a3-c321fb1f99c3.jpg?v=1773309231,Hi I want SL BABYLONE MULES 10 BLACK SMOOTH CALFSKIN,
SL LE LOAFER SYRUP CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_1571_2_jpg_d37061de-ee9e-4321-9590-f34e83ca2c3b.jpg?v=1759918275,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_1571_2_jpg_d37061de-ee9e-4321-9590-f34e83ca2c3b.jpg?v=1759918275|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_2368_0_jpg_f590fe09-7746-4232-ae8d-943c7c584f30.jpg?v=1759918275|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_5117_1_jpg_b20a805a-0da7-43aa-8a3a-118f891a171b.jpg?v=1759918275|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_9405_7_jpg_425e003d-e0b3-4846-abfb-d2f8773e4d3b.jpg?v=1759918276|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_9474_3_jpg_4561e25b-b43a-46da-b488-d98635a9c538.jpg?v=1759918275|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_4436_6_jpg_3321e1fa-9bec-4836-a3ca-23b60ee10699.jpg?v=1759918277|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_4654_5_jpg_18bc31e4-7fdc-4fc5-b1eb-4bc1121b01ba.jpg?v=1759918275|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_4582_8_jpg_9f511379-8f9f-4d1c-9471-ac3afebbd9fc.jpg?v=1759918275|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230709_i1688892994_5162_4_jpg_21ce4299-44f4-477c-909d-7a13be13a3c2.jpg?v=1759918275,Hi I want SL LE LOAFER SYRUP CALFSKIN,
YSL 2025 Loafer Black Cowhide 174547,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938303970_666_0_0_jpg_07310f37-a202-49e0-acc7-091b55a2e921.jpg?v=1759914994,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938303970_666_0_0_jpg_07310f37-a202-49e0-acc7-091b55a2e921.jpg?v=1759914994|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938305309_8202_0_2_jpg_1f506003-49b1-48e3-a2cc-68f29e84b12e.jpg?v=1759914995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938302244_4691_0_6_jpg_5261bd39-57ff-4886-9901-c2f14c92ae31.jpg?v=1759914995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938302257_5268_0_9_jpg_a8362c10-37e7-4d76-9271-7b788a8a79b7.jpg?v=1759914994|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938302257_5930_0_5_jpg_299235ba-f70c-415d-8538-dcadf7767613.jpg?v=1759914994|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938302276_5414_0_8_jpg_cc58aee5-5180-4a31-9142-c5af9d33503f.jpg?v=1759914994|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938303962_3774_0_1_jpg_64b9186d-66b4-4368-a9ec-91e72ab74c7e.jpg?v=1759914995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938303977_9481_0_3_jpg_08fbe45e-8cb5-4aa1-ab1a-e782dbd51881.jpg?v=1759914994|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938303978_2990_0_7_jpg_d6920b8e-21ef-4bcc-a716-223505c37cec.jpg?v=1759914995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250812_i1754938303987_4121_0_4_jpg_924324da-556f-4832-82ea-b77c808efb61.jpg?v=1759914995,Hi I want YSL 2025 Loafer Black Cowhide 174547,New
SL JEANNE SLINGBACK PUMPS BLACK CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845288_2204_8_jpg_fe564017-fcc5-459d-8e9a-8f38fc5b52f0.jpg?v=1774229672,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845288_2204_8_jpg_fe564017-fcc5-459d-8e9a-8f38fc5b52f0.jpg?v=1774229672|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845288_183_4_jpg_338463a9-523e-4fa1-96b3-9682471b00fc.jpg?v=1774229672|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845288_9270_7_jpg_eee49f94-58a9-468e-8522-5aa85fdecce6.jpg?v=1774229672|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845288_308_2_jpg_07acda89-1f87-49e0-8e78-a181339fe72f.jpg?v=1774229672|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845288_9592_1_jpg_202d6f2d-c47e-4389-86e7-9d465e35b4fb.jpg?v=1774229672|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845288_9654_0_jpg_04e4ff0c-aae2-4352-93fe-93b072334b1a.jpg?v=1774229672|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845292_1136_0_jpg_ea9fba35-8fa6-45bc-b025-d4fee8480bdb.jpg?v=1774229672|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845288_7168_3_jpg_73a4698a-32fe-48a9-bac1-5526a87ecfc4.jpg?v=1774229672|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_63f7c123_20240725_i1721845288_9857_5_jpg_53384801-4643-4465-8076-5c73f1cf4521.jpg?v=1774229672,Hi I want SL JEANNE SLINGBACK PUMPS BLACK CALFSKIN,
YSL 25 Loafer Brown Black Cowhide Suede 173109,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828217549412_edfd6c68-b333-41cf-8f60-8372e8cc4e0e.jpg?v=1759915000,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828217549412_edfd6c68-b333-41cf-8f60-8372e8cc4e0e.jpg?v=1759915000|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828220926703_f47f7bfc-1099-4175-88c8-e502023a90cc.jpg?v=1759915000|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828216360224_b9337044-d43f-410c-8cd0-138f2c33e622.jpg?v=1759915000|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828218750895_943c61b2-c78f-4f44-82c2-eee3cec37608.jpg?v=1759915000|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828219900144_be1bbb9b-e809-4b48-9e40-c894cb0d96ab.jpg?v=1759915000|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828222166300_d1399aa1-cdc6-4b2d-8127-22515f645641.jpg?v=1759915000|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828223526601_c2258fb9-1aaa-4d09-a5fb-0fdf3db79c6a.jpg?v=1759915000|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828224741094_3bbdd3b5-e1db-4e91-85a3-87e57cf421df.jpg?v=1759915000|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13402828212685584_11b0f495-620f-4049-be24-b7858fb36793.jpg?v=1759915000,Hi I want YSL 25 Loafer Brown Black Cowhide Suede 173109,New
SL TRIBUTE WEDGE SANDALS PINK NUDE POLISHED CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738225384_8511_jpg_e1b327e4-e69d-4338-bae5-c15f493f663a.jpg?v=1759918239,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738225384_8511_jpg_e1b327e4-e69d-4338-bae5-c15f493f663a.jpg?v=1759918239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738226068_6573_jpg_5efaca67-465c-4dd5-bb91-8a5dc692db64.jpg?v=1759918239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738225236_2348_jpg_b48255be-24af-4f6e-9a3a-167060c2e9df.jpg?v=1759918239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738225987_6044_jpg_cef897e3-3309-43b5-a640-88dc057c88bc.jpg?v=1759918239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738225890_2655_jpg_220b124b-ef1b-42b1-a19f-5827f8c490f0.jpg?v=1759918239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738225728_7884_jpg_c19b5a5d-20a5-4085-b0d6-6568f7123b93.jpg?v=1759918239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738225809_7441_jpg_591e9817-e2df-4570-8b78-e9e67f27ed09.jpg?v=1759918239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738225468_8006_jpg_3b52c0f1-6ce1-4de3-b164-931f629b2719.jpg?v=1759918239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230417_a1681738225549_7027_jpg_2624443b-5a34-43aa-b453-1f9d8f27f888.jpg?v=1759918239,Hi I want SL TRIBUTE WEDGE SANDALS PINK NUDE POLISHED CALFSKIN,
BABYLONE SLINGBACK PUMPS IN BLACK GLOSSY CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714446355_4361_0_5_jpg_4bb5b050-8106-4e8e-ae16-13598a570a2d.jpg?v=1759917360,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714446355_4361_0_5_jpg_4bb5b050-8106-4e8e-ae16-13598a570a2d.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714449024_4475_0_2_jpg_cfa455d7-ed85-485e-abf2-92d9b8fde223.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714449131_2962_0_4_jpg_b3f77816-cd21-4a89-8d62-766de23247ed.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714446894_5648_0_0_jpg_20323a6f-6f55-4b38-a96b-2e5bf713c555.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714446758_3411_0_11_jpg_3b6ccb3d-6716-42ba-a38e-06bcc2fdea82.jpg?v=1759917359|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714446214_1074_0_7_jpg_ba7eb765-be41-4293-a796-560186966648.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714446496_1450_0_8_jpg_07aa8597-e139-44f7-bb75-e3aaa334e8b6.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714446642_6525_0_1_jpg_02490f04-736c-43d5-b432-414c6e9af89e.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714447002_7038_0_9_jpg_bbc59506-1cf5-4fa1-9788-2b0f0a8e4d73.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714447138_8975_0_10_jpg_d22b47d3-26d5-466a-a4e7-536cddad8551.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714447264_5032_0_3_jpg_512ebd12-d7f4-43e5-8045-0a8dd7550f02.jpg?v=1759917360|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5a273499_20250113_i1736714447376_6393_0_6_jpg_be2a48c5-c3ad-4b7b-b33a-091b88740bda.jpg?v=1759917360,Hi I want BABYLONE SLINGBACK PUMPS IN BLACK GLOSSY CALFSKIN,
SL OPYUM SANDALS 105 BLACK AND GOLD CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_8830_8_jpg_57bf1d0e-b5da-4841-accd-ccb2c0d38cee.jpg?v=1759917663,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_8830_8_jpg_57bf1d0e-b5da-4841-accd-ccb2c0d38cee.jpg?v=1759917663|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_9593_2_jpg_36bc7f60-a2d7-4486-9c50-b36f43d30698.jpg?v=1759917664|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_5814_4_jpg_3b7f14bf-a52d-4cda-8f61-4072baa87f5b.jpg?v=1759917663|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_67_7_jpg_ebcc116d-2c59-4254-8d8b-31cc16ec7f86.jpg?v=1759917664|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_3721_3_jpg_eb7fefa2-572f-4ef2-9325-b12165d212f6.jpg?v=1759917664|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_86_1_jpg_af4083cb-cdf7-47d4-b2fd-31153dc54a78.jpg?v=1759917664|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_3789_6_jpg_81854727-5576-4e05-b861-df3c96ca7191.jpg?v=1759917663|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_4259_5_jpg_67f748fc-6815-465d-813f-00d3d331c692.jpg?v=1759917664|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4f505fe1_20240414_i1713102922_8184_0_jpg_2ce58f91-ed64-4458-bda7-fd04e0b5761c.jpg?v=1759917663,Hi I want SL OPYUM SANDALS 105 BLACK AND GOLD CALFSKIN,
SL BABYLONE MULES 10 BISQUE SMOOTH CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175360294_3038_jpg_949669d6-1e75-44ab-8526-cd514dddc0ab.jpg?v=1759917742,footwear,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175360294_3038_jpg_949669d6-1e75-44ab-8526-cd514dddc0ab.jpg?v=1759917742|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175357633_1684_jpg_decc0828-4f1d-4178-b710-e736b3c42d77.jpg?v=1759917742|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175360304_1485_jpg_d75b3279-944b-4979-aaca-c44db05e3998.jpg?v=1759917742|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175357600_4830_jpg_15eb55ca-3f8b-410c-9bf4-9b2c1f8b954c.jpg?v=1759917742|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175357700_2630_jpg_97c6109c-857a-4468-a565-c569587ffafa.jpg?v=1759917741|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175357659_1330_jpg_350cbde3-bbf7-4d1e-9f14-e2cd29e6269f.jpg?v=1759917742|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175357634_8285_jpg_98d2c6ce-2ed0-4afb-958b-e7b93eed200c.jpg?v=1759917742|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175360287_2872_jpg_5ab286bc-6923-42e2-a794-96f987bc2c08.jpg?v=1759917742|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_e1e0deb3_20240728_a1722175357548_1547_jpg_8d241b0b-7fd5-4779-b173-415c70c5c6c2.jpg?v=1759917742,Hi I want SL BABYLONE MULES 10 BISQUE SMOOTH CALFSKIN,
