name,image,category,brand,images,whatsapp_text,badge
BV LOOP SMALL 23CM BLACK CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934038852818_3e8105d8-9d90-4eb9-8f99-33cc069de3af.jpg?v=1758798866,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934038852818_3e8105d8-9d90-4eb9-8f99-33cc069de3af.jpg?v=1758798866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934058220661_1d7a878b-70b8-4704-a223-5bce1c108491.jpg?v=1758798866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934059609922_e548409d-7535-4cfc-b9dd-6ea3c59bb366.jpg?v=1758798866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934061317348_ad4571d3-901d-4a79-b99e-9fac13185212.jpg?v=1758798866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934063130815_be567cc1-2ea0-4c12-9d0a-a46a3649d2f2.jpg?v=1758798866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934064646553_c09fb60d-3ee2-41d0-b2f8-342fb462fcfc.jpg?v=1758798866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934066211700_2b708e76-697f-4c3d-8661-fac88733262d.jpg?v=1758798866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934067733767_6fb63b8d-bb53-4757-9f42-c78799e408d7.jpg?v=1758798866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13346934069201180_00e7872d-f80e-46e3-a8da-9b02167d6157.jpg?v=1758798866,Hi I want BV LOOP SMALL 23CM BLACK CALFSKIN,
BV Long Clutch Andiamo With Handle 31cm Burgundy Calfskin Ghw,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5db70dfd_20240427_i1714148270_5665_3_jpg_6ecb3576-acbd-4197-a136-d317435a2f73.jpg?v=1758796532,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5db70dfd_20240427_i1714148270_5665_3_jpg_6ecb3576-acbd-4197-a136-d317435a2f73.jpg?v=1758796532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5db70dfd_20240427_i1714148270_1145_1_jpg_c8487ac1-af31-466c-9c90-e0f555729dd7.jpg?v=1758796532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5db70dfd_20240427_i1714148270_2656_2_jpg_00c60d33-2155-4ad5-9af0-1daf4f33c0b3.jpg?v=1758796532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5db70dfd_20240427_i1714148270_4853_7_jpg_38df2f23-0eac-4a7d-93b9-7d133f1f88b4.jpg?v=1758796532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5db70dfd_20240427_i1714148270_4854_0_jpg_9bd99f05-4041-4cdd-ab27-20967d9e404b.jpg?v=1758796532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5db70dfd_20240427_i1714148270_8037_4_jpg_e3ce6d2b-8031-44b9-a104-ac8fbfd979bc.jpg?v=1758796532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5db70dfd_20240427_i1714148270_8173_5_jpg_717bc559-37e6-43dd-8764-7cd56d60db33.jpg?v=1758796532|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_5db70dfd_20240427_i1714148270_9758_6_jpg_6b41e59d-4aa5-495d-be61-7c16e31a116b.jpg?v=1758796532,Hi I want BV Long Clutch Andiamo With Handle 31cm Burgundy Calfskin Ghw,
SMALL HOP 40 IN CARAMEL BROWN LAMBSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_8597_0_jpg_0e8ae4c7-a9be-424a-897a-ec62d963b5dc.jpg?v=1758794535,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_8597_0_jpg_0e8ae4c7-a9be-424a-897a-ec62d963b5dc.jpg?v=1758794535|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_9220_1_jpg_98dc82c3-ae64-4e1f-8fd7-ba882dfee17c.jpg?v=1758794535|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_4846_2_jpg_cd0689b0-ce9b-4c4b-b953-8c5e88e8b48f.jpg?v=1758794535|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_7188_3_jpg_e42e771b-ddd0-4017-b5c6-fc3ed805f34b.jpg?v=1758794535|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_7972_8_jpg_f01a6948-c591-4974-876b-983ba7eed439.jpg?v=1758794535|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_3143_6_jpg_366827fe-7e2a-43ad-b449-f21996dab7ae.jpg?v=1758794535|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_5180_5_jpg_f6d2da34-a5f8-42f3-b84b-a70b6ab55a30.jpg?v=1758794535|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_7720_7_jpg_b7c04c81-9472-487a-b5bc-0276f68249f5.jpg?v=1758794535|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240110_i1704879541_9867_4_jpg_f17b8a43-4820-490c-9548-58ba50295da4.jpg?v=1758794535,Hi I want SMALL HOP 40 IN CARAMEL BROWN LAMBSKIN,
BV SMALL ANDIAMO 25CM DARK RED LAMBSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350545374137980_e97e6872-09b8-46cd-a6c6-290d7ef3ccc0.jpg?v=1758799108,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350545374137980_e97e6872-09b8-46cd-a6c6-290d7ef3ccc0.jpg?v=1758799108|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350545395993568_1579bd2e-695d-4e11-b254-371e7fd0bffb.jpg?v=1758799108|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350545397885242_22987d4e-0951-4054-ae57-66d70e3f1518.jpg?v=1758799108|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350545399610797_de88f404-a237-4712-ab5b-2161390eaa90.jpg?v=1758799108|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350545401400342_ac48fc6e-aaa8-4e2e-929e-0ff68353690f.jpg?v=1758799108|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350545403293322_9fac7184-7a9f-4536-9ae2-f06d2bf94b8f.jpg?v=1758799108|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350545405277030_ae40ea6b-6140-4668-b24d-27483954259d.jpg?v=1758799108|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350545406890700_137b5afa-5081-441d-ac65-9180de852fa6.jpg?v=1758799108,Hi I want BV SMALL ANDIAMO 25CM DARK RED LAMBSKIN,
bv medium andiamo 32 brown suede,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_2303_0_jpg_3dcbdb70-a7f8-45f9-963e-8752b0219f0e.jpg?v=1758793464,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_2303_0_jpg_3dcbdb70-a7f8-45f9-963e-8752b0219f0e.jpg?v=1758793464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_1423_1_jpg_5c203dcb-0744-4b4b-abc2-603800dac49c.jpg?v=1758793464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_3252_8_jpg_facc8055-44fa-4380-8049-17ba1bab32b6.jpg?v=1758793464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_4408_4_jpg_380cb3b5-97fc-4449-843d-721ea5eb0507.jpg?v=1758793464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_5109_2_jpg_ce1d2673-9ef8-4020-a3b3-5aab9714a900.jpg?v=1758793464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_1012_7_jpg_0a8d3c41-1d8d-475a-8bfd-f6bac7cbe322.jpg?v=1758793464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_8407_3_jpg_c5ae50c3-ddbb-4662-a224-53ce7931c431.jpg?v=1758793464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_8737_6_jpg_341f570f-7c96-45ef-b86f-b3f59b851e93.jpg?v=1758793464|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240106_i1704517451_911_5_jpg_c4419a90-2437-412f-8b75-ad87a5627248.jpg?v=1758793465,Hi I want bv medium andiamo 32 brown suede,
BV Long Clutch Andiamo With Handle 31cm Chocolate Calfskin Ghw,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231203_i1701590286_3906_0_jpg_d6e71033-25ae-460d-b6e6-d29cb1ea2870.jpg?v=1758793679,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231203_i1701590286_3906_0_jpg_d6e71033-25ae-460d-b6e6-d29cb1ea2870.jpg?v=1758793679|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231203_i1701590286_8637_1_jpg_e250b4ae-655d-4028-adfc-a4f54ce654c0.jpg?v=1758793679|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1701590286_1263_2_e467a230-7a6e-47ba-9ea6-bacb444714f7.jpg?v=1758793679|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231203_i1701590286_125_5_jpg_6ad51048-0c94-47b3-a264-a7aa366b1a2e.jpg?v=1758793679|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231203_i1701590286_215_3_jpg_db3d3c82-5400-4e32-86f9-edbe09b5be72.jpg?v=1758793679|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231203_i1701590286_9269_4_jpg_7d15a5c3-8b2e-4053-b6f7-5d7812702acc.jpg?v=1758793679|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231203_i1701590286_1930_6_jpg_0fc9bd59-db71-4d7c-8028-a77881f0f992.jpg?v=1758793679|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231203_i1701590286_6196_7_jpg_b8bc47dd-8f05-4db7-8452-6d90489c5641.jpg?v=1758793679|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231203_i1701590286_9474_8_jpg_27785f35-299a-45c5-8214-5106e5ce2a25.jpg?v=1758793679,Hi I want BV Long Clutch Andiamo With Handle 31cm Chocolate Calfskin Ghw,
BV SMALL ANDIAMO 25CM BROWN LAMBSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543285901457_034c6a22-ab8a-4786-82e2-bdfdd58df648.jpg?v=1758799145,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543285901457_034c6a22-ab8a-4786-82e2-bdfdd58df648.jpg?v=1758799145|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543299479063_e6e343ec-71c0-4f81-8f02-0b45f0b0fe44.jpg?v=1758799145|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543301290778_cae7c884-8688-4794-b534-d27eb61c30fd.jpg?v=1758799145|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543303417320_30572473-c7e7-48ad-a914-2f86ed3d132e.jpg?v=1758799145|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543305077410_6f754197-bd1b-4c40-b823-17131b9c3697.jpg?v=1758799145|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543306873279_b41b46ff-4c05-46e3-ac17-2c50bd051274.jpg?v=1758799145|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543308607014_79dcf958-f0c9-417a-8b9d-f8231c578680.jpg?v=1758799146|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543310179624_0ab9af99-cb6d-41b7-85b4-c36d9d29060b.jpg?v=1758799146|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543312194520_af9b89c7-633c-4a42-8ea3-a0ee15319358.jpg?v=1758799146,Hi I want BV SMALL ANDIAMO 25CM BROWN LAMBSKIN,
BV LARGE ANDIAMO 45CM BLACK LAMBSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543330191871_fdb44fb4-bfc7-484a-a0cf-baec63717b3c.jpg?v=1758799225,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543330191871_fdb44fb4-bfc7-484a-a0cf-baec63717b3c.jpg?v=1758799225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543346419328_32968c53-a401-4e2f-a10e-143705d58072.jpg?v=1758799225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543347920257_fb9482dd-5e51-460d-ac18-9b623311f720.jpg?v=1758799225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543349734779_4a1bed83-7171-4c43-8d51-47d532292a92.jpg?v=1758799225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543351549744_119d0479-01ba-48a3-98c7-6a3e598203a9.jpg?v=1758799225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543353106732_732f4c8b-3145-4c3c-899a-02eec30d1c0b.jpg?v=1758799225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543354881344_d3b2e275-5ea3-4a2d-b233-7688c491f3be.jpg?v=1758799225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543356322186_843fb156-e07c-408c-b508-5515f83ec058.jpg?v=1758799225|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13350543358695401_38c7725e-4a66-4bf6-8a16-4ec74c535ddb.jpg?v=1758799225,Hi I want BV LARGE ANDIAMO 45CM BLACK LAMBSKIN,
LARGE HOP 54 IN BLACK LAMBSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_9709_0_jpg_da7efc78-85b8-42ef-ad93-a67841aac732.jpg?v=1774607356,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_9709_0_jpg_da7efc78-85b8-42ef-ad93-a67841aac732.jpg?v=1774607356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_6233_8_jpg_787d1165-5c33-44a2-9f9f-14a833d6bfd9.jpg?v=1774607356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_9226_1_jpg_2f2b3553-df9d-4f52-881c-cdd8c3b9ca33.jpg?v=1774607356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_2654_2_jpg_ee41b110-00c3-43f3-b37f-bd6b76f8f656.jpg?v=1774607356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_1535_4_jpg_94fdfaec-b088-4f56-95fe-a8cbfabd3beb.jpg?v=1774607356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_735_7_jpg_32e583b3-1d27-4ddf-b3c2-bbf216fc755f.jpg?v=1774607356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_2797_6_jpg_9ad52bd0-84c3-4563-9508-e1fce10aa0c2.jpg?v=1774607356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_478_5_jpg_14701088-6eb1-4b1a-9ee8-569db2479965.jpg?v=1774607356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20231212_i1702371241_5189_3_jpg_fdce32f6-584c-496c-97a9-482777532bfa.jpg?v=1774607356,Hi I want LARGE HOP 54 IN BLACK LAMBSKIN,
BV Large Intrecciato 54cm Hobo Bag Chocolate Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240829093841_3a09bc3f-d01e-41a6-a394-bf582b7b8b42.jpg?v=1758796490,handbags,bottega,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240829093841_3a09bc3f-d01e-41a6-a394-bf582b7b8b42.jpg?v=1758796490|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240829093941_b0a051f5-de2b-4607-bd9e-99b1be8010fb.jpg?v=1758796490|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240829093942_e4438b66-d71a-4726-b782-b1529d84f11b.jpg?v=1758796490|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202408290939421_e7ec274d-a883-42cd-a072-0d7f0c5826e9.jpg?v=1758796490|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240829093943_8c3cd11d-53ff-4cdf-a122-3c1c28d74cff.jpg?v=1758796490|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240829093944_c8eae4aa-3ee0-48aa-a899-7ba7b202e4c0.jpg?v=1758796490|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240829093945_5afb8c2b-a304-4f3e-b00f-71f863be0792.jpg?v=1758796490|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240829093946_5522ade4-25cf-4670-a222-4722a4de29d7.jpg?v=1758796490|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240829093947_c2ec680c-0259-4d31-b8ee-ad135247a7b9.jpg?v=1758796490,Hi I want BV Large Intrecciato 54cm Hobo Bag Chocolate Calfskin,
