name,image,category,brand,images,whatsapp_text,badge
Medium Louise Bucket 24cm Brown Calfskin Beige Raffia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_16355126_20250410_i1744257532574_9255_0_0_jpg_c89013d8-3bc9-492b-8324-9be2b591e6cf.jpg?v=1779182974,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_16355126_20250410_i1744257532574_9255_0_0_jpg_c89013d8-3bc9-492b-8324-9be2b591e6cf.jpg?v=1779182974|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_16355126_20250410_i1744257550052_4933_0_2_jpg_d5803073-06d4-419a-adf9-ed49d63b3db0.jpg?v=1779182975|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_16355126_20250410_i1744257550053_1796_0_1_jpg_ef740953-ef7b-4497-9f71-b44cff8df8cc.jpg?v=1779182974|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_16355126_20250410_i1744257550053_3913_0_3_jpg_5de975c3-71a2-4be4-a696-486f16456579.jpg?v=1779182974|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_16355126_20250410_i1744257550054_2903_0_0_jpg_788009ce-b2ba-4594-b2a2-4013e528cbb1.jpg?v=1779182974|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_16355126_20250410_i1744257550565_4069_0_5_jpg_4f53d2bf-2d8e-4ba6-9247-a2299e59ad4c.jpg?v=1779182974,Hi I want Medium Louise Bucket 24cm Brown Calfskin Beige Raffia,New
CHAIN SHOULDER BAG 20CM RAFFIA EFFECT TEXTILE NATURAL,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_294_1_jpg_4377552a-7764-44cd-969e-d6f92c053558.jpg?v=1775903089,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_294_1_jpg_4377552a-7764-44cd-969e-d6f92c053558.jpg?v=1775903089|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_1858_6_jpg_6390dd64-fc91-4840-b1d6-b71be1a12046.jpg?v=1775903089|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_2970_0_jpg_8866ebe6-78ae-4651-87a0-f86bbced9e5f.jpg?v=1775903089|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_4670_7_jpg_826e5b4e-5e83-4c28-91b1-7006e25dbc5d.jpg?v=1775903089|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_5750_3_jpg_6c928c0c-3670-41ae-8a3e-cefcd41c543b.jpg?v=1775903089|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_598_4_jpg_8dcedd09-6afc-4868-8527-4d9e51c42cfd.jpg?v=1775903088|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_6252_8_jpg_656a2b61-5c7f-4bd5-b3fa-10975a49412c.jpg?v=1775903089|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_6562_5_jpg_a4cff86f-1251-41fa-8dd8-1809e2394eb7.jpg?v=1775903089|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2d433453_20231120_i1700494064_9408_2_jpg_a43849aa-a405-4cfa-9ab6-199675987efe.jpg?v=1775903089,Hi I want CHAIN SHOULDER BAG 20CM RAFFIA EFFECT TEXTILE NATURAL,
CLASSIQUE TRIOMPHE 22 BLACK CALFSKIN GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_7560_1_jpg_ddf41469-7be7-4ae0-8628-a2761a0d3232.jpg?v=1776508077,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_7560_1_jpg_ddf41469-7be7-4ae0-8628-a2761a0d3232.jpg?v=1776508077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240305011102_35e5e066-dd7b-43df-875f-1fa017127d67.jpg?v=1776508077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_182_7_jpg_88c34b67-3034-4212-b8f1-14bf83758436.jpg?v=1776508077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_1590_6_jpg_2750749c-b467-4ef0-b75b-091d8ab63cf1.jpg?v=1776508077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_6672_4_jpg_7a9be466-551b-4406-9793-1c162c480666.jpg?v=1776508077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_6965_5_jpg_db75cf74-f861-4230-bb45-b850a4129db2.jpg?v=1776508077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_7524_3_jpg_1453df61-6e78-492b-a07b-90e43a86888b.jpg?v=1776508077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_8783_8_jpg_80c3ed65-132a-4e9c-ad1d-f6802d69832c.jpg?v=1776508077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_9736_2_jpg_5653ef86-679b-47a0-a54c-9f52ec7b352d.jpg?v=1776508077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220617_i1655402467_8310_0_jpg_e698badb-d916-49ee-92bc-abbeb7a6bec4.jpg?v=1776508077,Hi I want CLASSIQUE TRIOMPHE 22 BLACK CALFSKIN GOLD HARDWARE,
NINO TEEN MEDIUM 25 BAG IN BLACK SOLF CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982084_8658_5_jpg_05dbb99f-a6ab-4c1d-a5f0-ddc83ccc3382.jpg?v=1758878128,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982084_8658_5_jpg_05dbb99f-a6ab-4c1d-a5f0-ddc83ccc3382.jpg?v=1758878128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982084_4229_8_jpg_f68586d1-c249-408d-a82d-af43db2588d8.jpg?v=1758878128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982084_8920_4_jpg_d7930e26-3ff6-411f-926c-8249ad1a72fc.jpg?v=1758878128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982084_8551_3_jpg_24e2d2cf-6d64-4551-8cb6-8f5f19231b8c.jpg?v=1758878128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982084_2987_6_jpg_4b2b68fc-e8b1-41a4-a1a7-bf5de93afac5.jpg?v=1758878128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982084_3258_2_jpg_a747b070-6f0b-4db2-ac83-2721060a929d.jpg?v=1758878128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982084_4273_0_jpg_a489b867-72dc-4909-995f-2bc8449a9df6.jpg?v=1758878128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982099_8721_0_jpg_8dddc2e0-a3b6-4de9-8552-6341455123bb.jpg?v=1758878128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240425_i1713982084_7337_1_jpg_cbb9feb2-4699-4675-8f2a-117d777914e9.jpg?v=1758878129,Hi I want NINO TEEN MEDIUM 25 BAG IN BLACK SOLF CALFSKIN,
celin medium nino 25cm brown calfskin gold hardware,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/IMG-20240531-WA0039.jpg?v=1758875032,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/IMG-20240531-WA0039.jpg?v=1758875032|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/IMG-20240531-WA0040.jpg?v=1758875032|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/IMG-20240531-WA0035.jpg?v=1758875032|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/IMG-20240531-WA0036.jpg?v=1758875032|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/IMG-20240531-WA0037.jpg?v=1758875032|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/IMG-20240531-WA0038.jpg?v=1758875032|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/IMG-20240531-WA0041.jpg?v=1758875032|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/IMG-20240531-WA0042.jpg?v=1758875032,Hi I want celin medium nino 25cm brown calfskin gold hardware,
NINO TEEN 20 BAG IN OAT TAN SOLF CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_5026_5_jpg_80b74003-da31-4b89-b425-0bd2340d676a.jpg?v=1779702955,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_5026_5_jpg_80b74003-da31-4b89-b425-0bd2340d676a.jpg?v=1779702955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_8431_2_jpg_f8c6664a-104d-414f-b252-53cf2d41bc5b.jpg?v=1779702955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_9431_7_jpg_b8a2cec4-9058-4df8-934e-e0ed86283c61.jpg?v=1779702955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_2421_1_jpg_a38dadd2-a731-46bd-8d2a-1dd042574ff7.jpg?v=1779702955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_4351_3_jpg_4dc2810b-23b5-4249-9d26-87b6a8acc249.jpg?v=1779702955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_1179_4_jpg_9251f66b-8cb9-4e23-a564-65fc0cc31fe8.jpg?v=1779702955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_1114_8_jpg_7666a973-7d9d-417c-aa4f-aed0a5d9a18e.jpg?v=1779702955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_1074_0_jpg_b06a6644-b0f6-4bcc-93b6-ef0661438af0.jpg?v=1779702955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_34b30588_20240731_i1722406094_13_6_jpg_79cb0f62-582f-4e40-be09-d729df2d2971.jpg?v=1779702955,Hi I want NINO TEEN 20 BAG IN OAT TAN SOLF CALFSKIN,
small pouch with strap 24cm beige textile tan calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240725172949.jpg?v=1758877971,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240725172949.jpg?v=1758877971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240726101135.jpg?v=1758877971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240726101136.jpg?v=1758877971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240726101137.jpg?v=1758877971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240726101138.jpg?v=1758877971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240726101139.jpg?v=1758877971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240726101141.jpg?v=1758877971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240726101142.jpg?v=1758877971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240726101143.jpg?v=1758877971,Hi I want small pouch with strap 24cm beige textile tan calfskin,
small cabas thais 27cm raffia brown calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588567800_6364_jpg_fd539279-ed62-4e1d-b3b6-c5440a751117.jpg?v=1776676349,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588567800_6364_jpg_fd539279-ed62-4e1d-b3b6-c5440a751117.jpg?v=1776676349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588568029_2761_jpg.jpg?v=1776676349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588568057_6076_jpg_19e7243e-b51b-44ad-a294-52ac2ab27b5b.jpg?v=1776676349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588568078_7548_jpg_27fe0e81-fc8a-41f5-9eb3-1f79b2f53549.jpg?v=1776676349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588568136_4336_jpg_9ff42e37-a7fd-4864-86d8-8baab6f34c60.jpg?v=1776676349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588568405_5167_jpg_f9bf7b50-440d-4bf1-83ad-914ecbc63022.jpg?v=1776676349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588573677_7230_jpg_562b0f94-0e8d-4dd3-9430-491b93a786dd.jpg?v=1776676349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588573713_5735_jpg_bf084314-89aa-4458-a2ab-79c721b8146e.jpg?v=1776676349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f671a590_20240513_a1715588573755_8862_jpg_d1d81b10-6feb-4465-8531-c6c207c43636.jpg?v=1776676350,Hi I want small cabas thais 27cm raffia brown calfskin,
TEEN CHAIN BESACE TRIOMPHE 15.5CM YELLOW CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230415_a1681537170092_3243_jpg_2bd8ce28-099a-47ae-bc42-cab38a48af2c.jpg?v=1777025523,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230415_a1681537170092_3243_jpg_2bd8ce28-099a-47ae-bc42-cab38a48af2c.jpg?v=1777025523|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230415_a1681537170342_4468_jpg_eb558ea0-c574-416a-8404-b324d1ca1b92.jpg?v=1777025523|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230415_a1681537170574_2241_jpg_f9ca2228-974c-449c-9cd0-0018a2873425.jpg?v=1777025523|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230415_a1681537170929_5536_jpg_c1c7cd15-4f2a-4fa2-81d8-ac68ac913e1f.jpg?v=1777025523|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230415_a1681537174107_1330_jpg_0b9e6ed6-d044-4700-922d-a79a9016bf13.jpg?v=1777025523|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230415_a1681537174113_5415_jpg_ba328eb8-d494-4eb9-a106-e37cbe2d372e.jpg?v=1777025523|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230415_a1681537177498_2743_jpg_7910a275-5bfc-43a5-92ea-9d6ac1151ba3.jpg?v=1777025524|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/a1681537174115_8114_4af75ec6-c686-4351-af33-600d1386a20b.jpg?v=1777025523|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/a1681537174119_1164_dc8063b6-bb43-4ef4-ac2d-d5fb980ec405.jpg?v=1777025523,Hi I want TEEN CHAIN BESACE TRIOMPHE 15.5CM YELLOW CALFSKIN,
SMALL CABAS DRAWSTRING CUIR TRIOMPHE 22 BROWN CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64f412b4_20231120_a1700463472536_1853_jpg_0fb64f65-e9e1-4ffc-9eb7-16d933dbebb2.jpg?v=1779702973,handbags,celine,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64f412b4_20231120_a1700463472536_1853_jpg_0fb64f65-e9e1-4ffc-9eb7-16d933dbebb2.jpg?v=1779702973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/a1700463472541_7347_37639415-6f4c-442b-a4a1-6a12e94894bb.jpg?v=1779702973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/a1700463472542_4667_03f88f03-b179-4f2d-9aca-19d8d26d8c6c.jpg?v=1779702973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64f412b4_20231120_a1700463472537_4210_jpg_621fec4b-dd3d-47d2-a4ec-b7c247e1ed2d.jpg?v=1779702973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64f412b4_20231120_a1700463472537_7063_jpg_53d46771-3bf4-4108-93b6-bab7137a4d95.jpg?v=1779702973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64f412b4_20231120_a1700463472538_0025_jpg_59030bde-7012-4c17-a9b5-0e23a9bc69c4.jpg?v=1779702973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_64f412b4_20231120_a1700463472542_4667_jpg_694fc89f-8f8b-4695-a623-86f7dcdd70a9.jpg?v=1779702973,Hi I want SMALL CABAS DRAWSTRING CUIR TRIOMPHE 22 BROWN CALFSKIN,
