name,image,category,brand,images,whatsapp_text,badge
Chanel 25 Bag 19cm Dark Beige Raffia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o4il1dke1unlaf7103r4_jpeg.jpg?v=1776766781,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o4il1dke1unlaf7103r4_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mng71r1e11m5pga16eav686_jpeg.jpg?v=1776766782|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o4tjv30mtjknk4lf5_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o121nutk8o61b6cd1h2_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o161ua151j5b1qtn1alh3_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0ores1rf16la6511q140_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0oscf1lpk2m6la4s311_jpeg.jpg?v=1776766782,Hi I want Chanel 25 Bag 19cm Dark Beige Raffia,New
Chanel 2026 Bag 22cm Grained Shiny Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260128095823_11281_4_33dabef1-050c-492b-b285-35fdf6f5af2b.jpg?v=1781256795,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260128095823_11281_4_33dabef1-050c-492b-b285-35fdf6f5af2b.jpg?v=1781256795|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162855_180_16_a8ce8ded-a30b-4b7a-9d6d-769e1c52732b.jpg?v=1781256795|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134824_10714_4_a90be28a-fa2c-4f54-9451-5b81b1e6c3fc.jpg?v=1781256795|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134832_10722_4_62e6da7e-d260-45f4-9ec0-3bfb7d063095.jpg?v=1781256795|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134812_10707_4_e1293d5b-5c80-4d26-a709-71ce147e513a.jpg?v=1781256795|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260128095825_11282_4_0cf1cb40-5604-4d6c-bc4b-b6f97b0e6d2c.jpg?v=1781256795|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134825_10715_4_3452d384-9f23-4495-8f67-6d672e9feba1.jpg?v=1781256795|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162856_181_16_9e0dab08-7a84-4b6a-97f1-2276ed84e6e5.jpg?v=1781256795|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134814_10708_4_82566fff-c77a-4f6d-829e-d1a57cfab9d0.jpg?v=1781256795|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134833_10723_4_345d8984-dd47-47d5-bfe7-4df85b54907f.jpg?v=1781256795,Hi I want Chanel 2026 Bag 22cm Grained Shiny Calfskin,New
MEDIUM FLAP BAG 25CM BLACK CAVIAR GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1710784578727_0_991cd8d8-7f5a-4a01-a494-43dfdf8230f0.jpg?v=1776161924,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1710784578727_0_991cd8d8-7f5a-4a01-a494-43dfdf8230f0.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1710784578727_1_bd37ab8e-f6ef-4f0f-b9de-fecac2f5e982.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113812_372_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113814_373_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113815_374_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113816_375_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113817_376_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113818_377_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113819_378_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113820_379_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113821_380_10.jpg?v=1776161924,Hi I want MEDIUM FLAP BAG 25CM BLACK CAVIAR GOLD HARDWARE,
Chanel 2026 Bag 22cm Black Grained Shiny Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162855_180_16_56278736-4630-4e4b-9e18-6638f69cfc1c.jpg?v=1779869582,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162855_180_16_56278736-4630-4e4b-9e18-6638f69cfc1c.jpg?v=1779869582|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162856_181_16_88b0526d-291d-4d87-a13d-e5823a50938f.jpg?v=1779869581,Hi I want Chanel 2026 Bag 22cm Black Grained Shiny Calfskin,New
cc zipped wallet 7.5cm black caviar gold hardware,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_1232_0_jpg_6a8d9528-949d-45be-8561-ab3367c9825c.jpg?v=1775644481,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_1232_0_jpg_6a8d9528-949d-45be-8561-ab3367c9825c.jpg?v=1775644481|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_412_6_jpg_e94d393c-c040-441f-aef9-66094d2741fe.jpg?v=1775644481|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_1059_7_jpg_cb19ad86-d5c3-4527-8244-c122b5a5455d.jpg?v=1775644481|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_1237_5_jpg_e2aeecf5-7592-48da-93a4-fac50cb2da46.jpg?v=1775644481|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_3337_3_jpg_d4a2211b-b0c1-4109-8339-31af1e031ccf.jpg?v=1775644480|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_8599_2_jpg_34ce39f4-1f19-4cfc-b4bf-9f92733cc3cd.jpg?v=1775644481|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_9022_4_jpg_88fd02d6-ac9a-44d1-9213-4c6020a27d20.jpg?v=1775644481|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_9049_8_jpg_36ecf039-4fbd-49a7-aa14-aa91cb158013.jpg?v=1775644481|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230729_i1690616285_9454_1_jpg_ef3d4b88-5367-4f1b-8e1b-48d98ce4ec54.jpg?v=1775644481,Hi I want cc zipped wallet 7.5cm black caviar gold hardware,
Chanel 26 Shoulder Bag 17 White Caviar Leather,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081188800_2807_0_0.jpg_1_394dfbfc-6ffe-44d5-bb73-39e4d98a3277.jpg?v=1779869593,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081188800_2807_0_0.jpg_1_394dfbfc-6ffe-44d5-bb73-39e4d98a3277.jpg?v=1779869593|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081187357_4580_0_4.jpg_1_8d0ae982-3cce-4b9a-b015-a00f90daade0.jpg?v=1779869593|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081187529_1479_0_5.jpg_1_69f58036-134f-46c4-9415-a5d1700f3c0c.jpg?v=1779869593|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081187534_3334_0_7.jpg_1_d14e0da9-a7b3-4d22-8953-0ab4086734f8.jpg?v=1779869593|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081187569_6137_0_6.jpg_1_55efbdfb-714d-466a-835b-29478523ce15.jpg?v=1779869593|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081188795_2140_0_9.jpg_1_32934c98-d4e0-429b-9992-040cf6dfeb05.jpg?v=1779869593|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081188820_1406_0_1.jpg_1_24078f44-b2b4-4121-810d-df0f92fdd094.jpg?v=1779869593|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081188839_9283_0_3.jpg_1_1faa23bd-d1d7-4586-ad62-93c96426f017.jpg?v=1779869593|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081189704_9015_0_2.jpg_1_5647d71c-ddf3-432b-8b8a-cb771d87ceac.jpg?v=1779869593,Hi I want Chanel 26 Shoulder Bag 17 White Caviar Leather,New
Chanel 2026 Bag 22cm Yellow Grained Shiny Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134824_10714_4_88380fe0-d820-48f8-8532-cc7bb055f1ea.jpg?v=1779869584,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134824_10714_4_88380fe0-d820-48f8-8532-cc7bb055f1ea.jpg?v=1779869584|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134825_10715_4_dd620e4d-bafd-4e37-84fe-aea0fdac9565.jpg?v=1779869583,Hi I want Chanel 2026 Bag 22cm Yellow Grained Shiny Calfskin,New
Chanel 26 Shoulder Bag 22 Burgundy Caviar Leather,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990060083_5532_0_12_jpg_e0c7ef63-b047-4cc1-9341-a007779754a9.jpg?v=1776161915,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990060083_5532_0_12_jpg_e0c7ef63-b047-4cc1-9341-a007779754a9.jpg?v=1776161915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990056103_7668_0_2_jpg_595bd227-9083-474c-a6ca-8d25bb4098bf.jpg?v=1776161915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990056118_1289_0_1_jpg_7bc8b7ee-a08e-41b9-8b50-1d306d326ccc.jpg?v=1776161915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990057399_5946_0_13_jpg_e910e659-7821-4b74-9bc6-f1e0e95b1d6b.jpg?v=1776161915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990060069_1582_0_3_jpg_9c44c16b-cf50-43fc-a09e-1e178839e2ac.jpg?v=1776161915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990060092_1966_0_4_jpg_2911801c-f827-4e08-8480-f06843ad0210.jpg?v=1776161915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990061939_5846_0_8_jpg_e550764f-a5d2-4a98-884b-8c45d47eebe6.jpg?v=1776161915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990054545_5577_0_11_jpg_68741061-c34c-40df-8dc7-5a3b180aef63.jpg?v=1776161915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260121_cmp_i1768990056113_6905_0_5_jpg_1c0c156e-96cf-4f75-aa9e-4831372d0679.jpg?v=1776161915,Hi I want Chanel 26 Shoulder Bag 22 Burgundy Caviar Leather,New
Chanel 26 Shoulder Bag 17 Caviar Leather,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081264400_1796_0_0_jpg_b247fe35-c5b9-44e4-bf5c-9f296543879e.jpg?v=1781256793,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081264400_1796_0_0_jpg_b247fe35-c5b9-44e4-bf5c-9f296543879e.jpg?v=1781256793|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260325114338_15707_4_5f06201a-87f0-4c1c-a987-115eae28ed46.jpg?v=1781256793|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1770187723879_8348_0_1_189eff3c-bd4e-44e6-b4ef-519130587214.jpg?v=1781256793|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260115_cmp_i1768467067847_9968_0_7_jpg_80ab647f-98aa-41a6-bf93-6cfe7e0774b3.jpg?v=1781256793|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081188800_2807_0_0.jpg_1_db74019b-3db1-4391-b415-008f525894e3.jpg?v=1781256793|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081266046_142_0_2_jpg_10b6fa59-e45b-4cbc-beb6-cba31aaa5866.jpg?v=1781256793|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260325114340_15709_4_f9f6fea1-d675-4f94-83a8-9f9aff07bc49.jpg?v=1781256793|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20260115_cmp_i1768467067847_191_0_1_jpg_c50710ea-1948-4ca4-8e94-3cf5af7e7d5f.jpg?v=1781256793|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_533a7dc2_20260122_i1769081187357_4580_0_4.jpg_1_7aa2f0af-299e-44de-8aa7-3b77438ffc13.jpg?v=1781256793|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f3c7fd90_20260204_i1770187696598_6243_0_5_jpg_7e758d7a-3b3a-46a1-917f-46aa22f0ff21.jpg?v=1781256792,Hi I want Chanel 26 Shoulder Bag 17 Caviar Leather,New
Chanel 2026 Bag 22cm White Grained Shiny Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134812_10707_4_01c47df3-f523-4dd9-8edb-77a7ffab9308.jpg?v=1779869583,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134812_10707_4_01c47df3-f523-4dd9-8edb-77a7ffab9308.jpg?v=1779869583|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134814_10708_4_5c325790-9b4c-45fc-8c55-b1c1d35d08ca.jpg?v=1779869583,Hi I want Chanel 2026 Bag 22cm White Grained Shiny Calfskin,New
