name,image,category,brand,images,whatsapp_text,badge
Fendi Mamma Baguette Drawstring Shoulder Bag Black Nappa Leather,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113249_9090_16_59720b65-a55b-4eab-aea7-047aa91aefab.jpg?v=1783650458,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113249_9090_16_59720b65-a55b-4eab-aea7-047aa91aefab.jpg?v=1783650458|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113250_9091_16_96f9bc08-4f9f-4a5a-bcdc-3cc1d5439070.jpg?v=1783650458|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113251_9092_16_5725306d-3f88-4ca6-ae9e-7d468cfa0535.jpg?v=1783650458|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113252_9093_16_ba74a733-5494-4340-a295-f29594b7fd4b.jpg?v=1783650458|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113253_9094_16_ae5bd5eb-7ce0-47ce-b91f-1cee82cc2d87.jpg?v=1783650458|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113254_9095_16_f7d4d823-d6f0-4403-b1c5-537ee87a45b2.jpg?v=1783650458|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113256_9097_16_635ce678-7352-4ff4-a2d0-cfe5d3aff6d1.jpg?v=1783650458|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113258_9098_16_514f75d6-0f19-4f1c-8303-2a313a35f7e4.jpg?v=1783650458|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250922113300_9099_16_9b21474b-20ae-4f6b-9973-3d19b62cd504.jpg?v=1783650458,Hi I want Fendi Mamma Baguette Drawstring Shoulder Bag Black Nappa Leather,New
Fend Baguette 20 Brown FF Jacquard Fabric Bag Ghw,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_5298_1_jpg_8f53a982-149c-40e7-b933-46c887481ffe.jpg?v=1758937928,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_5298_1_jpg_8f53a982-149c-40e7-b933-46c887481ffe.jpg?v=1758937928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_9445_0_jpg_15a400b9-e150-4ce5-a7bf-e2deb8c166f4.jpg?v=1758937928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_444_8_jpg_347e8314-de9a-44ab-ad46-6edf76583b9b.jpg?v=1758937928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_6504_2_jpg_186df680-35de-49b6-bf3f-23663a16f72b.jpg?v=1758937928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_1470_3_jpg_c9b09cbf-f100-4926-95ff-011bad03fb48.jpg?v=1758937928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_4475_4_jpg_a511d27a-4b2a-4352-80c0-d2ad6d33f667.jpg?v=1758937928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_4738_6_jpg_33700675-5b27-45c9-a7e9-35c910f4c9d9.jpg?v=1758937928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_4966_5_jpg_6e67a776-f69c-480b-9d2b-4ddf3cfc2a6e.jpg?v=1758937929|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787382_9316_7_jpg_e738e34b-0cd4-49c6-9bb3-fde043c16b88.jpg?v=1758937929,Hi I want Fend Baguette 20 Brown FF Jacquard Fabric Bag Ghw,
Peekaboo ISeeU Petite 20 Bag Black Lambskin Ghw,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_7709_1_jpg_68e2f55b-ad74-4303-ae37-c9f188b4d2fc.jpg?v=1758938434,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_7709_1_jpg_68e2f55b-ad74-4303-ae37-c9f188b4d2fc.jpg?v=1758938434|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_147_0_jpg_dbadaf24-3e73-4d82-a62b-3944e2a7238d.jpg?v=1758938434|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_1577_8_jpg_0e33aff4-a5d1-488a-847b-67f4b16356ab.jpg?v=1758938434|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_3603_4_jpg_2376285c-ad8c-4128-b2f3-c4841cbb9dab.jpg?v=1758938434|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_7110_5_jpg_62ab4073-84c9-4236-a961-cb93f31c4275.jpg?v=1758938434|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_2053_3_jpg_d1123c01-4b21-47c9-9298-ede47dba366b.jpg?v=1758938434|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_2763_7_jpg_832e1bf5-5870-4705-8663-b1a0247d53e1.jpg?v=1758938434|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_3520_6_jpg_3b41cb91-08fa-4495-ace4-d23b08ccc9a3.jpg?v=1758938434|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658038600_9202_2_jpg_768be309-7ff9-4f46-bd36-adb21335c1e4.jpg?v=1758938434,Hi I want Peekaboo ISeeU Petite 20 Bag Black Lambskin Ghw,
BAGUETTE CANVAS 27 BAG GREY STRAP WITH MULTICOLOUR EMBROIDERY GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_494_0_jpg.jpg?v=1758939749,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_494_0_jpg.jpg?v=1758939749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_1663_2_jpg.jpg?v=1758939749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_9468_1_jpg.jpg?v=1758939749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_4791_3_jpg.jpg?v=1758939749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_9882_5_jpg.jpg?v=1758939749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_1521_6_jpg.jpg?v=1758939749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_9855_4_jpg.jpg?v=1758939749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_7178_7_jpg.jpg?v=1758939749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230727_i1690451269_106_8_jpg.jpg?v=1758939749,Hi I want BAGUETTE CANVAS 27 BAG GREY STRAP WITH MULTICOLOUR EMBROIDERY GOLD HARDWARE,
Mini Baguette Bag 20 With FF Motif Black Leather Ghw,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_7159_0_jpg_a2f3f846-29b1-4c40-80ab-b2a50271e1bf.jpg?v=1775903172,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_7159_0_jpg_a2f3f846-29b1-4c40-80ab-b2a50271e1bf.jpg?v=1775903172|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_806_4_jpg_f93b0423-d2c7-4cd8-8a9b-63d043b446f7.jpg?v=1775903172|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_989_5_jpg_483f0df4-3474-4d92-a28c-567e9059ac3b.jpg?v=1775903172|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_1552_2_jpg_99e828cf-7589-481e-af69-49b3a58e0c05.jpg?v=1775903172|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_8520_1_jpg_6fe81119-9986-4505-826f-c6047a499fbf.jpg?v=1775903172|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_3635_6_jpg_8f1e9491-200f-435c-9d6f-f7f6114dc4c4.jpg?v=1775903172|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_4211_7_jpg_d8f15b9b-782c-49aa-9d47-e9ffb3c3d4b7.jpg?v=1775903172|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_5952_3_jpg_ad553fc4-c82f-425d-92f3-32b93b7ddad9.jpg?v=1775903172|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220812_i1660280994_3341_8_jpg_3699dfde-6d46-4cf3-ac43-4df2bb557156.jpg?v=1775903172,Hi I want Mini Baguette Bag 20 With FF Motif Black Leather Ghw,
Fend Baguette 27 Shoulder Bag Brown FF Jacquard Fabric Bag Shw,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_3326_0_jpg_bbb19672-2d9f-46d5-9fbe-ff33bbda7395.jpg?v=1758937647,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_3326_0_jpg_bbb19672-2d9f-46d5-9fbe-ff33bbda7395.jpg?v=1758937647|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_376_1_jpg_e6c3b4f1-4ec6-4e13-b578-50edecc62025.jpg?v=1758937647|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_2006_2_jpg_66145713-270d-4d02-8ccd-fbc2ebac750a.jpg?v=1758937647|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_2192_8_jpg_eeced6ff-db6e-4fa1-9691-98d4f434907a.jpg?v=1758937647|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_4528_7_jpg_e8806f8f-dcae-437e-a92a-4444d1002335.jpg?v=1758937647|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_6563_3_jpg_cfe7ccf2-35d8-4f9f-a185-09d9cb2a6f40.jpg?v=1758937647|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_7487_5_jpg_09b1b00d-b34e-4fda-bd80-6e771466d281.jpg?v=1758937647|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_8047_6_jpg_ac44abee-02ae-4de9-a545-5c5cdfb10e4d.jpg?v=1758937647|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230318_i1679124659_9095_4_jpg_2b668dc0-5d54-4f22-b7c6-b2e1f0437faa.jpg?v=1758937647,Hi I want Fend Baguette 27 Shoulder Bag Brown FF Jacquard Fabric Bag Shw,
Fend Baguette 27 Brown FF Jacquard Fabric Bag Ghw,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787186_1012_1_jpg_8d8b1bdd-92ac-4d6c-8f9b-7186b6dc34db.jpg?v=1782531928,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787186_1012_1_jpg_8d8b1bdd-92ac-4d6c-8f9b-7186b6dc34db.jpg?v=1782531928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787186_3810_0_jpg_42362672-fe7a-4419-bee1-e588c8bd6d1a.jpg?v=1782531928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1657787186_741_2_42040fa3-7cd3-44dc-9a5e-28c79fded2d9.jpg?v=1782531928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787186_1817_3_jpg_ed68be7f-d835-4e16-b6db-fc3295bb2187.jpg?v=1782531928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787186_2337_6_jpg_42190f15-dc58-406d-aac2-a173a1143028.jpg?v=1782531928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787186_4093_4_jpg_8db20d94-6340-408a-859b-ad3c458cc510.jpg?v=1782531928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787186_4783_5_jpg_29bf6cae-e4bc-4585-96cb-61c36d87bcad.jpg?v=1782531928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787186_9246_8_jpg_d7f558e3-b31e-4d57-b1d5-c42a1c39ff22.jpg?v=1782531928|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220714_i1657787186_9707_7_jpg_0d8a09d3-db8d-45f5-a300-b5e11d8a9491.jpg?v=1782531928,Hi I want Fend Baguette 27 Brown FF Jacquard Fabric Bag Ghw,
Peekaboo ISeeU Small 27cm Bag brown lambskin gold hardware,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_1844_1_jpg_bc2ce711-7579-4b44-b36c-846de81b178c.jpg?v=1775903188,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_1844_1_jpg_bc2ce711-7579-4b44-b36c-846de81b178c.jpg?v=1775903188|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_825_6_jpg_0d097ebe-93e6-4169-ae50-23d38acdd2b9.jpg?v=1775903188|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_3163_8_jpg_a531adbd-b066-4c47-a9e7-0d6fff0f52d7.jpg?v=1775903188|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_4250_5_jpg_91a188cb-ac63-410a-a3aa-19a922f787ff.jpg?v=1775903188|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_6853_7_jpg_62cd8f7f-1085-4cee-97f1-11ea2648b0de.jpg?v=1775903188|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_8208_0_jpg_67e514db-4797-463f-a109-dbbd2bb3e8dc.jpg?v=1775903188|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_8260_4_jpg_c28aed2d-70d2-4ce0-8a21-f4136fd6ffed.jpg?v=1775903188|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_9815_2_jpg_2930d34d-1ba5-44e3-b418-a5b9f24c931e.jpg?v=1775903188|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220717_i1658033619_4650_3_jpg_3372b84a-2713-4cb3-a005-dd1ed2e955dd.jpg?v=1775903188,Hi I want Peekaboo ISeeU Small 27cm Bag brown lambskin gold hardware,
Peekaboo ISeeU Petite 20 Bag Tan Leather Shw,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_7594_1_jpg_97a94872-6fec-4075-aee4-2006c9858bb6.jpg?v=1758938549,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_7594_1_jpg_97a94872-6fec-4075-aee4-2006c9858bb6.jpg?v=1758938549|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_7035_3_jpg_d4755c92-e66b-4d8a-9993-73964a25f900.jpg?v=1758938549|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_7834_0_jpg_a9958c2d-c455-4cf7-add0-7fd9b2c94581.jpg?v=1758938549|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_1618_6_jpg_5107752a-dcec-4f1c-b9b4-994d157caced.jpg?v=1758938549|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_8107_5_jpg_4fdce15b-e885-4352-9677-7724c7f2dadb.jpg?v=1758938549|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_2732_4_jpg_4a1ae40d-4748-4d2d-83d5-cae4ecb58619.jpg?v=1758938549|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_3820_8_jpg_c122af60-a46e-41e1-b241-3ac79992801e.jpg?v=1758938549|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_3870_7_jpg_deeed736-ef8f-4f4a-a7ef-524e836d2d87.jpg?v=1758938549|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240531_i1717132506_6971_2_jpg_cae9e52b-5cff-4438-9093-9dd013adf375.jpg?v=1758938549,Hi I want Peekaboo ISeeU Petite 20 Bag Tan Leather Shw,
FENDI TOTE 41 BAG IN BROWN MIX BLACK MONOGRAM CANVAS GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220412_i1649697151_8193_0_jpg.jpg?v=1758939519,handbags,fendi,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220412_i1649697151_8193_0_jpg.jpg?v=1758939519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220412_i1649697151_1494_1_jpg.jpg?v=1758939519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220412_i1649697151_1737_7_jpg.jpg?v=1758939519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220412_i1649697151_9213_4_jpg.jpg?v=1758939519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220412_i1649697151_9107_6_jpg.jpg?v=1758939519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220412_i1649697151_7168_5_jpg.jpg?v=1758939519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220412_i1649697151_8460_3_jpg.jpg?v=1758939519|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220412_i1649697151_6990_2_jpg.jpg?v=1758939519,Hi I want FENDI TOTE 41 BAG IN BROWN MIX BLACK MONOGRAM CANVAS GOLD HARDWARE,
