name,image,category,brand,images,whatsapp_text,badge
SAINT LOUIS GM 40CM NAVY BLUE CANVAS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181912_5c3371ef-3966-4d80-8e6c-551ffeec1267.jpg?v=1753878055,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181912_5c3371ef-3966-4d80-8e6c-551ffeec1267.jpg?v=1753878055|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181910_4ef8cfdf-f0e1-4e79-8697-b902641432e3.jpg?v=1753878055|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181915_1a555aa8-eb8b-4e07-983e-2074bdb73b0f.jpg?v=1753878055|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181918_131c3c04-7b40-40be-bfdc-3a676960ff34.jpg?v=1753878055|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181921_429686c6-16ec-4b83-8527-0da80084cc2c.jpg?v=1753878055|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181924_1ba283b2-5e78-4237-a5db-33b373c9840a.jpg?v=1753878055|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181926_28836e3d-7c33-48a6-abf5-eb95cb35cae9.jpg?v=1753878055|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181929_a4ba3438-b460-4e04-8f5b-e880a861f3ea.jpg?v=1753878055|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182117_0cdf9f86-7e22-4700-ae3f-dfdabbb727f3.jpg?v=1753878055,Hi I want SAINT LOUIS GM 40CM NAVY BLUE CANVAS,
MUSE VANITY CASE 20 IN NAVY BLUE GOYARDINE CANVAS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_4497_0_jpg_0277728f-4811-4398-a774-72acb8fc931d.jpg?v=1753852937,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_4497_0_jpg_0277728f-4811-4398-a774-72acb8fc931d.jpg?v=1753852937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_7197_8_jpg_8f586a56-d170-4e19-ba2e-b58324d05bdc.jpg?v=1753852937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099352_1294_0_jpg_fcbadf89-4200-48b0-816b-3e5442a43c96.jpg?v=1753852937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_2270_5_jpg_c1e3e4e6-f2f8-4f36-94f2-967aead34429.jpg?v=1753852937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_2974_1_jpg_c3f0707a-f3e9-41a8-b4af-efec25e9733f.jpg?v=1753852937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_3517_2_jpg_4991fe9f-090c-4154-9fae-41d006191f30.jpg?v=1753852937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_6455_7_jpg_18fd33d0-cb16-4b1a-a222-f4d95b2d0901.jpg?v=1753852937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_6895_3_jpg_4696eaeb-6874-4a23-92a8-575c8b8f87d8.jpg?v=1753852937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221018_i1666099313_9718_6_jpg_3a47dd98-4050-4dce-82a2-720bab4c3fcb.jpg?v=1753852937,Hi I want MUSE VANITY CASE 20 IN NAVY BLUE GOYARDINE CANVAS,New
SAINT LOUIS GM 40CM WHITE CANVAS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/STLOUIGMLTY50CL50P_1_trois_quart_9446043b-31ab-44bc-ac9c-4fdb9d998dd1.png?v=1753878025,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/STLOUIGMLTY50CL50P_1_trois_quart_9446043b-31ab-44bc-ac9c-4fdb9d998dd1.png?v=1753878025|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182424_484974a7-4d65-4e28-98f3-443228315dcc.jpg?v=1753878025|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182427_843f05ef-a6ef-4c38-9900-d535e83edbab.jpg?v=1753878025|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182430_94501899-9dc8-4cfa-afa0-7443bdaf3f29.jpg?v=1753878025|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182433_db97f0ec-2c60-4562-803c-47297c539317.jpg?v=1753878025|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182443_45d37e05-7977-4cc9-a6d6-0280ec48c346.jpg?v=1753878025|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182448_cc6d14e6-2fce-4075-8ef7-2913e4f387e3.jpg?v=1753878025|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182450_5d655b0a-4a68-4207-9d7e-6bfcd7f82c75.jpg?v=1753878025|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182453_d8c95be6-9624-4e7b-bd6f-43f018227648.jpg?v=1753878025,Hi I want SAINT LOUIS GM 40CM WHITE CANVAS,
SAINT LOUIS GM 40CM BLACK CANVAS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/STLOUIGMLTY01CL01P_1_trois_quart_cacd723e-e443-41d2-bfaf-520ed1965333.png?v=1753878102,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/STLOUIGMLTY01CL01P_1_trois_quart_cacd723e-e443-41d2-bfaf-520ed1965333.png?v=1753878102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181738_f5297314-9a43-4623-ad7e-2b9dc5d293ff.jpg?v=1753878102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181718_053d1579-58c2-485f-a24c-0f7b84e76884.jpg?v=1753878102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181740_1b054a52-b6ab-4a95-9c1a-e7e59442627a.jpg?v=1753878102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181743_b7b2f858-0413-42b2-9b3e-d00ddbb34624.jpg?v=1753878102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181746_31c5b456-ac91-497d-8ab4-5f3154bd76d5.jpg?v=1753878102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181749_36bfd251-585a-421a-865e-14086d9091db.jpg?v=1753878102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181752_8b7bfa8f-59f6-4784-86d8-4f989cd30c95.jpg?v=1753878102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181755_32935540-23ee-4220-a73a-d20bf27ea65e.jpg?v=1753878102|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181758_d345ced3-f979-4184-8dd8-f2d7c010e454.jpg?v=1753878102,Hi I want SAINT LOUIS GM 40CM BLACK CANVAS,
SAINT LOUIS GM 40CM GREEN CANVAS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201160252_9570588a-a6fc-4811-addb-fa1ad022da51.jpg?v=1753878134,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201160252_9570588a-a6fc-4811-addb-fa1ad022da51.jpg?v=1753878134|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201160247_747f34ef-d9db-44b1-b472-49ef78452fcb.jpg?v=1753878134|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201163712_4b3466b7-4253-43db-90d8-429c5d9acd95.jpg?v=1753878134|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201163735_ff4f56f0-c83c-4548-82d5-15e760023b60.jpg?v=1753878134|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201163748_7ca9d120-97a0-4ba7-8369-e96ffa2e79a8.jpg?v=1753878134|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201163740_99fd4a46-a577-46fd-b5ab-adfa4bfe5425.jpg?v=1753878134|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201163745_0a4deff0-7cf9-40e0-8368-75bc7a8dd19a.jpg?v=1753878134|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201163742_70cbdec8-2a37-4ab5-8a6f-dafac9907fe3.jpg?v=1753878134|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201163737_ccea343e-1fcc-4791-a7d8-59d6483ec6cc.jpg?v=1753878134|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201163732_e4067c96-ef42-49d2-8493-579b70f4f717.jpg?v=1753878134,Hi I want SAINT LOUIS GM 40CM GREEN CANVAS,
HARDY PM BAG 40 IN BLACK GOYARDINE CANVAS AND TAURILLON LEATHER TRIM,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_6385_0_jpg_3436957e-050b-4a45-848b-4d270235ef7c.jpg?v=1753856725,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_6385_0_jpg_3436957e-050b-4a45-848b-4d270235ef7c.jpg?v=1753856725|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_324_3_jpg_bdd88b83-451c-4180-8536-c134b7806c83.jpg?v=1753856725|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_1793_2_jpg_29de9159-67aa-4506-b5d6-82bd7fcfd5c7.jpg?v=1753856725|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_2113_8_jpg_8f7dfca7-09f6-42d4-98cc-3d713658c90f.jpg?v=1753856725|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_3215_7_jpg_74629942-7a10-423f-843a-806e918cf0fb.jpg?v=1753856725|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_4880_6_jpg_de4d76ea-87d5-42d3-89fa-1e4481f97cf9.jpg?v=1753856725|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_7537_1_jpg_4d1353a3-57d2-4753-90ec-dfa0b7672307.jpg?v=1753856725|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_8645_4_jpg_1780f1c9-5227-4910-8dc8-6d25586428a0.jpg?v=1753856725|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220517_i1652721133_8835_5_jpg_2aeb6b1e-9788-4933-8501-e3b609f26e36.jpg?v=1753856725,Hi I want HARDY PM BAG 40 IN BLACK GOYARDINE CANVAS AND TAURILLON LEATHER TRIM,New
SAINT LOUIS PM 40 IN GREY MIX PINK GOYARDINE CANVAS AND CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_1912_1_jpg_44ee4c04-3ea9-4744-a47d-61c99681920e.jpg?v=1753850205,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_1912_1_jpg_44ee4c04-3ea9-4744-a47d-61c99681920e.jpg?v=1753850205|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_1136_2_jpg_85c9c5d2-1b38-406c-a4ed-807e9cda2653.jpg?v=1753850205|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_1509_8_jpg_9f87db49-5e1d-48ed-992e-813aefe66ee3.jpg?v=1753850205|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_2042_5_jpg_9b7beee4-221a-4f4d-8c36-f0d1f17b4ec5.jpg?v=1753850205|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_5126_6_jpg_261cd073-6de0-4595-ad0c-5920605bc7b3.jpg?v=1753850205|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_6389_0_jpg_0587d91f-a670-472e-9329-95b75a2ef7e2.jpg?v=1753850205|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_7892_4_jpg_924ec652-7433-42e5-ab1c-d13282fd751f.jpg?v=1753850205|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_9001_7_jpg_19031e12-30ff-46ed-b5ab-904e61036f0d.jpg?v=1753850205|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230808_i1691500699_9199_3_jpg_e0cd2666-8499-46a7-be2b-ebd55a78bfd3.jpg?v=1753850205,Hi I want SAINT LOUIS PM 40 IN GREY MIX PINK GOYARDINE CANVAS AND CALFSKIN,
saint louis pm 34cm green canvas chevroches calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_3814_0_jpg_1ac388b6-81cc-485b-b2fd-444a22f33dda.jpg?v=1753870963,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_3814_0_jpg_1ac388b6-81cc-485b-b2fd-444a22f33dda.jpg?v=1753870963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_4842_7_jpg_667d3469-3d73-4057-85e0-3c443e692ec2.jpg?v=1753870963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_5809_2_jpg_e5e725cc-9af2-4f45-b3a7-7f6cecbf12b1.jpg?v=1753870963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_6079_3_jpg_d6669b54-f89f-49be-8140-3562b5a5549d.jpg?v=1753870963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_7643_1_jpg_5c0dd914-958b-4a5f-9117-61c5735f01f9.jpg?v=1753870963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_7921_8_jpg_e9515f8e-f69e-49f3-912e-c89ee5caf807.jpg?v=1753870963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_8899_6_jpg_ee6e34a2-0c8c-4f95-ab3d-4f9226ff2b03.jpg?v=1753870963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_9080_4_jpg_4cc5f8ac-22d9-4137-b1a0-7da4b1c7b244.jpg?v=1753870963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_21e04e17_20231103_i1698949317_9253_5_jpg_a8bcfc16-6c51-490e-aa0c-93575795b126.jpg?v=1753870963,Hi I want saint louis pm 34cm green canvas chevroches calfskin,
SAINT LOUIS GM 40CM GREY CANVAS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/STLOUIGMLTY51CL51P_1_trois_quart_27555cf5-09d9-4b7a-838c-cb3a0e241cf0.png?v=1753878071,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/STLOUIGMLTY51CL51P_1_trois_quart_27555cf5-09d9-4b7a-838c-cb3a0e241cf0.png?v=1753878071|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182507_77da2e17-50a6-4364-9977-d9fb7ca1cc67.jpg?v=1753878071|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182510_e54765d3-971f-4348-b093-685843daf5d0.jpg?v=1753878071|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182513_d1af69c2-fb22-4da4-9b2b-85361c8b6482.jpg?v=1753878071|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182515_4bcad6b0-2fb0-4bb1-a587-8dff6c0c7e2d.jpg?v=1753878071|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182518_8e98a928-46ec-4296-acb5-1dd1477ef54a.jpg?v=1753878071|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182521_8925c3c7-cdde-4c32-bcd7-0534b63a0b58.jpg?v=1753878071|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182524_954a4041-b10d-435b-b017-e18c75901111.jpg?v=1753878071|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182527_5ee922be-800c-4b33-ad54-356f304f8980.jpg?v=1753878072|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201182529_c1090c09-b6ce-4036-a26d-fb5fba8a8781.jpg?v=1753878072,Hi I want SAINT LOUIS GM 40CM GREY CANVAS,
SAINT LOUIS GM 40CM BLACK AND TAN CANVAS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/STLOUIGMLTY01CL03P_1_trois_quart_81fae56e-95bf-4289-85ce-4782465158e9.png?v=1753878118,handbags,goyard,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/STLOUIGMLTY01CL03P_1_trois_quart_81fae56e-95bf-4289-85ce-4782465158e9.png?v=1753878118|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181801_15f8a105-d3d2-46af-b895-489e135479c6.jpg?v=1753878118|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181804_8ce6eb80-0933-4c3f-a34e-f010ee8ae3d5.jpg?v=1753878118|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181807_d6b040b2-efd0-447d-8aa4-f40e6ade3467.jpg?v=1753878118|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181819_d27ae25a-7f50-4cff-b519-d8e2278b315b.jpg?v=1753878118|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181825_db79148b-120f-414b-aed5-3d73a7a20ad5.jpg?v=1753878118|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181828_3dc50c4d-f1dd-433b-8311-2172ca5c60ab.jpg?v=1753878118|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181831_5246a1af-436d-4ff2-845e-97367b69918d.jpg?v=1753878118|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240201181834_53e5fc04-9592-43e4-9963-6b5074152902.jpg?v=1753878118,Hi I want SAINT LOUIS GM 40CM BLACK AND TAN CANVAS,
