name,image,category,brand,images,whatsapp_text,badge
Gucci Giglio Large Tote Bag Beige and dark brown canvas,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-16_143815_045_ddbb8d8f-8819-4116-9d2b-1b7cd978e84e.jpg?v=1781672095,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-16_143815_045_ddbb8d8f-8819-4116-9d2b-1b7cd978e84e.jpg?v=1781672095|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-16_143837_564_fc8f3f03-b51b-46f1-ac86-0e967bf3c17b.jpg?v=1781672095|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-16_143828_093_2283239a-77c5-47c7-b952-2429bc13744f.jpg?v=1781672095|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-16_143826_077_cc7d4c3a-185b-48d0-923f-39b438b7eea1.jpg?v=1781672095|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-16_143823_908_b487f020-fa49-4e71-a986-e795cad270fe.jpg?v=1781672095|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-16_143822_085_1bf4285e-5a32-4acf-b136-47317f2c2e3e.jpg?v=1781672095|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-16_143820_109_03d74021-d27e-4650-960c-3a083621cec7.jpg?v=1781672095|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-16_143817_819_0e67973b-c084-4b53-9166-ece8814c6c51.jpg?v=1781672095,Hi I want Gucci Giglio Large Tote Bag Beige and dark brown canvas,New
Gucci Giglio Large Tote Bag Blue and Red Denim,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102243_493_d5e01f20-1c13-4bbe-96d6-0b2ac5481110.jpg?v=1781671201,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102243_493_d5e01f20-1c13-4bbe-96d6-0b2ac5481110.jpg?v=1781671201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102307_093_2c61c0bb-a100-4cf2-9c03-628a992f1278.jpg?v=1781671201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102303_918_6410096c-9303-4437-a4a8-cdc1a1be4b6c.jpg?v=1781671201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102301_006_0b884d3c-e0a3-4b90-8aae-d709818f71b1.jpg?v=1781671201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102257_734_c97546e9-87c9-46a3-86e3-3b18d9485ff2.jpg?v=1781671201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102254_013_490b7e0a-08c1-4784-aa71-10acb3bd2c0d.jpg?v=1781671201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102251_398_4285bbfe-09ac-43ba-82e8-3f9befb34acc.jpg?v=1781671201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102248_774_45bfbec4-4a08-4088-bb94-4a322ed41498.jpg?v=1781671201|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-06-24_102246_036_d9e29baa-effd-4f8c-8daf-0ca0e94ac414.jpg?v=1781671201,Hi I want Gucci Giglio Large Tote Bag Blue and Red Denim,New
Gucci Diana Bamboo Bag Brown Calfskin 240101,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_4341_0_jpg_3c059068-32a2-4dde-8cfe-b3e03ed8d48e.jpg?v=1781671148,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_4341_0_jpg_3c059068-32a2-4dde-8cfe-b3e03ed8d48e.jpg?v=1781671148|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_544_7_jpg_59432905-74ac-4239-aebc-4221cc3031cc.jpg?v=1781671147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_1166_5_jpg_118488bc-c8d4-42c3-b603-88be80c98296.jpg?v=1781671148|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_1694_4_jpg_53be379b-0aa0-4981-a2ef-2f45645c1a87.jpg?v=1781671147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_7950_8_jpg_9928c6aa-4c0a-4f95-a83d-8fb8406a0213.jpg?v=1781671148|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_9222_6_jpg_368fe5d3-27b0-433c-be8f-4d252d03f423.jpg?v=1781671148|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_399_2_jpg_c339544d-c6e3-427d-9abc-0e99a97d4c1c.jpg?v=1781671148|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_3853_3_jpg_c578a5c3-aa80-4856-b57b-7657f5336863.jpg?v=1781671148|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230323_i1679560922_4510_1_jpg_b70ca3ba-21f9-4be1-a7bf-94b797cd6c75.jpg?v=1781671148,Hi I want Gucci Diana Bamboo Bag Brown Calfskin 240101,New
OPHIDIA GG SMALL 25 HANDBAG BEIGE AND EBONY SUPREME CANVAS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221227_i1672132661_7156_0_jpg_a15faf8e-a7b8-4778-842f-f5dc1a6e00ed.jpg?v=1781671896,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221227_i1672132661_7156_0_jpg_a15faf8e-a7b8-4778-842f-f5dc1a6e00ed.jpg?v=1781671896|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221227_i1672132661_5148_1_jpg_e55148b4-b80e-47b1-b52b-ffe9da873dc3.jpg?v=1781671896|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221227_i1672132661_3741_2_jpg_e4bdd2aa-dc33-4cad-9f84-fdc1fe6de42a.jpg?v=1781671896|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221227_i1672132661_9795_7_jpg_1babe683-0811-4a95-87ae-50c8bc2d9447.jpg?v=1781671896|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221227_i1672132661_9041_5_jpg_c168c8c8-5744-4ae4-958a-356cb7f2181f.jpg?v=1781671896|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221227_i1672132661_7830_3_jpg_6475b460-5b00-42d7-a6b3-5c176daf1504.jpg?v=1781671897|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221227_i1672132661_6575_4_jpg_d4544b69-38cf-4aaf-a1dd-7870b382f634.jpg?v=1781671897|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20221227_i1672132661_1081_6_jpg_9a78d36f-9f4d-413f-803f-0e484322389d.jpg?v=1781671896,Hi I want OPHIDIA GG SMALL 25 HANDBAG BEIGE AND EBONY SUPREME CANVAS,
GG OPHIDIA SMALL 24 IN BEIGE CANVAS AND BROWN CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_1618_0_jpg_cbddc3f8-53f7-4c40-a55f-815c20df5595.jpg?v=1781671919,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_1618_0_jpg_cbddc3f8-53f7-4c40-a55f-815c20df5595.jpg?v=1781671919|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_8405_1_jpg.jpg?v=1781671919|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_7988_2_jpg_03938e29-993c-4d26-a0e4-db7be2054ad3.jpg?v=1781671919|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_8152_4_jpg_e89a4181-66f1-4d1d-b115-0ca92fff5b9e.jpg?v=1781671919|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_5779_8_jpg_f7d15a56-dc34-4499-ae3e-a56e35330bf0.jpg?v=1781671919|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_4978_3_jpg_bd802e9e-db5e-4160-83a6-406d5c765e0a.jpg?v=1781671919|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_3790_5_jpg_9635c407-8376-42b0-9b55-192e0a003d3e.jpg?v=1781671919|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_3561_6_jpg_759caa3e-4f09-4288-94d1-5aca36bea8cb.jpg?v=1781671919|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230714_i1689316847_2088_7_jpg_aeeaa00f-cb8c-42db-b8ba-56e90013d1b8.jpg?v=1781671919,Hi I want GG OPHIDIA SMALL 24 IN BEIGE CANVAS AND BROWN CALFSKIN,
GG MINI 25 HANDBAG IN BEIGE CANVAS AND BROWN CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_5045_0_jpg.jpg?v=1781759318,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_5045_0_jpg.jpg?v=1781759318|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_4718_1_jpg.jpg?v=1781759318|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_6849_3_jpg.jpg?v=1781759318|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_1980_8_jpg.jpg?v=1781759318|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_1314_5_jpg.jpg?v=1781759318|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_1304_4_jpg.jpg?v=1781759318|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_1020_7_jpg_1d070d9b-0268-47b0-b41b-c351651dd841.jpg?v=1781759318|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_673_6_jpg_3a1bc87d-d046-4a61-975a-4a0ce4a29d5a.jpg?v=1781759318|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210828_i1630142568_559_2_jpg.jpg?v=1781759318,Hi I want GG MINI 25 HANDBAG IN BEIGE CANVAS AND BROWN CALFSKIN,
GG MINI 18 MARMONT MATELASSÉ BLACK CALFSKIN WITH GOLDEN LOGO,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_7491_1_jpg_075b85f6-3827-42b7-acfb-2e4c3e5d0c17.jpg?v=1781671727,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_7491_1_jpg_075b85f6-3827-42b7-acfb-2e4c3e5d0c17.jpg?v=1781671727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_7104_0_jpg_f03e05e6-abe9-4566-8c31-f5c4d5b29289.jpg?v=1781671727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_4129_2_jpg_349d20ed-c9fe-4173-a89c-69a6ca6752c5.jpg?v=1781671727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_9219_6_jpg_d322fca5-a6d6-46a8-a978-1e8303d3630c.jpg?v=1781671727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_2273_3_jpg_87ba646d-f221-4daf-ab1d-acbe58593042.jpg?v=1781671727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_7673_5_jpg_57b57a2d-4f76-456e-a59d-117f9fd28526.jpg?v=1781671727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_5979_7_jpg_4b31c5a6-0e5f-4737-9ef4-e0f309b9d917.jpg?v=1781671727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_4553_4_jpg_7c57b7ec-17f1-40c6-9b6d-2f91da3045f0.jpg?v=1781671727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230705_i1688537393_4232_8_jpg_d8dbec7f-dbeb-459d-850b-0c94476a8b7e.jpg?v=1781671727,Hi I want GG MINI 18 MARMONT MATELASSÉ BLACK CALFSKIN WITH GOLDEN LOGO,
MEDIUM BACKPACK 40 IN BEGE AND EBONY CANVAS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_9204_4_jpg_38c7edb2-5d3f-4004-9392-65a8d89c2510.jpg?v=1782531963,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_9204_4_jpg_38c7edb2-5d3f-4004-9392-65a8d89c2510.jpg?v=1782531963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_291_6_jpg_8843ea09-e9b2-4bdc-b37e-b6ac500cd020.jpg?v=1782531963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_2459_2_jpg.jpg?v=1782531963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_5182_5_jpg_1990da37-017d-40ae-8308-2d3718b03f67.jpg?v=1782531963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_5997_8_jpg_534050cd-16cd-4c92-8b1e-7e5f9c4532f0.jpg?v=1782531963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_6459_1_jpg_c8d81143-4470-432d-b26f-f4b251ca1832.jpg?v=1782531963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_7433_7_jpg_b5cc6d2f-d2d8-45b8-a22f-ee8b871da676.jpg?v=1782531963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_8523_0_jpg_0eac34d9-9581-462a-a11e-20b7b7e53bd2.jpg?v=1782531963|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240908_i1725786670_9559_3_jpg_af78f210-3b14-4f8f-a761-d7e7a8b0edb7.jpg?v=1782531963,Hi I want MEDIUM BACKPACK 40 IN BEGE AND EBONY CANVAS,
MARMONT SHOULDER BAG 26 IN BLUE DENIM WITH DOUBLE G CRYSTAL PATTERN GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_366_2_jpg.jpg?v=1781671317,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_366_2_jpg.jpg?v=1781671317|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_1113_5_jpg.jpg?v=1781671317|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_5077_0_jpg.jpg?v=1781671317|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_1070_8_jpg.jpg?v=1781671317|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_1551_7_jpg.jpg?v=1781671317|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_4589_3_jpg.jpg?v=1781671317|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_7766_4_jpg.jpg?v=1781671317|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_7864_1_jpg.jpg?v=1781671317|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20240828_i1724831368_8306_6_jpg.jpg?v=1781671317,Hi I want MARMONT SHOULDER BAG 26 IN BLUE DENIM WITH DOUBLE G CRYSTAL PATTERN GOLD HARDWARE,
BAMBOO TOP HANDLE BAG 21 IN BROWN CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230447_b2a1b5ef-6b56-4aa6-b36a-2cd0ddbe68a7.jpg?v=1781671215,handbags,gucci,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230447_b2a1b5ef-6b56-4aa6-b36a-2cd0ddbe68a7.jpg?v=1781671215|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230459_7beda980-6647-403f-9026-5bf2880a3e56.jpg?v=1781671215|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230500_eda43072-d4c1-411a-8e44-d4b5486a3258.jpg?v=1781671215|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230502_edfcfd07-c1f3-4d0d-8a70-dac9ae2ce33d.jpg?v=1781671215|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230503_146b5907-380e-45fe-a146-f32678ff77d3.jpg?v=1781671216|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230504_04676d94-febb-4da0-9704-c278b6c82911.jpg?v=1781671215|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230505_f21d2b6f-1c1f-4b63-88e5-7883d97f7955.jpg?v=1781671215|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230506_b1276d91-ccce-4043-bb34-47ae3ca12e1d.jpg?v=1781671216|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250217230507_5c6ca8dd-45af-40cb-8063-a23b7a5243c3.jpg?v=1781671215,Hi I want BAMBOO TOP HANDLE BAG 21 IN BROWN CALFSKIN,
