name,image,category,brand,images,whatsapp_text,badge
Mini Flamenco Bag 23cm Black Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_9883_0_jpg_eef349fb-b362-482f-8a31-26e0b8e3da16.jpg?v=1783763023,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_9883_0_jpg_eef349fb-b362-482f-8a31-26e0b8e3da16.jpg?v=1783763023|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_5027_0_jpg_180e3f47-0777-42a3-b2ca-3da059e3d44d.jpg?v=1783763023|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_65_0_jpg_d7172277-7119-4ab1-af15-5a14707fc4bf.jpg?v=1783763023|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_7300_0_jpg_8ed94529-83bc-47d6-88e9-7fc1af41b034.jpg?v=1783763023|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_7303_0_jpg_8a9e2663-3087-417c-830f-d9a26f6b2240.jpg?v=1783763023|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_892_0_jpg_b8a536e4-4328-4d43-a7c0-6c9d9e26627c.jpg?v=1783763023|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_8962_0_jpg_36ede7bd-960d-4b5c-9438-308973135169.jpg?v=1783763023|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_9509_0_jpg_bffc6507-ba03-4d85-b4bc-42f7bf444cc9.jpg?v=1783763023|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20231227_i1703655836_9909_0_jpg_b84d24af-ddfa-4544-80de-6748d2c73308.jpg?v=1783763023,Hi I want Mini Flamenco Bag 23cm Black Calfskin,
Mini Flamenco Bag 23cm Chocolate Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258424_6194_6_jpg_28cfcbf7-8032-48c2-ac8e-ddfbfe4ec5bc.jpg?v=1783650466,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258424_6194_6_jpg_28cfcbf7-8032-48c2-ac8e-ddfbfe4ec5bc.jpg?v=1783650466|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258423_2185_4_jpg_36ac4c0b-373f-4dee-b52d-6d9c2d8b388e.jpg?v=1783650466|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258423_2271_1_jpg_8ef5d3b0-e2e1-419d-9f86-b768f384d87b.jpg?v=1783650466|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258423_2759_3_jpg_66f6915a-405e-4360-9c43-e2291756c3de.jpg?v=1783650466|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258423_3959_0_jpg_94c8b49a-e92c-4b2d-aec4-2ef83edcf83c.jpg?v=1783650467|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258423_92_2_jpg_918c02c5-5c52-409f-a1a6-ac29f69a09d9.jpg?v=1783650467|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258424_1544_7_jpg_611be95c-0023-4346-b06d-8a10f6ab3af2.jpg?v=1783650466|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258424_776_8_jpg_56736b52-a59f-4601-9a20-653becf00cca.jpg?v=1783650466|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_4485ae3c_20240103_i1704258424_7899_5_jpg_fc1cbb7f-3816-4a6f-a412-17cbe5b16b0a.jpg?v=1783650466,Hi I want Mini Flamenco Bag 23cm Chocolate Calfskin,
Loew Medium Flamenco Bag 30cm Black Lambskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102025.jpg?v=1759036242,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102025.jpg?v=1759036242|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102046.jpg?v=1759036242|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102047.jpg?v=1759036242|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102049.jpg?v=1759036242|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102050.jpg?v=1759036242|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102051.jpg?v=1759036242|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102052.jpg?v=1759036242|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102053.jpg?v=1759036242|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240810102054.jpg?v=1759036242,Hi I want Loew Medium Flamenco Bag 30cm Black Lambskin,
Loew Medium Flamenco Bag 30cm Dark Brown Lambskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5555.jpg?v=1761819656,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5555.jpg?v=1761819656|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5556.jpg?v=1761819656|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5557.jpg?v=1761819656|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5560.jpg?v=1761819656|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5562.jpg?v=1761819656|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5559.jpg?v=1761819656|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5563.jpg?v=1761819656|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5564.jpg?v=1761819656|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250814115025_5565.jpg?v=1761819656,Hi I want Loew Medium Flamenco Bag 30cm Dark Brown Lambskin,New
Mini Gate Dual Bag 21cm Tan Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_2962_0_jpg.jpg?v=1759037623,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_2962_0_jpg.jpg?v=1759037623|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_1291_2_jpg.jpg?v=1759037623|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_1442_8_jpg.jpg?v=1759037623|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_3922_4_jpg.jpg?v=1759037623|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_4559_5_jpg.jpg?v=1759037623|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_5231_3_jpg.jpg?v=1759037623|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_7155_7_jpg.jpg?v=1759037623|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_9917_6_jpg.jpg?v=1759037623|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211118_i1637249189_2926_1_jpg.jpg?v=1759037623,Hi I want Mini Gate Dual Bag 21cm Tan Calfskin,
Small Puzzle 24cm bag in soft grained white and tan calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_3730_2_jpg_221d3718-100b-4e15-ad50-1f17cec12669.jpg?v=1759039948,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_3730_2_jpg_221d3718-100b-4e15-ad50-1f17cec12669.jpg?v=1759039948|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_4968_0_jpg_1e36fc84-abfa-4087-8b55-566b37ab84da.jpg?v=1759039948|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_4321_1_jpg_e74a93be-671c-4d43-8c92-d460ea760f15.jpg?v=1759039948|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_1517_4_jpg_0f9fe9af-d1ec-4d4c-b7f2-086e64039a22.jpg?v=1759039948|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_9012_6_jpg_9f4cfe8e-efe5-491d-a21a-177b8ff53544.jpg?v=1759039948|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_2385_7_jpg_2faec85a-974a-43e7-bf9e-7bdd89689b25.jpg?v=1759039948|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_3389_5_jpg_f7be5fd4-f56a-4d0b-bc4d-878d83225978.jpg?v=1759039948|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_8012_3_jpg_4714e7e6-e4ad-42ee-8530-d65774b223a1.jpg?v=1759039948|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211225_i1640368665_9282_8_jpg_d5d1a317-562e-4851-b7a7-5f6ef3dab7c5.jpg?v=1759039948,Hi I want Small Puzzle 24cm bag in soft grained white and tan calfskin,
LOEW PUZZLE FOLD TOTE IBLACK SHINY CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208151351_f476a0ed-ec9b-4c54-a395-47c85b9c3591.jpg?v=1775730577,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208151351_f476a0ed-ec9b-4c54-a395-47c85b9c3591.jpg?v=1775730577|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208152039_275f457c-c536-436f-a73f-7174fed90043.jpg?v=1775730578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208152044_8ed6ebfe-93d8-4d06-ba0b-43c442d2ede0.jpg?v=1775730578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208152024_87ccbaf0-08ed-4820-81a8-bd88b168e566.jpg?v=1775730577|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208152041_89b837d7-c7a9-4dcd-ac10-9a2437958291.jpg?v=1775730577|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208152043_c3e299b8-012e-484b-bf92-22b83f5a102f.jpg?v=1775730577|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208152045_976a66b2-800c-4361-9fdd-b8c836e3fd62.jpg?v=1775730577|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208152046_2620fea8-eab8-454a-9cd9-65d73ea31767.jpg?v=1775730578|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20241208152048_8d133619-c7d8-4bdd-857d-121532a336c4.jpg?v=1775730577,Hi I want LOEW PUZZLE FOLD TOTE IBLACK SHINY CALFSKIN,
Loewe 2025 Ola 26 Bag Beige Black Raffia Calfskin 274681,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2b358ef7_20250811_i1754895827_1357_3_jpg.jpg?v=1765354286,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2b358ef7_20250811_i1754895827_1357_3_jpg.jpg?v=1765354286|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2b358ef7_20250811_i1754895827_2417_2_jpg.jpg?v=1765354286|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2b358ef7_20250811_i1754895827_3116_0_jpg.jpg?v=1765354286|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2b358ef7_20250811_i1754895827_3844_1_jpg.jpg?v=1765354286|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2b358ef7_20250811_i1754895827_8154_4_jpg.jpg?v=1765354286|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2b358ef7_20250811_i1754895828_931_6_jpg.jpg?v=1765354286|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2b358ef7_20250811_i1754895828_2410_5_jpg.jpg?v=1765354286|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_2b358ef7_20250811_i1754895828_3201_7_jpg.jpg?v=1765354286,Hi I want Loewe 2025 Ola 26 Bag Beige Black Raffia Calfskin 274681,New
LOE 23 FLAMENCO PURSE BUCKET IN RED PINK LAMBSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_5147_6_jpg.jpg?v=1759036210,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_5147_6_jpg.jpg?v=1759036210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_1795_1_jpg.jpg?v=1759036210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_4369_0_jpg.jpg?v=1759036210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_5981_2_jpg.jpg?v=1759036210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_1422_3_jpg.jpg?v=1759036210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_755_4_jpg.jpg?v=1759036210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_8292_7_jpg.jpg?v=1759036210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_3148_5_jpg.jpg?v=1759036210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278974_123_8_jpg.jpg?v=1759036210,Hi I want LOE 23 FLAMENCO PURSE BUCKET IN RED PINK LAMBSKIN,
LOE 23 FLAMENCO PURSE BUCKET IN BLACK LAMBSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_2143_1_jpg.jpg?v=1759036221,handbags,loewe,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_2143_1_jpg.jpg?v=1759036221|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_4895_4_jpg.jpg?v=1759036221|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_2106_2_jpg.jpg?v=1759036221|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_253_6_jpg.jpg?v=1759036221|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_7465_8_jpg.jpg?v=1759036221|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_6971_7_jpg.jpg?v=1759036222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_5131_0_jpg.jpg?v=1759036222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_3453_3_jpg.jpg?v=1759036222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_6bf20321_20240207_i1707278777_1978_5_jpg.jpg?v=1759036222,Hi I want LOE 23 FLAMENCO PURSE BUCKET IN BLACK LAMBSKIN,
