name,image,category,brand,images,whatsapp_text,badge
EXTRA POCKET L19 IN NAVY BLUE GRAINED CALFSKIN WITH SILVER HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_5648_0_jpg_c4147a07-c0d8-46f0-9bd6-15a90e01535b.jpg?v=1779877555,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_5648_0_jpg_c4147a07-c0d8-46f0-9bd6-15a90e01535b.jpg?v=1779877555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_698_1_jpg_51e1182b-501e-4ee7-9757-afdc2eaaecda.jpg?v=1779877555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_7453_2_jpg_6171f10a-ed7f-407c-8ee5-2d3f05ce6f7a.jpg?v=1779877555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_2447_4_jpg_0869b601-38e7-48df-b884-eb6a2ec4655a.jpg?v=1779877555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_3959_3_jpg_f3ad6346-79e2-4951-bbf1-938db326dd7a.jpg?v=1779877555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_7407_5_jpg_5a1d1ac6-15e4-4f8c-92b2-387d6e2bab03.jpg?v=1779877555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_1946_6_jpg_7533ce67-2950-4390-81c6-caa20496dbd1.jpg?v=1779877555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_8194_8_jpg_ea32332e-c7cd-4f6b-a865-5844a27939b9.jpg?v=1779877555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240324_i1711258803_5167_7_jpg_30fc017f-7a87-4b70-ad05-670473396025.jpg?v=1779877555,Hi I want EXTRA POCKET L19 IN NAVY BLUE GRAINED CALFSKIN WITH SILVER HARDWARE,
EXTRA POCKET L19 IN WHITE OSTRICH LEATHER,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910028713_1830_jpg_e252abf1-2ff5-4b51-a8f6-4d6c2304b62d.jpg?v=1775471280,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910028713_1830_jpg_e252abf1-2ff5-4b51-a8f6-4d6c2304b62d.jpg?v=1775471280|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910028812_5705_jpg_82eaf09e-f0b4-450a-8c15-383604758eee.jpg?v=1775471280|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910028918_4727_jpg_6602d5fd-5709-4f11-8ca7-7ddae7e102e0.jpg?v=1775471280|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910029241_1171_jpg_c31d93d2-90a4-4bd7-9754-420487dec8ad.jpg?v=1775471280|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910029031_5075_jpg_e5df9cb2-df47-46da-964f-3ae64929733c.jpg?v=1775471280|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910029484_7867_jpg_837d62a2-cea9-4c63-bcae-6a02df53e664.jpg?v=1775471280|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910029129_5054_jpg_571b7583-0d69-4ca5-b4a9-a59f8f0e2aa3.jpg?v=1775471280|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910029360_2012_jpg_4e075f01-a815-4a5a-beec-c252e2067f4f.jpg?v=1775471280|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910029599_1130_jpg_3b71c836-ddbd-4713-963d-3b251dfad2d3.jpg?v=1775471280,Hi I want EXTRA POCKET L19 IN WHITE OSTRICH LEATHER,
EXTRA BAG L27 IN WHITE CANVAS AND RED BROWN CALFSKIN WITH GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_42_0_jpg.jpg?v=1759038149,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_42_0_jpg.jpg?v=1759038149|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_4517_5_jpg.jpg?v=1759038149|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_5802_2_jpg.jpg?v=1759038149|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_1485_6_jpg.jpg?v=1759038149|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_575_4_jpg.jpg?v=1759038149|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_8295_7_jpg.jpg?v=1759038149|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_6035_1_jpg.jpg?v=1759038149|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_6633_3_jpg.jpg?v=1759038149|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240701_i1719810445_3458_8_jpg.jpg?v=1759038149,Hi I want EXTRA BAG L27 IN WHITE CANVAS AND RED BROWN CALFSKIN WITH GOLD HARDWARE,
EXTRA POCKET L19 IN BRONZE BROWN GRAINED CALFSKIN WITH GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_2296_0_jpg.jpg?v=1759039147,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_2296_0_jpg.jpg?v=1759039147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_3863_4_jpg.jpg?v=1759039147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_4139_2_jpg.jpg?v=1759039147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_6083_1_jpg.jpg?v=1759039147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_9611_5_jpg.jpg?v=1759039147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_3227_6_jpg.jpg?v=1759039147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_8105_7_jpg.jpg?v=1759039147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_5302_3_jpg.jpg?v=1759039147|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240326_i1711388230_2956_8_jpg.jpg?v=1759039147,Hi I want EXTRA POCKET L19 IN BRONZE BROWN GRAINED CALFSKIN WITH GOLD HARDWARE,
EXTRA POCKET L19 IN WHITE CREAM CALFSKIN WITH GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_6843_0_jpg.jpg?v=1759039252,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_6843_0_jpg.jpg?v=1759039252|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_2838_2_jpg.jpg?v=1759039252|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_3463_1_jpg.jpg?v=1759039252|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_3738_5_jpg.jpg?v=1759039252|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_9719_4_jpg.jpg?v=1759039252|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_812_8_jpg.jpg?v=1759039252|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_3800_6_jpg.jpg?v=1759039252|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_1383_7_jpg.jpg?v=1759039252|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240921_i1726894871_1471_3_jpg.jpg?v=1759039252,Hi I want EXTRA POCKET L19 IN WHITE CREAM CALFSKIN WITH GOLD HARDWARE,
LP Extra Bag 27cm Burgundy Smooth Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_2339_1_jpg_72451c35-6151-4df3-a3ff-fa06086d92c8.jpg?v=1779530571,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_2339_1_jpg_72451c35-6151-4df3-a3ff-fa06086d92c8.jpg?v=1779530571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_1541_3_jpg_c473d3e3-b1b9-41e5-8eeb-7b9de56d08c0.jpg?v=1779530571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_3735_5_jpg_4a9427a6-7ffb-43b2-b700-71a292d8feff.jpg?v=1779530571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_4043_2_jpg_3cad135e-4749-4baf-a1cd-014733dec099.jpg?v=1779530571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_4539_8_jpg_f8e78051-4d20-4c7f-8848-63bee0cba248.jpg?v=1779530571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_5907_4_jpg_37d5807c-91fe-49b0-ab7a-9daeb26a92c7.jpg?v=1779530571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_602_7_jpg_6dcf4f3c-36f3-4483-b64f-29753ebbedad.jpg?v=1779530571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_6583_0_jpg_f994413c-4c06-4ce0-bdf2-e9efc8b5e804.jpg?v=1779530571|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_80f7e02c_20240425_i1714040508_6871_6_jpg_8411f911-5a94-49b1-9bcb-951d81ec4c58.jpg?v=1779530571,Hi I want LP Extra Bag 27cm Burgundy Smooth Calfskin,
EXTRA POCKET L19 IN BISQUE BEIGE OSTRICH LEATHER,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_2761_0_jpg_2c031c04-d574-4b35-af0f-07af14a74bfb.jpg?v=1775471270,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_2761_0_jpg_2c031c04-d574-4b35-af0f-07af14a74bfb.jpg?v=1775471270|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_9951_1_jpg_0a0d3fb5-c882-441c-af55-e87662296fa7.jpg?v=1775471270|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_4760_6_jpg_01b9bc94-a1ac-49da-8e01-2088916b0028.jpg?v=1775471270|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_7958_5_jpg_6e0215b4-c663-4f23-b71c-187123ab45d3.jpg?v=1775471270|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_3287_4_jpg_05611b9f-57bc-4732-b773-ab651fa15673.jpg?v=1775471270|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_163_2_jpg_a4bf1b6f-c850-4cfc-bdee-d9bf26a4698a.jpg?v=1775471270|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_4814_8_jpg_0e36175e-9170-4b66-94be-724774b88fb6.jpg?v=1775471271|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_2140_7_jpg_ea7d9997-2b0d-40d9-9e08-ecde4c95e042.jpg?v=1775471270|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230701_i1688194511_8453_3_jpg_034462b0-d26c-4fb2-87ca-1514df41a1e8.jpg?v=1775471270,Hi I want EXTRA POCKET L19 IN BISQUE BEIGE OSTRICH LEATHER,
EXTRA POCKET L19 IN BLACK OSTRICH LEATHER,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062029_7025_jpg_c91223ee-5b75-4623-9f72-9ed72b4a18be.jpg?v=1775471282,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062029_7025_jpg_c91223ee-5b75-4623-9f72-9ed72b4a18be.jpg?v=1775471282|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062138_5424_jpg_42f3d391-8544-47c8-bb7c-015e15469ce8.jpg?v=1775471282|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062245_7223_jpg_89f132b9-0e61-4a8f-ab84-8411b36705b9.jpg?v=1775471282|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062406_1206_jpg_9616ea7f-dae9-4463-94d0-ece70995b337.jpg?v=1775471282|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062597_0147_jpg_41f86451-9471-4851-a749-8973552e6dbb.jpg?v=1775471282|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062480_3784_jpg_92c143cd-8738-46f8-a988-997ebac82413.jpg?v=1775471282|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062830_7364_jpg_4171ff40-3455-4f03-875f-ab586d66b2cc.jpg?v=1775471282|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062695_2617_jpg_6618e7f3-a03d-482e-9c8e-17882db527f6.jpg?v=1775471282|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_3dc9e5e4_20230928_a1695910062925_8751_jpg_918b0f88-273f-4384-b430-b1cf3acf1238.jpg?v=1775471282,Hi I want EXTRA POCKET L19 IN BLACK OSTRICH LEATHER,
EXTRA BAG L27 IN CHOCOLATE BROWN SMOOTH CALFSKIN WITH GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_9342_0_jpg.jpg?v=1759038007,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_9342_0_jpg.jpg?v=1759038007|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_8694_2_jpg.jpg?v=1759038007|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_7514_4_jpg.jpg?v=1759038007|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_7186_5_jpg.jpg?v=1759038007|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_5552_3_jpg.jpg?v=1759038007|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_5269_8_jpg.jpg?v=1759038007|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_4391_6_jpg.jpg?v=1759038007|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_3580_1_jpg.jpg?v=1759038007|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240425_i1714026257_1986_7_jpg.jpg?v=1759038007,Hi I want EXTRA BAG L27 IN CHOCOLATE BROWN SMOOTH CALFSKIN WITH GOLD HARDWARE,
EXTRA BAG L27 IN CEDAR BROWN SMOOTH CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418832_6166_0_jpg.jpg?v=1759038194,handbags,loro-piana,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418832_6166_0_jpg.jpg?v=1759038194|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418832_7065_2_jpg.jpg?v=1759038195|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418832_7056_1_jpg.jpg?v=1759038195|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418832_9825_3_jpg.jpg?v=1759038195|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418832_4914_5_jpg.jpg?v=1759038195|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418832_1864_4_jpg.jpg?v=1759038195|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418832_7893_6_jpg.jpg?v=1759038195|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418837_9509_0_jpg.jpg?v=1759038195|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240927_i1727418832_3209_7_jpg.jpg?v=1759038195,Hi I want EXTRA BAG L27 IN CEDAR BROWN SMOOTH CALFSKIN,
