name,image,category,brand,images,whatsapp_text,badge
CROCHET TOTE BAG 25 IN MULTICOLORED WOVEN RAFFIA,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235757_daa5de3f-893e-4e76-a6ae-0bff24e58272.jpg?v=1777025553,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235757_daa5de3f-893e-4e76-a6ae-0bff24e58272.jpg?v=1777025553|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235803_ec4e0c53-31ce-46d7-a01d-975bcd2afe57.jpg?v=1777025553|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235807_f79c985e-8d98-459b-b1a0-9476565a3bb1.jpg?v=1777025553|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235811_6025ea3d-2793-450d-81cc-3ef8f4a6c895.jpg?v=1777025553|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235815_26d7938d-bfd5-40cd-bbc0-8077ae142f84.jpg?v=1777025553|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235818_026edc16-ce98-40ef-9687-410e5bcec35d.jpg?v=1777025553|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235822_ee2031b8-727a-43cf-abb8-175d8cdec70a.jpg?v=1777025553|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235825_4468e976-c20e-4af8-91ea-676e0e1b978d.jpg?v=1777025553|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235829_adf7b978-7d7e-47d7-8c63-38099b6c9ceb.jpg?v=1777025553,Hi I want CROCHET TOTE BAG 25 IN MULTICOLORED WOVEN RAFFIA,
ARCADIE MATELASSÉ BAG 27 IN CONGO BROWN CALFSKIN GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_119_1_jpg.jpg?v=1759124702,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_119_1_jpg.jpg?v=1759124702|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_4567_0_jpg.jpg?v=1759124702|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_542_3_jpg.jpg?v=1759124702|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_1339_6_jpg.jpg?v=1759124702|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_3747_8_jpg.jpg?v=1759124702|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_5536_7_jpg.jpg?v=1759124702|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_5761_2_jpg.jpg?v=1759124702|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_6743_4_jpg.jpg?v=1759124702|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_8759_5_jpg.jpg?v=1759124702,Hi I want ARCADIE MATELASSÉ BAG 27 IN CONGO BROWN CALFSKIN GOLD HARDWARE,
miu hobo bag 31cm beige woven fabric,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_3246_0_jpg.jpg?v=1759120680,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_3246_0_jpg.jpg?v=1759120680|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_1110_8_jpg.jpg?v=1759120681|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_1256_7_jpg.jpg?v=1759120681|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_2703_3_jpg.jpg?v=1759120681|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_3332_6_jpg.jpg?v=1759120681|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_3885_2_jpg.jpg?v=1759120681|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_8130_5_jpg.jpg?v=1759120681|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_8765_4_jpg.jpg?v=1759120681|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240516_i1715803317_9655_1_jpg.jpg?v=1759120681,Hi I want miu hobo bag 31cm beige woven fabric,
CROCHET TOTE BAG 38 IN MULTICOLORED WOVEN RAFFIA,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_1972_0_jpg_5dc0df20-9142-47c5-b066-02bd82ede474.jpg?v=1783650469,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_1972_0_jpg_5dc0df20-9142-47c5-b066-02bd82ede474.jpg?v=1783650469|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_18_4_jpg_a175588e-fcc6-4cfa-8656-21f7e842d3d3.jpg?v=1783650469|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_2272_5_jpg_3291f4f2-0204-49be-843c-58a32d804ca8.jpg?v=1783650469|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_2933_6_jpg_20462522-012a-46a9-b5ea-c60c85b42ff1.jpg?v=1783650469|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_3457_2_jpg_bcdca2ba-1a54-4091-8c15-94537d9b9a59.jpg?v=1783650469|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_7774_7_jpg_7a412ba8-f50e-4a76-9a0f-a78847de7d2d.jpg?v=1783650469|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_8883_3_jpg_62ace593-3b40-4464-a138-b53e135db949.jpg?v=1783650469|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_9943_8_jpg_975a2db9-cbc0-4730-acb8-80b2d19a2aff.jpg?v=1783650469|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240717_i1721181109_9999_1_jpg_22e85568-b6e9-438a-bb04-f66c4a8491d5.jpg?v=1783650469,Hi I want CROCHET TOTE BAG 38 IN MULTICOLORED WOVEN RAFFIA,
TOTE BAG 40 IN STRIPED PATTERN OF BLACK RED AND CREAM WHITE WOVEN RAFFIA,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805289560_6743_jpg.jpg?v=1759124937,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805289560_6743_jpg.jpg?v=1759124937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805289653_4250_jpg.jpg?v=1759124937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805289745_2401_jpg.jpg?v=1759124937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805289845_0660_jpg.jpg?v=1759124937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805289949_1104_jpg.jpg?v=1759124937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805290194_7446_jpg.jpg?v=1759124937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805290195_2847_jpg.jpg?v=1759124937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805290269_7226_jpg.jpg?v=1759124937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220726_a1658805290548_0542_jpg.jpg?v=1759124937,Hi I want TOTE BAG 40 IN STRIPED PATTERN OF BLACK RED AND CREAM WHITE WOVEN RAFFIA,
LARGE HANDBAG 40 IN CINNAMON BROWN CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718262969_3291_1_jpg.jpg?v=1759119310,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718262969_3291_1_jpg.jpg?v=1759119310|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718262969_7010_0_jpg.jpg?v=1759119310|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718274279_4168_0_jpg.jpg?v=1759119310|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718262969_509_3_jpg.jpg?v=1759119310|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718262969_5772_7_jpg.jpg?v=1759119310|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718262969_6255_5_jpg.jpg?v=1759119310|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718262969_6961_8_jpg.jpg?v=1759119310|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718262969_8397_6_jpg.jpg?v=1759119310|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240613_i1718262969_9929_4_jpg.jpg?v=1759119310,Hi I want LARGE HANDBAG 40 IN CINNAMON BROWN CALFSKIN,
miuwander hobo 23 white matelasse leather,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142305575_3204_jpg_b66c308d-05fb-44ad-b0cd-fb9de04500da.jpg?v=1778124875,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142305575_3204_jpg_b66c308d-05fb-44ad-b0cd-fb9de04500da.jpg?v=1778124875|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142306091_4261_jpg_ff2c5c40-7d61-4b17-88d3-ff4987364421.jpg?v=1778124875|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142305673_5665_jpg_846b03d2-472f-4b79-a58c-29b2d7211f87.jpg?v=1778124875|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142305840_3631_jpg_bb15ed9e-1939-40dd-9b3e-75d83a73df7e.jpg?v=1778124875|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142305951_7152_jpg_9864515e-ae1e-4053-b562-758b00b09036.jpg?v=1778124875|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142306365_4217_jpg_f263884d-3fde-49d2-9a0a-c8acdf4b267e.jpg?v=1778124875|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142306505_1255_jpg_1ff29a0c-6752-4d14-8976-8ce7c5447455.jpg?v=1778124875|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142306621_0525_jpg_a2424c89-9dfd-4646-b1a4-2d5e559075ac.jpg?v=1778124875|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230712_a1689142306772_7527_jpg_8eeb0456-c51b-4752-9ada-d26bc46ef0f6.jpg?v=1778124875,Hi I want miuwander hobo 23 white matelasse leather,
Miu' beach tote bag black canvas,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_491_5_jpg.jpg?v=1755686306,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_491_5_jpg.jpg?v=1755686306|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_4589_8_jpg.jpg?v=1755686306|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_38_3_jpg.jpg?v=1755686306|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_822_1_jpg.jpg?v=1755686306|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_2137_6_jpg.jpg?v=1755686306|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_3411_0_jpg.jpg?v=1755686306|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_6848_4_jpg.jpg?v=1755686306|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_7503_2_jpg.jpg?v=1755686306|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_481f26ee_20240906_i1725592865_7785_7_jpg.jpg?v=1755686306,Hi I want Miu' beach tote bag black canvas,New
miu bucket bag 20cm white woven fabric,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_6526_0_jpg.jpg?v=1759120648,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_6526_0_jpg.jpg?v=1759120648|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_4203_2_jpg.jpg?v=1759120648|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_5836_4_jpg.jpg?v=1759120648|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_6572_5_jpg.jpg?v=1759120648|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_9123_1_jpg.jpg?v=1759120648|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_9184_6_jpg.jpg?v=1759120648|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_6772_3_jpg.jpg?v=1759120648|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_7417_8_jpg.jpg?v=1759120648|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240509_i1715241920_7723_7_jpg.jpg?v=1759120648,Hi I want miu bucket bag 20cm white woven fabric,
ARCADIE BAG 27 IN CEDAR BROWN SUEDE GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508385_9887_4_jpg_2de13729-c014-4c9d-8dff-a1cc74bc8f8c.jpg?v=1759124585,handbags,miumiu,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508385_9887_4_jpg_2de13729-c014-4c9d-8dff-a1cc74bc8f8c.jpg?v=1759124585|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508385_151_6_jpg_11b469f7-08af-4a3f-aa62-2a2adcd13a51.jpg?v=1759124585|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508385_1085_2_jpg_78439dc3-47e3-4209-9eea-b7d5c73e9cdd.jpg?v=1759124585|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508385_2531_1_jpg_c90ffc3f-f3b5-4504-9f2a-76db256b4b1d.jpg?v=1759124585|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508385_3140_3_jpg_818eb471-e41e-4659-962b-e37dc8f0f86b.jpg?v=1759124585|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508385_5317_7_jpg_dc12631b-981b-4509-b127-e70fc3bd4206.jpg?v=1759124585|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508385_8138_8_jpg_d4b3620a-7799-45fe-9a38-cd98f0f85203.jpg?v=1759124585|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508385_8936_5_jpg_a19d183a-f84d-492e-8740-e55b0d01ea63.jpg?v=1759124585|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241218_i1734508399_9187_0_jpg_313e7335-9d80-471c-956d-85fd2e7f7a5e.jpg?v=1759124585,Hi I want ARCADIE BAG 27 IN CEDAR BROWN SUEDE GOLD HARDWARE,
