name,image,category,brand,images,whatsapp_text,badge
TOTE BAG 25 IN CHERRY WOOD SUEDE GOLD LOGO,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_7078_0_jpg_4d36830d-b2f0-45b6-a7bc-2622b44e746c.jpg?v=1781928261,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_7078_0_jpg_4d36830d-b2f0-45b6-a7bc-2622b44e746c.jpg?v=1781928261|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_2011_6_jpg_c0aa3f36-2ce9-4af7-9733-da862b33181a.jpg?v=1781928262|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_2105_3_jpg_c0de379d-b13a-46fc-bfd2-a772f31ca557.jpg?v=1781928261|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_2851_8_jpg_5b6daf82-3963-49bb-b986-5270e88a07a9.jpg?v=1781928261|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_5496_5_jpg_76980445-aeb0-4d7b-a1bf-a02519ebf7aa.jpg?v=1781928261|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_5997_4_jpg_8203304a-3948-4e0d-8ef6-f8d731a3146a.jpg?v=1781928261|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_6007_7_jpg_87630484-b3c4-4a12-ae82-a41b43a3f222.jpg?v=1781928261|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_7016_2_jpg_334e9876-0c39-4467-a7f4-ed5b30017979.jpg?v=1781928261|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240819_i1724045061_8085_1_jpg_881a81e0-9371-44ff-9cb2-a90f0291fd46.jpg?v=1781928261,Hi I want TOTE BAG 25 IN CHERRY WOOD SUEDE GOLD LOGO,New
TOTE BAG WITH BELT 42 IN RUSSET BROWN SUEDE GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_2419_0_jpg_1bb89b40-9397-47db-af5c-240cac789752.jpg?v=1763875768,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_2419_0_jpg_1bb89b40-9397-47db-af5c-240cac789752.jpg?v=1763875768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_579_1_jpg_33870f60-0e0f-46ea-89dd-3e832ef768a1.jpg?v=1763875768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_946_6_jpg_c04e9de9-3329-4186-9d20-b8ba5645d985.jpg?v=1763875768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_1832_4_jpg_f29a17f0-6e44-4be4-a570-bf46163b7cfd.jpg?v=1763875768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_2677_3_jpg_8c1f6e59-c5c7-4483-a769-b32a4c0cae7c.jpg?v=1763875768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_3317_7_jpg_750228e4-82c3-4c00-98f6-babfed1452cf.jpg?v=1763875768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_4151_5_jpg_9c04399e-391b-4849-9cf9-b8d6938f9e5c.jpg?v=1763875768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_5888_8_jpg_5657b618-a41f-4db0-8c9f-f1711f36ddbd.jpg?v=1763875768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240926_i1727288310_6580_2_jpg_25d68cfa-bfed-4719-8c20-32a0736e0205.jpg?v=1763875768,Hi I want TOTE BAG WITH BELT 42 IN RUSSET BROWN SUEDE GOLD HARDWARE,New
PRA 55 TRAVEL BAG IN BLACK WATERPROOF FABRIC,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200618_i1592415821_7072_2_jpg_adb73485-b7f6-4385-8084-943bdc91232d.jpg?v=1776508769,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200618_i1592415821_7072_2_jpg_adb73485-b7f6-4385-8084-943bdc91232d.jpg?v=1776508769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200618_i1592415821_646_3_jpg_e4a9f0db-80a2-491a-abd4-d494c72827ca.jpg?v=1776508768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200618_i1592415821_5919_1_jpg_6858b6a8-d589-4848-bd14-392efdc6e494.jpg?v=1776508769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200618_i1592415821_6614_5_jpg_dc71dfed-662d-4a8e-a967-340b1e55cf62.jpg?v=1776508769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200618_i1592415821_4188_6_jpg_7cb7e9bc-9cdc-47fe-85f1-3956a90cf123.jpg?v=1776508768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200618_i1592415821_9025_8_jpg_fca91f79-99f4-43ed-bd39-4ff07c14b186.jpg?v=1776508768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200618_i1592415821_3484_7_jpg_18618f0b-c79a-40cc-8bc7-3632663e60cb.jpg?v=1776508768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200618_i1592415821_1075_4_jpg_4c47012e-4c5e-4961-a0cc-63acf8bb58b8.jpg?v=1776508768,Hi I want PRA 55 TRAVEL BAG IN BLACK WATERPROOF FABRIC,
PRA bucket bag 19 burgundy nylon fabric 280831,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250818_i1755499148_8957_0_jpg.jpg?v=1759118293,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250818_i1755499148_8957_0_jpg.jpg?v=1759118293|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250818_i1755499204_8781_0_jpg.jpg?v=1759118293|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250818_i1755499148_286_3_jpg.jpg?v=1759118294|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250818_i1755499148_1494_1_jpg.jpg?v=1759118294|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250818_i1755499148_4465_5_jpg.jpg?v=1759118294|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250818_i1755499148_4604_4_jpg.jpg?v=1759118294|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250818_i1755499148_5980_2_jpg.jpg?v=1759118294|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250818_i1755499148_8626_6_jpg.jpg?v=1759118294,Hi I want PRA bucket bag 19 burgundy nylon fabric 280831,New
Prada Black Re-Nylon belt bag,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-07-02_102936_182_6b6083f1-2932-4429-b905-0d5e6caee58f.jpg?v=1759125263,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-07-02_102936_182_6b6083f1-2932-4429-b905-0d5e6caee58f.jpg?v=1759125263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-07-02_102946_102_8172518c-cc59-4413-8e88-ff464f264afa.jpg?v=1759125263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-07-02_102944_199_95e1f38e-9f58-453c-9eb5-634e9c943a52.jpg?v=1759125263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-07-02_102942_118_afbda98a-6517-4cf3-9177-46f85160444f.jpg?v=1759125263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-07-02_102940_126_b311e34c-8e35-4c14-b2d3-f6621612c64a.jpg?v=1759125263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-07-02_102938_453_02f9d685-f2ca-4624-ac31-5601f124aaba.jpg?v=1759125263|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeixinImage_2025-07-02_102934_406_00b8b9c2-8efd-4e2a-b6d1-1020b3489093.jpg?v=1759125263,Hi I want Prada Black Re-Nylon belt bag,New
BUCKET BAG 19 IN BLACK RE-NYLON AND CALFSKIN HANDLE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897791_5147_0_jpg.jpg?v=1759123540,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897791_5147_0_jpg.jpg?v=1759123540|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897594_7899_1_jpg.jpg?v=1759123540|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897594_934_7_jpg.jpg?v=1759123540|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897594_1348_8_jpg.jpg?v=1759123540|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897594_1511_3_jpg.jpg?v=1759123540|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897594_3734_4_jpg.jpg?v=1759123540|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897594_7889_5_jpg.jpg?v=1759123540|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897594_8522_2_jpg.jpg?v=1759123540|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d707740b_20240424_i1713897594_9041_6_jpg.jpg?v=1759123540,Hi I want BUCKET BAG 19 IN BLACK RE-NYLON AND CALFSKIN HANDLE,New
MINI TOTE BAG 18 IN RED BROWN SUEDE GOLD LOGO,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427308_2335_5_jpg.jpg?v=1759123665,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427308_2335_5_jpg.jpg?v=1759123665|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427308_1301_1_jpg.jpg?v=1759123665|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427308_5939_0_jpg.jpg?v=1759123665|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427308_5969_3_jpg.jpg?v=1759123665|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427308_6827_4_jpg.jpg?v=1759123665|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427308_8656_2_jpg.jpg?v=1759123665|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427309_457_8_jpg.jpg?v=1759123665|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427309_1225_7_jpg.jpg?v=1759123665|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20240916_i1726427309_4556_6_jpg.jpg?v=1759123666,Hi I want MINI TOTE BAG 18 IN RED BROWN SUEDE GOLD LOGO,New
PRA bucket bag 23 burgundy nylon fabric 280826,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_4920_0.jpg_1.jpg?v=1759118333,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_4920_0.jpg_1.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_487_8_jpg.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_806_1_jpg.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_487_8.jpg_1.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_806_1.jpg_1.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_1983_7.jpg_1.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_2585_5.jpg_1.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_2840_6.jpg_1.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_3305_2.jpg_1.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_3789_4.jpg_1.jpg?v=1759118333|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20250815_i1755246036_5743_3.jpg_1.jpg?v=1759118333,Hi I want PRA bucket bag 23 burgundy nylon fabric 280826,New
PRA BACKPACK 39 IN BLACK RE-NYLON AND SAFFIANO LEATHER,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_8237_0_jpg.jpg?v=1759121128,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_8237_0_jpg.jpg?v=1759121128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_8029_1_jpg.jpg?v=1759121128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_7375_2_jpg.jpg?v=1759121128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_7172_3_jpg.jpg?v=1759121128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_1864_7_jpg.jpg?v=1759121128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_6236_4_jpg.jpg?v=1759121128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_6803_5_jpg.jpg?v=1759121128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_7986_6_jpg.jpg?v=1759121128|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20200615_i1592203531_8137_8_jpg.jpg?v=1759121128,Hi I want PRA BACKPACK 39 IN BLACK RE-NYLON AND SAFFIANO LEATHER,
WOVEN HOBO BAG 23 IN BEIGE RAFFIA GOLD HARDWARE TRIANGLE LOGO,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_5992_0_jpg.jpg?v=1780914356,handbags,prada,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_5992_0_jpg.jpg?v=1780914356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_3476_0_jpg.jpg?v=1780914356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_1422_0_jpg.jpg?v=1780914355|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_1881_0_jpg.jpg?v=1780914356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_2699_0_jpg.jpg?v=1780914356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_2957_0_jpg.jpg?v=1780914356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_5543_0_jpg.jpg?v=1780914355|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_7089_0_jpg.jpg?v=1780914356|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_db9945f8_20231231_i1703996882_9028_0_jpg.jpg?v=1780914355,Hi I want WOVEN HOBO BAG 23 IN BEIGE RAFFIA GOLD HARDWARE TRIANGLE LOGO,New
