name,image,category,brand,images,whatsapp_text,badge
icare 58cm woven raffia calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_6184_0_jpg_4e953e25-9e05-4929-b3d6-b1f44682c9f2.jpg?v=1783666576,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_6184_0_jpg_4e953e25-9e05-4929-b3d6-b1f44682c9f2.jpg?v=1783666576|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251015095322_11211_16_03256832-d1fd-4a1c-8be8-401dfc377599.jpg?v=1783666576|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_1148_2_jpg_76b04159-ea4f-4815-9151-aa316450a03a.jpg?v=1783666576|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_240_5_jpg_9d746282-d83c-4ef4-9ba9-37221c4c4752.jpg?v=1783666576|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_4480_1_jpg_c6584fc1-df6e-4dbc-a619-713a6a7c3cef.jpg?v=1783666576|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_585_8_jpg_4337f991-f6f7-4d6e-a12a-49fd5bb78735.jpg?v=1783666576|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_6153_3_jpg_291168af-b466-440d-9aae-a2301483bcaa.jpg?v=1783666575|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_7626_6_jpg_014f9239-138d-4308-ac49-f0a0f19acbb8.jpg?v=1783666575|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_8441_4_jpg_1d2a28d4-929a-424d-8b12-d6a9c7b468f2.jpg?v=1783666575|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_9951_7_jpg_c077ab9e-7972-48b0-95f7-9fc7d9bcf2bf.jpg?v=1783666575,Hi I want icare 58cm woven raffia calfskin,
YSL WHITE LAMBSKIN CLUTCH  225388,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_146_4_jpg_593ab426-43d2-4787-8380-d257ff14d6bf.jpg?v=1775555092,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_146_4_jpg_593ab426-43d2-4787-8380-d257ff14d6bf.jpg?v=1775555092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_2125_6_jpg_50c96858-390d-47e9-abbb-39e56a24c27f.jpg?v=1775555092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_3085_7_jpg_301ef05e-45a8-4e7b-9566-3cb3f693dc37.jpg?v=1775555092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_3499_3_jpg_e9fb3c81-2e9c-4504-9095-81ce334115bc.jpg?v=1775555092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_3757_0_jpg_07813409-19ca-487f-8dfb-75fa7508b52b.jpg?v=1775555092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_8367_1_jpg_38911bd8-293d-4689-a797-4d1ac823c9de.jpg?v=1775555092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_8973_5_jpg_8818321a-0983-415d-86f7-efe67d76a35c.jpg?v=1775555092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_9792_2_jpg_12927fdb-8681-446f-b7d6-a054b0e326ae.jpg?v=1775555092|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341206_1927_8_jpg_a17932c5-8990-4595-a590-f5ce92891f04.jpg?v=1775555092,Hi I want YSL WHITE LAMBSKIN CLUTCH  225388,New
YSL Niki Medium Bag 28cm Grey Crinkled Vintage Leather,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907848_7427_1_jpg_a5a746e4-cd6f-401e-bb84-a97463176dad.jpg?v=1759128684,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907848_7427_1_jpg_a5a746e4-cd6f-401e-bb84-a97463176dad.jpg?v=1759128684|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907848_3066_6_jpg_c12b2ea2-899f-4ead-bea6-40b9927dca08.jpg?v=1759128684|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907848_4579_2_jpg_066a0401-1fc8-44d3-bd48-aba07de8dd46.jpg?v=1759128684|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907848_4939_3_jpg_f03a3f08-316b-4c70-9ffb-0df6244e1586.jpg?v=1759128684|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907848_5308_0_jpg_d162e83f-0480-4cc8-b438-6dbd9bcee9fa.jpg?v=1759128684|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907848_8888_7_jpg_5b415156-0e93-4255-be9f-a73b61083f03.jpg?v=1759128684|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907848_9248_5_jpg_7408c01f-cbd2-4d45-ae53-fc043c84a948.jpg?v=1759128684|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907848_9317_8_jpg_887eb395-0094-48ed-ae67-f8fb513611c0.jpg?v=1759128684|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230304_i1677907911_2673_0_jpg_41600e94-c2b4-42d1-9a00-ae28db742292.jpg?v=1759128684,Hi I want YSL Niki Medium Bag 28cm Grey Crinkled Vintage Leather,New
LOULOU SMALL 24 IN BURGUNDY RED SHEEPSKIN GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020333667_5040_0_0_jpg_638240a0-e4e9-4c8c-937e-77cd8759a022.jpg?v=1759128995,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020333667_5040_0_0_jpg_638240a0-e4e9-4c8c-937e-77cd8759a022.jpg?v=1759128995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020333744_7463_0_2_jpg_459b60af-4f28-4783-a782-4b45b375fb32.jpg?v=1759128995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020333807_9608_0_4_jpg_8e676691-56fc-46ee-bedc-0614cb227ccb.jpg?v=1759128995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020333876_143_0_1_jpg_9977d9b9-1442-4b5a-99ee-7a33e7637b01.jpg?v=1759128995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020333944_7007_0_3_jpg_57387674-26bd-49d1-bc9e-ca14cba1ab54.jpg?v=1759128995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020334018_8792_0_7_jpg_cc72ba15-42b2-4ac3-a881-d19869df1aa5.jpg?v=1759128995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020334094_9450_0_5_jpg_7e78caf8-30d3-4af0-8e51-26b21dab3d79.jpg?v=1759128995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020334169_1075_0_8_jpg_6f7fc4f7-f614-45d0-ad80-77efd167b16a.jpg?v=1759128995|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241224_i1735020334238_2659_0_6_jpg_9588a9f1-82f5-481d-b29f-1d72adcde336.jpg?v=1759128995,Hi I want LOULOU SMALL 24 IN BURGUNDY RED SHEEPSKIN GOLD HARDWARE,
VOLTAIRE SADDLE BAG 21 IN BORDEAUX RED PATENT CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_2360_1_jpg_804ccfd3-8a87-4d2f-bbf9-addc34e7bb5f.jpg?v=1759131265,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_2360_1_jpg_804ccfd3-8a87-4d2f-bbf9-addc34e7bb5f.jpg?v=1759131265|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_457_0_jpg_ca718d9b-085d-4202-8238-5dcb605531f9.jpg?v=1759131265|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_2137_8_jpg_a03ae893-69f4-4f73-996e-fba5cda23693.jpg?v=1759131265|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_3715_6_jpg_b669dcbd-a502-4d9e-a598-2a89dc3dc4ca.jpg?v=1759131265|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_3757_7_jpg_a5d554a2-f2a7-457b-b88e-0b59c96e02bd.jpg?v=1759131265|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_4744_3_jpg_47549d61-4e0b-4bbb-9063-87d48b8a960a.jpg?v=1759131265|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_7519_4_jpg_c3f0310b-45bd-4487-a299-6ac6f7cc3268.jpg?v=1759131265|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_8702_5_jpg_7810f5f9-a9a2-4586-a086-d3d3fff78221.jpg?v=1759131265|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20241121_i1732169534_8919_2_jpg_aa36c3d7-929c-41b6-9dcf-e650a20ba89c.jpg?v=1759131265,Hi I want VOLTAIRE SADDLE BAG 21 IN BORDEAUX RED PATENT CALFSKIN,
YSL Loulou Puffer Quilted Bag Beige Gold Lambskin 338806,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094914273_6531_0_0_jpg_f9fc2ff9-a7b6-4268-b44b-b70f95d88089.jpg?v=1759132933,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094914273_6531_0_0_jpg_f9fc2ff9-a7b6-4268-b44b-b70f95d88089.jpg?v=1759132933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094917559_6216_0_1_jpg_98322567-056a-4b93-b5ca-b3b0080cd224.jpg?v=1759132933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094914271_922_0_3_jpg_fe4bd0e7-712a-4563-af33-b832c5865f93.jpg?v=1759132933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094914268_4859_0_6_jpg_c1b8433a-79ca-439e-9e0f-faed178ed94b.jpg?v=1759132933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094914273_3073_0_8_jpg_e97590b2-338f-4cb8-9c51-1ad08d9c4250.jpg?v=1759132933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094917561_3656_0_7_jpg_79fe7594-a039-43d4-b33f-aca5d25f6f25.jpg?v=1759132933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094914253_8616_0_4_jpg_500dc309-7288-4f1e-9579-d91e02aae96d.jpg?v=1759132933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094917561_8920_0_2_jpg_c9ee254f-0537-4e4f-b541-7019b683c3ef.jpg?v=1759132933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_8eee9a63_20250628_i1751094917572_8612_0_5_jpg_4a3dc4b1-7b14-4969-b918-8f563fcbbf00.jpg?v=1759132933,Hi I want YSL Loulou Puffer Quilted Bag Beige Gold Lambskin 338806,New
TOTE BAG 50 IN CINNAMON BROWN CALFSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_6166_8_jpg_4aa642d0-4dab-4373-8246-3e950b4d6a30.jpg?v=1759131883,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_6166_8_jpg_4aa642d0-4dab-4373-8246-3e950b4d6a30.jpg?v=1759131883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_1048_7_jpg_436edfb6-a1ae-4469-87ff-fd8b7d86fa2f.jpg?v=1759131883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_2201_3_jpg_d25af522-19fa-487e-a881-7af1faa7594c.jpg?v=1759131883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_2676_4_jpg_01f5e91c-3880-4a81-a563-11ea37d82383.jpg?v=1759131883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_2849_6_jpg_fb4168e7-f3e0-416b-8698-a9e46d413e62.jpg?v=1759131883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_3383_2_jpg_81466103-7c13-416f-873e-0302527b7ed3.jpg?v=1759131883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_3800_5_jpg_47bfa4cc-7706-4ac1-86b2-027426ceecaa.jpg?v=1759131883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_4580_1_jpg_4b786dd2-8056-4aab-a554-b13a2165929d.jpg?v=1759131883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240904_i1725440757_6082_0_jpg_837588dd-4d71-453c-9a8b-0f1b7b65a5e3.jpg?v=1759131883,Hi I want TOTE BAG 50 IN CINNAMON BROWN CALFSKIN,
Saint Laurent ICARE MAXI SHOPPING BAG IN QUILTED BLACK LAMBSKIN,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240221000316_bccec77f-bf20-4087-bf55-bd9e60228160.jpg?v=1759133445,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240221000316_bccec77f-bf20-4087-bf55-bd9e60228160.jpg?v=1759133445|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240221000320_fa83a5e6-829d-4c8a-ae8e-5f1d0c69ffac.jpg?v=1759133445|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240221000324_e56d202c-1539-43f8-b24c-936525c73ebb.jpg?v=1759133445|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240221000328_62ca4624-44d7-4636-abdf-40775dfc6ab5.jpg?v=1759133445|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240221000337_8903da73-b203-4685-b86e-62ede3b5c4c3.jpg?v=1759133445|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240221000334_caae2544-f96b-4fa3-956c-97a887bb4c2f.jpg?v=1759133445|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240221000340_a41b0d1c-153a-4aa3-94f6-d5e3257b80b2.jpg?v=1759133445|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240221000331_4d04e75c-cd63-4153-be4a-674cd461bf50.jpg?v=1759133445,Hi I want Saint Laurent ICARE MAXI SHOPPING BAG IN QUILTED BLACK LAMBSKIN,
kate medium 24cm black grained calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017255356941_d58f6862-f618-493e-b214-3f9c3f1f5cc4.jpg?v=1759133467,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017255356941_d58f6862-f618-493e-b214-3f9c3f1f5cc4.jpg?v=1759133467|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017240286977_91f617e8-8579-445e-94df-9cfea68ed4c1.jpg?v=1759133467|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017245059594_e73ebbd8-e427-439b-9e51-93e1ea4c34f3.jpg?v=1759133467|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017246546493_74374280-9ca7-4935-854b-b02e75f149d1.jpg?v=1759133467|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017248037623_601057f3-fd98-4e3b-9fca-2b3e682566c3.jpg?v=1759133468|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017249558730_4b45db05-fcbd-46a5-abc9-65330efb7e61.jpg?v=1759133468|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017250946351_7797b155-c497-43d2-879b-a7762b4d01a4.jpg?v=1759133468|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017252466699_ad2ef23a-8d4b-4497-83c7-1053b9d7879d.jpg?v=1759133468|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342017253856688_4a5d4fb5-4605-4359-9d19-2a175f7ab706.jpg?v=1759133468,Hi I want kate medium 24cm black grained calfskin,
kate medium reversible 28.5cm brown calfskin suede calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317020_845_1_jpg_4b70a999-c410-46a9-a06f-2dceb8ed44db.jpg?v=1759133552,handbags,ysl,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317020_845_1_jpg_4b70a999-c410-46a9-a06f-2dceb8ed44db.jpg?v=1759133552|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317020_1140_0_jpg_ba753d9a-83b2-4414-9444-0fe05606cb6c.jpg?v=1759133552|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317020_2608_3_jpg_2644be6b-7bde-4344-a283-5a01e5e41314.jpg?v=1759133552|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317020_5332_6_jpg_35811ad7-d307-4ee8-b61d-81825e7d260b.jpg?v=1759133552|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317020_6783_5_jpg_ce7ce2c0-53d0-4a3d-a3c1-3aedfa0a527f.jpg?v=1759133552|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317020_7914_7_jpg_756468d9-5389-4af3-95c2-4094f5c770b5.jpg?v=1759133552|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317020_9640_2_jpg_3467c455-2eee-496c-b107-29e3a0d9d67e.jpg?v=1759133552|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317025_6919_0_jpg_18cd0aa6-1809-4dae-944d-aa98253353cd.jpg?v=1759133552|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20211119_i1637317052_4342_0_jpg_59c64f18-713c-48f7-8543-70655a82bba8.jpg?v=1759133552,Hi I want kate medium reversible 28.5cm brown calfskin suede calfskin,
