name,image,category,brand,images,whatsapp_text,badge
Chanel Classic Flap Bag,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=600&q=80,handbags,chanel,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=600&q=80|https://images.unsplash.com/photo-1591561954557-26941169b49e?w=600&q=80|https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=600&q=80,Hi I want Chanel Classic Flap Bag,New
Louis Vuitton Neverfull MM,https://images.unsplash.com/photo-1591561954557-26941169b49e?w=600&q=80,handbags,louis-vuitton,https://images.unsplash.com/photo-1591561954557-26941169b49e?w=600&q=80|https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=600&q=80|https://images.unsplash.com/photo-1598532163257-ae3c6b2524b6?w=600&q=80,Hi I want Louis Vuitton Neverfull MM,Hot
Gucci GG Marmont Mini,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=600&q=80,handbags,gucci,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=600&q=80|https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=600&q=80,Hi I want Gucci GG Marmont Mini,
Dior Lady Bag Medium,https://images.unsplash.com/photo-1598532163257-ae3c6b2524b6?w=600&q=80,handbags,dior,https://images.unsplash.com/photo-1598532163257-ae3c6b2524b6?w=600&q=80|https://images.unsplash.com/photo-1591561954557-26941169b49e?w=600&q=80,Hi I want Dior Lady Bag Medium,New
Prada Saffiano Lux Tote,https://images.unsplash.com/photo-1566150905458-1bf1fc113f0d?w=600&q=80,handbags,prada,https://images.unsplash.com/photo-1566150905458-1bf1fc113f0d?w=600&q=80|https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=600&q=80,Hi I want Prada Saffiano Lux Tote,
Hermès Birkin 25,https://images.unsplash.com/photo-1614179818511-1f23636f8a57?w=600&q=80,handbags,hermes,https://images.unsplash.com/photo-1614179818511-1f23636f8a57?w=600&q=80|https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=600&q=80,Hi I want Hermès Birkin 25,Hot
Chanel 25 Bag 19cm Dark Beige Raffia,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o4il1dke1unlaf7103r4_jpeg.jpg?v=1776766781,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o4il1dke1unlaf7103r4_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mng71r1e11m5pga16eav686_jpeg.jpg?v=1776766782|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o4tjv30mtjknk4lf5_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o121nutk8o61b6cd1h2_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0o161ua151j5b1qtn1alh3_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0ores1rf16la6511q140_jpeg.jpg?v=1776766781|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_b1ac09d1_20251212_cmp_o_1jc95mj0oscf1lpk2m6la4s311_jpeg.jpg?v=1776766782,Hi I want Chanel 25 Bag 19cm Dark Beige Raffia,New
Chanel 2026 Bag 22cm Grained Shiny Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260128095823_11281_4_9b47fa60-c793-4784-ad8f-bd29ce6c8753.jpg?v=1779869601,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260128095823_11281_4_9b47fa60-c793-4784-ad8f-bd29ce6c8753.jpg?v=1779869601|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134824_10714_4_daf36648-a033-4c51-b0d3-a57445865c62.jpg?v=1779869601|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162855_180_16_f7498f9b-2f11-4ae0-b19d-4324a5f789b9.jpg?v=1779869601|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134832_10722_4_dee466ee-d09f-4883-8be1-a0957349ebce.jpg?v=1779869601|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134812_10707_4_0c5643c9-1d4c-4d5c-8dcb-f1deac7f9e6a.jpg?v=1779869601|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260128095825_11282_4_f4ccff1f-b19a-48c4-9418-af47de2383e8.jpg?v=1779869601|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134825_10715_4_09bd6ddc-6e9f-4851-a1ac-2c0b1b25b241.jpg?v=1779869601|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162856_181_16_6ff666fe-6d93-4421-9860-1c1b7aa812f2.jpg?v=1779869601|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134814_10708_4_8f3c4f98-5366-454b-812a-9aa7a4bee9b3.jpg?v=1779869601|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260119134833_10723_4_de6875d1-e3c1-46f4-8665-a7533f03b09c.jpg?v=1779869601,Hi I want Chanel 2026 Bag 22cm Grained Shiny Calfskin,New
MEDIUM FLAP BAG 25CM BLACK CAVIAR GOLD HARDWARE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1710784578727_0_991cd8d8-7f5a-4a01-a494-43dfdf8230f0.jpg?v=1776161924,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1710784578727_0_991cd8d8-7f5a-4a01-a494-43dfdf8230f0.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1710784578727_1_bd37ab8e-f6ef-4f0f-b9de-fecac2f5e982.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113812_372_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113814_373_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113815_374_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113816_375_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113817_376_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113818_377_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113819_378_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113820_379_10.jpg?v=1776161924|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260414113821_380_10.jpg?v=1776161924,Hi I want MEDIUM FLAP BAG 25CM BLACK CAVIAR GOLD HARDWARE,
Chanel 2026 Bag 22cm Black Grained Shiny Calfskin,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162855_180_16_56278736-4630-4e4b-9e18-6638f69cfc1c.jpg?v=1779869582,handbags,chanel,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162855_180_16_56278736-4630-4e4b-9e18-6638f69cfc1c.jpg?v=1779869582|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20260118162856_181_16_88b0526d-291d-4d87-a13d-e5823a50938f.jpg?v=1779869581,Hi I want Chanel 2026 Bag 22cm Black Grained Shiny Calfskin,New
