name,image,category,brand,images,whatsapp_text,badge
"CC Brooch 173411",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230328_i1680014559_7771_2_jpg.jpg?v=1774329753,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230328_i1680014559_7771_2_jpg.jpg?v=1774329753|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230328_i1680014559_3011_0_jpg_1cbd8673-1681-4619-98ef-8432b2aca813.jpg?v=1774329753|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230328_i1680014559_8230_3_jpg_8b149836-74ab-4700-930b-8fcf6a7bc108.jpg?v=1774329753|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230328_i1680014521_1266_3_jpg.jpg?v=1774329753|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230328_i1680014521_6650_0_jpg.jpg?v=1774329753|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230328_i1680014521_7280_1_jpg_a3ca2637-0cb5-4d24-a063-f2008faddf46.jpg?v=1774329753","Hi I want CC Brooch 173411",
"DOUBLE C GOLD DIAMOND EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105094525.jpg?v=1774333018,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105094525.jpg?v=1774333018|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105094517_6295d18c-41dc-44b3-8d65-2bdd9ec93968.jpg?v=1774333018|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105094530_aed9d786-4909-4776-9f9d-b024cf32e645.jpg?v=1774333018|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105094533_909bf6fc-f2ed-4115-ba39-43295d2527f3.jpg?v=1774333017|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105094537_a601176d-b6ed-40bf-aac8-f8bd3d362d16.jpg?v=1774333017|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105094544.jpg?v=1774333018|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105094548.jpg?v=1774333018","Hi I want DOUBLE C GOLD DIAMOND EARRINGS",
"DOUBLE C BLACK WHITE HOOP EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304260403647148.jpg?v=1774333159,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304260403647148.jpg?v=1774333159|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304260405251344_0b45e8bb-ab16-43a5-bb2b-1d0525033f96.jpg?v=1774333159|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304260406966015_8aabebcf-09a4-4fa0-b3ed-7f25fcb890e3.jpg?v=1774333159|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304260408489639_98dc319b-cf68-43cc-8406-0b68696fada0.jpg?v=1774333159|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304260410346211_b79ea880-8390-4181-8465-85113e104c08.jpg?v=1774333159","Hi I want DOUBLE C BLACK WHITE HOOP EARRINGS",
"CRUSH MINI CLASSIC RING DIAMONDS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695105366673_33f086c4-1275-475f-a51a-789a74d0aa6d.jpg?v=1774332727,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695105366673_33f086c4-1275-475f-a51a-789a74d0aa6d.jpg?v=1774332727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695134368038_b56ab06e-0e70-4fcd-9ecb-e4e65fcde94b.jpg?v=1774332727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695136333432_5d75cb35-8480-4109-bfca-3e406d677f64.jpg?v=1774332727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695138347330_37421133-3d21-4267-971c-ccc4f3819373.jpg?v=1774332727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695140300443_99515eac-3547-4090-8856-4ce03e708cd3.jpg?v=1774332727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695142027537_02057cf9-8773-4654-8952-427736e37d6c.jpg?v=1774332727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695143862880_5be03d39-0fd5-4ce4-9659-a5c455565c9d.jpg?v=1774332727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695145819972_4ae1b115-0a80-4e4c-93dd-470573fbabc4.jpg?v=1774332727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342695147706895_db029dfe-f6ac-4f4a-9b28-e4c50c993d82.jpg?v=1774332727","Hi I want CRUSH MINI CLASSIC RING DIAMONDS",
"DOUBLE C STUD EARRING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301742061136289.jpg?v=1774333198,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301742061136289.jpg?v=1774333198|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301742062136614.jpg?v=1774333198|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301742038448511_4e921ed7-0310-496f-8473-32b9ece5611a.jpg?v=1774333198|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301742056937416.jpg?v=1774333198|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301742058039202.jpg?v=1774333198|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301742059941100.jpg?v=1774333198|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301742063136702.jpg?v=1774333198|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301742064138852_25c49b89-1bb1-4ea1-91ac-408d55b0e5c0.jpg?v=1774333198","Hi I want DOUBLE C STUD EARRING",
"DOUBLE STUD DOUBLE C DIAMOND GOLD EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13305900610330972_54aeb4ab-0c15-4921-bb75-1b65fbff0eef.jpg?v=1774332621,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13305900610330972_54aeb4ab-0c15-4921-bb75-1b65fbff0eef.jpg?v=1774332621|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13305900575374152_6d76228b-022f-4862-9eaa-9667891dedc5.jpg?v=1774332620|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13305900612119116_d8f07785-8f0c-4fbf-8c50-244c358b62d8.jpg?v=1774332620|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13305900613615226_8b434991-866f-4bc3-b693-faac9c7d96f7.jpg?v=1774332620|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13305900615328522.jpg?v=1774332621|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13305900616913771_499e2dee-e083-42ae-b63e-263227b388a7.jpg?v=1774332620","Hi I want DOUBLE STUD DOUBLE C DIAMOND GOLD EARRINGS",
"DOUBLE C MEDIUM STUD GOLD BLACK EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3558812-1_xxl_81af9538-2dce-44eb-8100-0bd5566cedc0.jpg?v=1774333154,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3558812-1_xxl_81af9538-2dce-44eb-8100-0bd5566cedc0.jpg?v=1774333154|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13303585055086441.jpg?v=1774333155|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20220729231915_b12f90c5-ee74-4d21-92bc-5ae3c502408a.jpg?v=1774333154|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13303585098968.jpg?v=1774333154|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13303585056298968.jpg?v=1774333155","Hi I want DOUBLE C MEDIUM STUD GOLD BLACK EARRINGS",
"BOUTON CAMELIA DIAMOND STUD EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340017891406568_b0d1eee8-620f-4d37-8059-bc709b526557.jpg?v=1774333222,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340017891406568_b0d1eee8-620f-4d37-8059-bc709b526557.jpg?v=1774333222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340017911568152_485caab8-99ec-4fa1-995d-2691368567b0.jpg?v=1774333222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340017918135239_9c8fceef-7104-48a4-840c-e50b877ce75c.jpg?v=1774333222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340017920845463_796c85d8-27ca-46c7-a455-48c193ffd8dc.jpg?v=1774333222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340017926956531_7aa1c371-c5e2-49ad-bafe-7b0cb1950204.jpg?v=1774333222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340017928436105_eeca697b-8edd-4e3a-8fe3-f7c6396f9e7e.jpg?v=1774333222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340018021929347_51fce1d0-634f-43f4-bcb6-eeb959a5e7b8.jpg?v=1774333222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340018027853034_6910b0ad-c4a3-48af-a69f-5c38ed0b3df0.jpg?v=1774333222|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2026-03-05_152729_329_a7482174-4afc-42f2-bd50-4d6393f916a6.png?v=1774333222","Hi I want BOUTON CAMELIA DIAMOND STUD EARRINGS",
"DOUBLE C HALF DIAMONDS GOLD EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_3_3a56b761-e10c-486b-9bba-e75ad87ee2cb.jpg?v=1774333239,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_3_3a56b761-e10c-486b-9bba-e75ad87ee2cb.jpg?v=1774333239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_2_a0f4fcf4-8825-42ce-8b23-6c53a5a33170.jpg?v=1774333239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_4_4ab2aeea-30fa-432d-898e-8d39095163b3.jpg?v=1774333239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_5_4bbbd994-8c20-469a-9de9-219c448216b6.jpg?v=1774333239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_0_f65e98c2-fa2e-464d-99b3-8785573143ab.jpg?v=1774333239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_1_f8bd6ddf-25ba-4da9-a96e-95579b07fe13.jpg?v=1774333239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_7_f037691f-e15e-4391-9887-3be9278096e7.jpg?v=1774333239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_6_6a8c6598-663b-4b80-b4d7-2054881a3992.jpg?v=1774333239|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1699468137944_8_f3df2901-79d7-4693-ad55-5d305c60e25a.jpg?v=1774333239","Hi I want DOUBLE C HALF DIAMONDS GOLD EARRINGS",
"CRUSH DIAMOND NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13293903924031435_049ae826-9e88-4045-8298-b602ebeb6a00.jpg?v=1774333554,jewelry,chanel,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13293903924031435_049ae826-9e88-4045-8298-b602ebeb6a00.jpg?v=1774333554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13296569214430700_88c562b9-d495-487b-bca8-286895a941bf.jpg?v=1774333554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13296569216433296_14fbd474-3827-4c8e-bed4-1f757c6b859a.jpg?v=1774333554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20231025153509_80e2f09e-8895-4c6e-9c1a-282563797e82.jpg?v=1774333554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20231025153621_6e06d050-8c2c-4d79-8f48-7f7efafb9048.jpg?v=1774333554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20231025153615_f7a1383e-776b-491f-b242-bf80cc56577e.jpg?v=1774333554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/8856852561950_ca776e10-10a1-48b4-9a0f-02e09a6b9004.png?v=1774333555|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13293903907431603_1b277a6d-0360-4809-a4da-aa5f71a0c2f9.jpg?v=1774333554|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13293903929731168_f8ad714d-8ca8-4100-ac64-b511fce3c713.jpg?v=1774333554","Hi I want CRUSH DIAMOND NECKLACE",
