name,image,category,brand,images,whatsapp_text,badge
"BEE LOVE RING SILVER DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890_19d5aa25-0bd7-4d52-a34c-88540ff43882.jpg?v=1774332676,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890_19d5aa25-0bd7-4d52-a34c-88540ff43882.jpg?v=1774332676|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890-coral-1_4cba3f2f-4835-4db0-8e9e-7ac2efc0deb9.jpg?v=1774332675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890-coral-2-900x900_d0647aa7-7741-4226-a448-e4529ced297c.jpg?v=1774332675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890-coral-3-900x900_8e195ae6-2d12-42d2-b464-c19a5166d1ac.jpg?v=1774332675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890-coral-4-900x900_72b8da49-8580-4b24-ba90-df2ddf1e4b38.jpg?v=1774332675","Hi I want BEE LOVE RING SILVER DIAMOND",
"BEE LOVE DIAMOND PAVED SMALL RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13348581109849017_9d297667-4339-446c-ac7c-f652ae595246.jpg?v=1774332925,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13348581109849017_9d297667-4339-446c-ac7c-f652ae595246.jpg?v=1774332925|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13348581086798336_68d2ab99-b67e-452c-aabe-d2c7c1a3d08d.jpg?v=1774332926|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13348581106678070_f6c3f92d-c6f2-4fc0-9fe5-db886eb63f3c.jpg?v=1774332926|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13348581108485491_c2e3bf47-45c5-4a2a-9221-986a90d311e1.jpg?v=1774332925|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13348581111289164_754990f7-2e82-4355-907f-7bd670e2a41d.jpg?v=1774332926|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13348581112685485_164c35bb-928a-4745-93e8-2842a3f4cc35.jpg?v=1774332925|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13348581114078790_316db6c3-f637-4ec2-add5-61a644cfc836.jpg?v=1774332925|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13348581115492989_3dd0d17e-e2fc-45db-9c87-d56c06f2b70b.jpg?v=1774332925","Hi I want BEE LOVE DIAMOND PAVED SMALL RING",
"BEE LOVE RING GOLD DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-yellow-gold-diamonds-2-5-mm-081932_be157fc6-4832-48b9-8940-1e07db538237.jpg?v=1774332675,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-yellow-gold-diamonds-2-5-mm-081932_be157fc6-4832-48b9-8940-1e07db538237.jpg?v=1774332675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-yellow-gold-diamonds-2-5-mm-081932-coral-10-900x900_bf31e422-f017-40d1-a6c4-020450584c02.jpg?v=1774332674|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-yellow-gold-diamonds-2-5-mm-081932-coral-8-900x900_dac5d327-be90-4410-82a7-55f282280aa9.jpg?v=1774332675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-yellow-gold-diamonds-2-5-mm-081932-coral-9-900x900_7732a5e1-a32a-430c-a290-e0b9e86fdfcf.jpg?v=1774332674|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-yellow-gold-diamonds-2-5-mm-081932-coral-11_0bcdf75c-c8c8-40ff-98ff-54eee60279ec.jpg?v=1774332674|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-yellow-gold-diamonds-2-5-mm-081932-coral-1-900x900_c0b7365a-3f27-4199-9bd5-c9ea3091daa6.jpg?v=1774332674","Hi I want BEE LOVE RING GOLD DIAMOND",
"BEE LOVE GOLD DIAMOND BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-bracelet-yellow-gold-diamonds-083439-coral-1_655259c5-1489-4cf6-907f-4ff4fdb1183c.jpg?v=1774333749,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-bracelet-yellow-gold-diamonds-083439-coral-1_655259c5-1489-4cf6-907f-4ff4fdb1183c.jpg?v=1774333749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-bracelet-yellow-gold-diamonds-083439-coral-10_03ddd9f7-5a1d-4401-80f2-82b6c721e43a.jpg?v=1774333749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-bracelet-yellow-gold-diamonds-083439-coral-9-900x900_29c68e14-405d-470a-8f61-bb85892e9e7a.jpg?v=1774333749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-bracelet-yellow-gold-diamonds-083439-coral-11-900x900_dbfa4b7d-3c75-48e3-a78f-00e7c3249751.jpg?v=1774333749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-bracelet-yellow-gold-diamonds-083439-coral-15-900x900_73391c33-d0dd-4b34-86fe-17eb75ee887c.jpg?v=1774333749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-bracelet-yellow-gold-diamonds-083439-coral-12-900x900_cd9a2dce-3f06-408e-bceb-152ace457f05.jpg?v=1774333749|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-bracelet-yellow-gold-diamonds-083439-coral-13-900x900_84d7f401-4ef4-41e8-839e-f8e30147a115.jpg?v=1774333749","Hi I want BEE LOVE GOLD DIAMOND BRACELET",
"LIENS ÉVIDENCE DIAMOND PAVED BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2_8b57d5f2-a4e4-4ed2-b210-d0483dc95cf6.png?v=1774333901,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2_8b57d5f2-a4e4-4ed2-b210-d0483dc95cf6.png?v=1774333901|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/1_88c0e812-948d-49bd-b90e-fd6b94b87b04.png?v=1774333901|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3_77b4a05d-d43a-42fe-a789-b8c7dfe9d36e.png?v=1774333901|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/4_3073ae11-8b82-473f-b4ce-b10fb58c5019.jpg?v=1774333900","Hi I want LIENS ÉVIDENCE DIAMOND PAVED BRACELET",
"HONEE SILVER DIAMOND HOOP EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-white-gold-and-diamond-bee-my-love-hoop-earrings_18774150_44878705_2048.webp?v=1774332934,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-white-gold-and-diamond-bee-my-love-hoop-earrings_18774150_44878705_2048.webp?v=1774332934|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230331165951_f5d22f6f-df55-4af2-bf2a-58309de44fa3.jpg?v=1774332933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230331170010.jpg?v=1774332934|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230331170017.jpg?v=1774332933|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230331170022_0d29f119-7ee9-4f43-b100-96af3ce47af1.jpg?v=1774332933","Hi I want HONEE SILVER DIAMOND HOOP EARRINGS",
"HONEE PINK GOLD DIAMOND HOOP EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/084809_2000x2000_82dd2f14-ed25-4ed8-ba5c-d9e73ec69140.webp?v=1774332937,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/084809_2000x2000_82dd2f14-ed25-4ed8-ba5c-d9e73ec69140.webp?v=1774332937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324729947380860_c494d2ff-ec04-4894-8b24-1ac43241d137.jpg?v=1774332937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324729971337553.jpg?v=1774332937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324729972858612_25d30e5b-4d3b-468a-9be9-b5227708029f.jpg?v=1774332937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324729974582033_a447f10b-30e1-43c0-8492-04b8b415d21c.jpg?v=1774332937|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324729976291334_b6f7abce-f769-474b-a7d8-b1138a9e8bef.jpg?v=1774332937","Hi I want HONEE PINK GOLD DIAMOND HOOP EARRINGS",
"BEE LOVE SILVER DIAMOND EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-earrings-white-gold-diamonds-083984-coral-2_01477534-e5eb-4a0b-933f-47eaf86a4a69.jpg?v=1767945531,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-earrings-white-gold-diamonds-083984-coral-2_01477534-e5eb-4a0b-933f-47eaf86a4a69.jpg?v=1767945531|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-earrings-white-gold-diamonds-083984-coral-1_8792312b-6745-4545-8e80-f1eb688aac07.jpg?v=1767945531|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-earrings-white-gold-diamonds-083984-coral-9-900x900.jpg?v=1767945531|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-earrings-white-gold-diamonds-083984-coral-8-900x900_3fd953d9-7e1e-4d95-9c4d-0d5589359c98.jpg?v=1767945531|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-earrings-white-gold-diamonds-083984-coral-4-900x900_e55a9f9f-e311-49de-849f-9d3ee16ddc8a.jpg?v=1767945531|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-earrings-white-gold-diamonds-083984-coral-7-900x900_8a12cf64-4785-48d0-b99a-92914abc42b9.jpg?v=1767945530","Hi I want BEE LOVE SILVER DIAMOND EARRINGS",
"BEE LOVE DIAMOND HOOP EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783162861502_375fd9b1-1a58-41b4-ada2-6538e7fd1921.jpg?v=1774333228,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783162861502_375fd9b1-1a58-41b4-ada2-6538e7fd1921.jpg?v=1774333228|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783182140126_022ef983-7110-4693-9bea-c645617aa805.jpg?v=1774333227|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783184126018_ab121a01-2928-4e89-b574-da2fc0bc3181.jpg?v=1774333228|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783186216390_a79e3793-ec35-4e28-8d6b-b1f450e3a41d.jpg?v=1774333228|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783188285914_d9f56e13-aae8-48c9-9296-9ae5cd3007a7.jpg?v=1774333228|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783190390026_cabeb1fb-bb19-4223-94bb-771285057272.jpg?v=1774333228|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783192604863_20592193-951e-446c-b5fa-ddaead8ce569.jpg?v=1774333228|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783194701623_212472f6-7301-48cb-8d86-b4d25080947d.jpg?v=1774333227|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13335783196848339_e5713ae6-d2d4-4173-9c72-6106cc6bab61.jpg?v=1774333228","Hi I want BEE LOVE DIAMOND HOOP EARRINGS",
"MY TWIN TRILOGY RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334485930544164_cd15d303-0e6d-4a8c-923f-a888e6bb41e9.jpg?v=1774332604,jewelry,chaumet,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334485930544164_cd15d303-0e6d-4a8c-923f-a888e6bb41e9.jpg?v=1774332604|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334485940879725_be676f98-8f4d-478c-a27b-f8e7add35b74.jpg?v=1774332604|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334485943294299_b6a325aa-8f6e-4408-8327-c6b6136d175c.jpg?v=1774332604|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334485945311696_5eef5fdc-7218-4000-bb68-9e096483f2af.jpg?v=1774332604|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334485948914988_2daf5aac-2d1a-4ec9-bcc1-43cbea256e01.jpg?v=1774332605|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334485950699688_a528723f-73ea-4677-ace1-9470fa790d3f.jpg?v=1774332604|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2026-03-14_094814_062_6937c4cd-5b64-4fd5-95c6-25d06173387d.png?v=1774332604|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2026-03-14_094804_743.png?v=1774332604","Hi I want MY TWIN TRILOGY RING",
