name,image,category,brand,images,whatsapp_text,badge
"HAPPY HEART PINK GOLD RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2021_08_Chopard-Happy-Hearts-Rose-Gold-Ring_a5c8733a-b7d4-42a0-b01b-f8c9844c1266.png?v=1774332744,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2021_08_Chopard-Happy-Hearts-Rose-Gold-Ring_a5c8733a-b7d4-42a0-b01b-f8c9844c1266.png?v=1774332744|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301075686623030_1873c14a-9afe-45e3-9e6c-9576186b6cc7.jpg?v=1774332744|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301075705607497_6c78cb5c-02ab-4f46-8b6d-f9f242243ae0.jpg?v=1774332744|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301075706607341_c1d0b85b-69d7-495a-80e9-9852388bf765.jpg?v=1774332744|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301075707606818_fb23f34a-511a-4e2e-b966-87184cebbd8e.jpg?v=1774332744|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13301075709804973_f6b41f65-c71b-4bc5-9340-5a13f0e774a5.jpg?v=1774332744","Hi I want HAPPY HEART PINK GOLD RING",
"HAPPY HEART BRACELET PINK GOLD DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/857482-5703_00-1000x1000_a91d85e5-560a-4146-abc8-cc8c4759f6ca.jpg?v=1774333946,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/857482-5703_00-1000x1000_a91d85e5-560a-4146-abc8-cc8c4759f6ca.jpg?v=1774333946|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304787574790565_a54c80e1-4598-4dbc-83a6-49180d2865b3.jpg?v=1774333946|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304787548576005_e19792a8-0ebc-4385-96c0-0439f7277b74.jpg?v=1774333946|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304787566616334_f5591979-d66f-446d-b06a-c1ba9576ab14.jpg?v=1774333946|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304787569607139_c851cbef-079b-4e4c-b57c-dd34d131fa7f.jpg?v=1774333946|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304787571954607_01f4755f-336e-426e-b523-db1013a9b024.jpg?v=1774333946|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304787577322606_7d65f6be-37d9-4327-b68c-7a394a111264.jpg?v=1774333946|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304787579779850_a8a602d6-c047-4050-bcbd-2471c4ff9979.jpg?v=1774333946|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304787582111082_57233b3e-f2d7-4a6f-9edb-dfafec3a35cb.jpg?v=1774333946|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304787584721455_d0c96ef2-b469-4a46-ae62-d0f32e75ca10.jpg?v=1774333946","Hi I want HAPPY HEART BRACELET PINK GOLD DIAMOND",
"HAPPY HEART MOP EARRINGS PINK GOLD DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221109110445_ccd01147-3af2-4420-9f4d-ce204695b457.jpg?v=1774332955,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221109110445_ccd01147-3af2-4420-9f4d-ce204695b457.jpg?v=1774332955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221109110449_20727f44-2d72-4d33-9c60-fde02ea7eb97.jpg?v=1774332955|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221109110454_8b110672-ac62-4325-8840-a2570800b045.jpg?v=1774332955","Hi I want HAPPY HEART MOP EARRINGS PINK GOLD DIAMOND",
"ice cube large ring",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_3814_2_jpg.jpg?v=1774332302,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_3814_2_jpg.jpg?v=1774332302|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_1609_4_jpg_3dcb869f-0f0b-4b55-a850-40881f88f447.jpg?v=1774332302|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_2599_5_jpg_fef5a484-09a9-4add-8775-d4477e2a2229.jpg?v=1774332301|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_416_8_jpg.jpg?v=1774332301|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_5277_10_jpg.jpg?v=1774332302|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_6227_7_jpg.jpg?v=1774332302|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_6293_1_jpg.jpg?v=1774332302|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_7214_0_jpg_a252d9cb-f236-41a7-8e89-eefa3d950c91.jpg?v=1774332302|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_103e1818_20240507_i1715077101_7979_6_jpg_db6051b4-dd71-443f-9b1c-6f86f4f948d5.jpg?v=1774332301","Hi I want ice cube large ring",
"HAPPY HEART MOP BRACELET PINK GOLD DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/18155095_38505408_600_0ec180d1-b90a-4173-a79e-8f6738dbda19.jpg?v=1774333592,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/18155095_38505408_600_0ec180d1-b90a-4173-a79e-8f6738dbda19.jpg?v=1774333592|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/18155095_38503351_2048_92845d76-34f9-4cd2-ab12-9afa4e360fdf.jpg?v=1774333592","Hi I want HAPPY HEART MOP BRACELET PINK GOLD DIAMOND",
"HAPPY HEART NECKLACE PINK GOLD FULL DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/kette-chopard-797482-5009_03_v01-juwelierkopp-shop-2_28aafb87-51c4-4087-9251-130536096ad9.jpg?v=1774333297,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/kette-chopard-797482-5009_03_v01-juwelierkopp-shop-2_28aafb87-51c4-4087-9251-130536096ad9.jpg?v=1774333297|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Chopard-Happy-Hearts-Necklace-797482-5009_31824714-057c-458d-bb5c-477ea36db814.webp?v=1774333297|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Chopard-Happy-Hearts-Necklace-79_fc91aae0-b8ad-4002-bcb9-2f3cf6c5d0b3.jpg?v=1774333297|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/829482-5900_797482-5009_40-tragebild-juwelierkoppshop-600x899_d24d1d5a-f6c5-46f3-bd05-2295b54ee8c7.jpg?v=1774333297","Hi I want HAPPY HEART NECKLACE PINK GOLD FULL DIAMOND",
"HAPPY WING NECKLACE MOP 1 DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/10795106-1399885026_5c9be05f-8cb6-4331-8310-312f13904321.jpg?v=1774333496,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/10795106-1399885026_5c9be05f-8cb6-4331-8310-312f13904321.jpg?v=1774333496|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13292138693273385_b6e7d7bb-7854-4b0e-ab33-ee3194989588.jpg?v=1774333496|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13292138723872459_7028dea9-7d0d-49a8-8159-5d524e99e413.jpg?v=1774333496|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13292138726472494_8237d153-4a39-47cc-b1c4-a62e767148d7.jpg?v=1774333496|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13292138729072147_fae5ddf0-3b16-472e-a7e0-c9889d42acbf.jpg?v=1774333496|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13292138729873007_f57e4987-73b6-41f9-bcdc-3ffe896b63c7.jpg?v=1774333496","Hi I want HAPPY WING NECKLACE MOP 1 DIAMOND",
"HAPPY HEART PINK GOLD BRACELET DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Chopard-Happy-Hearts-Bracelet-857482-5909_1_6bf2bb4a-fbe0-4f34-b91e-6c0697993250.png?v=1774333591,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Chopard-Happy-Hearts-Bracelet-857482-5909_1_6bf2bb4a-fbe0-4f34-b91e-6c0697993250.png?v=1774333591|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/14867902_37901985_2048_9643e9f8-a13d-43c4-9b02-ea2848170cbc.jpg?v=1774333591|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/14867902_37903005_2048_3234187e-e48e-42ef-a99f-b20059ff9d18.jpg?v=1774333591|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/14867902_37901991_2048_fe56006b-abe7-4acc-b4a6-108ae263e0b2.jpg?v=1774333592|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/14867902_37902289_2048_121bf275-a278-475d-b90d-c7e8f3d91d69.jpg?v=1774333592","Hi I want HAPPY HEART PINK GOLD BRACELET DIAMOND",
"ICE CUBE PINK GOLD RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304602032601004_92656aa0-19cb-4049-bf5e-b1a73e5dad4b.jpg?v=1778316031,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304602032601004_92656aa0-19cb-4049-bf5e-b1a73e5dad4b.jpg?v=1778316031|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chopard-ice-cube-ring-827702-5229_2d9099bb-eec0-47ac-a285-417f5b5e3bb6.jpg?v=1778316031|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304602030582292_d8e1af6a-670a-40ec-915e-b64aa58314d2.jpg?v=1778316031|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304602036500694_e521c23a-d212-460b-a910-2178608ada6b.jpg?v=1778316031|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304602034062212_cc8b39bc-bd65-425d-9811-6f4935114bcb.jpg?v=1778316031|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304602035270412_aec80d03-d02d-40e3-af3a-e986e82e9727.jpg?v=1778316031|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304602037739649_81614bbd-35b1-4d5e-943c-f5749e17e943.jpg?v=1778316031","Hi I want ICE CUBE PINK GOLD RING",
"ICE CUBA RING PINK GOLD FULL DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/15034500_25413351_2048_c1345577-58eb-4682-a24d-a6ff982c8c2b.jpg?v=1774332766,jewelry,chopard,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/15034500_25413351_2048_c1345577-58eb-4682-a24d-a6ff982c8c2b.jpg?v=1774332766|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/15034500_25413356_2048_004b3c54-aa80-4e93-b49c-e086d2c24dc9.jpg?v=1774332766|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/15034500_25413353_2048_65c60367-1bb1-494c-83f8-c096a969dc8c.jpg?v=1774332766","Hi I want ICE CUBA RING PINK GOLD FULL DIAMOND",
