name,image,category,brand,images,whatsapp_text,badge
"F LOGO TASSELS GOLD EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115921_7f2c711d-ed5d-4069-871a-3d4cf683b227.jpg?v=1767945295,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115921_7f2c711d-ed5d-4069-871a-3d4cf683b227.jpg?v=1767945295|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115927_6d10cefd-b3fe-4135-ad2e-90fd50908092.jpg?v=1767945295|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115947_a2d03c86-1b0f-4f5c-9989-515f3d6b9f77.jpg?v=1767945295|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115936_db351a1e-0d9a-4d84-ac9c-e86ba8113ea9.jpg?v=1767945295|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115930_783cf145-cdd1-48e9-acb2-bc32a0399af5.jpg?v=1767945295|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115933_36833c7f-75a1-458e-8827-8a20218292c0.jpg?v=1767945295|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115944_c4b27530-30ec-49b0-bace-d82953091cd6.jpg?v=1767945295|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115940_a100b70a-b041-49ad-8664-3cc8e6a356bf.jpg?v=1767945295","Hi I want F LOGO TASSELS GOLD EARRINGS",
"FF WHITE GOLD EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115529_aa747239-bbf3-4912-8fc9-176a6536d446.jpg?v=1767945299,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115529_aa747239-bbf3-4912-8fc9-176a6536d446.jpg?v=1767945299|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115553_9c34c8d4-8ac0-475c-94f8-4aeb3df299c0.jpg?v=1767945299|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115556_b4cbc9ac-fd14-43ef-8f64-89be6eb3a056.jpg?v=1767945299|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115559_b4b8894a-8293-4a61-92c9-5fb4bd05cde3.jpg?v=1767945299|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115544_25217655-d07e-4263-9135-e1e7a7daff7a.jpg?v=1767945299|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227115549_bff24737-2a3e-4860-ba35-a8be7aa59e44.jpg?v=1767945299","Hi I want FF WHITE GOLD EARRINGS",
"DOUBLE F SILVER EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227111732_dcef5d9f-088b-4c4d-9c9b-7714e3fc236d.jpg?v=1767945322,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227111732_dcef5d9f-088b-4c4d-9c9b-7714e3fc236d.jpg?v=1767945322|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227111650_8f5a003c-186e-4dec-981e-a0b1e46226d0.jpg?v=1767945322|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227111721.jpg?v=1767945322|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227111729.jpg?v=1767945323|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227111736_30cbc62b-0ac2-41da-9f0f-ffc996800e90.jpg?v=1767945322","Hi I want DOUBLE F SILVER EARRINGS",
"FF LOGO HOOP EARRINGS GOLD DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227105407_ff70eca0-112a-4e1b-b0b4-cdda6ef66540.jpg?v=1767945340,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227105407_ff70eca0-112a-4e1b-b0b4-cdda6ef66540.jpg?v=1767945340|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227105442_fec537d0-9f52-4559-81ee-d0d896cdd588.jpg?v=1767945339|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227105423_d1892d71-67cf-436c-995f-84053ce7b7ec.jpg?v=1767945339|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227105438_f0fda34b-2436-45c5-8225-e87cd7423457.jpg?v=1767945339|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227105449_70c07164-8807-4126-ad39-51dc6a0851ba.jpg?v=1767945339|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227105453_de953137-69eb-4bd7-a835-177e355428c8.jpg?v=1767945339|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227105428_d9975244-e971-40c7-8641-0657cceeaf98.jpg?v=1767945339|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227105420_f0a7462a-ba02-42c2-8da6-0f1e935b3796.jpg?v=1767945339","Hi I want FF LOGO HOOP EARRINGS GOLD DIAMOND",
"O'LOCK GOLD DIAMOND NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145300_d505e03e-b878-4ad6-9520-ba21eb343c9d.jpg?v=1767946366,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145300_d505e03e-b878-4ad6-9520-ba21eb343c9d.jpg?v=1767946366|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145216_4ab65f54-31fd-473f-80a4-8fdfdac80278.jpg?v=1767946366|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145311_decb37f8-8d55-4653-b24e-833735f27fed.jpg?v=1767946366|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145248_68cdd942-1e35-406f-83ff-bc48c3de9f75.jpg?v=1767946366|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145252_8633ccf8-f9de-4d56-b072-014b611ac944.jpg?v=1767946366|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145256_c376f650-03d4-44e6-88c5-83c173dad8c1.jpg?v=1767946366|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145304_94485a24-cfce-4f07-9c36-a6558ccc3afc.jpg?v=1767946366|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145314_0ac7635e-0fa6-4264-b9b3-78ec925eda6d.jpg?v=1767946366|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227145308_26c59378-c3e9-48b0-bbb5-8dd25b6de32e.jpg?v=1767946366","Hi I want O'LOCK GOLD DIAMOND NECKLACE",
"F LOGO NECKLACE GOLD FULL DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/8AG7606DMF089U_01_e6350896-e78a-4417-9405-35377a992a8d.jpg?v=1767944348,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/8AG7606DMF089U_01_e6350896-e78a-4417-9405-35377a992a8d.jpg?v=1767944348|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143347_5b1376b1-3b67-40d6-b30f-e73b9f355a14.jpg?v=1767944348|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143401_0a75994f-e6b6-4c5f-8fed-0e9898493d02.jpg?v=1767944347|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143350_8298056c-746e-4058-9dc0-a0b4bc81c161.jpg?v=1767944348|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143305_ea0b7d35-0a0f-4614-8561-878fe6e98b78.jpg?v=1767944348|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143357_76b8005b-1acb-42d4-8e1a-edacdd6ed039.jpg?v=1767944348|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143335_6b06e8b1-48e8-4d82-8afd-5f4b3d82fec1.jpg?v=1767944348","Hi I want F LOGO NECKLACE GOLD FULL DIAMOND",
"FF GOLD DIAMOND NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143711_778fdb2a-ed28-454a-bc89-4b5afff3a8df.jpg?v=1767944349,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143711_778fdb2a-ed28-454a-bc89-4b5afff3a8df.jpg?v=1767944349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143705_9fbad022-fa0e-44ff-a04d-e3638babc931.jpg?v=1767944349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143722_c8c41359-2e31-4085-b9a1-e27742d3138d.jpg?v=1767944349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143643_94b6c0b9-c5c4-45a7-835c-686733fcea2a.jpg?v=1767944349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143700_f4030e7f-7f49-4931-bdf7-9a384f6a3911.jpg?v=1767944349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143708_f274fcb3-e89f-4636-ad81-0c9f9ed74ed3.jpg?v=1767944349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143715_55f327b8-5371-4c50-882f-00632d1d7bbd.jpg?v=1767944349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143718_9fa6f6ce-ecee-4e31-9dc0-d2b5976e10c4.jpg?v=1767944349|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227143730_b100b6ed-60d2-4f35-b57c-1be93c30f688.jpg?v=1767944349","Hi I want FF GOLD DIAMOND NECKLACE",
"FF LOGO GOLD DIAMOND RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154300_cddfc152-5125-42c6-ac9e-9ab99e69e7af.jpg?v=1767944737,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154300_cddfc152-5125-42c6-ac9e-9ab99e69e7af.jpg?v=1767944737|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/872176_32e6f105-8887-4323-a881-4d49fdb11818.jpg?v=1767944737|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154328_383a89d1-15e0-44fb-b0bc-8a67e5b3dc78.jpg?v=1767944737|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154331_cdbf35bd-0cab-4ea1-b129-e844bba56e0a.jpg?v=1767944739|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154336_73fe100a-9f1d-4a3d-ae89-6cf5276e500a.jpg?v=1767944737|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154339_8fb8a6ef-8064-46e2-8b58-5f5910577515.jpg?v=1767944737|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154343_10bc4d11-61e1-404e-bf4f-d7c3b92c57d5.jpg?v=1767944737|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154347_0f5cd169-8398-4009-80e4-71d72133a322.jpg?v=1767944737","Hi I want FF LOGO GOLD DIAMOND RING",
"BAGUETTE RING GOLD",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatScreenshot_20230227155016_0e861e46-31fb-4533-b623-6fc080abfff6.png?v=1767944739,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatScreenshot_20230227155016_0e861e46-31fb-4533-b623-6fc080abfff6.png?v=1767944739|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154848_26d31866-0d2b-471e-a7ef-031ba15171fc.jpg?v=1767944739|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154903_d79a5556-e10a-4fee-beb6-2f19bdde4fc2.jpg?v=1767944739|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154913_64275156-c5e0-4342-b471-575267ddbe9e.jpg?v=1767944739|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154917_a4c050e8-1fba-4c9b-8536-55f6b66eec97.jpg?v=1767944739|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154924_228802b2-dd01-4294-ac36-4f61ab549a8b.jpg?v=1767944739|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154908_40aaa7c6-6ddf-44d9-9043-4cb0fdbc9375.jpg?v=1767944739","Hi I want BAGUETTE RING GOLD",
"F LOGO GOLD BLUE&YELLOW RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154649_3ecb5613-97d3-4424-af43-97b9957834ab.jpg?v=1767944740,jewelry,fendi,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154649_3ecb5613-97d3-4424-af43-97b9957834ab.jpg?v=1767944740|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154619_ca6f7571-4243-4e37-ab50-8c3c4a243e88.jpg?v=1767944740|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154716_d95220bc-adf1-4dca-b631-325b43cc5467.jpg?v=1767944740|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20230227154719_867517e8-40f4-4869-8fd6-f07fcceef419.jpg?v=1767944740","Hi I want F LOGO GOLD BLUE&YELLOW RING",
