name,image,category,brand,images,whatsapp_text,badge
"TRIPLE BUTTERFLY SIHOUETTE SILVER DIAMOND EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGE1610_RGE1610_GE38278_Hero_1_3b213dd7-8aee-489b-b1b1-4f300828eece.jpg?v=1767945140,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGE1610_RGE1610_GE38278_Hero_1_3b213dd7-8aee-489b-b1b1-4f300828eece.jpg?v=1767945140|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226142929_53d12de4-ab7c-423e-8aae-3c20fdfa3b0c.jpg?v=1767945140|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143026_f3248abf-70e4-425c-b262-868172c26f32.jpg?v=1767945140|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143018_250bd8b7-1a7e-427b-9a9e-dda862f37def.jpg?v=1767945140|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143014_ee6c281c-a9f1-4b60-9d74-6ea44dc0f024.jpg?v=1767945140|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGE1610_RGE1610_Model_2_4e7f893d-9d89-4229-b37f-45caf3783e59.jpg?v=1767945140|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143011_58c35cf8-211a-400e-88fd-73997c088513.jpg?v=1767945140","Hi I want TRIPLE BUTTERFLY SIHOUETTE SILVER DIAMOND EARRINGS",
"SPIRAL PAVED DIAMOND BANGLE BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111612_9cafab00-19a2-4990-ab65-df8fed07ba93.jpg?v=1767947157,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111612_9cafab00-19a2-4990-ab65-df8fed07ba93.jpg?v=1767947157|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111540_507099f7-6da2-4a10-905c-1756e539b762.jpg?v=1767947157|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111615_f459024c-bcae-4245-b8ca-ff1aec129759.jpg?v=1767947157|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111618_a2f8ce3c-450e-421b-b64d-7a276d51278e.jpg?v=1767947157|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111631_16fa2389-600d-4e01-bdd9-aca686aeaf09.jpg?v=1767947157|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111625_2acff7f2-a601-4973-a0c8-8fbc56ff04c0.jpg?v=1767947157|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111628.jpg?v=1767947157|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111634.jpg?v=1767947157|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226111621_40fd78fe-46e6-4bf0-be30-4e8d88603857.jpg?v=1767947157","Hi I want SPIRAL PAVED DIAMOND BANGLE BRACELET",
"BUTTERFLY SILHOUETTE SILVER DIAMOND NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGP393_RGP393_GP26492_Hero_1_d18a5e82-c1b5-40af-b181-50a032c63176.jpg?v=1767946151,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGP393_RGP393_GP26492_Hero_1_d18a5e82-c1b5-40af-b181-50a032c63176.jpg?v=1767946151|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226155513_7225e44c-ddda-4170-8ad7-82ff8783fba5.jpg?v=1767946151|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226155505_02a801fc-4bbd-46a6-866c-43475a83cabe.jpg?v=1767946151|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226155301_9f0ada97-2c09-4e01-be35-0f45a71dee19.jpg?v=1767946152|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226155331_03815323-c599-40d0-bf34-986dd7889826.jpg?v=1767946152|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226155337_bcf88e70-5441-4545-ae98-42340b71edbf.jpg?v=1767946151|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226155340_7062abc0-da98-4b24-bc26-d0b7a2293f9a.jpg?v=1767946151|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226155348_3ceda788-907a-4b19-8d65-8f860c2ccc53.jpg?v=1767946151|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226155352_425d607a-db2e-4fcd-b338-23f10e9c2254.jpg?v=1767946151|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGP393_RGP393_Model_2_d50768f2-6e96-401b-a076-d0167b60edf4.jpg?v=1767946152","Hi I want BUTTERFLY SILHOUETTE SILVER DIAMOND NECKLACE",
"TRIPLE BUTTERFLY SILHOUETTE SILVER DIAMOND RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR790_RGR790_GR71859_Hero_1_87a64060-4754-4bd0-ba14-8cdc5924cdfc.jpg?v=1767945074,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR790_RGR790_GR71859_Hero_1_87a64060-4754-4bd0-ba14-8cdc5924cdfc.jpg?v=1767945074|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226170919_07483d4f-2f0e-41d9-9a77-b4250e944fb3.jpg?v=1767945074|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226171002_43b40852-70e3-4a21-8d7a-447227485075.jpg?v=1767945074|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226171008_77b5da0d-97da-47ec-bd74-101ca8c5c94f.jpg?v=1767945074|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226170959_2ab48562-36a8-4e00-a0d8-f3da245b28c0.jpg?v=1767945074|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226170957_7d2e2ddf-2bbe-472d-bbcf-4a9fd91d288f.jpg?v=1767945074|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226171005_8f52c3ed-a69e-4bd6-b1f2-4b71d54c201f.jpg?v=1767945075|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226171011_b5150376-3d88-4cf4-9a6d-092f81cdccac.jpg?v=1767945074|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR790_RGR790_Model_2_783a118a-1f5b-4130-8e8f-d99ed8900dec.jpg?v=1767945074","Hi I want TRIPLE BUTTERFLY SILHOUETTE SILVER DIAMOND RING",
"BUTTERFLY SILHOUETTE SILVER DIAMOND RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR370_RGR370_GR39349_Hero_1_3cff86ce-01d3-4245-b9c8-5bf5b24529b8.jpg?v=1767945077,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR370_RGR370_GR39349_Hero_1_3cff86ce-01d3-4245-b9c8-5bf5b24529b8.jpg?v=1767945077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226171323_a451201c-3db1-4ed7-97a1-a39817633e1b.jpg?v=1767945077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226171320_b4be03e1-0d99-470e-a54e-a48b9817e29f.jpg?v=1767945077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226171230_ad54fbb7-21fb-4fbd-b7c6-ac2f2018ceef.jpg?v=1767945077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226171315_9037c9af-6534-448c-b407-82d4933fae9f.jpg?v=1767945077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226171311_9a032e9e-e812-4de4-b219-ef06d0e0423e.jpg?v=1767945077|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR370_RGR370_Model_2_bf22be06-e799-4ae9-af88-00f77b0aae21.jpg?v=1767945077","Hi I want BUTTERFLY SILHOUETTE SILVER DIAMOND RING",
"TILDA RING SILVER DIAMOND",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR825_RGR825_Hero_1_8168218f-b051-4623-8b6b-aeedff58b9f6.jpg?v=1767945082,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR825_RGR825_Hero_1_8168218f-b051-4623-8b6b-aeedff58b9f6.jpg?v=1767945082|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226172030_2d5868b6-0182-438a-8c4d-44de9d78f32e.jpg?v=1767945082|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226172051_ca43873a-8f12-45e6-ad85-e2003a27420e.jpg?v=1767945082|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226172102_b3936447-f464-40c1-b769-7d7dabc20b69.jpg?v=1767945082|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226172056_9f4f44e9-44d2-43f0-a534-802997028c99.jpg?v=1767945082|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR825_RGR825_GR75302_model_4_b24018da-9df0-45af-a907-55a502983671.jpg?v=1767945082","Hi I want TILDA RING SILVER DIAMOND",
"GRA FLOWER SILVER GREEN DIAMOND DROP EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/graff-sunburst-earrings_e45ba1e9-f3bc-4b39-af4b-edd33cae0334.jpg?v=1767945137,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/graff-sunburst-earrings_e45ba1e9-f3bc-4b39-af4b-edd33cae0334.jpg?v=1767945137|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143504_41231a4a-a74f-4abb-a7ff-d0958db25090.jpg?v=1767945137|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143554_16cd6e34-b3ff-4275-a464-93c087ccec74.jpg?v=1767945137|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143559_9fdbb1fb-3bbf-429c-a7d0-acb48dcbac1c.jpg?v=1767945138|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143602_538e2d5d-2cf8-421d-85bc-c85f46dcf770.jpg?v=1767945137|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143621_15e6506b-6cdc-4fb1-b982-ff456bf0ff7c.jpg?v=1767945137|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226143626_60352e3f-7ebb-4518-a0fa-8f8db9c4c22c.jpg?v=1767945137","Hi I want GRA FLOWER SILVER GREEN DIAMOND DROP EARRINGS",
"GRA SILVER YELLOW DIAMOND EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220421_Graff-slideshow6_2e44c593-dca4-4d5c-b3fe-add4d668b33c.jpg?v=1767945160,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20220421_Graff-slideshow6_2e44c593-dca4-4d5c-b3fe-add4d668b33c.jpg?v=1767945160|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226113022_bff01902-db3f-4d16-b58f-5f192663f898.jpg?v=1767945160|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226113000_6aff44ee-c2c9-4058-8619-7d2f95f49544.jpg?v=1767945160|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226112956_10292681-0c82-485a-bb53-b8f68db63977.jpg?v=1767945160|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226113027_d6b3559e-2149-4037-9c72-ca45b9132832.jpg?v=1767945160|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226113012_0d4afb09-d037-4b82-b3de-4266524a42d6.jpg?v=1767945160|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226113007_ef5dd5a8-9f5a-4aee-b09a-ecd53c2bdcd2.jpg?v=1767945160|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226112857_7b17d5a4-5448-48af-80c9-ae8b26261eda.jpg?v=1767945160|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226113016_0481c638-6e58-4ea9-b4d6-5fd4b7c4f052.jpg?v=1767945160","Hi I want GRA SILVER YELLOW DIAMOND EARRINGS",
"GRA SPIRAL DIAMOND PAVED BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334212653587798_6757b3ff-9242-486f-9b5a-5731223de9bb.jpg?v=1772781704,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334212653587798_6757b3ff-9242-486f-9b5a-5731223de9bb.jpg?v=1772781704|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334212655471792_69cedb25-451f-4edb-a8ea-f6b0f4f58ba9.jpg?v=1772781704|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334212657362163_e0543525-f3f8-475d-82c2-7a8283d8d290.jpg?v=1772781703|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334212659524251_bed33ffa-3751-421c-ba3e-8d5a9dd4afe0.jpg?v=1772781703|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334212661284707_518cd9a7-3e65-43b2-b490-9813d0e741e7.jpg?v=1772781704|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2026-03-05_144851_481.png?v=1772781703|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2026-03-05_144836_639.png?v=1772781706","Hi I want GRA SPIRAL DIAMOND PAVED BRACELET",
"LAURENCE SIGNATURE SILVER RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR443ALL_RGR443_GR38737_Hero_1_8331416c-1c54-42ce-97c7-01f5d53b2b00.jpg?v=1767945084,jewelry,graff,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR443ALL_RGR443_GR38737_Hero_1_8331416c-1c54-42ce-97c7-01f5d53b2b00.jpg?v=1767945084|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226172331_519021f3-0570-470b-9dcb-2c412546c511.jpg?v=1767945084|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226172335_34ab00ce-2597-4e49-968d-697644be1dbc.jpg?v=1767945084|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226172343_147a525a-e3c1-4903-8459-ebd56da9f089.jpg?v=1767945084|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226172250_f70b1a2c-eabc-4d36-9118-bb72496e9b10.jpg?v=1767945084|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221226172317_13e798c2-dbe5-432a-bd30-4825e9d7ab90.jpg?v=1767945084|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/RGR443ALL_RGR443_Model_2_0f15aae8-7115-4b66-a881-8f96a41dfc84.jpg?v=1767945084","Hi I want LAURENCE SIGNATURE SILVER RING",
