name,image,category,brand,images,whatsapp_text,badge
"Gucci Original GG Canvas Beige Ebony Headband",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2025-11-01_101748_155.png?v=1767943600,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2025-11-01_101748_155.png?v=1767943600|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2025-11-01_101736_139.png?v=1767943600|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251101100835_1502_11.jpg?v=1767943600|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251101100835_1503_11.jpg?v=1767943600","Hi I want Gucci Original GG Canvas Beige Ebony Headband",
"Gucci Brooch Gold 184409",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750839_4437_2_jpg.jpg?v=1753928268,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750839_4437_2_jpg.jpg?v=1753928268|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750839_2606_1_jpg.jpg?v=1753928268|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750839_4486_3_jpg.jpg?v=1753928268|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750839_4124_0_jpg.jpg?v=1753928268","Hi I want Gucci Brooch Gold 184409",
"Gucci Brooch Gold 184399",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750443_3651_1_jpg.jpg?v=1753928294,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750443_3651_1_jpg.jpg?v=1753928294|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750443_2780_3_jpg.jpg?v=1753928294|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750443_3737_0_jpg.jpg?v=1753928294|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231008_i1696750443_4638_2_jpg.jpg?v=1753928294","Hi I want Gucci Brooch Gold 184399",
"WHOLESALE  GG  EARRINGS NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Wholesale-Custom-New-Fashion-Gg-Cc-Earrings-Fashion-Jewelry-Necklace_55c4ef84-06c8-4f55-80d0-67fb9c8a78c0.webp?v=1767945515,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Wholesale-Custom-New-Fashion-Gg-Cc-Earrings-Fashion-Jewelry-Necklace_55c4ef84-06c8-4f55-80d0-67fb9c8a78c0.webp?v=1767945515|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105145412_2c61cd78-5ea7-4aac-851e-2d2366b84af5.jpg?v=1767945515|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105145423.jpg?v=1767945515|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105145427_6ced2950-c0e4-4ae3-8542-f326d87aadb6.jpg?v=1767945515|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105145429.jpg?v=1767945515|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105145431_9ef8559d-3740-4301-b100-8187a0a5fe65.jpg?v=1767945515|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105145434_ac38c819-8784-4cc4-8298-37467969b9bd.jpg?v=1767945515","Hi I want WHOLESALE  GG  EARRINGS NECKLACE",
"GG BALL CHAIN GOLD NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461596958662_69cadc12-8d7b-4ca9-b4cb-ef85080423d5.jpg?v=1767946884,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461596958662_69cadc12-8d7b-4ca9-b4cb-ef85080423d5.jpg?v=1767946884|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461570436692_173f2392-9a6b-4c8a-befc-a745329e0d78.jpg?v=1767946884|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461587305871_aa6ff272-4a96-4f21-b88d-21cded01554f.jpg?v=1767946884|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461589104331_405c0d80-60e3-4577-8dc9-353ddf4baae7.jpg?v=1767946884|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461590474960_ae178607-c380-4e48-8e1c-558f265b6ab9.jpg?v=1767946884|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461592340582_bf254b1c-de74-4059-a8f5-bf5dab13b06b.jpg?v=1767946884|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461593788761_fe2abe2e-3a62-404c-84b1-846f2e08c094.jpg?v=1767946884|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461595295807_3fa60b20-1a0b-43ce-9028-938e443e1a5d.jpg?v=1767946884|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338461598563193_9efd9bf6-9f9a-4ada-9a8f-8f1db45670f5.jpg?v=1767946884","Hi I want GG BALL CHAIN GOLD NECKLACE",
"Gucci Brooch Gold 184131",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696660985_3199_2_jpg.jpg?v=1753928307,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696660985_3199_2_jpg.jpg?v=1753928307|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696660985_1504_3_jpg.jpg?v=1753928307|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696660985_7246_0_jpg.jpg?v=1753928307|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696660985_7588_1_jpg.jpg?v=1753928307","Hi I want Gucci Brooch Gold 184131",
"FANCY LINK CHAIN GOLD BRACELET ALPHABET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105090119_f0367ede-1a3f-445a-93fa-47558be32932.jpg?v=1767947482,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105090119_f0367ede-1a3f-445a-93fa-47558be32932.jpg?v=1767947482|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105090044_c88c7a4f-0643-428c-826f-6e6a47a84f87.jpg?v=1767947482|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105090113_956be04e-2df1-41e9-a4d3-aa5d658c79ba.jpg?v=1767947482|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105090116_e03f306c-8948-49f9-a867-30437f0e1524.jpg?v=1767947482|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105090122_e3bfab07-5fdb-4fc3-ab4b-1e330bc5823b.jpg?v=1767947483|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221105090125_a0e3f74e-0615-4a08-98c7-1a7996907f99.jpg?v=1767947483","Hi I want FANCY LINK CHAIN GOLD BRACELET ALPHABET",
"Gucci Brooch Gold 184036",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591351_2195_0_jpg.jpg?v=1753928362,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591351_2195_0_jpg.jpg?v=1753928362|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591351_6681_3_jpg.jpg?v=1753928362|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591351_7202_1_jpg.jpg?v=1753928362|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591351_7701_2_jpg.jpg?v=1753928362","Hi I want Gucci Brooch Gold 184036",
"Gucci Brooch Pink 184040",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591237_1898_2_jpg.jpg?v=1753928355,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591237_1898_2_jpg.jpg?v=1753928355|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591237_508_3_jpg.jpg?v=1753928355|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591237_2221_0_jpg.jpg?v=1753928355|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231006_i1696591237_4852_1_jpg.jpg?v=1753928355","Hi I want Gucci Brooch Pink 184040",
"Gucci Brooch Silver 184126",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696661135_3375_2_jpg.jpg?v=1753928321,jewelry,gucci,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696661135_3375_2_jpg.jpg?v=1753928321|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696661135_1876_3_jpg.jpg?v=1753928321|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696661135_4855_0_jpg.jpg?v=1753928321|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_a2d0203f_20231007_i1696661135_5241_1_jpg.jpg?v=1753928321","Hi I want Gucci Brooch Silver 184126",
