name,image,category,brand,images,whatsapp_text,badge
Hermès Clic H Bracelet,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=600&q=80,jewelry,hermes,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=600&q=80|https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,Hi I want Hermès Clic H Bracelet,New
"HM Kelly Double Tour Pink Gold Bracelet",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_3155_2_jpg_4a41a27c-e05f-4efb-9153-801437a098dd.jpg?v=1774230059,jewelry,hermes,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_3155_2_jpg_4a41a27c-e05f-4efb-9153-801437a098dd.jpg?v=1774230059|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_601_8_jpg.jpg?v=1774230059|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_6096_3_jpg.jpg?v=1774230058|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_6404_4_jpg.jpg?v=1774230058|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_8_6_jpg.jpg?v=1774230058|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_6883_7_jpg.jpg?v=1774230059|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_7409_5_jpg.jpg?v=1774230059|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_7904_0_jpg.jpg?v=1774230058|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_6752_1_jpg.jpg?v=1774230058","Hi I want HM Kelly Double Tour Pink Gold Bracelet",
"HM FARANDOLE 120 LONG SILVER NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/luxury-women-hermes-used-accessories-p395144-002.jpg?v=1774234783,jewelry,hermes,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/luxury-women-hermes-used-accessories-p395144-002.jpg?v=1774234783|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342159696430550.jpg?v=1774234783|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342159713408612_fe24e1ea-0212-41ed-813f-3b70c6c416ab.jpg?v=1774234783|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342159714758560.jpg?v=1774234783","Hi I want HM FARANDOLE 120 LONG SILVER NECKLACE",
"H BLACK BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06283_f0ec36d6-e123-4202-9ffa-a5d74aafcbc7.jpg?v=1774235079,jewelry,hermes,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06283_f0ec36d6-e123-4202-9ffa-a5d74aafcbc7.jpg?v=1774235079|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06269_fa2b7d2a-46c4-4706-9bc7-c1f5bb0c6e64.jpg?v=1774235079|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06294_16dd8907-4259-4434-bfde-e097b49a5717.jpg?v=1774235079|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06379_590233e8-1f77-4a9e-b359-bdb3c852f6b9.jpg?v=1774235080|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06387_636a7cbd-a68d-4fd7-b5d2-ca70ceca27be.jpg?v=1774235079|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06407_cd1ca9f7-9e46-4b70-96ff-72170885c4c4.jpg?v=1774235080","Hi I want H BLACK BRACELET",
"H STUD EARRINGS WITH DIAMONDS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_817e5e46_20250214_o_1ik2809vna64ig3rbq18351hmk2.jpeg_1.jpg?v=1774234574,jewelry,hermes,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_817e5e46_20250214_o_1ik2809vna64ig3rbq18351hmk2.jpeg_1.jpg?v=1774234574|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_817e5e46_20250214_o_1ik2809vmeuir1c1pgk7i184c1.jpeg_1.jpg?v=1774234574|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_817e5e46_20250214_o_1ik2809vm1na8g9n1qeudf41pe80.jpeg_1.jpg?v=1774234574|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_817e5e46_20250214_o_1ik2809vof9763g18l675d1r043.jpeg_1.jpg?v=1774234574|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_817e5e46_20250214_o_1ik2809vp14fs16n7js11ncu4534.jpeg_1.jpg?v=1774234574|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_817e5e46_20250214_o_1ik2809vrb1t73b15t91pcf171a6.jpeg_1.jpg?v=1774234574|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_817e5e46_20250214_o_1ik2809vp1ps15p1mjb1vav6kk5.jpeg_1.jpg?v=1774234574","Hi I want H STUD EARRINGS WITH DIAMONDS",
"H BRACELET 18MM GOLD",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/clic-clac-h-bracelet--300001F01-worn-1-0-0-320-320_b_faa38e78-9eaf-41b8-941c-ccdae92a9112.jpg?v=1774235010,jewelry,hermes,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/clic-clac-h-bracelet--300001F01-worn-1-0-0-320-320_b_faa38e78-9eaf-41b8-941c-ccdae92a9112.jpg?v=1774235010|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13294925460095801_a0a97f91-9319-4407-8fe9-9f3930777ba1.jpg?v=1774235010|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13294925455777215_97ea7f78-530e-4611-bc4c-d60bcf0fdf2b.jpg?v=1774235010|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13294925456677842_1168bdbf-f247-434d-a082-2a1b207f6ed3.jpg?v=1774235010|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13294925457483008_6cca5d59-de03-4607-837d-44face4016af.jpg?v=1774235010|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13294925458378043_d695b246-d32a-4b28-8894-60e046376a34.jpg?v=1774235010|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13294925459278576_4fee19ea-ec3c-4245-97ae-398f9148c26a.jpg?v=1774235010|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13294925460982990_b54e08bc-890a-41ca-baf3-154d70da00d3.jpg?v=1774235010","Hi I want H BRACELET 18MM GOLD",
"H WHITE BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06392_39a5277b-ccfd-4352-a341-953c5368e859.jpg?v=1774235043,jewelry,hermes,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06392_39a5277b-ccfd-4352-a341-953c5368e859.jpg?v=1774235043|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06412_bc43c679-3c5e-450c-90a2-297379602cf7.jpg?v=1774235043|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06372_97e93731-58b0-4336-8582-9412c1c111c3.jpg?v=1774235043|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06274_7ae6c4e3-74ac-44ed-b646-b4f6bc4a2d2b.jpg?v=1774235043|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06247_1d5212c0-5b17-47de-832c-852fd0e1444c.jpg?v=1774235043|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH06287_0086f3aa-7b9d-4a68-ad7b-57f62edddc68.jpg?v=1774235043","Hi I want H WHITE BRACELET",
"GLENAN DOUBLE TOUR GOLD LEATHER BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340194802105739_7c7ec187-fbe8-4f7b-984e-e3f1f76732e9.jpg?v=1774234915,jewelry,hermes,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340194802105739_7c7ec187-fbe8-4f7b-984e-e3f1f76732e9.jpg?v=1774234915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340194803683624_f5cc699d-1a64-4dbb-9b80-9d400fd61541.jpg?v=1774234915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340194805291358_9ed74e8d-158f-4122-a616-30356bf701b8.jpg?v=1774234915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340194806891821_c64bb511-bb9b-4792-9fc7-99333dfb37f9.jpg?v=1774234915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340194808903046_74f72174-0c41-4cdf-9e04-ad84a5bdf75c.jpg?v=1774234915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340194810472996_e2d35bc4-24a0-496c-87f0-4851271c3750.jpg?v=1774234915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340194811994972_d9e13390-32b0-412a-8a95-fc32c6cc6dd9.jpg?v=1774234915|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13340194813703393_fc6a4a69-f2f4-44c6-9f9c-32bd87176528.jpg?v=1774234915","Hi I want GLENAN DOUBLE TOUR GOLD LEATHER BRACELET",
"FARANDOLE CHAIN-LINK BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20231028135315.jpg?v=1774235129,jewelry,hermes,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20231028135315.jpg?v=1774235129|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20231028135321_0264d087-748b-4150-9b97-facc6601888e.jpg?v=1774235129|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339675936667601_c490d3ab-6234-4137-94b8-7d2f3474a00e.jpg?v=1774235129|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20231028135238_3c7adf80-c2f1-448a-b76d-a5e9cb03cdb2.jpg?v=1774235129|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339675913900769_3ccc6eb5-05da-460f-b584-4c21a8267d85.jpg?v=1774235129|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339675934608446_9ec0307c-be87-47cf-a213-ad012d6acd7a.jpg?v=1774235129|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339675938177786_00335804-1c83-4523-abc4-e2242c5c0c4a.jpg?v=1774235129|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339675939644020_8b1f4402-d96b-477c-b7b9-67bf3710cf6f.jpg?v=1774235129|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339675943063347_48f90495-58c9-481f-a8dd-16d53fb3c90a.jpg?v=1774235129|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339675944603785_8fc39575-e1f8-48a5-9ae1-e6b3fe25a0da.jpg?v=1774235129","Hi I want FARANDOLE CHAIN-LINK BRACELET",
"ECHAPPEE MINI DIAMOND STUD EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/64d11a103903ed823f73c49cad868b9f_9f14b5f9-40b0-4942-b1ea-e822da7e67d3.jpg?v=1774234550,jewelry,hermes,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/64d11a103903ed823f73c49cad868b9f_9f14b5f9-40b0-4942-b1ea-e822da7e67d3.jpg?v=1774234550|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304700884069084_b7dc2d22-0c54-4fc7-8209-67aa37649e75.jpg?v=1774234551|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304700880037939_9d41a798-ce61-4e74-826f-3b358c36f600.jpg?v=1774234551|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304700842158607_5a32a676-10af-494e-99f8-ddec7dfe6566.jpg?v=1774234551|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304700866094700_aa23f5c4-5e65-4f3c-96a2-523bbaf8beff.jpg?v=1774234551|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304700868898528_00590a82-050a-4a27-afe0-1879d66861f8.jpg?v=1774234551|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304700871646038_5aa8953e-dcbb-48d6-85e8-7a925f12673a.jpg?v=1774234551|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304700874333438_c3884f99-be44-4760-aa12-55e1d5561008.jpg?v=1774234550|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304700876993629_3c9d65ff-19cf-4d17-b8cb-4076ef026352.jpg?v=1774234551|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13304701161775017_c270c69e-6905-41f9-a76f-fb4d0521d1c3.jpg?v=1774234550","Hi I want ECHAPPEE MINI DIAMOND STUD EARRINGS",
