name,image,category,brand,images,whatsapp_text,badge
"PAVED ANAGRAM HOOP T-BAR GOLD NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518763938731_c0d0ceaa-adaa-4ae6-9ef6-75929bdfd2ff.jpg?v=1767946866,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518763938731_c0d0ceaa-adaa-4ae6-9ef6-75929bdfd2ff.jpg?v=1767946866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518731925157_b908ad98-c146-46cf-9e09-4438d651e85e.jpg?v=1767946866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518760533510_0512b4b3-9933-49f9-b443-e0ec2eff5043.jpg?v=1767946866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518762347283_4232a4e6-317d-4fe1-9918-0ebd4860cd47.jpg?v=1767946866|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518766805244_220a0e5c-ac63-4bef-a0d4-5b3a5d769c84.jpg?v=1767946866","Hi I want PAVED ANAGRAM HOOP T-BAR GOLD NECKLACE",
"PAVED ANAGRAM GOLD EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510338418868_5c8fc805-147c-4e7d-b9ae-52d496ca27c8.jpg?v=1767945845,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510338418868_5c8fc805-147c-4e7d-b9ae-52d496ca27c8.jpg?v=1767945845|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510314626530_2655fcdd-f21c-400b-9e1b-d379a105bb2f.jpg?v=1767945845|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510335346226_15cd9dfb-431b-4608-8d2c-b602dc196026.jpg?v=1767945845|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510339835817_8837d073-fd67-4dd4-a999-0ed06182f5da.jpg?v=1767945845|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510341319290_49d96284-7d79-4432-bcee-2cdaf35e3674.jpg?v=1767945845","Hi I want PAVED ANAGRAM GOLD EARRINGS",
"ANAGRAM 5 MOTIFS GOLD NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700852237248_0_0b19f76c-b78e-4338-8ab6-887a49f597cc.jpg?v=1767947076,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700852237248_0_0b19f76c-b78e-4338-8ab6-887a49f597cc.jpg?v=1767947076|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700852237248_1.jpg?v=1767947076|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700852237248_2_ef4e98d7-58e6-4176-8ea6-360ccd3ee914.jpg?v=1767947076|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700852237248_3_ac6527c6-65ca-4951-b46a-f848ad04d3a4.jpg?v=1767947076|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700852237248_4.jpg?v=1767947076|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700852237248_5_bffc9597-b1b0-426d-8d76-cbdc9c86bedd.jpg?v=1767947076","Hi I want ANAGRAM 5 MOTIFS GOLD NECKLACE",
"PAVED ANAGRAM SILVER EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337509626874132_bdb1edfc-2dd4-478c-bab7-f416275c2d0b.jpg?v=1767945844,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337509626874132_bdb1edfc-2dd4-478c-bab7-f416275c2d0b.jpg?v=1767945844|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337509593084573_0c04b60e-0872-4b6c-8e87-d2a53d48bdda.jpg?v=1767945844|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337509623176130_c4551311-d6f0-498c-b904-4622b482cb45.jpg?v=1767945844|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337509628283156_45664be2-8cab-4196-9fbd-bcd933aa8303.jpg?v=1767945844|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337509624419772_6792128b-2c17-4a15-8dd0-8382cd642d29.jpg?v=1767945844|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337509625589254_0cdeb4e8-6bb3-441b-beff-741908a28c75.jpg?v=1767945844","Hi I want PAVED ANAGRAM SILVER EARRINGS",
"LOEW GOLD HOOP EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510545561188_92033eca-11e4-42e1-abcd-7489f3df772f.jpg?v=1767945846,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510545561188_92033eca-11e4-42e1-abcd-7489f3df772f.jpg?v=1767945846|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510543847337_9a9d0a2d-76ba-4c0a-a0a2-7f105889a11c.jpg?v=1767945846|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510522672774_1608b17f-3b00-4de8-8db7-0d1f13633c70.jpg?v=1767945846|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510542444952_724f63a7-d78f-49e7-b513-22e9c3186d2c.jpg?v=1767945846|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337510548408064_2e0cdc7a-6a63-4944-95e9-7dd8dd0d602e.jpg?v=1767945846","Hi I want LOEW GOLD HOOP EARRINGS",
"ANAGRAM HOOP T-BAR MEDIUM NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518314923032_e03254a3-9bc8-4589-a566-d88d01f6dafa.jpg?v=1772781843,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518314923032_e03254a3-9bc8-4589-a566-d88d01f6dafa.jpg?v=1772781843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518267273423_dc53e71e-bbbb-4d76-932c-d3a5fb5432c4.jpg?v=1772781843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518313446408_c7faa532-5981-4bca-a001-c31e69ada1c4.jpg?v=1772781843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518316255117_2f466ab3-3206-4fbb-a41c-8288ec0ba28d.jpg?v=1772781843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518317853121_ff6e8f3c-f550-4c57-bb72-bcb21e5fe4e0.jpg?v=1772781843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337518319185840_5667042e-b04e-4c2e-964c-24663e4fa9db.jpg?v=1772781843|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2026-03-05_163740_732.png?v=1772781843","Hi I want ANAGRAM HOOP T-BAR MEDIUM NECKLACE",
"PAVED ANAGRAM DOUBLE CHAIN GOLD BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337517408094963_263c6709-01a4-47d0-a6d9-a5c0f23cb57a.jpg?v=1767948209,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337517408094963_263c6709-01a4-47d0-a6d9-a5c0f23cb57a.jpg?v=1767948209|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337517384595407_1a6768f5-c7fd-4a60-8b77-dccec24e5867.jpg?v=1767948210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337517405116685_d9c3fc2f-d57b-472e-be6d-3e2186b8e97f.jpg?v=1767948210|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337517406581840_a0177281-6457-42c0-9efc-48599f6cd44c.jpg?v=1767948210","Hi I want PAVED ANAGRAM DOUBLE CHAIN GOLD BRACELET",
"ANAGRAM HEART DIAMOND STUD EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851781825_1_319a46da-869a-409b-848b-14f7cd33f37d.jpg?v=1767944305,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851781825_1_319a46da-869a-409b-848b-14f7cd33f37d.jpg?v=1767944305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851578193_1_0f0d62b9-df06-47a5-a4b5-8a786e5f7517.jpg?v=1767944305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851578193_2_fc203800-534c-4895-9e8b-0ef79309b760.jpg?v=1767944305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851578193_3_9e2f9e50-5149-44db-a5e4-5655b627d1c2.jpg?v=1767944305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851578193_4_64ba43f8-07d8-4a9d-8717-41311f73d4cb.jpg?v=1767944305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851781825_3_eae82afc-9e2f-4c66-86c4-2c4b423569a1.jpg?v=1767944305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851781825_4_794808b8-7b9f-4716-8ef0-f8ead2d64a84.jpg?v=1767944305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851781825_6_71c6edf9-f22b-41f8-be0a-58869fcf66fe.jpg?v=1767944305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1700851781825_7.jpg?v=1767944305","Hi I want ANAGRAM HEART DIAMOND STUD EARRINGS",
"ANAGRAM GOLD OPEN RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337508461882455.jpg?v=1767944896,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337508461882455.jpg?v=1767944896|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337508459021868_a1c04aa4-2066-435b-8677-cc3dd27ea872.jpg?v=1767944896|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337508460370558_96f7738e-686e-4ae1-aefa-25fa1b6fc39c.jpg?v=1767944896|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337508463368127_a8de63e7-2f13-43e4-bca6-3f5cea8ab539.jpg?v=1767944896|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337508464853331_ee080c6d-54ce-4a51-adf3-2f488a873168.jpg?v=1767944896","Hi I want ANAGRAM GOLD OPEN RING",
"ANAGRAM LARGE STUD GOLD EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337520244336642_71606165-b7af-423f-bd99-9792fbd38b8c.jpg?v=1767945857,jewelry,loewe,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337520244336642_71606165-b7af-423f-bd99-9792fbd38b8c.jpg?v=1767945857|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337520266969381_1f6506e4-5732-412c-b40b-5582eb8f9b58.jpg?v=1767945857|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337520276047567_b4ab9e4d-177b-49f9-aa96-5fb21da7a88c.jpg?v=1767945857|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337520277550655_ab2b3d64-a360-4dee-9a7b-6b6f2eb3ea51.jpg?v=1767945858|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337520280449144_08cb4982-d1f2-4d0a-a52b-817bae63d7a3.jpg?v=1767945857|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13337520281938957_55438f4e-6d8f-4440-b2e4-36eafb402bd0.jpg?v=1767945857","Hi I want ANAGRAM LARGE STUD GOLD EARRINGS",
