name,image,category,brand,images,whatsapp_text,badge
"MOVE DIAMOND PAVED NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110326_c2f142c3-24c1-4834-ba6f-5d41a0574012.jpg?v=1772781853,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110326_c2f142c3-24c1-4834-ba6f-5d41a0574012.jpg?v=1772781853|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/dc12_ce568398-6f55-4a3a-8a41-d78595a0a4c7.jpg?v=1772781853|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110400_3a071aee-5f69-4a47-b2f3-5c4a160f9aa8.jpg?v=1772781853|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110404_39ebf9c7-e574-431d-bca3-2884bf2df167.jpg?v=1772781853|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110413_ad5ce79e-96bb-47f2-bda2-4f00befb2ac5.jpg?v=1772781853|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110409_27aa2b3f-3ee5-47aa-adbd-3214ac051074.jpg?v=1772781853|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110351_85c5ee27-c6fe-4b04-a778-5d99bfb05e83.jpg?v=1772781853|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223110356_777cce37-08d5-4aa2-bc33-f8fcd25bfd04.jpg?v=1772781853","Hi I want MOVE DIAMOND PAVED NECKLACE",
"MOVE 3 DIAMOND NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463398881171_0d156afa-d983-46fa-b18b-7a2682d2a7af.jpg?v=1767946882,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463398881171_0d156afa-d983-46fa-b18b-7a2682d2a7af.jpg?v=1767946882|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463418655027_741e755c-afcd-421c-9ff3-79d6b8967aea.jpg?v=1767946882|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463422176213_380f7875-d4af-4ff2-b2c1-06e37aed2748.jpg?v=1767946882|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463436560271_b50f2c9a-98c0-4d40-8cf1-804e33061261.jpg?v=1767946882|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463438736809_c7168b79-e38b-4da2-a777-cb401894fcd5.jpg?v=1767946882|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463440436909_e3fefde3-64d8-4293-9365-2768898a22c1.jpg?v=1767946882|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463442327938.jpg?v=1767946883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463444014732_87c3e9c7-1526-453f-ab51-7c89fdb21570.jpg?v=1767946883|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13338463447303250_b8d2b87c-ed33-4a11-812f-306dea970dde.jpg?v=1767946882","Hi I want MOVE 3 DIAMOND NECKLACE",
"MOVE UNO PINK GOLD DIAMOND PAVED RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/214095323_gold_in.jpg?v=1767944971,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/214095323_gold_in.jpg?v=1767944971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342157759345793.jpg?v=1767944971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342157769795638_a7495d93-ae54-4ede-87ca-19fdca8c17f5.jpg?v=1767944971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342157781269819_3cbb0e5b-6049-49c1-9296-e82013d8a0f3.jpg?v=1767944971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342157782753439_408036c3-8711-401a-a788-ab4560bdfe0d.jpg?v=1767944971|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342157785777498_def64ef0-72e2-4c43-8ea8-180945ca35f0.jpg?v=1767944971","Hi I want MOVE UNO PINK GOLD DIAMOND PAVED RING",
"MOVE LINK DIAMOND RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_0_042cb4a0-ac01-4110-a356-835789effb3c.jpg?v=1767945010,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_0_042cb4a0-ac01-4110-a356-835789effb3c.jpg?v=1767945010|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_1_647b1cd4-4234-469d-acc8-8b586d9db6b2.jpg?v=1767945009|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_2_ccfc4027-d4e2-4fcd-af9f-c202bf81f08b.jpg?v=1767945009|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_3_2a4c124f-0393-4f82-8737-ad882affdc6e.jpg?v=1767945009|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_4_c99bf0d4-5f76-4198-9b89-291f27538d71.jpg?v=1767945009|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_5_eef547e1-d4c5-4ff6-8fb2-231157ccaa8b.jpg?v=1767945009|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_6_1192327c-8bbb-4bff-8f23-85ecd87e6895.jpg?v=1767945009|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_7_a4789dcc-9a5f-4328-bb7b-cc25d0e24037.jpg?v=1767945009|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/wsxc1698343805965_8_e0df2b2b-7f36-4153-8d1d-2917ca787d07.jpg?v=1767945009","Hi I want MOVE LINK DIAMOND RING",
"BABY MOVE PAVED PINK GOLD DIAMOND BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/an11_b8672e88-56cd-4b4a-8593-c3164efc0acf.jpg?v=1767947447,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/an11_b8672e88-56cd-4b4a-8593-c3164efc0acf.jpg?v=1767947447|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223160417_e071d80a-20dc-4993-befd-9788dc1ebd9f.jpg?v=1767947447|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223160435_d142e6d2-b6e1-4688-8226-bd3ae9dafdc6.jpg?v=1767947447|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223160413_10473003-cda5-40ff-aa72-4b76cff84843.jpg?v=1767947447|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223160425_077e5088-05f0-4eb8-9e99-f3025bef3de1.jpg?v=1767947447|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223160420_8886b906-867e-4092-aebf-bfc74138271b.jpg?v=1767947447","Hi I want BABY MOVE PAVED PINK GOLD DIAMOND BRACELET",
"MOVE UNO SILVER DIAMOND RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/n1_45a7d7d6-b875-4754-9901-27e69daef37f.jpg?v=1767944370,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/n1_45a7d7d6-b875-4754-9901-27e69daef37f.jpg?v=1767944370|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223151440_ed71e7b4-e29f-4eca-addf-91b388a59a08.jpg?v=1767944370|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223151400_608b8213-d91d-44a4-8097-bd4f6d7cef80.jpg?v=1767944370|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223151430_8663e4bc-9a51-4dd3-802f-50d1fb28be9a.jpg?v=1767944370|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223151425_7bdc8368-34b2-4c41-bd5a-8ec3d1edc2d2.jpg?v=1767944370|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221223151433_a079c22f-72ec-4807-a674-425fa6faaa30.jpg?v=1767944370","Hi I want MOVE UNO SILVER DIAMOND RING",
"MOVE UNO 2 ROW DIAMOND NECKLACE",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/collier-diamant-or-jaune-move-un_647c291a-5388-4482-9c8a-87057217df77.jpg?v=1767947602,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/collier-diamant-or-jaune-move-un_647c291a-5388-4482-9c8a-87057217df77.jpg?v=1767947602|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339155388971775_1676ebea-af16-45b7-8ba2-0953c9aadbf3.jpg?v=1767947602|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339155411012379_2a68c877-a9bc-4a05-87de-0590bb731cf8.jpg?v=1767947602|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339155412791593_2af7ef63-da14-4564-b8a4-ec2cbae53334.jpg?v=1767947602|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339155414357104_2b295392-0ab4-4231-93aa-ef498a9d1cca.jpg?v=1767947602|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339155416063924_dc920e16-0e14-4397-a1cf-40cfb49ada5b.jpg?v=1767947603|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339155417577841_d02f0eb6-b695-4e0d-a6d1-b17a5e31ffa9.jpg?v=1767947603|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339155419273267_6074c524-ffd9-497b-af0a-184773758850.jpg?v=1767947603|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339155420905497_e4a8dba0-cfe0-4d96-8538-6948bd71470c.jpg?v=1767947602|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13339155422545478_ef243223-cfc0-4bd3-b045-b7b050d37460.jpg?v=1767947602","Hi I want MOVE UNO 2 ROW DIAMOND NECKLACE",
"MOVE CLASSIC PAVED DIAMOND RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155652_d49ad364-9860-4912-8a51-694d7399b5a5.jpg?v=1773397678,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155652_d49ad364-9860-4912-8a51-694d7399b5a5.jpg?v=1773397678|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/n8_420d7bd8-a124-492e-99b2-c7b439cc4a8a.jpg?v=1773397678|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155602_6596af41-ed55-4b29-8340-ecea64969e4e.jpg?v=1773397678|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155630_9bce243c-2087-49b7-8129-1d89387418c6.jpg?v=1773397678|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155639_312e342e-f3ed-480f-8747-68468a6a4dd1.jpg?v=1773397678|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155646_79dd104d-b97f-4268-a610-b70931620e93.jpg?v=1773397678|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155634_cb5bc956-59a9-4ad1-8e85-e4c1753b9272.jpg?v=1773397678|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2026-03-13_162704_533.png?v=1773397678","Hi I want MOVE CLASSIC PAVED DIAMOND RING",
"MOVE ROMANE DIAMOND RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155754.jpg?v=1773397674,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155754.jpg?v=1773397674|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/n2.jpg?v=1773397674|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/n3_ece0b43c-3056-4ab4-9947-de078af7f938.jpg?v=1773397675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155801_a8ad7543-1dd7-4812-84f9-01edbef98df7.jpg?v=1773397675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155812_7f8b2e10-3ff3-4db4-9d97-09a7674f19f8.jpg?v=1773397675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155808.jpg?v=1773397675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155815_b3f8040f-e161-4965-87f1-893bf6a6c99d.jpg?v=1773397675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155804_478bc859-cc95-461f-aefa-dd03b7c9c6a5.jpg?v=1773397675|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155757_9092c9d4-7712-42e8-acf0-f8a21d949b74.jpg?v=1773397675","Hi I want MOVE ROMANE DIAMOND RING",
"BABY MOVE PAVED SILVER DIAMOND RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/n6_55083510-9d22-4354-9dc8-f8539f551592.jpg?v=1767944851,jewelry,messika,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/n6_55083510-9d22-4354-9dc8-f8539f551592.jpg?v=1767944851|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155258_87a400ff-a1b6-4a6a-9da8-0e0edee7996f.jpg?v=1767944851|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155211_63eadba9-44cf-4e37-bde1-fd9e818e6b63.jpg?v=1767944851|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155228_9d2470b8-c5ee-40cd-a5a2-1a75e72195ae.jpg?v=1767944851|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155215_12f865ed-740e-495f-b250-ac30faf4dcf1.jpg?v=1767944851|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155219_4f0157a8-f161-4e2b-924f-1b6684397ec7.jpg?v=1767944851|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155150_0eb2509e-c14e-40cf-baf7-96673976e548.jpg?v=1767944851|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20221222155223_afd23a70-3bb2-4d2c-9de2-90b828a425c3.jpg?v=1767944851","Hi I want BABY MOVE PAVED SILVER DIAMOND RING",
