name,image,category,brand,images,whatsapp_text,badge
Tiffany & Co Diamond Ring,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600&q=80,jewelry,tiffany,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600&q=80|https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,Hi I want Tiffany Diamond Ring,New
"HARDWEAR LARGE LINK GOLD DIAMOND BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/1_43f0a780-18df-4a4f-84e7-9ffba79cce0f.png?v=1767948305,jewelry,tiffany,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/1_43f0a780-18df-4a4f-84e7-9ffba79cce0f.png?v=1767948305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3_7cda956e-debd-407b-8981-0f281530e34d.png?v=1767948305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/4_e2b364b2-1858-48fe-aae9-97370635f852.png?v=1767948305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/2_895c97a8-ecdb-43e8-a0b6-f1f30311ee6f.png?v=1767948305|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/5_e7bdcc2f-ca64-430d-970e-9d34ee5ad919.png?v=1767948305","Hi I want HARDWEAR LARGE LINK GOLD DIAMOND BRACELET",
"HARDWEAR DROP DIAMONDS EARRINGS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13302171617056954_a828cbe6-b6f1-4033-98fa-6ff6c3f9a712.jpg?v=1767945636,jewelry,tiffany,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13302171617056954_a828cbe6-b6f1-4033-98fa-6ff6c3f9a712.jpg?v=1767945636|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13302171613555316_cc1bbdd3-fabe-458d-a40f-bb2fef8d52c2.jpg?v=1767945636|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13302171584857211_37f05d02-e91c-4f90-81bf-ea10253cede2.jpg?v=1767945636|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13302171614964547_56f0912c-fe24-4f07-910b-dd68e6adaea6.jpg?v=1767945636|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13302171615956894_7ac9d6ec-c5f4-44f7-80e3-2f7853425db0.jpg?v=1767945637|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13302171618055285_b573ebad-e2ca-4682-8f48-59e7ead9c1e2.jpg?v=1767945636","Hi I want HARDWEAR DROP DIAMONDS EARRINGS",
"LOCK BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-lockbangle-70185601_1043570_ED_M_019f22d8-c5e2-4853-8dcc-3e2e9adf388d.jpg?v=1767947253,jewelry,tiffany,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-lockbangle-70185601_1043570_ED_M_019f22d8-c5e2-4853-8dcc-3e2e9adf388d.jpg?v=1767947253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324798390599682_932efab5-7947-46a4-b526-08e7c0c6395b.jpg?v=1767947253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324798406486005_5746e19a-5773-4256-9f50-a5499f91eb0c.jpg?v=1767947253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324798411786301_11d5a3a4-473d-4893-bc99-79159735010d.jpg?v=1767947253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324798413093322_6591d900-0619-46d4-b9b5-bec7cf04039b.jpg?v=1767947253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324798414286150_b51541dc-5ad0-4ceb-8ce8-b8ebf9d73ad9.jpg?v=1767947253|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13324798415486214_5f5acad4-0e99-454b-b3a4-f31ed3c4aac6.jpg?v=1767947253","Hi I want LOCK BRACELET",
"HARDWEAR GOLD BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-hardwearlink-bracelet-38086804_993597_ED_d1bed5c5-a3f6-4435-96a2-aad4b58a3955.jpg?v=1767947586,jewelry,tiffany,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-hardwearlink-bracelet-38086804_993597_ED_d1bed5c5-a3f6-4435-96a2-aad4b58a3955.jpg?v=1767947586|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13295437528673734_fa086c67-dfb1-485a-855a-0791a074e140.jpg?v=1767947586|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13295437543668638_16018824-7c57-4eae-ac8e-3bde4bc04b5f.jpg?v=1767947586|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13295437545767434_51d81fce-b034-436f-937b-6a78b11356b0.jpg?v=1767947586|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13295437547496923_47efa1ce-df7e-4bb5-bd5d-43954f3a07fa.jpg?v=1767947586|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13295437548666513_f7e448a0-1203-4d66-953f-59a55c09f114.jpg?v=1767947586|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13295437549769224_ff172f77-c8ad-4f43-b7fe-32a8607c55b0.jpg?v=1767947586","Hi I want HARDWEAR GOLD BRACELET",
"T SQUARE OPEN BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202404221207301_249eb7c0-6152-4015-884f-e19343b547b6.jpg?v=1767944285,jewelry,tiffany,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202404221207301_249eb7c0-6152-4015-884f-e19343b547b6.jpg?v=1767944285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202404221207302_ef58a714-10e1-44ec-b7d4-d0f2e79aa53d.jpg?v=1767944285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240422120731_115da98a-cbe8-44bf-8aaa-d93f93c173fd.jpg?v=1767944285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240422120732_6dd59c73-0f73-453a-aca4-6186d073065b.jpg?v=1767944285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202404221207321_3d437ba7-4b5f-45a4-8a28-62cc7cdc252c.jpg?v=1767944285|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_202404221207322_5377ab30-796f-48c8-b5f0-8666782645ac.jpg?v=1767944286|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20240422120730_b3b48173-bb25-4950-af53-63deea02a6fe.jpg?v=1767944285","Hi I want T SQUARE OPEN BRACELET",
"HARDWEAR GRADUATED LINK NECKLACE ROSE GOLD WITH PAVE DIAMONDS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-hardwear-graduated-link-necklace-in-18k-rose-gold-with-pave-diamonds-2_ff646304-49e0-425c-905d-a1ce09b2eaff.jpg?v=1772076573,jewelry,tiffany,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-hardwear-graduated-link-necklace-in-18k-rose-gold-with-pave-diamonds-2_ff646304-49e0-425c-905d-a1ce09b2eaff.jpg?v=1772076573|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-hardwear-graduated-link-necklace-in-18k-rose-gold-with-pave-diamonds-1-1024x683_ff842012-8963-47ee-9007-2ccedf74309b.jpg?v=1772076572|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-hardwear-graduated-link-necklace-in-18k-rose-gold-with-pave-diamonds-coral-1_66c53433-179a-41ff-8f9d-f7ff81bd4f20.png?v=1772076573|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-hardwear-graduated-link-necklace-in-18k-rose-gold-with-pave-diamonds-coral-2-1_60c09ca9-fa1f-4d10-a3e4-beb22440ab3c.jpg?v=1772076572|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-hardwear-graduated-link-necklace-in-18k-rose-gold-with-pave-diamonds-coral-3-1_cdd9b5db-afcc-4481-860e-49c375c95e13.jpg?v=1772076572|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-hardwear-graduated-link-necklace-in-18k-rose-gold-with-pave-diamonds-coral-4_fdce84be-a7cd-4321-940a-17ad653745a8.jpg?v=1772076573","Hi I want HARDWEAR GRADUATED LINK NECKLACE ROSE GOLD WITH PAVE DIAMONDS",
"T WIDE WIRE BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-twide-wire-bracelet-66964345_999301_ED_M_216adf16-8690-4242-b28b-2886b725d17b.jpg?v=1767948320,jewelry,tiffany,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-twide-wire-bracelet-66964345_999301_ED_M_216adf16-8690-4242-b28b-2886b725d17b.jpg?v=1767948320|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-twide-wire-bracelet-66964280_1000466_ED_M_00d832cd-ce00-4e26-bcd9-f2b543e903e0.webp?v=1767948320|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/tiffany-twide-wire-bracelet-66964426_999304_ED_M_9785d3ad-e82c-4490-8c86-a9f57b87fff4.webp?v=1767948320","Hi I want T WIDE WIRE BRACELET",
"HARDWEAR GOLD CHOKER",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatScreenshot_20231112215053_76097a39-9bdd-4925-b43c-7d2342c739af.png?v=1767947727,jewelry,tiffany,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatScreenshot_20231112215053_76097a39-9bdd-4925-b43c-7d2342c739af.png?v=1767947727|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatScreenshot_20231112215144_424b25d4-5b47-4f26-9526-fa2a1566f374.png?v=1767947728|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatScreenshot_20231112215113_4c2390c2-2b40-4626-a0a9-cb66994d8927.png?v=1767947728","Hi I want HARDWEAR GOLD CHOKER",
"LOCK PINK GOLD SILVER DIAMOND BRACELET",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13344496495552344_a40b230c-8357-4848-a6d6-bf51c132b24e.jpg?v=1767948011,jewelry,tiffany,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13344496495552344_a40b230c-8357-4848-a6d6-bf51c132b24e.jpg?v=1767948011|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13344496485701875_97e64371-5c0e-4036-9852-f03d3ebf01a4.jpg?v=1767948011|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13344496488789475_3410c2d0-2a9f-4f79-b4aa-1b3c15a8654d.jpg?v=1767948011|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13344496474731895_b079a0f6-91c4-49de-9df5-f3d392dfaf42.jpg?v=1767948011|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13344496487171198_271ca323-f76d-4601-a185-261902001e5a.jpg?v=1767948011|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13344496490164181_1d1ca60b-30a3-485c-99c6-d55ccdd2a57f.jpg?v=1767948011|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13344496491532586_9f285fda-c3dc-4e8b-8125-d6cee88664c1.jpg?v=1767948011|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13344496492995327_4eaef347-81de-42c7-9694-895a2b039cea.jpg?v=1767948011","Hi I want LOCK PINK GOLD SILVER DIAMOND BRACELET",
