name,image,category,brand,images,whatsapp_text,badge
Cartier Love Bracelet,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,jewelry,cartier,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80|https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600&q=80,Hi I want Cartier Love Bracelet,Hot
Tiffany & Co Diamond Ring,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600&q=80,jewelry,tiffany,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600&q=80|https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,Hi I want Tiffany Diamond Ring,New
Van Cleef Alhambra Necklace,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80,jewelry,van-cleef,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80|https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,Hi I want Van Cleef Alhambra Necklace,
Bulgari Serpenti Watch,https://images.unsplash.com/photo-1587836374828-4dbafa94cf0e?w=600&q=80,jewelry,bulgari,https://images.unsplash.com/photo-1587836374828-4dbafa94cf0e?w=600&q=80|https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600&q=80,Hi I want Bulgari Serpenti Watch,Hot
Hermès Clic H Bracelet,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=600&q=80,jewelry,hermes,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=600&q=80|https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,Hi I want Hermès Clic H Bracelet,New
"LOVE BRACELET 3.65MM DIAMOND-PAVED",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/love-bracelet-small-model-paved-diamonds-rose-gold-ref-n6710717-1_db8899f1-ed98-4d55-a568-f179d02bf641.jpg?v=1772076560,jewelry,cartier,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/love-bracelet-small-model-paved-diamonds-rose-gold-ref-n6710717-1_db8899f1-ed98-4d55-a568-f179d02bf641.jpg?v=1772076560|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_20_ea2204e4-c9ee-4b6f-a5a0-807948e6d9f1.png?v=1772076560|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_19_efba9eed-fc81-4038-839d-6aa4c2bacf21.png?v=1772076560|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_21_d44c91a1-6c1e-4143-8536-abf4456b45d4.png?v=1772076560|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3.65dm_def183ea-3e65-488f-862a-63e8fe7ff0c8.png?v=1772076560|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/3.65dm1_c6852fc7-f2b9-4b0b-8444-438ff25fc118.png?v=1772076560|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH04470_7e040ec7-073f-459b-a9ba-6e02ef0a1f16.jpg?v=1772076560|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH04477_6bd7ed90-a12f-4792-a3f1-218d54a0b66f.jpg?v=1772076560","Hi I want LOVE BRACELET 3.65MM DIAMOND-PAVED",
"Cartier Love Unlimited Ring",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1760432345_3943_11_a1047b4b-321e-4b2c-82d2-1ecf5dc5731a.jpg?v=1767943594,jewelry,cartier,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1760432345_3943_11_a1047b4b-321e-4b2c-82d2-1ecf5dc5731a.jpg?v=1767943594|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1760432345_4832_0_c6b98360-4fb7-4887-a90c-d9460b9d048a.jpg?v=1767943594|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_8e84fda6_20251013_a1760365354743_7661_jpg_96bb8bae-a9d0-474b-9806-eb60060da6a7.jpg?v=1767943594|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_8e84fda6_20251013_a1760365357015_0335_jpg_4c94f46b-5db0-4394-8ec4-9b3bad2da50c.jpg?v=1767943594|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_8e84fda6_20251013_a1760365357056_3632_jpg_0e43d752-cd8b-4ab7-9a9e-f0eaa76316c2.jpg?v=1767943594|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1760432345_6585_1_381c9442-8c56-4a10-8453-de26a31b942d.jpg?v=1767943594|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1760432345_6883_10_d6dece96-258c-4468-8383-c23719922d7c.jpg?v=1767943594|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1760432345_8312_12_b244a9cf-26d9-4283-bd60-b6e18c7226a6.jpg?v=1767943594|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/i1760432345_3777_8_56cdf19d-5df4-4fcc-aaf0-57ad4daa618d.jpg?v=1767943594","Hi I want Cartier Love Unlimited Ring",
"CLASH 5.5MM RING",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833201366666_91c9ba97-938d-4c21-a2f0-f37a55a6db3e.jpg?v=1768213769,jewelry,cartier,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833201366666_91c9ba97-938d-4c21-a2f0-f37a55a6db3e.jpg?v=1768213769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833168054169_b0378c63-2fb9-43f6-a731-17b641252f48.jpg?v=1768213770|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833208340672_465826d3-dfd8-46fe-949d-5ba596aa3511.jpg?v=1768213768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833209629303_2184c0e9-90c6-43a6-9c72-de0597edda04.jpg?v=1768213768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833210940684_2f9b7c8f-8e18-407d-a6af-53cc1a51e1f9.jpg?v=1768213769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833203131074_6c03aa27-ba98-47cf-983c-31825c43a61c.jpg?v=1768213768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833204436059_5b76039f-6f0f-4e6b-9ce9-bfc2299525e8.jpg?v=1768213768|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833205722521_ea3c9b33-77f5-46e8-9b01-72bca349c60c.jpg?v=1768213769|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13334833207040114_d4a2ed6a-3c00-4e50-9401-3f0c47cd3b10.jpg?v=1768213768","Hi I want CLASH 5.5MM RING",
"LOVE BRACELET 6.1MM 4 DIAMONDS",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/AnyConv.com__cartier-love-bracelet-4-diamonds-yellow-gold-ref-b6035917-coral-jewelry-1_271dec3e-0af8-407c-b236-8b7875f1143c.jpg?v=1772076556,jewelry,cartier,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/AnyConv.com__cartier-love-bracelet-4-diamonds-yellow-gold-ref-b6035917-coral-jewelry-1_271dec3e-0af8-407c-b236-8b7875f1143c.jpg?v=1772076556|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_28_f724f53f-0c0a-4d60-aff3-7dd92df3a6e6.png?v=1772076561|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_27_c856a3ca-839d-44f9-b790-5fecb29c3012.png?v=1772076557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Thi_tk_ch_acoten_29_d882c972-dfb4-4496-83b9-104444af7626.png?v=1772076557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/6.14dmg_8dd511da-653a-4fec-876d-a2e22f7a170a.png?v=1772076557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/6.14dms_15e66dd5-2f4e-4638-916b-df035085d670.png?v=1772076557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/6.14dm_7c63a7cf-d3a3-4a89-aac5-9e69c3e423d7.png?v=1772076557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH04472_0a0d6a44-e455-4166-a51c-7a7cc9e80bea.jpg?v=1772076557|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/KH04488_35194242-df3b-40c1-a4a1-a71be46352c9.jpg?v=1772076557","Hi I want LOVE BRACELET 6.1MM 4 DIAMONDS",
"Cartier Unlimited Love Bracelet",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Copilot_20251222_143911.png?v=1767943599,jewelry,cartier,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Copilot_20251222_143911.png?v=1767943599|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/ScreenShot_2025-11-06_140325_113.png?v=1767943599|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/cmp_i1765620535356_8008_0_1_b1b90cd9-d82b-4eb5-ace5-68e8aea5968d.jpg?v=1767943598|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/cmp_i1765620535415_4593_0_2_53dc8e1f-8ba6-43ef-912a-6aa66bc231be.jpg?v=1767943598|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251222143501_78_16_300b5e83-e47d-4d4c-8c24-dceee239c047.jpg?v=1767943599|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251222143524_99_16_cc233621-a7c7-438a-bbb5-ad57cbe99afd.jpg?v=1767943599|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251222143507_84_16_8c37a861-45cb-4e19-880e-ffac307d5180.jpg?v=1767943599|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20251222143511_88_16_e4f1506a-19f4-4751-b340-c81944785833.jpg?v=1767943599","Hi I want Cartier Unlimited Love Bracelet",
