Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
datejust-31mm-yellow-gold-steel-diamond-bezel-champagne-dial-diamond-numerals,Datejust 31mm Yellow Gold Steel Diamond Bezel Champagne Dial Diamond Numerals,"<table>
<tbody>
<tr>
<td class=""p-r-2""><strong>Brand</strong></td>
<td>Rolex</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Model</strong></td>
<td>Lady datejust<br>
</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Reference number</strong></td>
<td>279715</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Movement</strong></td>
<td>Automatic</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Case material</strong></td>
<td><span>Yellow Gold/ Steel</span></td>
</tr>
<tr>
<td class=""p-r-2""><strong>Bracelet material</strong></td>
<td><span>Yellow Gold/ Steel</span></td>
</tr>
</tbody>
<tbody>
<tr>
<td colspan=""2"" class=""p-r-2"">
<h3 class=""h4 m-b-0"">Caliber</h3>
</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Movement</strong></td>
<td>Automatic</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Movement/Caliber</strong></td>
<td>2236</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Power reserve</strong></td>
<td>55 h</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Number of jewels</strong></td>
<td>31</td>
</tr>
</tbody>
<tbody>
<tr>
<td colspan=""2"" class=""p-r-2"">
<h3 class=""h4 m-b-0"">Case</h3>
</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Case material</strong></td>
<td><span>Yellow Gold/ Steel</span></td>
</tr>
<tr>
<td class=""p-r-2""><strong>Case diameter</strong></td>
<td><span>31 mm</span></td>
</tr>
<tr>
<td class=""p-r-2""><strong>Water resistance</strong></td>
<td>10 ATM</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Bezel material</strong></td>
<td>Cubic Zirconia</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Crystal</strong></td>
<td>Sapphire crystal</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Dial</strong></td>
<td>Champagne<br>
</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Dial numerals</strong></td>
<td><span>Diamond</span></td>
</tr>
</tbody>
<tbody>
<tr>
<td colspan=""2"" class=""p-r-2"">
<h3 class=""h4 m-b-0"">Bracelet/strap</h3>
</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Bracelet material</strong></td>
<td><span>Yellow Gold/ Steel</span></td>
</tr>
<tr>
<td class=""p-r-2""><strong>Bracelet color</strong></td>
<td><span>Yellow Gold/ Steel</span></td>
</tr>
<tr>
<td class=""p-r-2""><strong>Clasp</strong></td>
<td>Fold clasp</td>
</tr>
<tr>
<td class=""p-r-2""><strong>Clasp material</strong></td>
<td><span>Yellow Gold/ Steel</span></td>
</tr>
</tbody>
<tbody>
<tr>
<td colspan=""2"" class=""p-r-2"">
<h3 class=""h4 m-b-0"">Functions</h3>
</td>
</tr>
<tr>
<td colspan=""2"" class=""p-r-2"">Date</td>
</tr>
</tbody>
</table>",Rolex,,watch,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,204.75,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_2782_0_jpg_97fdac7a-0781-4e0d-a9bb-f20a71942d4d.jpg?v=1781694637,1,,,,,,g,,,,,active
datejust-31mm-yellow-gold-steel-diamond-bezel-champagne-dial-diamond-numerals,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_1707_1_jpg_e9c487cc-d576-4f65-9551-146e2165ae04.jpg?v=1781694637,2,,,,,,,,,,,
datejust-31mm-yellow-gold-steel-diamond-bezel-champagne-dial-diamond-numerals,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_2134_3_jpg_7c64bfda-7eb5-4d3a-88f6-0f837f7b1c13.jpg?v=1781694637,3,,,,,,,,,,,
datejust-31mm-yellow-gold-steel-diamond-bezel-champagne-dial-diamond-numerals,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_3667_6_jpg_021901ea-5365-44d6-bc96-4cb2d4b7c088.jpg?v=1781694637,4,,,,,,,,,,,
datejust-31mm-yellow-gold-steel-diamond-bezel-champagne-dial-diamond-numerals,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_4369_8_jpg_4bab7976-8ba8-4cbb-9cd5-0a89e9f84af2.jpg?v=1781694637,5,,,,,,,,,,,
datejust-31mm-yellow-gold-steel-diamond-bezel-champagne-dial-diamond-numerals,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_4562_7_jpg_1409d558-4748-4c93-85cc-159cb9da2032.jpg?v=1781694637,6,,,,,,,,,,,
datejust-31mm-yellow-gold-steel-diamond-bezel-champagne-dial-diamond-numerals,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_6575_5_jpg_9f0ed912-c018-4034-9eed-729371d94216.jpg?v=1781694637,7,,,,,,,,,,,
datejust-31mm-yellow-gold-steel-diamond-bezel-champagne-dial-diamond-numerals,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_803_2_jpg_1a737a6a-30fd-4127-8f8f-174f6853affa.jpg?v=1781694637,8,,,,,,,,,,,
datejust-41-two-tone-yellow-dial-diamond-numerals,DATEJUST 41 TWO-TONE YELLOW DIAL DIAMOND NUMERALS,"<table data-mce-fragment=""1"" style=""width: 551px;"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 307.281px;""><strong data-mce-fragment=""1"">Brand</strong></td>
<td data-mce-fragment=""1"" style=""width: 227.719px;""><a data-mce-fragment=""1"" href=""https://www.chrono24.com/rolex/index.htm"" title=""Rolex"" class=""text-link"" data-ga-event=""generic"" data-ga-event-name=""interact_textlink"" data-ga-event-context=""watch-details-link"">Rolex</a></td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 307.281px;""><strong data-mce-fragment=""1"">Model</strong></td>
<td data-mce-fragment=""1"" style=""width: 227.719px;""><a data-mce-fragment=""1"" href=""https://www.chrono24.com/rolex/datejust--mod45.htm"" title=""Datejust"" class=""text-link"">Datejust</a></td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 307.281px;""><strong data-mce-fragment=""1"">Reference number</strong></td>
<td data-mce-fragment=""1"" style=""width: 227.719px;"">
<a data-mce-fragment=""1"" class=""text-link"" href=""https://www.chrono24.com/rolex/ref-126334.htm"">126334</a><br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 307.281px;""><strong data-mce-fragment=""1"">Dealer product code</strong></td>
<td data-mce-fragment=""1"" style=""width: 227.719px;"">2438A</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 307.281px;""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"" style=""width: 227.719px;"">Automatic</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 307.281px;""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"" style=""width: 227.719px;"">Steel</td>
</tr>
</tbody>
</table>
<table data-mce-fragment=""1"" style=""width: 551px;"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 535px;"" colspan=""2"">
<p data-mce-fragment=""1"" class=""h3 text-left m-b-0"">Caliber</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 304px;""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"" style=""width: 231px;"">Automatic</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 535px;"" colspan=""2"">
<p data-mce-fragment=""1"" class=""h3 text-left m-b-0"">Case</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 304px;""><strong data-mce-fragment=""1"">Case material</strong></td>
<td data-mce-fragment=""1"" style=""width: 231px;""><span data-mce-fragment=""1"">Steel</span></td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 304px;""><strong data-mce-fragment=""1"">Case diameter</strong></td>
<td data-mce-fragment=""1"" style=""width: 231px;"">41.00 mm</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 304px;""><strong data-mce-fragment=""1"">Dial</strong></td>
<td data-mce-fragment=""1"" style=""width: 231px;"">Yellow<br>
</td>
</tr>
</tbody>
</table>",Rolex,,watch,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,199.50,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/c681873a-091c-41fa-900d-092aceb2cb26_0f8d8d34-bcb9-49d0-9673-95a7a40233a2.jpg?v=1781694009,1,,,,,,g,,,,,active
datejust-41-two-tone-yellow-dial-diamond-numerals,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13267211054054193_06777305-72e0-47b6-bb2a-ec97fa4b3d5a.jpg?v=1781694009,2,,,,,,,,,,,
