Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
sweet-alhambra-pink-gold-mop,SWEET ALHAMBRA PINK GOLD MOP,"<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Brand</strong></td>
<td data-mce-fragment=""1"">Van Cleef &amp; Arpels</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Model</strong></td>
<td data-mce-fragment=""1"">Alhambra</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Reference number</strong></td>
<td data-mce-fragment=""1"">VCAR08SG01</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Quartz</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"">Yellow gold</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Gender</strong></td>
<td data-mce-fragment=""1"">Women's watch</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"">
<h3 class=""h4 m-b-0"" data-mce-fragment=""1"">Caliber</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"">Quartz</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"">
<h3 class=""h4 m-b-0"" data-mce-fragment=""1"">Case</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Case diameter</strong></td>
<td data-mce-fragment=""1"">
<span data-mce-fragment=""1"">23 mm</span><span data-mce-fragment=""1""> </span>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Thickness</strong></td>
<td data-mce-fragment=""1"">6.2 mm</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Water resistance</strong></td>
<td data-mce-fragment=""1"">3 ATM</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Crystal</strong></td>
<td data-mce-fragment=""1"">Sapphire crystal</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dial</strong></td>
<td data-mce-fragment=""1"">Mop<br>
</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"">
<h3 class=""h4 m-b-0"" data-mce-fragment=""1"">Bracelet/strap</h3>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""p-r-2"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"">Yellow gold</td>
</tr>
</tbody>
</table>",vca watch,,watch,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,420.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342790441218599_14060264-4c8b-4067-b036-ea55ac145c87.jpg?v=1776910695,1,,,,,,g,,,,,active
sweet-alhambra-pink-gold-mop,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342786200133998_5c13ca80-037e-45fd-a63d-06001b17417e.jpg?v=1776910695,2,,,,,,,,,,,
sweet-alhambra-pink-gold-mop,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342786201705548_b6ce5ac6-6405-4700-9dfe-d20d210c8929.jpg?v=1776910695,3,,,,,,,,,,,
sweet-alhambra-pink-gold-mop,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342786203471118_017286bd-4608-4b99-b68d-1b8e29e44986.jpg?v=1776910695,4,,,,,,,,,,,
sweet-alhambra-pink-gold-mop,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342786205121830_ccbf09ec-6f79-441e-a9b7-0b7e3c4817e4.jpg?v=1776910695,5,,,,,,,,,,,
sweet-alhambra-pink-gold-mop,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13342786206749323_8de94c19-6296-4d33-b1bf-4acacd6fd114.jpg?v=1776910695,6,,,,,,,,,,,
sweet-alhambra-pink-gold-pink-mop-watch,SWEET ALHAMBRA PINK GOLD PINK MOP WATCH,"<table data-mce-fragment=""1"" style=""width: 100%; height: 355.126px;"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Brand</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">Van Cleef &amp; Arpels</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Model</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">Alhambra</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Reference number</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">VCAR08SG01</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">Quartz</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">Yellow gold</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Gender</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">Women's watch</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"" style=""height: 33.4688px;"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"" style=""width: 99.6422%; height: 33.4688px;"">
<h3 class=""h4 m-b-0"" data-mce-fragment=""1"">Caliber</h3>
</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Movement</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">Quartz</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"" style=""height: 33.4688px;"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"" style=""width: 99.6422%; height: 33.4688px;"">
<h3 class=""h4 m-b-0"" data-mce-fragment=""1"">Case</h3>
</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Case diameter</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">
<span data-mce-fragment=""1"">23 mm</span><span data-mce-fragment=""1""> </span>
</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Thickness</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">6.2 mm</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Water resistance</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">3 ATM</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Crystal</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">Sapphire crystal</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Dial</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">Pink Mop<br>
</td>
</tr>
</tbody>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"" style=""height: 33.4688px;"">
<td colspan=""2"" class=""p-r-2"" data-mce-fragment=""1"" style=""width: 99.6422%; height: 33.4688px;"">
<h3 class=""h4 m-b-0"" data-mce-fragment=""1"">Bracelet/strap</h3>
</td>
</tr>
<tr data-mce-fragment=""1"" style=""height: 19.5938px;"">
<td class=""p-r-2"" data-mce-fragment=""1"" style=""width: 50.9839%; height: 19.5938px;""><strong data-mce-fragment=""1"">Bracelet material</strong></td>
<td data-mce-fragment=""1"" style=""width: 48.6583%; height: 19.5938px;"">Pink gold</td>
</tr>
</tbody>
</table>",vca watch,,watch,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,420.00,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230914_i1694674928_1267_4_jpg_ab3d02ea-a72f-457b-9b8c-a787b536d8f7.jpg?v=1776908999,1,,,,,,g,,,,,active
sweet-alhambra-pink-gold-pink-mop-watch,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230914_i1694674928_1298_7_jpg_df86193f-4375-408f-aeb1-1f224092d34f.jpg?v=1776908999,2,,,,,,,,,,,
sweet-alhambra-pink-gold-pink-mop-watch,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230914_i1694674928_2862_3_jpg_73a124de-0700-442c-9437-927d1860f1cc.jpg?v=1776908999,3,,,,,,,,,,,
sweet-alhambra-pink-gold-pink-mop-watch,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20230914_i1694674928_5609_5_jpg_58d35243-e244-48a0-86d7-6f3099994216.jpg?v=1776908999,4,,,,,,,,,,,
