Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
icare-58cm-woven-raffia-brown-calfskin,icare 58cm woven raffia brown calfskin,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: brown</li>
<li>Stone :  No</li>
<li>REF.:  Ysl264</li>
<li>Material: Calfskin, raffia </li>
<li>one card slot</li>
<li><span>DIMENSIONS: 38–58 X 43 X 8 CM / 15–22.8 X 16.9 X 3.1 INCHES</span></li>
<li><span>HANDLE DROP: 23 CM / 9 INCHES</span></li>
<li><span>CAN BE WORN WIDE OR WITH CLOSED SIDES</span></li>
<li><span>BRONZE-TONED HARDWARE</span></li>
<li><span>DETACHABLE METAL CHAIN TOGGLE CLOSURE</span></li>
<li><span>ONE ZIP POCKET, ONE REMOVABLE ZIP POUCH WITH FLAT POCKET<br>GROSGRAIN LINING</span></li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">✈️ <b data-mce-fragment=""1"">Shipping Time </b></span><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><b data-mce-fragment=""1"">     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>",YSL bag,,bag,"shoulder bags, top handle, tote bag",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,446.25,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_6184_0_jpg.jpg?v=1778037702,1,,,,,,g,,,,,active
icare-58cm-woven-raffia-brown-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_1148_2_jpg.jpg?v=1778037700,2,,,,,,,,,,,
icare-58cm-woven-raffia-brown-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_240_5_jpg.jpg?v=1778037700,3,,,,,,,,,,,
icare-58cm-woven-raffia-brown-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_4480_1_jpg.jpg?v=1778037700,4,,,,,,,,,,,
icare-58cm-woven-raffia-brown-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_585_8_jpg.jpg?v=1778037700,5,,,,,,,,,,,
icare-58cm-woven-raffia-brown-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_6153_3_jpg.jpg?v=1778037700,6,,,,,,,,,,,
icare-58cm-woven-raffia-brown-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_7626_6_jpg.jpg?v=1778037700,7,,,,,,,,,,,
icare-58cm-woven-raffia-brown-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_8441_4_jpg.jpg?v=1778037700,8,,,,,,,,,,,
icare-58cm-woven-raffia-brown-calfskin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20240611_i1718087578_9951_7_jpg.jpg?v=1778037700,9,,,,,,,,,,,
ysl-white-lambskin-clutch-225388,YSL WHITE LAMBSKIN CLUTCH  225388,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: WHITE</li>
<li>Stone : No</li>
<li>REF.: Ysl769307</li>
<li>Material: LAMBSKIN</li>
<li class=""c-product__detailsitem""><span>Size: 29.5×18×4.5cm</span></li>
<li><span>After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
</ul>
<p><span>✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span><b> ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>",YSL bag,,bag,new arrival,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,273.00,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_146_4_jpg_593ab426-43d2-4787-8380-d257ff14d6bf.jpg?v=1775555092,1,,,,,,g,,,,,active
ysl-white-lambskin-clutch-225388,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_2125_6_jpg_50c96858-390d-47e9-abbb-39e56a24c27f.jpg?v=1775555092,2,,,,,,,,,,,
ysl-white-lambskin-clutch-225388,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_3085_7_jpg_301ef05e-45a8-4e7b-9566-3cb3f693dc37.jpg?v=1775555092,3,,,,,,,,,,,
ysl-white-lambskin-clutch-225388,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_3499_3_jpg_e9fb3c81-2e9c-4504-9095-81ce334115bc.jpg?v=1775555092,4,,,,,,,,,,,
ysl-white-lambskin-clutch-225388,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_3757_0_jpg_07813409-19ca-487f-8dfb-75fa7508b52b.jpg?v=1775555092,5,,,,,,,,,,,
ysl-white-lambskin-clutch-225388,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_8367_1_jpg_38911bd8-293d-4689-a797-4d1ac823c9de.jpg?v=1775555092,6,,,,,,,,,,,
ysl-white-lambskin-clutch-225388,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_f8c0bdc9_20240510_i1715341205_8973_5_jpg_8818321a-0983-415d-86f7-efe67d76a35c.jpg?v=1775555092,7,,,,,,,,,,,
